Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Subject,Name.creator,Name.contributor,Name.interviewer,Name.subject,Name.interviewee,Name.photographer,Name.repository,Language,Alt ID.local,Format.medium,Title,Date.creation,Coverage.temporal,Description.abstract,Publisher.publisherName,Relation.isPartOf,Format.extent,Description.note,Source,Relation.relatedTo,AltTitle.uniform,Description.biographicalNote,Coverage.geographic,Description.tableOfContents,Publisher.placeOfOrigin,Bucketeer State,IIIF Access URL
American College of Neuropsychopharmacology,ark:/21198/z1281zkv,ark:/21198/zz001hm1wx,,,Page,acnp/image/21198-zz001hm1wx-1-master_018.tif,18,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1281zkv
American College of Neuropsychopharmacology,ark:/21198/z1xh1g69,ark:/21198/zz001hm1wx,,,Page,acnp/image/21198-zz001hm1wx-1-master_019.tif,19,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1g69
American College of Neuropsychopharmacology,ark:/21198/z1sr0qgk,ark:/21198/zz001hm1wx,,,Page,acnp/image/21198-zz001hm1wx-1-master_020.tif,20,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr0qgk
American College of Neuropsychopharmacology,ark:/21198/z1nz9zpd,ark:/21198/zz001hm1wx,,,Page,acnp/image/21198-zz001hm1wx-1-master_021.tif,21,,,,,,,,,,,,,,,,,,,Page 21,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nz9zpd
American College of Neuropsychopharmacology,ark:/21198/z1j696wg,ark:/21198/zz001hm1wx,,,Page,acnp/image/21198-zz001hm1wx-1-master_022.tif,22,,,,,,,,,,,,,,,,,,,Page 22,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j696wg
American College of Neuropsychopharmacology,ark:/21198/z1df8g6m,ark:/21198/zz001hm1wx,,,Page,acnp/image/21198-zz001hm1wx-1-master_023.tif,23,,,,,,,,,,,,,,,,,,,Page 23,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8g6m
American College of Neuropsychopharmacology,ark:/21198/z18s6dxn,ark:/21198/zz001hm1wx,,,Page,acnp/image/21198-zz001hm1wx-1-master_024.tif,24,,,,,,,,,,,,,,,,,,,Page 24,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6dxn
American College of Neuropsychopharmacology,ark:/21198/z1515p8j,ark:/21198/zz001hm1wx,,,Page,acnp/image/21198-zz001hm1wx-1-master_025.tif,25,,,,,,,,,,,,,,,,,,,Page 25,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1515p8j
American College of Neuropsychopharmacology,ark:/21198/z1184xk8,ark:/21198/zz001hm1wx,,,Page,acnp/image/21198-zz001hm1wx-1-master_026.tif,26,,,,,,,,,,,,,,,,,,,Page 26,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1184xk8
American College of Neuropsychopharmacology,ark:/21198/z1wh4f3c,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wh4f3c
American College of Neuropsychopharmacology,ark:/21198/z1rr3p89,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_002.tif,2,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rr3p89
American College of Neuropsychopharmacology,ark:/21198/z1n02xhf,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_003.tif,3,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n02xhf
American College of Neuropsychopharmacology,ark:/21198/z1h725tj,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_004.tif,4,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h725tj
American College of Neuropsychopharmacology,ark:/21198/z1ck04g3,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_005.tif,5,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck04g3
American College of Neuropsychopharmacology,ark:/21198/z17s9cs8,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_006.tif,6,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s9cs8
American College of Neuropsychopharmacology,ark:/21198/z1418n45,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_007.tif,7,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1418n45
American College of Neuropsychopharmacology,ark:/21198/z1087wc0,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_008.tif,8,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1087wc0
American College of Neuropsychopharmacology,ark:/21198/z1vh7cwp,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_009.tif,9,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh7cwp
American College of Neuropsychopharmacology,ark:/21198/z1qr6n3g,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_010.tif,10,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6n3g
American College of Neuropsychopharmacology,ark:/21198/z1m05wfz,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_011.tif,11,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m05wfz
American College of Neuropsychopharmacology,ark:/21198/z1gb3v1m,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_012.tif,12,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb3v1m
American College of Neuropsychopharmacology,ark:/21198/z1bk33c5,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_013.tif,13,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk33c5
American College of Neuropsychopharmacology,ark:/21198/z16t2bqb,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_014.tif,14,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2bqb
American College of Neuropsychopharmacology,ark:/21198/z1321kzg,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_015.tif,15,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321kzg
American College of Neuropsychopharmacology,ark:/21198/z1z913dp,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_016.tif,16,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z913dp
American College of Neuropsychopharmacology,ark:/21198/z1tj0bnh,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_017.tif,17,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj0bnh
American College of Neuropsychopharmacology,ark:/21198/z1pr9kzp,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_018.tif,18,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pr9kzp
American College of Neuropsychopharmacology,ark:/21198/z1k37jn0,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_019.tif,19,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37jn0
American College of Neuropsychopharmacology,ark:/21198/z1fb6t0k,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_020.tif,20,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb6t0k
American College of Neuropsychopharmacology,ark:/21198/z19k629p,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_021.tif,21,,,,,,,,,,,,,,,,,,,Page 21,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k629p
American College of Neuropsychopharmacology,ark:/21198/z15t59kz,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_022.tif,22,,,,,,,,,,,,,,,,,,,Page 22,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t59kz
American College of Neuropsychopharmacology,ark:/21198/z1224jsn,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_023.tif,23,,,,,,,,,,,,,,,,,,,Page 23,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224jsn
American College of Neuropsychopharmacology,ark:/21198/z1x94289,ark:/21198/zz001hm1xf,,,Page,acnp/image/21198-zz001hm1xf-1-master_024.tif,24,,,,,,,,,,,,,,,,,,,Page 24,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x94289
American College of Neuropsychopharmacology,ark:/21198/z1sj39mg,ark:/21198/zz001hm1zz,,,Page,acnp/image/21198-zz001hm1zz-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sj39mg
American College of Neuropsychopharmacology,ark:/21198/z1nw187k,ark:/21198/zz001hm1zz,,,Page,acnp/image/21198-zz001hm1zz-1-master_002.tif,2,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw187k
American College of Neuropsychopharmacology,ark:/21198/z1j40hk2,ark:/21198/zz001hm1zz,,,Page,acnp/image/21198-zz001hm1zz-1-master_003.tif,3,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40hk2
American College of Neuropsychopharmacology,ark:/21198/z1db9rxp,ark:/21198/zz001hm1zz,,,Page,acnp/image/21198-zz001hm1zz-1-master_004.tif,4,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db9rxp
American College of Neuropsychopharmacology,ark:/21198/z18k914v,ark:/21198/zz001hm1zz,,,Page,acnp/image/21198-zz001hm1zz-1-master_005.tif,5,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k914v
American College of Neuropsychopharmacology,ark:/21198/z14t88cp,ark:/21198/zz001hm1zz,,,Page,acnp/image/21198-zz001hm1zz-1-master_006.tif,6,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t88cp
American College of Neuropsychopharmacology,ark:/21198/z1127hn8,ark:/21198/zz001hm1zz,,,Page,acnp/image/21198-zz001hm1zz-1-master_007.tif,7,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127hn8
American College of Neuropsychopharmacology,ark:/21198/z1w97178,ark:/21198/zz001hm1zz,,,Page,acnp/image/21198-zz001hm1zz-1-master_008.tif,8,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w97178
American College of Neuropsychopharmacology,ark:/21198/z1rn4zt4,ark:/21198/zz001hm1zz,,,Page,acnp/image/21198-zz001hm1zz-1-master_009.tif,9,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn4zt4
American College of Neuropsychopharmacology,ark:/21198/z1mw4753,ark:/21198/zz001hm20z,,,Page,acnp/image/21198-zz001hm20z-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw4753
American College of Neuropsychopharmacology,ark:/21198/z1h43ghk,ark:/21198/zz001hm20z,,,Page,acnp/image/21198-zz001hm20z-1-master_002.tif,2,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43ghk
American College of Neuropsychopharmacology,ark:/21198/z1cc2qrd,ark:/21198/zz001hm20z,,,Page,acnp/image/21198-zz001hm20z-1-master_003.tif,3,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc2qrd
American College of Neuropsychopharmacology,ark:/21198/z17m1zxb,ark:/21198/zz001hm20z,,,Page,acnp/image/21198-zz001hm20z-1-master_004.tif,4,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m1zxb
American College of Neuropsychopharmacology,ark:/21198/z13v176d,ark:/21198/zz001hm20z,,,Page,acnp/image/21198-zz001hm20z-1-master_005.tif,5,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v176d
American College of Neuropsychopharmacology,ark:/21198/z1030gjw,ark:/21198/zz001hm20z,,,Page,acnp/image/21198-zz001hm20z-1-master_006.tif,6,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030gjw
American College of Neuropsychopharmacology,ark:/21198/z1vd8pfx,ark:/21198/zz001hm20z,,,Page,acnp/image/21198-zz001hm20z-1-master_007.tif,7,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8pfx
American College of Neuropsychopharmacology,ark:/21198/z1qn7xtj,ark:/21198/zz001hm20z,,,Page,acnp/image/21198-zz001hm20z-1-master_008.tif,8,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn7xtj
American College of Neuropsychopharmacology,ark:/21198/z1kw763m,ark:/21198/zz001hm20z,,,Page,acnp/image/21198-zz001hm20z-1-master_009.tif,9,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw763m
American College of Neuropsychopharmacology,ark:/21198/z1g46fbr,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46fbr
American College of Neuropsychopharmacology,ark:/21198/z1bc5php,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_002.tif,2,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bc5php
American College of Neuropsychopharmacology,ark:/21198/z16m4xtd,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_003.tif,3,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16m4xtd
American College of Neuropsychopharmacology,ark:/21198/z12z2whd,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_004.tif,4,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z2whd
American College of Neuropsychopharmacology,ark:/21198/z1z62d28,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_005.tif,5,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z62d28
American College of Neuropsychopharmacology,ark:/21198/z1tf1ndf,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_006.tif,6,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1ndf
American College of Neuropsychopharmacology,ark:/21198/z1pp0wrm,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_007.tif,7,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp0wrm
American College of Neuropsychopharmacology,ark:/21198/z1jx04zc,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_008.tif,8,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx04zc
American College of Neuropsychopharmacology,ark:/21198/z1f49d5x,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_009.tif,9,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f49d5x
American College of Neuropsychopharmacology,ark:/21198/z19c8nf6,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_010.tif,10,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19c8nf6
American College of Neuropsychopharmacology,ark:/21198/z15q6m29,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_011.tif,11,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6m29
American College of Neuropsychopharmacology,ark:/21198/z11z5vdg,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_012.tif,12,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z5vdg
American College of Neuropsychopharmacology,ark:/21198/z1x65c0s,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_013.tif,13,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x65c0s
American College of Neuropsychopharmacology,ark:/21198/z1sf4m82,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_014.tif,14,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4m82
American College of Neuropsychopharmacology,ark:/21198/z1np3vf0,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_015.tif,15,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np3vf0
American College of Neuropsychopharmacology,ark:/21198/z1hx33nr,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_016.tif,16,,,,,,,,,,,,,,,,,,,Page 16,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hx33nr
American College of Neuropsychopharmacology,ark:/21198/z1d52bzs,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_017.tif,17,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d52bzs
American College of Neuropsychopharmacology,ark:/21198/z18h09p7,ark:/21198/zz001hm21g,,,Page,acnp/image/21198-zz001hm21g-1-master_018.tif,18,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h09p7
American College of Neuropsychopharmacology,ark:/21198/z14q9k0t,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_001.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9k0t
American College of Neuropsychopharmacology,ark:/21198/z10z8tb0,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_002.tif,2,,,,,,,,,,,,,,,,,,,Page 2,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z8tb0
American College of Neuropsychopharmacology,ark:/21198/z1w689tj,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_003.tif,3,,,,,,,,,,,,,,,,,,,Page 3,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w689tj
American College of Neuropsychopharmacology,ark:/21198/z1rf7k2s,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_004.tif,4,,,,,,,,,,,,,,,,,,,Page 4,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7k2s
American College of Neuropsychopharmacology,ark:/21198/z1mp6t7q,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_005.tif,5,,,,,,,,,,,,,,,,,,,Page 5,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mp6t7q
American College of Neuropsychopharmacology,ark:/21198/z1gx62jt,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_006.tif,6,,,,,,,,,,,,,,,,,,,Page 6,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gx62jt
American College of Neuropsychopharmacology,ark:/21198/z1c84191,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_007.tif,7,,,,,,,,,,,,,,,,,,,Page 7,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c84191
American College of Neuropsychopharmacology,ark:/21198/z17h38mr,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_008.tif,8,,,,,,,,,,,,,,,,,,,Page 8,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h38mr
American College of Neuropsychopharmacology,ark:/21198/z13r2hxg,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_009.tif,9,,,,,,,,,,,,,,,,,,,Page 9,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2hxg
American College of Neuropsychopharmacology,ark:/21198/z1001s6g,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_010.tif,10,,,,,,,,,,,,,,,,,,,Page 10,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001s6g
American College of Neuropsychopharmacology,ark:/21198/z1v718mt,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_011.tif,11,,,,,,,,,,,,,,,,,,,Page 11,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v718mt
American College of Neuropsychopharmacology,ark:/21198/z1qg0hvn,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_012.tif,12,,,,,,,,,,,,,,,,,,,Page 12,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qg0hvn
American College of Neuropsychopharmacology,ark:/21198/z1kp9s57,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_013.tif,13,,,,,,,,,,,,,,,,,,,Page 13,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kp9s57
American College of Neuropsychopharmacology,ark:/21198/z1g17qtp,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_014.tif,14,,,,,,,,,,,,,,,,,,,Page 14,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17qtp
American College of Neuropsychopharmacology,ark:/21198/z1b8705n,ark:/21198/zz001hm220,,,Page,acnp/image/21198-zz001hm220-1-master_015.tif,15,,,,,,,,,,,,,,,,,,,Page 15,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b8705n
