Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Type.typeOfResource,Type.genre,Subject,Rights.copyrightStatus,Name.repository,Name.subject,Name.donor,Name.publisher,Name.designer,Title,Relation.relatedTo,AltTitle.descriptive,Format.medium,Format.extent,Format.dimensions,AltTitle.other,Alt ID.local,Date.creation,Date.normalized,Name.creator,Format.material,Description.note,Relation.isPartOf,Description.abstract,Format.technique,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qp6m,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qp6m_734583_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two girls sitting down,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,3 1/4 x 4 5/8,,CSRC_ORPHAN_GUARDIA_0053.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qp6m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qp6m/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qp74,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qp74_734550_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two little girls on couch,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,4 1/4 x 3,,CSRC_ORPHAN_GUARDIA_0042.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qp74,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qp74/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qp8n,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qp8n_734532_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two little girls sitting on a staircase,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,3 7/16 x 2 7/16,,CSRC_ORPHAN_GUARDIA_0037A.tif,circa 1940s,1940/1949,,,"Inscribed on back, 3 anos 9 meisesAlmelia: Jivive crees tis que son estas fatru ristas?...Somos tus mistertas que fauto te querimos""",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qp8n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qp8n/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qp95,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qp95_734541_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Man holding two girls,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,3 x 4 1/4,,CSRC_ORPHAN_GUARDIA_0039.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qp95,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qp95/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qpc6,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qpc6_734589_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Girl on pony,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,3 x 4 7/16,,CSRC_ORPHAN_GUARDIA_0055.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qpc6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qpc6/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qpdq,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qpdq_734553_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Girls dressed as angels,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,3 1/4 x 3 3/16,,CSRC_ORPHAN_GUARDIA_0043.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qpdq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qpdq/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qpf7,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qpf7_734562_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Uncle with two girls,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph|~|4 1/4 x 3,1 Photograph,,,CSRC_ORPHAN_GUARDIA_0046.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qpf7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qpf7/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qpgr,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qpgr_734571_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Children dressed up for Cinco de Mayo,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,4 5/8 x 3 1/4,,CSRC_ORPHAN_GUARDIA_0049.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qpgr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qpgr/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qph8,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qph8_734538_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two boys,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,3 5/16 x 2 5/16,,CSRC_ORPHAN_GUARDIA_0038.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qph8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qph8/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qpnb,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qpnb_734736_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Three children sitting on steps,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,2 1/2 x 3 3/8,,CSRC_ORPHAN_GUARDIA_0062A.tif,1948 October 7,1940/1949,,,,,"Inscribed on back, "" Oct /7/48. Para tia Emita.-A la entrada de la casa de abuelita""",,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qpnb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qpnb/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qppv,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qppv_734862_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Girl posing by garden,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,3 1/4 x 4 5/8,,CSRC_ORPHAN_GUARDIA_0071.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qppv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qppv/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qpqc,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qpqc_734775_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Children in the pool,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,4 1/2 x 3 1/8,,CSRC_ORPHAN_GUARDIA_0066.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qpqc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qpqc/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qprw,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qprw_734757_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Kids playing in the water,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,4 5/8 x 3 1/4,,CSRC_ORPHAN_GUARDIA_0065.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qprw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qprw/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qpsd,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qpsd_734607_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Grandma with her grandchildren,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,4 5/8 x 3 1/4,,CSRC_ORPHAN_GUARDIA_0060.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qpsd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qpsd/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qptx,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qptx_734810_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Mrs. Guardia and her daughters,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,4 7/16 x 3 3/16,,CSRC_ORPHAN_GUARDIA_0068.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qptx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qptx/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qpvf,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qpvf_734825_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two girls at front gate of house,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,3 1/16 x 4 5/16,,CSRC_ORPHAN_GUARDIA_0070A.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qpvf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qpvf/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qpwz,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qpwz_734592_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Girl on horse,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,4 3/8 x 3 1/16,,CSRC_ORPHAN_GUARDIA_0056.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qpwz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qpwz/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qpxg,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qpxg_734749_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Girl next to river,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,4 3/8 x 3,,CSRC_ORPHAN_GUARDIA_0064.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qpxg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qpxg/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qpz0,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qpz0_734733_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Kids in the water,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,4 9/16 x 3 1/4,,CSRC_ORPHAN_GUARDIA_0061.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qpz0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qpz0/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qq00,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qq00_734598_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Girl on horse,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,3 1/8 x 4 1/2,,CSRC_ORPHAN_GUARDIA_0058.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qq00,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qq00/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qq21,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qq21_734595_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Children with pony,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,4 5/8 x 3 1/4,,CSRC_ORPHAN_GUARDIA_0057.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qq21,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qq21/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qq3j,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qq3j_734802_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Children in the pool,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,4 5/8 x 3 1/4,,CSRC_ORPHAN_GUARDIA_0067.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qq3j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qq3j/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qq42,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qq42_734923_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,The Guardia Family,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,4 5/8 x 3 1/4,,CSRC_ORPHAN_GUARDIA_0072.tif,circa 1950s,1950/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qq42,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qq42/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qq63,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qq63_734601_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Mrs. Guardia and her daughters,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,4 1/2 x 3 1/8,,CSRC_ORPHAN_GUARDIA_0059.tif,circa 1950s,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qq63,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qq63/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qq7m,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qq7m_734816_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,The Guardia daughters in front of house,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,3 1/8 x 4 3/8,,CSRC_ORPHAN_GUARDIA_0069A.tif,1954 November 11,1950/1959,,,"Inscribed on back, ""Luriues cres tu que son esta cholitas? Esta sonoisita va para mi japito.Lichy y SmityNov-11-1954",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qq7m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qq7m/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qq84,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qq84_734743_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two small girls,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,3 1/8 x 2 1/2,,CSRC_ORPHAN_GUARDIA_0063.tif,circa 1940/1950s,1940/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qq84,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qq84/manifest
