Object Type,Item ARK,Parent ARK,File name,local ID,Title,Creator,Contributor,Publisher,Publisher.place,volume/year,issue,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Medium,Insitution/Repository,collection name,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract,Subject.topic
Work,ark:/21198/z1vh7pb7,ark:/21198/z1jd6x7k,ias_meap_1973_h_0042.pdf,ias_meap_1973_h_0042,Atoka: Gorodomu,West African Book Publishers Limited,Ola Omonitan,West African Book Publishers Limited,Lagos,vol. 41,No 1; series 120,March 1973,1973-03,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay comedy about three lazy friends.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1qv5n0s,ark:/21198/z1jd6x7k,ias_meap_1973_h_0043.pdf,ias_meap_1973_h_0043,Atoka: Gorodomu,West African Book Publishers Limited,Ola Omonitan,West African Book Publishers Limited,Lagos,vol. 41,No 2; series 121,April 1973,1973-04,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay comedy about three lazy friends.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1m34w6g,ark:/21198/z1jd6x7k,ias_meap_1973_h_0044.pdf,ias_meap_1973_h_0044,Atoka: Otun Akogun,West African Book Publishers Limited,Duro Ladipo,West African Book Publishers Limited,Lagos,vol. 42,no. 1; series 122,April 1973,1973-04,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about a discord between a king and his war general.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1gb44g4,ark:/21198/z1jd6x7k,ias_meap_1973_h_0045.pdf,ias_meap_1973_h_0045,Atoka: Otun Akogun,West African Book Publishers Limited,Duro Ladipo,West African Book Publishers Limited,Lagos,vol. 42,no. 3; series 124,May 1973,1973-05,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about a discord between a king and his war general.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z1bk3csv,ark:/21198/z1jd6x7k,ias_meap_1973_h_0046.pdf,ias_meap_1973_h_0046,Atoka: Otun Akogun,West African Book Publishers Limited,Duro Ladipo,West African Book Publishers Limited,Lagos,vol. 42,no. 4; series 125,June 1973,1973-06,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about a discord between a king and his war general.,"Nigeria, Southern| Periodicals| Performing arts| Drama| Fiction"
Work,ark:/21198/z16t2n4f,ark:/21198/z1jd6x7k,ias_meap_1973_h_0047.pdf,ias_meap_1973_h_0047,Atoka: Nwon ro pe were ni,West African Book Publishers Limited,Adebayo Faleti,West African Book Publishers Limited,Lagos,vol. 43,no. 1; series 126,June 1973,1973-06,yor,text,newspapers,35 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about two intimate friends who later betray one another.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z1321wck,ark:/21198/z1jd6x7k,ias_meap_1973_h_0048.pdf,ias_meap_1973_h_0048,Atoka: Nwon ro pe were ni,West African Book Publishers Limited,Adebayo Faleti,West African Book Publishers Limited,Lagos,vol. 43,no. 2; series 127,July 1973,1973-07,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about two intimate friends who later betray one another.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z1z91cw8,ark:/21198/z1jd6x7k,ias_meap_1973_h_0049.pdf,ias_meap_1973_h_0049,Atoka: Nwon ro pe were ni,West African Book Publishers Limited,Adebayo Faleti,West African Book Publishers Limited,Lagos,vol. 43,no. 3; series 128,July 1973,1973-07,yor,text,newspapers,37 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about two intimate friends who later betray one another.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z1tm9bm5,ark:/21198/z1jd6x7k,ias_meap_1973_h_0050.pdf,ias_meap_1973_h_0050,Atoka: Nwon ro pe were ni,West African Book Publishers Limited,Adebayo Faleti,West African Book Publishers Limited,Lagos,vol. 43,no. 4; series 129,August 1973,1973-08,yor,text,newspapers,35 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about two intimate friends who later betray one another.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z1pv8kv0,ark:/21198/z1jd6x7k,ias_meap_1973_h_0051.pdf,ias_meap_1973_h_0051,Atoka: Nwon ro pe were ni,West African Book Publishers Limited,Adebayo Faleti,West African Book Publishers Limited,Lagos,vol. 43,no. 5; series 130,August 1973,1973-08,yor,text,newspapers,35 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about two intimate friends who later betray one another.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z1k37v23,ark:/21198/z1jd6x7k,ias_meap_1973_h_0052.pdf,ias_meap_1973_h_0052,Atoka: Eni awi fun,West African Book Publishers Limited,Ayinla Olumegbon,West African Book Publishers Limited,Lagos,vol. 44,no. 1; series 131,August 1973,1973-08,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about   a farmer who is poor and has a tolerant wife who endures hardship with him but is later rejected when the man has money.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z1fb73c6,ark:/21198/z1jd6x7k,ias_meap_1973_h_0053.pdf,ias_meap_1973_h_0053,Atoka: Eni awi fun,West African Book Publishers Limited,Ayinla Olumegbon,West African Book Publishers Limited,Lagos,vol. 44,no. 2; series 132,August 1973,1973-08,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about a farmer who is poor and has a tolerant wife who endures hardship with him but is later rejected when the man has money,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z19k6bpx,ark:/21198/z1jd6x7k,ias_meap_1973_h_0054.pdf,ias_meap_1973_h_0054,Atoka: Eni awi fun,West African Book Publishers Limited,Ayinla Olumegbon,West African Book Publishers Limited,Lagos,vol. 44,no. 3; series 133,September 1973,1973-09,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about a farmer who is poor and has a tolerant wife who endures hardship with him but is later rejected when the man has money.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z15t5kz6,ark:/21198/z1jd6x7k,ias_meap_1973_h_0060.pdf,ias_meap_1973_h_0060,Atoka: Otun Akogun,West African Book Publishers Limited,Duro Ladipo,West African Book Publishers Limited,Lagos,vol. 42,no. 2; series 123,May 1973,1973-05,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about a discord between a king and his war general.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z1224v6r,ark:/21198/z1jd6x7k,ias_meap_1974_h_0055.pdf,ias_meap_1974_h_0055,Atoka: Olowo Banka,West African Book Publishers Limited,Isola Ogunsola,West African Book Publishers Limited,Lagos,vol. 45,no. 1; series 134,January 1974,1974-01,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about a young man who is addicted to gambling.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z1xd325m,ark:/21198/z1jd6x7k,ias_meap_1974_h_0056.pdf,ias_meap_1974_h_0056,Atoka: Olowo Banka,West African Book Publishers Limited,Isola Ogunsola,West African Book Publishers Limited,Lagos,vol. 45,no. 2; series 135,January 1974,1974-01,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about a young man who is addicted to gambling.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z1sn29fw,ark:/21198/z1jd6x7k,ias_meap_1974_h_0057.pdf,ias_meap_1974_h_0057,Atoka: Olowo Banka,West African Book Publishers Limited,Isola Ogunsola,West African Book Publishers Limited,Lagos,vol. 45,no. 3; series 136,February 1974,1974-02,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about a young man who is addicted to gambling.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
Work,ark:/21198/z1nw1jpq,ark:/21198/z1jd6x7k,ias_meap_1974_h_0058.pdf,ias_meap_1974_h_0058,Atoka: Olowo Banka,West African Book Publishers Limited,Isola Ogunsola,West African Book Publishers Limited,Lagos,vol. 45,no. 4; series 137,February 1974,1974-02,yor,text,newspapers,36 pages,Photoplay Magazine,West African Book Publishers Limited,"Archive of Sound and Vision, Institute of African Studies, University of Ibadan",copyrighted,published,www.wabp.com.ng; info@wabp.com.ng,Atoka: Yoruba photoplay about a young man who is addicted to gambling.,"Nigeria, Southern|Periodicals|Performing arts|Drama| Fiction"
