Item ARK,Parent ARK,Object Type,Title,AltTitle.other,Visibility,File Name,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,volume/year,issue,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Resource type,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal
ark:/21198/z1p28qt8,ark:/21198/z16d7kmn,Work,Excellent Cave,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02210.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2211,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02210,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Herat|~|Qala-i-Naw|~|Excellent Cave,,
ark:/21198/z1jd6pdx,ark:/21198/z16d7kmn,Work,Lizard,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02211.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2212,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02211,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Herat|~|Qala-i-Naw|~|Lizard|~|Stones,,
ark:/21198/z1dn5xqn,ark:/21198/z16d7kmn,Work,Bande Subzak 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02212.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2213,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02212,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Herat|~|Qala-i-Naw|~|Bande Subzak|~|Hills|~|Valley|~|Landscapes,,
ark:/21198/z18w560q,ark:/21198/z16d7kmn,Work,Bande Subzak  2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02213.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2214,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02213,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Herat|~|Qala-i-Naw|~|Bande Subzak|~|Hills|~|Landscapes,,
ark:/21198/z1544f6d,ark:/21198/z16d7kmn,Work,Bande Subzak Trees 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02214.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2215,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02214,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Herat|~|Qala-i-Naw|~|Bande Subzak|~|Trees|~|Valleys|~|Hills|~|Landscapes,,
ark:/21198/z11c3pgp,ark:/21198/z16d7kmn,Work,Bande Subzak Trees 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02215.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2216,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02215,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Herat|~|Qala-i-Naw|~|Bande Subzak|~|Trees|~|Valleys|~|Hills|~|Landscapes,,
ark:/21198/z1wm362p,ark:/21198/z16d7kmn,Work,Village of Laimah 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02216.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2217,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02216,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Herat|~|Qala-i-Naw|~|Village|~|Laimah|~|Lunch Stop|~|Oxen|~|Cliffs,,
ark:/21198/z1rz14pc,ark:/21198/z16d7kmn,Work,Village of Laimah 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02217.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2375,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02217,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Herat|~|Qala-i-Naw|~|Villages|~|Laimah|~|Lunch Stop|~|Man|~|Cliffs,,
ark:/21198/z1n60d2q,ark:/21198/z16d7kmn,Work,Qandahar Old Abdur Rahman Serai Just Before Arriving Qandahar from Kabul,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02375.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2376,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02375,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Qandahar|~|Kandahar|~|Abdur Rahman Serai|~|Electric Pylon|~|Landscapes,,
ark:/21198/z1hd9ndb,ark:/21198/z16d7kmn,Work,Kandahar Village At Foot Of Chihlzina,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02376.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2377,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02376,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Qandahar|~|Chihlzina|~|Kandahar|~|Villages|~|Fields|~|Mountains|~|Landscapes,,
ark:/21198/z1cn8wmq,ark:/21198/z16d7kmn,Work,Qandahar Village At Foot Of Chihlzina 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02377.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2378,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02377,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Chihlzina|~|Qandahar|~|Villages|~|Houses|~|Fields|~|Landscapes,,
ark:/21198/z17w84tg,ark:/21198/z16d7kmn,Work,Qandahar Village At Foot Of Chihlzina 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02378.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2379,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02378,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Chihlzina|~|Qandahar|~|Village|~|Houses|~|Fields,,
ark:/21198/z1447d3g,ark:/21198/z16d7kmn,Work,Qandahar Village At Foot Of Chihlzina 3,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02379.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2380,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02379,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Chihlzina|~|Qandahar|~|Panorama|~|Villages|~|Fields|~|Mountains|~|Landscapes,,
ark:/21198/z10c6nfn,ark:/21198/z16d7kmn,Work,Qandahar Village At Foot Of Chihlzina 4,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02380.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2381,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02380,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Chihlzina|~|Qandahar|~|Villages|~|Houses|~|Mountains|~|Fields|~|Panorama|~|Landscapes,,
ark:/21198/z1vq4v8b,ark:/21198/z16d7kmn,Work,Qandahar Village At Foot Of Chihlzina 5,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02381.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2382,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02381,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Chihlzina|~|Qandahar|~|Villages|~|Trees|~|Panorama|~|Mountains|~|Landscapes,,
ark:/21198/z1qz43mw,ark:/21198/z16d7kmn,Work,Qandahar Sheep in Road,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02382.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2383,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02382,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Qandahar|~|Kandahar|~|Sheep|~|Shepherd|~|Dirt Road|~|Mountains|~|Landscapes,,
ark:/21198/z1m63c07,ark:/21198/z16d7kmn,Work,Qandahar Baba Wali Unfinished Cafe,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02383.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2384,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02383,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Baba Wali|~|Qandahar|~|Cafe|~|Column|~|Mountains,,
ark:/21198/z1gf2m6m,ark:/21198/z16d7kmn,Work,Qandahar Baba Wali Tomb,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02384.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2385,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02384,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Baba Wali|~|Qandahar|~|Tomb|~|Tombstone|~|Shrines|~|Trees,,
ark:/21198/z1bp1vff,ark:/21198/z16d7kmn,Work,Qandahar Elephant Rock From Baba Wali,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02385.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2386,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02385,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Baba Wali|~|Qandahar|~|Elephant Rock|~|Landscapes,,
ark:/21198/z16x13pn,ark:/21198/z16d7kmn,Work,Qandahar Fil Koh Electric Station,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02386.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2387,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02386,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Baba Wali|~|Qandahar|~|Fil Koh|~|Elephant Rock|~|Electric Stations|~|Reservoir|~|Landscapes,,
ark:/21198/z1350c1j,ark:/21198/z16d7kmn,Work,Yak Karez Brick Kilns 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02387.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2388,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02387,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Yak Karez|~|Qandahar|~|Brick Kilns|~|Unpaved Roads|~|People|~|Landscapes,,
ark:/21198/z1zg8jv8,ark:/21198/z16d7kmn,Work,Brick Kilns,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02388.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2389,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02388,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Yak Karez|~|Brick Kilns,,
ark:/21198/z1tq7t79,ark:/21198/z16d7kmn,Work,On Way From Qandahar to Sher Surkh 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02389.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2390,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02389,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Sher Surkh|~|Grass Huts|~|Semi-Sedentary|~|Pushton Groups|~|Fields|~|Landscapes,,
ark:/21198/z1pz72hz,ark:/21198/z16d7kmn,Work,On Way From Qandahar to Sher Surkh 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02390.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2391,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02390,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Sher Surkh|~|Grass Huts|~|Semi-sedentary|~|Pushton Groups|~|Fields|~|Landscapes,,
ark:/21198/z1k669r3,ark:/21198/z16d7kmn,Work,Land of Insolence,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02391.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2392,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02391,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Sher Surkh|~|Land of Insolence|~|Donkeys|~|Grapes|~|Car|~|Men|~|Boy|~|Fields,,
ark:/21198/z1ff5jzg,ark:/21198/z16d7kmn,Work,On Way From Qandahar to Sher Surkh 3,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02392.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2393,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02392,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Sher Surkh|~|Grass Huts|~|Semi-sedentary|~|Fields|~|Landscapes,,
ark:/21198/z19p4t75,ark:/21198/z16d7kmn,Work,Grass Huts,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02393.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2394,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02393,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Sher Surkh|~|Grass Huts|~|Semi-sedentary|~|Fields|~|Landscapes,,
ark:/21198/z15x42kq,ark:/21198/z16d7kmn,Work,Jashn Preparations,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02394.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2395,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02394,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Jashn Preparations|~|Ceremony|~|Workers|~|Roads|~|Horses,,
ark:/21198/z128217k,ark:/21198/z16d7kmn,Work,Painting in Museum,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02395.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2396,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02395,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Painting|~|Museum,,
ark:/21198/z1xh1hv7,ark:/21198/z16d7kmn,Work,Bazaar Shot,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02396.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2397,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02396,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Bazaar|~|Spice Bazaar|~|Shops|~|Shopkeepers,,
ark:/21198/z1sr0s4x,ark:/21198/z16d7kmn,Work,Yak Karez Brick Kilns 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02397.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2398,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02397,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Yak Karez|~|Brick Kilns,,
ark:/21198/z1p001b0,ark:/21198/z16d7kmn,Work,Yak Karez Potter's Courtyard,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02398.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2399,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02398,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Yak Karez|~|Brick Kilns|~|Potter's Courtyard,,
ark:/21198/z1j698jt,ark:/21198/z16d7kmn,Work,Yak Karez Basket Makers,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02399.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2400,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02399,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Yak Karez|~|Basket Makers|~|Men,,
ark:/21198/z1df8ht3,ark:/21198/z16d7kmn,Work,Cranes At Six O'clock Sunset at AID Compound,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02400.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2401,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02400,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahaar|~|Qandahar|~|Cranes|~|Sunset|~|AID Compound|~|Mountains|~|Landscapes,,
ark:/21198/z18p7s64,ark:/21198/z16d7kmn,Work,Shamalan Old Settlers,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02401.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2402,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02401,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Helmand|~|Shamalan|~|Settlers|~|Streams|~|Fields|~|Landscapes,,
ark:/21198/z1515qvk,ark:/21198/z16d7kmn,Work,New Settler's House 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02402.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2403,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02402,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Helmand|~|Shamalan|~|Settler|~|House|~|Courtyard|~|Fields|~|Landscapes,,
ark:/21198/z118506j,ark:/21198/z16d7kmn,Work,New Settler's House 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02403.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2404,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02403,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Helmand|~|Shamalan|~|Settler's House|~|Fields,,
ark:/21198/z1wh4gqv,ark:/21198/z16d7kmn,Work,House and Compound,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02404.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2405,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02404,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Helmand|~|Shamalan|~|House|~|Compound|~|Fields,,
ark:/21198/z1rr3qws,ark:/21198/z16d7kmn,Work,Basket Maker,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02405.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2406,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02405,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Yak Karez|~|Basket Maker|~|Man,,
ark:/21198/z1n0304q,ark:/21198/z16d7kmn,Work,Camel With Grape Baskets,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02406.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2407,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02406,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Yak Karez|~|Camel|~|Grape Baskets,,
ark:/21198/z1h727d0,ark:/21198/z16d7kmn,Work,Yak Karez Brick Kilns 3,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02407.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2408,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02407,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Yak Karez|~|Brick Kilns,,
ark:/21198/z1cg1gr5,ark:/21198/z16d7kmn,Work,Yak Karez Potter's Clay,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02408.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2409,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02408,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Kandahar|~|Qandahar|~|Yak Karez|~|Potters|~|Potter's Clay,,
ark:/21198/z17s9fcq,ark:/21198/z16d7kmn,Work,Black Mountain Area,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02409.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2410,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02409,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Nimruz|~|Delaram|~|Black Mountains|~|Area|~|Deserts|~|Landscapes,,
ark:/21198/z1418prn,ark:/21198/z16d7kmn,Work,Koh-i-Duz Dig Area,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02410.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2411,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02410,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Nimruz|~|Delaram|~|Koh-i-Duz|~|mountain|~|Dig Area|~|Deserts|~|Landscapes,,
ark:/21198/z1087z0w,ark:/21198/z16d7kmn,Work,Delaram Hotel,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02411.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2963,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02411,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Nimruz|~|Delaram|~|Car|~|Hotel,,
ark:/21198/z1vh7fhk,ark:/21198/z16d7kmn,Work,Charikar Schoolteacher's Qala,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02963.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2964,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02963,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Parwan|~|Charikar|~|Schoolteacher's Qala|~|Lush Vineyards|~|Villages|~|Trees,,
ark:/21198/z1qr6pqz,ark:/21198/z16d7kmn,Work,Salang North Face Near Dushak,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02964.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,2965,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1968_02964,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1968|~|Afghanistan|~|Parwan|~|Salang|~|North Face|~|Valleys|~|Snows|~|Mountains|~|Landscapes,,
