Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Rights.servicesContact,Name.subject,Relation.isPartOf,Subject,Name.collector,Name.repository,Description.contents,Relation.box,Relation.subseries,Relation.file,Relation.series,Alt ID.local,Title,Date.creation,Description.note,Description.condition,Format.extent,Language,AltTitle.other,Description.abstract,Date.normalized,Opac url,Finding Aid URL
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpvt,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-038,"[Agreement], 1905 January 26",1905 January 26,"Agreement for dance performance on February 25 in Frankfurt. Signed by Elizabeth Duncan for Isadora Duncan, Berlin, 26 January 1905, and [illegible] and Sally Liebling, Berlin, 2 February 1905.","Folded, with 2 holes punchaed along center left edge, upper hole torn through to edge.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpwb,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-039,[Agreement] 1905 February 4,1905 February 4,"Agreement for dance performance by Isadora Duncan on February 27. Signed by Augustin Duncan for Isadora Duncan, Berlin, 4 February 1905, and a representative [illegible]for Residenz-Theaters, Wiesbaden, 6 February 1905.","Folded, with 2 holes punched aong left center edge. Slight tear along center fold at lower edge.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpxv,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-041,"[Agreement], 1905 February 18",1905 February 18,"Agreement for dance performance by Isadora Duncan on March 16. Signed by Augustin Duncan for Isadora Duncan, Berlin, 18 February 1905, and by Emil [illegible] and Sally Liebling, no date.","Folded, with 2 holes punched along left center edge, both torn through to edge. Tears along right edge at fold, and lower center edge at fold.","Print, 1 leaf (4 pages), folded, with holograph annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcpzc,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-043,"[Agreement], 1905 April 20",1905 April 20,"Agreement for dance performance by Isadora Duncan on 23 and 24 April. signed by Isadora Duncan, no date, and representative [illegible] for Karl Schulze Theaters, Berlin, 20 April 1905.","Folded, with 2 holes punched along center left edge.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq0c,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-044,"[Agreement], 1905 April 20",1905 April 20,"Agreement for dance performance by Isadora Duncan on 23 and 24 April. signed by Isadora Duncan, no date, and representative [illegible] for Karl Schulze Theaters, Berlin, 20 April 1905.|~|This is a duplicate contract.","Folded, with 2 holes punched along left center edges. Tears at left center edge fold and lower left edge.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq1w,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-045,"[Agreement], 1905 January 26",1905 September,"Agreement for dance performance by Isadora Duncan in April [1906]. Signed by Isadora Duncan, Berlin, September 1905.","Folded, with 2 holes punched along center left edges. Top hole torn through to edge.","Print, 1 leaf (4 pages), folded, with holograph annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq2d,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-046,"[Agreement], 1905 May 10",1905 May 10,"Agreement for dance performance by Isadora Duncan on 24 May 1905. Signed by Otto [illegible], Bonn, 10 May 1905 and Isadora Duncan, Berlin, 12 May 1905.","Folded, with 2 holes punched along center left edges, holes torn through to edges. Tears along center fold, right edges.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq3x,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-047,"[Agreement], 1905 May 5",1905 May 5,"Agreement for dance performance by Isadora Duncan on 26 May. Signed by Isadora Duncan, Berlin, 7 May 1905 and Ernst Harms, Freiburg, 5 May 1905.","Folded, with 2 holes punched along left center edges. Tears along left center fold and lower edge center fold.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq4f,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-048,"Kontrakt, 1905 June 21",1905 June 21,"Contract for dance performance by Isadora Duncan on June 26. Signed by Theodor Brandt, Stuttgart, 21 June 1905.","Folded, with 2 holes punched along left center edges. Tear along right edge center fold.","Print, 1 leaf (1 page), with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq5z,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-049,"Kontrakt, 1905 June 21",1905 June 21,"Contract for dance performance by Isadora Duncan, June 26. Signed by Theodor Brandt, Stuttgart, 21 June 1905.|~|Duplicate contract.","Folded, with 2 holes punched along left edge. Tear along right edge at center fold. Tear along lower right edge, with edge folded.","Print, 1 leaf (1 page), with manuscript notations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq6g,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-050,"Kontrakt, 1905 August 23",1905 August 23,"Contract for dance performance by Isadora Duncan on August 29. Signed by representative [illegible] for Tonhalle, Zürich, 23 August 1905.","Folded, with 2 holes punched along left center edge.","Typescript(carbon) , 1 leaf (2 pages), with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq70,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-052,"Agreement, 1905 September 23",1905 September 23,"Agreement for dance performance by Isadora Duncan on September 27. Signed by Otto Plöcker-Eckhardt, Frankfurt, 23 September 1905.","Folded, with 2 holes punched along left center edge. Tears and folds along upper edge. Folds, tears and paper loss along lower edge.","Typescript, 1 leaf (1 page), with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq8h,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-054,"[Agreement], 1905 September 19",1905 September 19,"Agreement for dance performance by Isadora Duncan under management of Direktion Vereinigter Künste on September 29 at Kaiser Saal, Halle. Signed by Sally Liebling, Berlin, 19 September 1905.|~|Note in orange crayon on page 2.","Folded, with 2 holes punched along left center edge. Tear along right edge at center fold.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcq91,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-056,"[Agreement], 1905 September 5",1905 September 5,"Agreement for dance performance by Isadora Duncan on November 24, Albert Halle, Leipzig. Signed by Sally Liebling, Berlin, 5 September 1905.","Folded, with 2 holes puchend along left center edges. Tear on left edge center fold on page 1. Tear on right edge center fold through middle of page 1.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqbj,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-057,"[Agreement], 1905 September 19",1905 September 19,"Agreement for dance performance by Isadora Duncan under management of Direktion Vereinigter Künste on November 28, 29 and 30. Signed by representative [illegible] for Central-Theatres, Dresden, 19 September 1905.","Folded, with 2 holes punched along left center edges. Tear on lower edge center fold.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqc2,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"3|~|Performance Contracts, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-058,"[Agreement], 1906 May 8",1906 May 8,"Agreement for dance performances by Isadora Duncan under the management of Direktion Vereinigter Künste on May 1, 2m, 4, 5 and 6. Signed by Albert [R____], Stockholm, 8 March 1906, and Edward Gordon Craig, Stockholm, 8 March 1906.","Folded, with 2 holes punched along left center edges.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqdk,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"3|~|Performance Contracts, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-059,"[Agreement], 1906 March 10",1906 March 11,"Agreement for dance performances by Isadora Duncan on March 27 and 29. Signed by Ernst Schrumpf and Wilhelm Braun, München-Berlin, 11 March 1906.","Folded, with 2 holes punched along left center edge. Tears along top left edge.","Typescript, 1 leaf (1 page), with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqf3,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"3|~|Performance Contracts, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-060,"[Agreement], 1906 March 17",1906 March 17,"Agreement for dance performance by Isadora Duncan under the management of Direktion Vereinigter Künste on March 22. Signed by Edward Gordon Craig for Direktion Vereinigter Künste, Berlin, 17 March 1906, and Julius Rudolph, Hannover, 18 March 1906.","Folded, with 2 holes punched along left center edges.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqgm,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"3|~|Performance Contracts, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-061,"[Agreement], 1906 March 2",1906 March 2,"Agreement for dance performance by Isadora Duncan under the management of Direktion Vereinigter Künste on March 10. Signed by Edward Gordon Craig for Direktion Vereinigter Künste, Berlin, 2 March 1906, and Julius Rudolph, Hannover, 2 March 1906.","Folded, with 2 holes punched along cente left edges.","Print, 1 leaf (4 pages), folded, with typescript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqh4,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"3|~|Performance Contracts, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-062,"[Agreement], 1906 Febrary 10",1906 February 10,"Agreement for dance performance of ""Iphigenie"" by Isadora Duncan under the management of Direktion Vereinigter Künste in Flensburg, no date. Signed by Sally Liebling and Emil [illegible], Berlin, 10 February 1906, and Edward Gordon Craig for Direktion Vereinigter Künste, Berlin, 10 February 1906.",,"Print, 1 leaf (4 pages), with typescript and manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqjn,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"3|~|Performance Contracts, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-063,"[Agreement], 1906 February 10",1906 February 10,"Agreement for dance performance of ""Tanz Idyllen"" by Isadora Duncan under the management of Direktion Vereinigter Künste, date not specified, in Kiel. Signed by Sally Liebling and Emil [illegible], Berlin, 10 February 1906, and Edward Gordon Craig for Direktion Vereinigter Künste, Berlin, 10 February 1906.","Folded, with 3 holes punched along left center edges. Tears and folds along lower edges.","Print, 1 leaf (4 pages), folded, with typescript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqk5,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"3|~|Performance Contracts, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-064,"[Agreement], 1906 February 9",1906 February 9,"Agreement for dance performance of ""Tanz Idyllen"" by Isadora Duncan under the management of Direktion Vereinigter Künste, February 26, in Lübeck. Signed by Sally Liebling and Emil [illegible], Berlin, 9 February 1906, and Edward Gordon Craig for Direktion Vereinigter Künste, Berlin, 9 February 1906.","Folded, with 2 holes punched along center left edges.","Print, 1 leaf (4 pages), folded, with typescript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqmp,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"3|~|Performance Contracts, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-065,"[Agreement], 1906 January 24",1906 January 24,"Agreement for dance performance of ""Tanz-Idyllen"" by Isadora Duncan under management of Direktion Vereinigter Künste on February 12, Bellevue Theater, Stettin. Signed by Sally Liebling, Berlin, 24 January 1906.","Folded, with 2 holes punched along left center edges.","Print, 1 leaf (4 pages), with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqn6,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"3|~|Performance Contracts, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-066,"[Agreement], 1906 January 24",1906 January 24,"Agreement for dance performance of ""Tanz-Idyllen"" by Isadora Duncan under management of Direktion Vereinigter Künste on February 9, Wilhelm-Theater, Görlitz. Signed by Sally Liebling, Berlin, 24 January 1906.","Folded, with 2 holes punched along left center edges. Paper loss at upper left corner, page 4.","Print, 1 leaf (4 pages), folded, with manuscript and typescript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqpq,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-067,"[Agreement], 1905 December 28",1905 December 28,"Agreement for dance performances by Isadora Duncan under management of Direktion Vereinigter Künste on January 23 and 30, February 1 and 6, 1906. Signed by [illegible], Berlin (?), 28 December 1905, and Edward Gordon Craig for Direktion Vereinigter Künste","Folded, with 3 holes punched along left center edges. Tear at center fold on lower edge.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqq7,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-068,"[Agreement], 1905 December 21",1905 December 21,"Agreement for dance performance by Isadora Duncan under management of Direktion Vereinigter Künste on January 20, Albert Halle, Leipzig. Signed by Sally Liebling and [illegible], Berlin, 21 December 1905.","Folded, with 4 holes punched along and through left center edges. Tears, folds and paper loss along lower edges.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqrr,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-069,"[Agreement], 1905 December 1",1905 December 21,"Agreement for dance performance by Isadora Duncan under management of Direktion Vereinigter Künste on January 20, Albert Halle, Leipzig. Dated Berlin, 21 December 1905, [not signed].","Folded, with 3 holes punched along center left edges.","Print, 1 leaf (4 pages), folded, with manuscript annotations.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcqs8,ark:/21198/zz0008c2pw,10,Completed with minimal metadata,Work,,0,,,,text,paged,,,,copyrighted,,,,,,,"2|~|Performance Contracts, 1905",1,1. Business Papers 1905-1907,,1. Isadora Duncan,001-070,"[Agreement], 1905 December 28",1905 December 28,"Agreement for dance performances by Isadora Duncan under management of Direktion Vereinigter Künste on January 13, 14, 17, 18 or 20, 1906 at Halle o/s Magdeburg, Leipzig. Signed by Edward Gordon Craig, Berlin, 28 December 1905, and [illegible] Sachs(?) and Sally Liebling, 28 December 1905.","Folded, with 2 holes punched along left center edges. Tear above lower hole on page 1.","Print, 1 leaf (4 pages), folded, with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcrxt,ark:/21198/zz002hcns9,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-001_01.tif,1,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-001_01,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcrzb,ark:/21198/zz002hcns9,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-001_02.tif,2,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-001_02,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcs0b,ark:/21198/zz002hcntt,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-002_01.tif,1,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-002_01,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcs1v,ark:/21198/zz002hcntt,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-002_02.tif,2,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-002_02,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcs2c,ark:/21198/zz002hcntt,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-002_03.tif,3,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-002_03,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcs3w,ark:/21198/zz002hcntt,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-002_04.tif,4,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-002_04,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcs4d,ark:/21198/zz002hcnvb,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-003_01.tif,1,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-003_01,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcs5x,ark:/21198/zz002hcnvb,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-003_02.tif,2,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-003_02,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcs6f,ark:/21198/zz002hcnvb,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-003_03.tif,3,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-003_03,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcs7z,ark:/21198/zz002hcnvb,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-003_04.tif,4,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-003_04,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcs8g,ark:/21198/zz002hcnc3,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-004_01.tif,1,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-004_01,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcs90,ark:/21198/zz002hcnc3,10,Completed with minimal metadata,Page,holtzman/image/uclamss_1729_001-004_02.tif,2,,,,,,,,,,,,,,,,,,,,,,uclamss_1729_001-004_02,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
