"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Subject","Type.genre","Rights.generalNote","Name.repository","Name.donor","Name.photographer","Rights.servicesContact","Date.creation","Alt ID.local","Format.dimensions","Description.note","Title","Format.technique","Date.normalized","Coverage.geographic","AltTitle.uniform","Alt ID.collection","Format.extent","Format.medium","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9d8m","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9d8m_2061526_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle|~|Education","black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Rosalio Munoz","George Rodriguez","","1968","CSRC_LALatinoFamiles_Munoz_002.tif","8 x 10","This photograph is of Rosalio Munoz. It was taken in Kerkhoff Hall at the undergraduate press office at UCLA. This photograph was taken by George Rodriguez for an L.A. Times article on Chicano student activism. It documents Rosalio's election as the first Chicano UCLA student body president.|~|The copyright holder for this photograph is the photographer - George Rodriguez.","First Chicano UCLA student body president","","1968","Los Angeles, CA","Munoz Family","Los Angeles Latino Families Photo Project","1 photograph","gelatin silver photograph","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9d8m","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9d8m/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dbn","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dbn_2061638_master.tif","","","","still image","copyrighted","Events|~|Lifestyle|~|Religion|~|Religious gatherings|~|Family gatherings|~|Youth","snapshots|~|black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Rosalio Munoz","","","December 1950","CSRC_LALatinoFamiles_Munoz_003.tif","8 x 10","Rosalio Munoz (4 years old) is the small boy wearing shorts in the front of the photograpsh, Mercedes Gutierrez (cousin) is directly behind him, Ricardo Munoz (brother) is the young boy puckering his cheeks, Felix Gutierrez (cousing) is the boy wearing the cowboy sweater in the front of the picture, and at the far right in the front of the photograph is Maria Rosalia Munoz (sister) with her eyes closed. The photograph was taken at a Christmas party for children attending Sunday school at Asbury United Methodist Church. This church was one of the early Methodist churches to integrate in 1950s Los Angeles.","Christmas at Asbury United Methodist Church","","1950-12","Lincoln Heights, CA.","Munoz Family","Los Angeles Latino Families Photo Project","1 photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dbn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dbn/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dc5","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dc5_2061853_master.tif","","","","still image","copyrighted","Lifestyle|~|Family gatherings","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Ricardo F. Munoz","","","June 1995","CSRC_LALatinoFamilies_Munoz (2)_001.tif","5 x 7","In the front row from left to right: Maria Teresa Munoz, Miguel Angel Munoz, and Ricardo F. Munoz. In the back row from left to right: Maria Estela Munoz and Ricardo E. Munoz.  The photograph was taken at the home of Ricardo's parents - Rosalio and Maria S. Munoz in Highland Park, CA. on Father's day.","The Munoz Family on Father's Day","","1955-06","Highland Park, CA.","Munoz Family","Los Angeles Latino Families Photo Project","1 photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dc5","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dc5/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9ddp","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9ddp_2062026_master.tif","","","","still image","copyrighted","Graduation ceremonies|~|Lifestyle","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Ricardo F. Munoz","","","June 1992","CSRC_LALatinoFamilies_Munoz (2)_002.tif","5 x 7","Left to Right: Maria Teresa Munoz, Brigida Sera Munoz, and  Ricardo F. Munoz.  The photograph was taken by Ricardo E. Munoz at Bridiga Munoz' high school graduation from the Los Angeles County High School of the Arts. The graduation was held at the Los Angeles Music Center.","Brigida Munoz' high school graduation","","1992-06","Los Angeles, CA","Munoz Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9ddp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9ddp/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9df6","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9df6_2062122_master.tif","","","","still image","copyrighted","Birthdays|~|Lifestyle|~|Family gatherings","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Ricardo F. Munoz","","","1998","CSRC_LALatinoFamilies_Munoz (2)_003.tif","5 x 7","Rosalio F. Munoz and Maria U. Munoz at the Villa Sombrero Restaurant in Highland Park, CA. The couple was celebrating Rebecca Munoz Gutierrez' 80th birthday.","Rebecca Munoz Gutierrez' 80th birthday","","1998","Highland Park, CA","Munoz Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9df6","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9df6/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dgq","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dgq_2062127_master.tif","","","","still image","copyrighted","Lifestyle|~|Religious gatherings|~|Family gatherings","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Laura Murillo","","","December 1985","CSRC_LALatinoFamilies_Murillo_001.tif","3 x 5","Left to Right: Laura Murillo, Abel Murillo, Sonia Murillo, and Cesar Murillo on Christmas Morning. Laura Murrilo notes the unusual birthday look to Christmas morning, "" My Father Juan Murillo was a baker and although he could not afford to buy the family gifts, he made sure to bake a cake for the family."" Juan Murillo was the one who photographed this moment with his children showcasing their Christmas Cake.","Christmas Cake","","1985-12","Boyle Heights, CA","Murillo Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dgq","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dgq/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dh7","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dh7_2062140_master.tif","","","","still image","copyrighted","Graduation ceremonies|~|Lifestyle|~|Youth","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Laura Murillo","","","June 1990","CSRC_LALatinoFamilies_Murillo_002.tif","4 x 6","Left to Right: Abel Murillo, Juan Ceasr Murillo, and Hector Murillo. This photograph was taken by their older sister, Hilda Murillo at El Mercadito in East Los Angeles, CA. The family was celebrating Hector's graduation from Roosevelt High School.He is the eldest of 7 children.","Celebrating Hector's graduation from Roosevelt High School","","1990-06","East Los Angeles, CA","Murillo Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dh7","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dh7/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9djr","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9djr_2062143_master.tif","","","","still image","copyrighted","Lifestyle|~|Family gatherings|~|Youth","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Laura Murillo","","","31 October 1987","CSRC_LALatinoFamilies_Murillo_003.tif","4 x 6","This photograph of Laura Murillo was taken by her sister Sonia Murillo. Laura is wearing a dress (princess costume) sewn by her mother and older sister who were both seamstress. The dress was made for Laura to wear for Halloween at her school. The photograph was taken in their family home at the  Wyrernwood Garden apartments in Boyle Heights, CA.","Princess for Halloween","","1987-10-31","Boyle Heights, CA","Murillo Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9djr","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9djr/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dk8","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dk8_2062146_master.tif","","","","still image","copyrighted","Graduation ceremonies|~|Lifestyle|~|Education","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Miguel Roura","","","June 1984","CSRC_LALatinoFamiles_Roura_001.tif","4 x 6","Left to Right: Juan Hernandez, Carmen Hernandez (Yolanda's Mom), Yolanda Roura, Cuauhtli Roura, Quiche Roura, Elias Hernandez, and Andrew Hernandez.This photograph was taken by Miguel Roura California State University Los Angeles during Yolanda's graduation. She recieved a master's degree in Education.This was the same year that the Olympics came to Los Angeles. Yolanda was the first in her family to receive not only a college degree, but a master's degree in Education.","Yolanda recieves a master's degree in Education","","1984-06","California State University Los Angeles in Los Angeles, CA","Roura Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dk8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dk8/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dms","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dms_2062207_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle","color photographs|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","","Miguel Roura","","","November 1991","CSRC_LALatinoFamiles_Roura_002.tif","5 x 7","Left to Right: Miguel Roura, Cuauhtli Roura, Yolanda Roura, Quetzal Roura, and Quiche Roura.This family portrait was taken at a professional studio at the Montebello mall. This was their first family portrait.","Roura family portrait","","1991-11","Montebello, CA","Roura Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dms","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dms/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dn9","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dn9_2062420_master.tif","","","","still image","copyrighted","Graduation ceremonies|~|Lifestyle|~|Youth|~|Education","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Miguel Roura","","","June 2002","CSRC_LALatinoFamiles_Roura_003.tif","5 x 7","Left to Right:Cauhtli Roura, Yolanda Roura, Miguel Roura, Quetzal Roura, Kimberly Roura, and Quiche Roura.  This family photograph was taken at in the quad area outisde of Royce Hall at UCLA. It was taken when Quetzal graduated from UCLA. She is a second generation graduate of UCLA. Her father Miguel is also a UCLA alumnus.","Quetzal Roura's graduation from UCLA","","2002-06","University of California Los Angeles in Los Angeles, CA","Roura Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dn9","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dn9/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dqb","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dqb_2062495_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle|~|Military service|~|War","black-and-white photograph|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","","","","circa 1943","CSRC_LALatinoFamiles_Valadez_001.tif","4 x 6","This is a photograph of Ramon V. Valadez. He was in the Army National Guard and served during WWII. This portrait was probably taken by a traveling photographer.","Ramon Valadez","sepia print","1943","Sanderson, TX","Valadez Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver photograph","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dqb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dqb/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9drv","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9drv_2062558_master.tif","","","","still image","copyrighted","Weddings|~|Lifestyle|~|Family gatherings","black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Concepcion M. Valadez","","","6 February 1954","CSRC_LALatinoFamiles_Valadez_002.tif","4 x 6","This is a photograph of Ramon Valdes Valadez and Maria Monreal Valadez on their 25th wedding anniversary. The Valadez family had moved from Texas to Soledad, California. By this point they were no longer living in the Soledad Labor Camp.","Ramon and Maria celebrate 25 years of marriage","","1954-02-06","Soledad, CA","Valadez Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver photograph","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9drv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9drv/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dsc","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dsc_2062963_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle|~|Religious gatherings","black-and-white photograph|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Concepcion M. Valadez","","","circa May 1928","CSRC_LALatinoFamiles_Valadez_003.tif","5 x 7","Left to Right:Salome Monreal Valadez (daughter), Petra Valadez de Monreal (mother), and Maria Monreal Valadez (daughter). This family portrait was taken on el dia de las madres (mother's day) in a photography studio located in Allende, Coahuila, Mexico.","Family portrait taken for el dia de las madres","sepia print","1928-05","Allende, Coahuila, Mexico","Valadez Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver photograph","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dsc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dsc/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dtw","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dtw_2062966_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle","color photographs|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Daniel Vargas","","","early 1970s","","5 x 7","Rodrigo and Delicia Vargas. This portrait was taken in a professional photography studio in Santa Monica, CA.","Rodrigo and Delicia","","1970/1975","Santa Monica, CA","Vargas Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dtw","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dtw/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dvd","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dvd_2062969_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle|~|Youth","color photographs|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Daniel Vargas","","","January, 1970","CSRC_LALatinoFamiles_Vargas_002.tif","","Left to Right:Rodrigo Vargas Jr., Daniel Vargas, and Jaime David Vargas.This portrait was taken at Hy Weiss Studio in Santa Monica, CA.","Family portrait of the Vargas boys","","1970-01","Santa Monica, CA","Vargas Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dvd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dvd/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9dwx","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9dwx_2062972_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle|~|Youth","color photographs|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Daniel Vargas","","","mid 1970s","CSRC_LALatinoFamiles_Vargas_003.tif","","Left to Right:Jaime David Vargas, Daniel Vargas, and Rodrigo Vargas Jr. This portrait was taken in a professional photography studio in Santa Monica, CA.","Family portrait of the Vargas boys","","1974/1977","Santa Monica, CA","Vargas Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9dwx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9dwx/manifest"
