Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Item Sequence,Duplicate,Delete in Title,Thumbnail,Relation.isPartOf,Relation.box,Date.creation,Alt ID.local,Description.caption,Format.medium,Relation.folder,Title,Format.dimensions,AltTitle.uniform,Description.note,Description.abstract,Finding Aid URL,Opac url,IIIF Manifest URL
Takamura (Kango) paintings,ark:/21198/zz002k6g2m,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6g2m%2F0h775z9f,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,1942 Jun,uclalsc_433_b01_f18,"""First impression of Manzanar. June 1942."" Unsigned w/ Japanese characters",Watercolor and ink on paper,18,"First impression of Manzanar, 1942 June.",21.5 x 29 cm,,2 shots: watercolor and original mount M-2|~|Caption on original mount: Japanese character|~|written on back: slide available,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6g2m/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6g4n,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6g4n%2F9f11np9v,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f16,"No caption. Japanese characters. Signed ""K. Takamura""",Watercolor and pencil on paper,16,"Singing in the mess hall, n.d.",21 x 30.5 cm,,caption on original mount: Japanese characters|~|2 shots: watercolor and original mount SF-16,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6g4n/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6g55,ark:/21198/zz002k526f,10,Completed with minimal metadata,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6g55%2F09701n8b,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1943 Jul 3,uclalsc_433_b02_f37,"""Approximately 200 students graduated at second Manzanar High School commencement. July-3-1943."" Signed ""K. Takamura""",Watercolor and ink on paper,37,"Approximately 200 students graduated, 1943 July 3.",22 x 30.5 cm,,caption on original mount: Japanese characters|~|2 shots: watercolor and original mount M-14|~|written on back: neg available,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6g55/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6g6p,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6g6p%2Fkq84870r,,2,1942 Jun 11,uclalsc_433_b02_f10,"""Mr. Arai, Mr. Funahashi."" Unsigned",,,"A Canteen for the convenience of Santa Fe's Internees, 1942 June 11",19.5 x 29 cm,,"2 shots: watercolor and original mount SF-10|~|Notes and Japanese characters written on back|~|caption on original mount: ""A Canteen for the convenience of Santa Fe's Internees"" and Japanese characters",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6g6p/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6g76,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6g76%2Frk70g88g,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f32,"""'Gee, that angleworm's my name.' said Haruo, slouched over the class room steps as Mr. Lamphere showed his shorthand pupils how to write their name in the Gregg manner."" Signed ""K. Takamura"".",Watercolor and ink on paper,32,"Gee, that Angleworm's my name, n.d.",22.5 x 29.5 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6g76/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6g8q,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6g8q%2Ftb08z30b,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Jun 8,uclalsc_433_b02_f05,"""Mr. Murayama, Mr. Hoshimiya. Enjoying the recording music. 6-8-1942.""  Unsigned.",Watercolor and ink on paper.,5,"Enjoying the recording music, 1942 June 8.",20.5 x 29 cm,,2 shots: watercolor and original mount SF-5|~|caption on original mount: Japanese characters,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6g8q/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6g97,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6g97%2F7820d963,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f38,No caption. Signed w/ Japanese characters,Watercolor and ink on paper,38,"More Mochi at Manzanar, n.d.",18.5 x 27 cm,,"caption on original mount: ""More Mochi at Manzanar""|~|2 shots: watercolor and original mount M-17",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6g97/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6gbr,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gbr%2F6x326d8m,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Oct 8,uclalsc_433_b02_f26,"""I visited Dr. Carter today because school has opened and I am to make drawings of class scenes. It seemed a hundred people were rushing in and out of her office. All over her desk; the telephone rang all the time, Oct. 8-1942."" Unsigned",Watercolor and ink on paper,26,"I visited Dr. Carter today, 1942 October 8.",21.5 x 29.5 cm,,On back: Hanko stamp.|~|2 shots: watercolor and original mount M-3|~|caption on original mount: Japanese characters,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6gbr/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6gc8,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gc8%2Fqr21qb1z,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f17,"""Mr. Higashikuze. Our umpire Mr. Higashikuze knew the rules but the players di[d]n[']t it. However we all had a good time."" Signed ""K. Takamura""","Watercolor, ink and pencil on paper",17,"Our umpire, Mr. Higashikuze, n.d.",20.5 x 29 cm,,"caption on original mount: ""Our umpire Mr. Higashikuze knew the rules but the players, didn't. However, we all had a good time."" [And Japanese characters]|~|2 shots: watercolor and original mount SF-17",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6gc8/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6gds,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gds%2F8b28fg3m,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f40,"No caption. Signed w/ [Japanese characters] and ""KT""","Watercolor, pencil, and ink on paper",40,"Pounding the Mochi, n.d.",21.5 x 28 cm,,"caption on original mount: ""Pounding the 'Mochi'.""|~|2 shots: watercolor and original mount M-19",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6gds/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6gf9,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gf9%2Ftp97hr33,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Jun 10,uclalsc_433_b02_f11,"""Mr. Kamimura, Mr. Kamei, Mr. Kishi. 6-10-1942."" Unsigned w/ [Japanese characters]","Watercolor, ink and pencil on paper",11,"Sewing room, 1942 June 10",21.5 x 29.5 cm,,"caption on original mount: ""Sewing room""|~|Notes and Japanese characters written on back. Hanko stamp.|~|2 shots: watercolor and original mount SF-11",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6gf9/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6ggt,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6ggt%2Fth85r410,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Jun 15,uclalsc_433_b02_f22,"""We stopped briefly at a small town - Needles, they said. To our pleasant surprise, Japanese workers brought us boxes of food. 6-15-1942."" Unsigned","Watercolor, ink an dpencil on paper",22,"We stopped briefly at a small town, 1942 June 15",20.5 x 28.5 cm,,caption on original mount: Japanese characters|~|2 shots: watercolor and original mount SF-26,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6ggt/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6ghb,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6ghb%2F3v93vh4c,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,n.d.,uclalsc_433_b02_f06,No caption. Unsigned w/ Japanese characters,Watercolor and ink on paper,6,"Dawn in the winter, n.d.",20.5 x 28.5 cm,,"2 shots: watercolor and original mount SF-6|~|caption on original mount: ""Dawn in the Winter."" and Japanese characters",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6ghb/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6gjv,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gjv%2Fxh21pz2p,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Oct 26,uclalsc_433_b02_f50,"""The residents transformed dusty semi-arid land into green truck forms, growing vegetable crops of all kinds. I sketched this scene of workers harvesting large, ripe, sweet watermelons. Oct. 26-1942."" Unsigned",Watercolor and ink on paper,50,"The residents transformed dusty semi-arid land, 1942 October 26.",20 x 29 cm,,2 shots: watercolor and original mount M-31,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6gjv/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6gkc,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gkc%2F0x92bv3z,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Jun 10,uclalsc_433_b02_f13,"""6-10-42"". No caption. Unsigned",Watercolor and pencil on paper,13,"We made wooden clogs, 1942 June 10",21 x 30 cm,,"2 shots: watercolor and original mount SF-13|~|caption on original mount: ""We made wooden clogs to send to our families at other centers."" and [Japanese characters]",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6gkc/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6gmw,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gmw%2Fgr76bb1g,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f33,"""The boys in the woodcarving class of Mr. Bouche were being praised for their good work that day. The teacher was kept very busy showing his pupils how to hold the chisel."" Signed ""K. Takamura, Manzanar, Calif.""",Watercolor and ink on paper,33,"The boys in the woodcarving class, n.d.",21.5 x 29 cm,,2 shots: watercolor and original mount M-10|~|caption on original mount: Japanese characters,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6gmw/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6gnd,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gnd%2F8v195j52,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942,uclalsc_433_b02_f18,"""This was the Santa Fe barrack No. 5 where I stayed."" Signed ""K. Takamura, 1942""",Watercolor and ink on paper,18,"This was the Santa Fe barrack no. 5, 1942.",21 x 21.5 cm,,"caption on original mount: ""Our guard in the watchtower became a spring baseball fan at Santa Fe."" and Japanese characters|~|2 shots: watercolor and original mount SF-18",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6gnd/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6gpx,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gpx%2F9g73r52d,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Oct 26,uclalsc_433_b02_f51,"""Manzanar Farm. Oct-26-1942."" Signed ""K. Takamura.""",Watercolor and ink on paper,51,"Manzanar farm, 1942 October 26.",17 x 28.5 cm,,2 shots: watercolor and original mount M-32|~|caption on original mount: [Japanese characters],,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6gpx/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6gqf,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gqf%2Fxh24pv9d,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Jun 8,uclalsc_433_b02_f12,"""June 8, 42"" No caption. Unsigned",watercolor and pencil on paper,12,"Barber shop, 1942 June 8.",21 x 28.5 cm,,"caption on original mount: ""Barber Shop. All Equipment Built by Santa Fe Internees. June 8-42"" and Japanese characters|~|2 shots: watercolor and original mount SF-12",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6gqf/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6grz,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6grz%2F6w51j377,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f21,No caption. Unsigned,"Watercolor, ink and pencil on paper",21,"Strange cloud, n.d.",36 x 25.5 cm,,on back: Hanko stamp.|~|w/ copy print (identical dimensions)|~|2 shots: watercolor and original mount SF-21,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6grz/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6gsg,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6gsg%2Fnz41g855,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f07,"""Santa Fe internment camp."" Signed ""K. Takamura""",Watercolor and ink on paper,7,"Santa Fe internment camp, n.d.",20 x 29.5 cm,,caption on original mount: Japanese characters|~|2 shots: watercolor and original mount SF-7,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6gsg/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6h23,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6h23%2Fxq93012c,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1945 Oct 30,uclalsc_433_b02_f55,"No caption. ""Oct, 20-1945."" Signed ""K. Takamura.""",Watercolor on paper,55,"After the rain an abandoned baby cart, 1945 October 30.",22.5 x 35 cm,,"2 shots: watercolor and original mount M-44|~|caption on original mount: ""After the Rain -an abandoned baby cart."" and [Japanese characters]",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6h23/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6h44,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6h44%2F5x711729,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",3,,uclalsc_433_b03_f02,No caption. Hanko stamp. Unsigned w/ Japanese characters,"Watercolor and ink on paper, matted",2,"Untitled winter landscape, n.d.",38.5 x 51 cm,,"Untitled winter landscape|~|written on back: item name, neg available, and M-7",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6h44/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6h5n,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6h5n%2Fjq40577m,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f41,"""Mochi-Tsuki"" Signed ""K. T."" w/ [Japanese characters]","Watercolor, pencil, and ink on paper",41,"Mochi-Tsuki, n.d.",20.5 x 28 cm,,"2 shots: watercolor and original mount M-20|~|Caption on original mount: ""New Year's 'Mochi' on Block 35. We especially appreciated this custom in camp during wartime.""",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6h5n/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6h65,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6h65%2Fwg394v33,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f53,"""Guayule shrub and leaf types. Some of the leaf types can be used to distinguish one strain from another."" Unsigned",Watercolor and ink on paper,53,"Guayule shrub and leaf types, n.d.",20 x 25 cm,,2 shots: watercolor and original mount M-34|~|caption on original mount: [Japanese characters],,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6h65/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6h7p,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6h7p%2Fqv034f8v,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f42,"""Mochi-Tsuki. Making rice cakes. New Year custom."" Signed ""K. Takamura""","Watercolor, pencil, and ink on paper",42,"Mochi-Tsuki, Making rice cakes, n.d.",19.5 x 25.5 cm,,2 shots: watercolor and original mount M-22,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6h7p/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6h86,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6h86%2Fz0406158,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Oct 12,uclalsc_433_b02_f43,"""Clothing allowance, Oct.12.42"" Unsigned w/ [Japanese characters]",Watercolor and ink on paper,43,"Clothing allowance, 1942 October 12.",19 x 28.5 cm,,2 shots: watercolor and back M-23,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6h86/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6hb7,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6hb7%2F3g15b713,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f54,"""A biologist hyb[r]idizes Guayule trying to produce plants superior in quality than those existing now."" Signed ""K. Takamura.""",Watercolor and ink on paper,54,"A biologist hybridizes, n.d.",24 x 35 cm,,2 shots: watercolor and original mount M-42|~|caption on original mount: [Japanese characters],,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6hb7/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6hd8,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6hd8%2Fzt65n32s,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Oct 26,uclalsc_433_b02_f52,"""Farm workers harvest a corp [crop] of Manzanar grown okra."" Unsigned",Watercolor and ink on paper,52,"Farm workers, 1942 October 26.",22 x 28.5 cm,,2 shots: watercolor and original mount M-33,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6hd8/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6hfs,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6hfs%2Fpn48bm1m,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Feb 24,uclalsc_433_b02_f44,"""Bainbridge people bidding farewell as they leave for Minnedoka relocation camp. 2-24-42."" Unisgned",Watercolor and ink on paper,44,"Bainbridge people, 1942 February 24",21.5 x 30 cm,,caption on original mount: [Japanese characters]|~|2 shots: watercolor and original mount M-24,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6hfs/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6hkv,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6hkv%2Fvd88xn6f,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1944 May 24,uclalsc_433_b02_f56,"""The Manzanar auditorium and community hall nears completion. May 24, 1944-"" Unsigned","Watercolor, ink, and pencil on paper.",56,"The Manzanar auditorium, 1944 May 24.",16 x 29.5 cm,,2 shots: watercolor and original mount M-45,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6hkv/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6hmc,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6hmc%2Fq638vn2r,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Nov 1,uclalsc_433_b02_f45,"""Residents installed plaster boards inside barracks. This was the room of Mr. & Mrs. Kurahashi. Nov. 1st 1942."" Signed ""K. Takamura""","Watercolor, ink, and pencil on paper",45,"Residents installed plaster boards, 1942 November 1.",19.5 x 29 cm,,"caption on original mount: ""Residents installed plaster boards inside barracks. This was the room of Mr. and Mrs. Kurahashi."" and [Japanese characters]|~|Full sketch on back. Hanko stamp.|~|2 shots: watercolor and original mount M-25",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6hmc/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6hsz,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6hsz%2Fkt83bs77,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,"Watercolor, ink, and pencil on paper|~|1943 Jan 1",uclalsc_433_b02_f46,"No caption. ""Jan-1st 1943."" Signed ""K. Takamura.""",,46,"At leisure on New Year's afternoon, 1943 January 1.",22 x 34.5 cm,,"2 shots: watercolor and original mount M-27|~|written on back: slide available|~|caption on original mount: [Japanese characters] and ""At leisure on New Year's afternoon on Block 35.""",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6hsz/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6hv0,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6hv0%2F0k71pd76,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",3,,uclalsc_433_b03_f03,Hanko stamp. No caption. Unsigned w/ Japanese characters,Watercolor and ink on paper,3,"Three men cleaning camp with large tree in foreground [supplied title], n.d.",37.5 x 51 cm,,"Original mount. ""Keeping the camp clean and tidy"" w/ Japanese Characters.",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6hv0/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6hx1,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6hx1%2Fxz65t24h,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",3,No date,uclalsc_433_b03_f01,"""Mr. Okasaki, Mr. Sugiyama, Mr. Tsuyuki, Mr. Hagio, Mr. Yamamoto, Mr. Tanaka, Mr. Hatori, Mr. Yamada, Mr. Musashi, Mr. Takamura."" Unsigned.","Watercolor and ink on paper, matted. Source of title noted in pencil verso",1,"Our roommates in barracks no. five, n.d.",38.9 x 57.5 cm,,"Our roommates in barracks no. five|~|caption on original title mount: ""Our Roommates in Barracks No 5. Santa Fe Inter[n]ment""",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6hx1/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6hzj,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6hzj%2Fmg35wk0w,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1943 Feb 18,uclalsc_433_b02_f47,"""She is knitting. He is carving wood. They enjoy their hobbies. Feb-18-1943."" Signed ""K. Takamura""","Watercolor, ink, and pencil on paper.",47,She is knitting. He is carving. 1943 February 18.,19 x 27 cm,,"2 shots: watercolor and original mount M-28|~|caption on original mount: [Japanese characters] and ""Manzarnar [Manzanar]"" and ""She is knitting, he is carving wood. They enjoy their hobbies.""",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6hzj/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6j4m,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6j4m%2Fnf21391k,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1944 Jan 6,uclalsc_433_b02_f48,"written on back: slide availableHanko stamp.|~|""Snow in January 1944, block 35 at Manzanar. 1-6-1944."" Signed ""K. Takamura""",Watercolor and ink on paper,48,"Snow in January 1944, 1944 January 6.",21.5 x 30.5 cm,,2 shots: watercolor and original mount M-29,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6j4m/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6j96,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6j96%2Fkv00nv4c,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1944 Feb 22,uclalsc_433_b02_f49,"""Feb-22-1944."" No caption. Unsigned.",Watercolor and ink on paper,49,"Oil for the barracks, 1944 February 22.",22 x 33 cm,,"2 shots: watercolor and original mount M-30|~|on back: Hanko stamp|~|caption on original mount: [Japanese chacters] and ""Oil for the barracks in blizzard and snow at Manzanar.""",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6j96/manifest
