"Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Name.repository","Name.illuminator","Language","Author","Title","AltTitle.other","Description.note","Date.creation","Summary","Date.normalized","Description.adminnote","Description.contents","Condition note","Illustrations note","Description.colophon","Description.history","Binding note","Format.extent","Alt ID.local","Format.dimensions","Relation.isPartOf","AltTitle.uniform","Place of origin","Bucketeer State","IIIF Access URL"
"Armenian Manuscripts","ark:/21198/zz0009h68t","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h68t-1-master.tif","140","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 134]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h68t"
"Armenian Manuscripts","ark:/21198/zz0009h69b","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h69b-1-master.tif","141","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 135]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h69b"
"Armenian Manuscripts","ark:/21198/zz0009h6bv","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6bv-1-master.tif","142","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 136]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6bv"
"Armenian Manuscripts","ark:/21198/zz0009h6cc","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6cc-1-master.tif","143","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 137]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6cc"
"Armenian Manuscripts","ark:/21198/zz0009h6dw","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6dw-1-master.tif","144","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 138]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6dw"
"Armenian Manuscripts","ark:/21198/zz0009h6fd","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6fd-1-master.tif","145","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 139]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6fd"
"Armenian Manuscripts","ark:/21198/zz0009h6gx","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6gx-1-master.tif","146","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 140]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6gx"
"Armenian Manuscripts","ark:/21198/zz0009h6hf","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6hf-1-master.tif","147","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 141]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6hf"
"Armenian Manuscripts","ark:/21198/zz0009h6jz","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6jz-1-master.tif","148","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 142]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6jz"
"Armenian Manuscripts","ark:/21198/zz0009h6kg","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6kg-1-master.tif","149","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 143]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6kg"
"Armenian Manuscripts","ark:/21198/zz0009h6m0","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6m0-1-master.tif","150","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 144]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6m0"
"Armenian Manuscripts","ark:/21198/zz0009h6nh","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6nh-1-master.tif","151","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 145]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6nh"
"Armenian Manuscripts","ark:/21198/zz0009h6p1","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6p1-1-master.tif","152","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 146]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6p1"
"Armenian Manuscripts","ark:/21198/zz0009h6qj","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6qj-1-master.tif","153","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 147]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6qj"
"Armenian Manuscripts","ark:/21198/zz0009h6r2","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6r2-1-master.tif","154","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 148]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6r2"
"Armenian Manuscripts","ark:/21198/zz0009h6sk","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6sk-1-master.tif","155","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 149]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6sk"
"Armenian Manuscripts","ark:/21198/zz0009h6t3","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6t3-1-master.tif","156","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 150]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6t3"
"Armenian Manuscripts","ark:/21198/zz0009h6vm","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6vm-1-master.tif","157","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 151]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6vm"
"Armenian Manuscripts","ark:/21198/zz0009h6w4","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6w4-1-master.tif","158","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 152]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6w4"
"Armenian Manuscripts","ark:/21198/zz0009h6xn","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6xn-1-master.tif","159","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 153]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6xn"
"Armenian Manuscripts","ark:/21198/zz0009h6z5","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h6z5-1-master.tif","160","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 154]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h6z5"
"Armenian Manuscripts","ark:/21198/zz0009h705","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h705-1-master.tif","161","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 155]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h705"
"Armenian Manuscripts","ark:/21198/zz0009h71p","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h71p-1-master.tif","162","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","arm","","[Gladzor Gospels: page 156]","Gospel of Matthew.|~|The Last Supper.","Under the image is the memorial inscription, ""Žamarar Ōhanēs, son of the priest Yakob, in the year 104"" (i.e., 1719-20). (Sanjian, p. 51)","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h71p"
"Armenian Manuscripts","ark:/21198/zz0009h726","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h726-1-master.tif","163","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 157]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h726"
"Armenian Manuscripts","ark:/21198/zz0009h73q","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h73q-1-master.tif","164","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 158]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h73q"
"Armenian Manuscripts","ark:/21198/zz0009h747","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h747-1-master.tif","165","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 159]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h747"
"Armenian Manuscripts","ark:/21198/zz0009h75r","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h75r-1-master.tif","166","text","illuminated manuscripts|~|Illuminations","pd","","","Fourth Painter","","","[Gladzor Gospels: page 160]","Gospel of Matthew.|~|The Agony in the Garden.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h75r"
"Armenian Manuscripts","ark:/21198/zz0009h768","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h768-1-master.tif","167","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 161]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h768"
"Armenian Manuscripts","ark:/21198/zz0009h77s","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h77s-1-master.tif","168","text","illuminated manuscripts|~|Illuminations","pd","","","T'oros of Taron  (Gladzor Gospels)|~|Fourth Painter","","","[Gladzor Gospels: page 162]","The Betrayal.|~|Gospel of Matthew.","This illumination is attributed to both the Fourth Painter and T'oros of Taron.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h77s"
"Armenian Manuscripts","ark:/21198/zz0009h789","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h789-1-master.tif","169","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 163]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h789"
"Armenian Manuscripts","ark:/21198/zz0009h79t","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h79t-1-master.tif","170","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 164]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h79t"
"Armenian Manuscripts","ark:/21198/zz0009h7bb","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7bb-1-master.tif","171","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 165]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7bb"
"Armenian Manuscripts","ark:/21198/zz0009h7cv","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7cv-1-master.tif","172","text","illuminated manuscripts|~|Illuminations","pd","","","T'oros of Taron  (Gladzor Gospels)|~|Fourth Painter","","","[Gladzor Gospels: page 166]","Gospel of Matthew.|~|Peter's Denial.","This illumination is attributed to both the Fourth Painter and T'oros of Taron.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7cv"
"Armenian Manuscripts","ark:/21198/zz0009h7dc","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7dc-1-master.tif","173","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 167]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7dc"
"Armenian Manuscripts","ark:/21198/zz0009h7fw","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7fw-1-master.tif","174","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 168]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7fw"
"Armenian Manuscripts","ark:/21198/zz0009h7gd","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7gd-1-master.tif","175","text","illuminated manuscripts|~|Illuminations","pd","","","T'oros of Taron  (Gladzor Gospels)|~|Fourth Painter","arm","","[Gladzor Gospels: page 169]","Gospel of Matthew.|~|The Message from Pilate's Wife.","This illumination is attributed to both the Fourth Painter and T'oros of Taron.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7gd"
"Armenian Manuscripts","ark:/21198/zz0009h7hx","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7hx-1-master.tif","176","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 170]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7hx"
"Armenian Manuscripts","ark:/21198/zz0009h7jf","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7jf-1-master.tif","177","text","illuminated manuscripts|~|Illuminations","pd","","","T'oros of Taron  (Gladzor Gospels)|~|Fourth Painter","","","[Gladzor Gospels: page 171]","Pilate Washes His Hands.|~|Gospel of Matthew.","This illumination is attributed to both the Fourth Painter and T'oros of Taron.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7jf"
"Armenian Manuscripts","ark:/21198/zz0009h7kz","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7kz-1-master.tif","178","text","illuminated manuscripts|~|Illuminations","pd","","","T'oros of Taron  (Gladzor Gospels)|~|Fourth Painter","arm","","[Gladzor Gospels: page 172]","Gospel of Matthew.|~|The Mocking of Christ.","This illumination is attributed to both the Fourth Painter and T'oros of Taron.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7kz"
"Armenian Manuscripts","ark:/21198/zz0009h7mg","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7mg-1-master.tif","179","text","illuminated manuscripts|~|Illuminations","pd","","","T'oros of Taron  (Gladzor Gospels)|~|Fourth Painter","arm","","[Gladzor Gospels: page 173]","The Way of the Cross.|~|Gospel of Matthew.","This illumination is attributed to both the Fourth Painter and T'oros of Taron.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7mg"
"Armenian Manuscripts","ark:/21198/zz0009h7n0","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7n0-1-master.tif","180","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 174]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7n0"
"Armenian Manuscripts","ark:/21198/zz0009h7ph","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7ph-1-master.tif","181","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 175]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7ph"
"Armenian Manuscripts","ark:/21198/zz0009h7q1","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7q1-1-master.tif","182","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 176]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7q1"
"Armenian Manuscripts","ark:/21198/zz0009h7rj","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7rj-1-master.tif","183","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 177]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7rj"
"Armenian Manuscripts","ark:/21198/zz0009h7s2","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7s2-1-master.tif","184","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 178]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7s2"
"Armenian Manuscripts","ark:/21198/zz0009h7tk","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7tk-1-master.tif","185","text","Illuminations","pd","","","T'oros of Taron  (Gladzor Gospels)|~|Fourth Painter","","","[Gladzor Gospels: page 179]","Gospel of Matthew.|~|The Women at the Tomb.","This illumination is attributed to both the Fourth Painter and T'oros of Taron.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7tk"
"Armenian Manuscripts","ark:/21198/zz0009h7v3","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7v3-1-master.tif","186","text","","pd","","","","","","[Gladzor Gospels: page 180]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7v3"
"Armenian Manuscripts","ark:/21198/zz0009h7wm","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7wm-1-master.tif","187","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 181]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7wm"
"Armenian Manuscripts","ark:/21198/zz0009h7x4","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7x4-1-master.tif","188","text","","pd","","","","arm","","[Gladzor Gospels: page 182]","Inscription of the owner, Baroness Vaxax.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7x4"
"Armenian Manuscripts","ark:/21198/zz0009h7zn","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h7zn-1-master.tif","189","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 183]","Index to the Gospel of Mark, with concordances.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h7zn"
"Armenian Manuscripts","ark:/21198/zz0009h80n","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h80n-1-master.tif","190","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 184]","Index to the Gospel of Mark, with concordances.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h80n"
"Armenian Manuscripts","ark:/21198/zz0009h815","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h815-1-master.tif","191","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 185]","Index to the Gospel of Mark, with concordances.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h815"
"Armenian Manuscripts","ark:/21198/zz0009h82p","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h82p-1-master.tif","192","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 186]","Preface to the Gospel of Mark.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h82p"
"Armenian Manuscripts","ark:/21198/zz0009h836","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h836-1-master.tif","193","text","","pd","","","","","","[Gladzor Gospels: page 187]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h836"
"Armenian Manuscripts","ark:/21198/zz0009h84q","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h84q-1-master.tif","194","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","","","[Gladzor Gospels: page 188]","Portrait of the Evangelist Mark.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h84q"
"Armenian Manuscripts","ark:/21198/zz0009h857","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h857-1-master.tif","195","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","arm","","[Gladzor Gospels: page 189]","Incipit to the Gospel of Mark.","The initial of the opening line is formed by two lions holding a book.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h857"
"Armenian Manuscripts","ark:/21198/zz0009h86r","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h86r-1-master.tif","196","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 190]","Gospel of Mark.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h86r"
"Armenian Manuscripts","ark:/21198/zz0009h878","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h878-1-master.tif","197","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 191]","Gospel of Mark.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h878"
"Armenian Manuscripts","ark:/21198/zz0009h88s","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h88s-1-master.tif","198","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 192]","Gospel of Mark.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h88s"
"Armenian Manuscripts","ark:/21198/zz0009h899","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h899-1-master.tif","199","text","illuminated manuscripts|~|Illuminations","pd","","","Fourth Painter","arm","","[Gladzor Gospels: page 193]","Gospel of Mark.|~|The Call of Peter and Andrew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h899"
"Armenian Manuscripts","ark:/21198/zz0009h8bt","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h8bt-1-master.tif","200","text","illuminated manuscripts|~|Illuminations","pd","","","Fourth Painter","arm","","[Gladzor Gospels: page 194]","Gospel of Mark.|~|The Call of James and John.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h8bt"
"Armenian Manuscripts","ark:/21198/zz0009h8cb","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h8cb-1-master.tif","201","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 195]","Gospel of Mark.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h8cb"
"Armenian Manuscripts","ark:/21198/zz0009h8dv","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h8dv-1-master.tif","202","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 196]","Gospel of Mark.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h8dv"
"Armenian Manuscripts","ark:/21198/zz0009h8fc","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h8fc-1-master.tif","203","text","illuminated manuscripts|~|Illuminations","pd","","","Fourth Painter","arm","","[Gladzor Gospels: page 197]","Gospel of Mark.|~|The Cure of the Leper.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h8fc"
"Armenian Manuscripts","ark:/21198/zz0009h8gw","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h8gw-1-master.tif","204","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 198]","Gospel of Mark.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h8gw"
"Armenian Manuscripts","ark:/21198/zz0009h8hd","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h8hd-1-master.tif","205","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 199]","Gospel of Mark.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h8hd"
"Armenian Manuscripts","ark:/21198/zz0009h8jx","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h8jx-1-master.tif","206","text","illuminated manuscripts","pd","","","","arm","","[Gladzor Gospels: page 200]","Gospel of Mark.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h8jx"
