Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject.conceptTopic,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Date.publication,Description.note,Alt ID.OPAC,Publisher.placeOfOrigin,Coverage.geographic,Title,Format.extent,Coverage.geoscale,AltTitle,Publisher.publisherName,Alt ID.oclc,Alt ID.callNo,Alt ID.local,Coverage.geographiccoordinates,Date.creation,Date.normalized,Alt ID.lccn,Alt ID.catalogRecordNumber,Description.abstract,Publisher.edition,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfk08,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfk08_2007897_master.tif,213,,,cartographic,map,copyrighted,,,"Gorczynski, WÅ‚adyslaw. b. 1879.",eng,California--Climate--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1941?],"Includes 2 insets.|~|Brown line print.|~|W. Gorczynski.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1529953"">UCLA Catalog Record</a>",1529953,cau|~|[California?,California,Types of climate in California / W. Gorczynski.,1 map : photocopy ; 92 x 50 cm.,2850000,,s.n.,26276812,G4361.C8 1941,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfk1s,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfk1s_2007900_master.tif,214,,,cartographic,map,unknown,,,,eng,California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,192u|~|192-?],"Sepia-toned photographic image of the ""Stanford model.""|~|Title supplied by cataloger.|~|Relief represented by shading.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6564648"">UCLA Catalog Record</a>",6564648,[California?|~|cau,California,[Relief map of California].,1 map ; on sheet 48 x 28 cm.,,,s.n.,678653267,G4361.C2,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfk29,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfk29_2007903_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz002bfk29_2007910_master.tif,215,,,cartographic,map,pd,,A. Hoen & Co.|~|California. State Earthquake Investigation Commission.,"Solem, M.",eng,Faults (Geology)--Nevada--Maps|~|Faults (Geology)--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[1906?]|~|1927,"Relief represented by shading.|~|""Originally issued by the California State Earthquake Investigation Commission of 1906 to demonstrate the faulted character of the relief.""|~|Shows railways, towns, counties and drainage.|~|drawn by M. Solem.|~|At lower right corner: A. Hoen & Co., Baltimore.|~|At head of map: Earthquake Investigations Commission -- Map no. 1.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=806053"">UCLA Catalog Record</a>",806053,"cau|~|Stanford, CA",California|~|Nevada,Geomorphic map of California and Nevada with portions of Oregon and Idaho.,1 map : col. ; 66 x 50 cm.,1900000,,"Stanford Bookstore, Stanford University",21838433,G4361.C2 1.9M CSEIC 1906,,westernmost:W1242200|~|northernmost:N0420000|~|easternmost:W1140000|~|southernmost:N0323700,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfk3t,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfk3t_2007916_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz002bfk3t_2007913_master.tif,216,,,cartographic,map,pd,,H.S. Crocker & Co.,California State Board of Trade.,eng,Atmospheric temperature--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1888,"Title on verso: California.|~|Relief represented by hachures.|~|Text on verso.|~|Includes 11 vignettes in upper right corner.|~|Climatic regions are distinguished by colors indicating ranges of mean annual temperature.|~|Shows drainage, counties, railroads, Indian reservations, etc.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6565773"">UCLA Catalog Record</a>",6565773,San Francisco|~|cau,California,A geographical & climatic map of the State of California,"1 map : col. ; 80 x 68 cm., folded to 24 x 11 cm.",1400000,California,California State Board of Trade,25891134,G4361.C813 NS 1888,,northernmost:N0420000|~|southernmost:N0323700|~|easternmost:W1140700|~|westernmost:W1242200,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfk4b,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfk4b_2007929_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz002bfk4b_2007919_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz002bfk4b_2007924_master.tif,217,,,cartographic,map,pd_usfed,,,United States. Bureau of Public Roads.,eng,California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1922,"Relief represented by spot heights.|~|Mapping by Fred C. Scobey and Lot Bowen.|~|""Reprinted from Irrigation Map. Revised and redrawn 1920 in cooperation with California State Department of Engineering; College of Agriculture, University of California; California State Water Commission.""|~|U.S. Dept. of Agriculture, Bureau of Public Roads, Irrigation Investigations.|~|Shows towns, roads, lakes and reservoirs, county lines, and rivers, creeks and canals.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6566558"">UCLA Catalog Record</a>",6566558,[S.l.]|~|xx,California,Map of northern California,1 map : col. ; 100 x 84 cm.,506880,,The Bureau,22865806,G4361.C3 506 USDA 1922 sheet 1 of 3,,easternmost:W1200000|~|southernmost:N0380000|~|northernmost:N0420000|~|westernmost:W1242200,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfktp,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfktp_2007932_master.tif,10,,,cartographic,map,pd_usfed,,,United States. Bureau of Reclamation. Region 2. Branch of Project Planning.,eng,Streamflow--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1944,"""Pacific Lithoprint Co, Sacramento 500-1-45"" -- lower right corner.|~|Oriented with north to upper left.|~|Shows average seasonal run-off for periods 1928-34 or 1904-42 (Kings, Kaweah, Tule, and Kern Rivers).|~|""GI. 314 D.""|~|""Aug. 2, 1944.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6564616"">UCLA Catalog Record</a>",6564616,"Sacramento, Cal|~|cau",California,Stream flow diagram : past conditions of development.,1 map ; 25 x 45 cm.,,,"U.S. Dept. of the Interior, Bureau of Reclamation Region 2, Branch of Project Planning",678612750,G4361.C3 NS USDI 1944,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfkv6,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfkv6_2007935_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz002bfkv6_2008249_master.tif,219,,,cartographic,map,pd_usfed,,California State Mining Bureau.,"Smith, James Perrin. 1864-1931.",eng,Geology--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,c1916,"issued by State Mining Bureau under the direction of Fletcher Hamilton.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=806679"">UCLA Catalog Record</a>",806679,cau|~|[San Francisco],California,Geological map of the State of California,1 map : col. ; 144 x 117 cm. on 2 sheets.,750000,,The Bureau,21630271,G4361.C5 750 CSMB 1916,,easternmost:W1140700|~|southernmost:N0323700|~|westernmost:W1242200|~|northernmost:N0420000,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfkwq,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfkwq_2007938_master.tif,220,,,cartographic,map,pd_usfed,,,California. Division of Mines and Geology.,eng,Natural gas--California--Maps|~|Oil fields--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1941,"prepared under the direction of Olaf P. Jenkins, Geologic Branch.|~|Includes ""Map of California showing major rock units and their significance for oil and gas,"" ""Enlarged map of the Los Angeles basin area,"" index to oil and gas fields, 1 chart and 2 graphs.",797349,cau|~|[Sacramento],California,Outline geologic map of California showing oil,1 map : col. ; 107 x 92 cm.,1000000,,"State of California, Dept. of Natural Resources, Division of Mines",21647034,G4361 H8 1m CDM 1941,,westernmost:W1242200|~|southernmost:N0323700|~|northernmost:N0420000|~|easternmost:W1140700,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfkx7,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfkx7_2007941_master.tif,221,,,cartographic,map,pd_usfed,,California. Division of Mines.,"Jenkins, Olaf Pitt. 1889-.",eng,Chromite--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1942,"prepared under the direction of Olaf P. Jenkins, chief geologist, Geologic Branch.|~|Includes text, index, inset of ""Map of California, showing major rock units and their significance to exploration for chromite deposits,"" diagram, and 4 graphs.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=685196"">UCLA Catalog Record</a>",685196,cau|~|[Sacramento],California,Outline geologic map of California showing locations of chromite properties,1 map : col. ; 107 x 94 cm.,1000000,"California, showing locations of chromite properties","State of California, Dept. of Natural Resources, Division of Mines",06117650,G4361 H2 Chromite 1mil DNR 1942,,westernmost:W1243000|~|southernmost:N0323000|~|northernmost:N0420000|~|easternmost:W1140000,,,79695699,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfkzr,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfkzr_2007944_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz002bfkzr_2007947_master.tif,222,,,cartographic,map,pd_usfed,,,California Highway Planning Survey.,eng,Counties--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1955|~|[ca. 1955?],"Samples from available maps on verso.|~|Includes price list.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6678017"">UCLA Catalog Record</a>",6678017,"cau|~|Sacramento, Calif",California,"Index, California county maps.",1 map ; on sheet 51 x 28 cm.,,California county maps,California Highway Planning Survey,722075431,G4361.B3 NS CHPS ND,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfm0r,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfm0r_2007953_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz002bfm0r_2007950_master.tif,223,,,cartographic,map,pd_usfed,,"Roeser, C. (Charles).",United States. General Land Office.,eng,Land grants--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1876,"Includes indexes, ""List of surveyed private grants"" and ""Reservations.""|~|Relief represented by hachures.|~|compiled from the official records of the General Land Office and other sources by C. Roeser.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3509108"">UCLA Catalog Record</a>",3509108,"dcu|~|[Washington, D.C.]",California,State of California,"1 map on 2 sheets : col. ; 86 x 76 cm., sheets 57 x 84 cm. and 54 x 82 cm.",1250000,,"Dept. of Interior, General Land Office",26330934,G4361.F75 1.25m GLO 1876,,easternmost:W1140700|~|southernmost:N0323200|~|westernmost:W1242500|~|northernmost:N0420000,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfm18,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfm18_2007956_master.tif,224,,,cartographic,map,pd_usfed,,,California. Division of Mines and Geology.,eng,Natural gas--California--Maps|~|Oil fields--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1941,"Includes ""Map of California showing major rock units and their significance for oil and gas,"" ""Enlarged map of the Los Angeles basin area,"" index to oil and gas fields, 1 chart and 2 graphs.|~|prepared under the direction of Olaf P. Jenkins, Geologic Branch.",797349,cau|~|[Sacramento],California,Outline geologic map of California showing oil and gas fields and drilled areas,1 map : col. ; 107 x 92 cm.,1000000,,"State of California, Dept. of Natural Resources, Division of Mines",21647034,G4361 H8 1m CDM 1941,,westernmost:W1242200|~|northernmost:N0420000|~|easternmost:W1140700|~|southernmost:N0323700,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfm2s,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfm2s_2007969_master.tif,225,,,cartographic,map,pd_usfed,,"Pusey, Lewis B.|~|Geological Survey (U.S.).","Richardson, G. B. (George Burr). 1872-1949.",eng,Oil fields--California--Pipe lines--Maps|~|Natural gas--California--Maps|~|Oil fields--California--Maps|~|Natural gas pipelines--California--Maps|~|Oil industries--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1932,"prepared by G.B. Richardson [and] L.B. Pusey ; Department of the Interior, United States Geological Survey.|~|Shows oil and gas fields, refineries, oil pipe lines and natural gas pipe lines.",2821143,dcu|~|[Washington],California,Oil and gas fields of California,1 map : col. ; 154 x 105 cm.,500000,,The Survey,21647201,G4361.H8 500 USDI 1932,,westernmost:W1242200|~|southernmost:N0323700|~|northernmost:N0420000|~|easternmost:W1140700,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfm39,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfm39_2008066_master.tif,226,,,cartographic,map,pd_usfed,,Geological Survey (U.S.).,California. Division of Mines and Geology.,eng,Manganese mines and mining--California--Maps|~|Manganese ores--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1943,"Includes text, indexes, ""Map of California, showing major rock units and their significance to exploration for manganese deposits,"" 2 diagrams and 4 graphs.|~|prepared under the direction of Olaf P. Jenkins, chief geologist, Geologic Branch in cooperation with United States Department of the Interior, Geological Survey, 1943.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=797347"">UCLA Catalog Record</a>",797347,cau|~|[Sacramento],California,Outline geologic map of California showing locations of manganese properties,1 map : col. ; 107 x 92 cm.,1000000,,"State of California, Dept. of Natural Resources, Division of Mines",21637939,G4361 H2 Manganese 1m DNR 1943,,westernmost:W1242200|~|northernmost:N0420000|~|easternmost:W1140700|~|southernmost:N0323700,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfm4t,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfm4t_2008234_master.tif,227,,,cartographic,map,pd_usfed,,"Ransome, Alfred L.",California. Division of Mines and Geology.,eng,Maps—California|~|Geology--California--Maps|~|Mercury,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1939,"""Marginal charts and descriptions in part taken from a thesis prepared by Alfred L. Ransome and John L. Kellogg, in fulfillment of the requirements for the degree of engineering, Stanford university, 1938.""|~|Economic mineral map of California. no. 1 - Quicksilver.|~|Scale: 1:1,013,760; 16 miles = 1 inch.|~|prepared under the direction of Olaf P. Jenkins ...|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=797348"">UCLA Catalog Record</a>",797348,cau|~|[n.p,California,Outline geologic map of California,"map 114 x 100 cm. (folded, 29 1/2 x 26 cm.)",,,n.p.],02551078,G4361 H2 Quicksilver 1m DNR 1939,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfqbc,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfqbc_2008240_master.tif,228,,,cartographic,map,pd_usfed,,California. Division of Mines.,"Jenkins, Olaf Pitt. 1889-.",eng,Tungsten ores--California--Maps|~|Tungsten mines and mining--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1942,"Includes text, indexes, inset of ""Map of California, showing major rock units and their significance to exploration for tungsten deposits,"" 2 diagrams, and 5 graphs.|~|prepared by Olaf P. Jenkins, chief geologist, Geologic Branch.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1718505"">UCLA Catalog Record</a>",1718505,[Sacramento]|~|cau,California,Outline geologic map of California,1 map : col. ; 107 x 92 cm.,1000000,"California, showing locations of tungsten properties","State of California, Dept. of Natural Resources, Division of Mines",06117652,G4361 Tungsten H2 1mil DNR 1942,,northernmost:N0420000|~|easternmost:W1140000|~|southernmost:N0323000|~|westernmost:W1243000,,,79695700,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfqcw,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfqcw_2008243_master.tif,229,,,cartographic,map,pd_usfed,,,United States. Bureau of Agricultural Economics.,eng,California--Administrative and political divisions--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1931|~|[1931],"Brown line print.|~|Includes ""Key to counties.""|~|""Neg.23950-A.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3469151"">UCLA Catalog Record</a>",3469151,"[Washington, D.C.]|~|dcu",California,"California, 1931 : counties, townships.",1 map : photocopy ; 78 x 62 cm.,,,"U.S. Dept. of Agriculture, Bureau of Agricultural Economics",24160614,G4361.F7 1.4m USDA 1931,,westernmost:W1242500|~|northernmost:N0420000|~|easternmost:W1140700|~|southernmost:N0323200,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfqdd,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfqdd_2008246_master.tif,230,,,cartographic,map,pd_usfed,,,United States. Bureau of the Census.,eng,California--Administrative and political divisions--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1934,"""O-304017.""|~|""Bureau of the Census, 1930. ... U.S. Government Printing Office: 1934.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6640718"">UCLA Catalog Record</a>",6640718,"Washington, D.C|~|dcu",California,California : minor civil divisions.,1 map ; 74 x 57 cm.,1500000,,U.S. G.P.O.|~|For sale by the Supt. of Docs.,43245014,G4361 .F7 1.5m USBC 1930,,easternmost:W1140700|~|southernmost:N0323200|~|westernmost:W1242500|~|northernmost:N0420000,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfqfx,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfqfx_2008252_master.tif,231,,,cartographic,map,pd_usfed,,,United States. Bureau of the Census.,eng,California--Administrative and political divisions--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1941,"Department of Commerce, Bureau of the Census.|~|""Geo. M-4-40.""|~|""O-304017.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3471151"">UCLA Catalog Record</a>",3471151,Washington|~|dcu,California,"Minor civil divisions, judicial townships",1 map : photocopy ; 51 x 36 cm.,2300000,,U.S. G.P.O.|~|For sale by the Supt. of Docs.,24105050,G4361.F7 1.5MIL 1941,,westernmost:W1242500|~|northernmost:N0420000|~|easternmost:W1140700|~|southernmost:N0323200,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfqgf,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfqgf_2008255_master.tif,232,,,cartographic,map,pd,,,"Colton, J. H. (Joseph Hutchins). 1800-1893.",eng,California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[1855],"Relief represented by hachures.|~|In upper right corner: No. 52.|~|Inset: City of San Francisco.|~|""Entered according to Act of Congress in the year 1855 by J.H. Colton.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1023852"">UCLA Catalog Record</a>",1023852,New York|~|cau,California,California.,1 map : hand col. ; on sheet 58 x 45 cm.,2700000,,J.H. Colton,26292209,G4361.F7 2.7m Colton 1855,,easternmost:W1140700|~|southernmost:N0323200|~|westernmost:W1242500|~|northernmost:N0420000,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfqhz,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfqhz_2008258_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz002bfqhz_2008300_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz002bfqhz_2008333_master.tif,233,,,cartographic,map,pd_usfed,,"Hassan, A. F.",Geological Survey (U.S.).,eng,California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1929,"""Compiled in 1929.""|~|Department of the Interior, U.S. Geological Survey ; A.F. Hassan, cartographer.|~|Paper on muslin.",1506815,"[Washington, D.C.]|~|dcu",California,State of California,"1 map on 2 sheets : col. ; 226 x 165 cm., sheets 113 x 165 cm., folded to 29 x 21 cm.",500000,,The Survey,21322455,G4360 500 USGS 1929,,westernmost:W1250000|~|northernmost:N0330000|~|easternmost:N0420000|~|easternmost:W1100000,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfqjg,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfqjg_2008336_master.tif,234,,,cartographic,map,pd,,,Wm. M. Bradley & Bros.,eng,Railroads--California--Maps|~|San Francisco (Calif.)--Maps|~|Streets--California--San Francisco--Maps|~|Historic buildings--California--San Francisco--Maps|~|Cities and towns--California--Maps|~|Business enterprises--California--San Francisco--Maps|~|Railroads--California--San Francisco Bay Area--Maps|~|Parks--California--San Francisco--Maps|~|Counties--California--Maps|~|Wharves--California--San Francisco--Maps|~|San Francisco Bay (Calif.)--Maps|~|Railroads--California--San Francisco--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1886|~|c1886,"Shows railroads, counties, cities and towns; street names, parks, company names on some wharves and buildings on city inset; railroads and counties surrounding San Pablo and San Francisco Bays in ""vicinity"" inset.|~|Insets: San Francisco -- San Francisco Bay and vicinity.|~|In lower right margin: 97.|~|Prime meridians: Greenwich and Washington.|~|Relief represented by hachures.|~|In upper right margin: 96.|~|""Copyright 1886 by Wm. M. Bradley & Bros.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6565775"">UCLA Catalog Record</a>",6565775,pau|~|[Philadelphia],San Francisco (Calif.)|~|San Francisco Bay (Calif.)|~|California|~|San Francisco Bay Area,County map of the state of California.,1 map : col. ; 52 x 39 cm.,2385000,,Wm. M. Bradley & Bros.,666878258,G4361.F7 Bradley 1886,,northernmost:N0420000|~|easternmost:W1150000|~|southernmost:N0320000|~|westernmost:W1240000,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfqk0,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfqk0_2008339_master.tif,235,,,cartographic,map,pd_usfed,,"United States. General Land Office.|~|Bien, Julius. 1826-1909.","Roeser, C. (Charles).",eng,Land grants--California--Maps|~|California--Surveys--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1879,"Relief represented by hachures.|~|Includes index to private grants and list of reservations.|~|Prime meridians: Greewich and Washington.|~|Department of the Interior, General Land Office ; compiled ... by C. Roeser, principal draughtsman G.L.O.|~|Shows drainage, county boundaries, railroads, railroad grants, military and Indian reservations, private land grants, township and range lines, etc.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6639705"">UCLA Catalog Record</a>",6639705,"[Washington, D.C.?]|~|dcu",California,State of California,"1 map on 2 sheets : col. ; 98 x 83 cm., sheets 68 x 76 cm.",1140480,,The Office,702607127,G4361 .F7 ca.1.2M GLO 1879,,easternmost:W1140700|~|southernmost:N0323700|~|westernmost:W1242200|~|northernmost:N0420000,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfqmh,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfqmh_2008342_master.tif,236,,,cartographic,map,pd_usfed,,"Strum, G. P. (Gustave P.).",United States. General Land Office.,eng,Military reservations--California--Maps|~|Land grants--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1885,"compiled from the official records of the General Land Office and other sources under supervision of G.P. Strum, principal draughtsman, GLO.|~|Includes indexes of private land grants and government reserves near San Francisco.|~|Prime meridians: Greenwich and Washington.|~|Relief represented by shading.|~|""Drawn by G.P. Strum.""",3509106,"dcu|~|[Washington, D.C.]",California,State of California,"1 map on 2 sheets : col. ; 118 x 102 cm., sheets 65 x 112 cm.",950000,,"Dept. of the Interior, General Land Office",26276923,G4361.F75 950 GLO 1885,,westernmost:W1242500|~|northernmost:N0420000|~|easternmost:W1140700|~|southernmost:N0323200,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfqn1,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfqn1_2008345_master.tif,237,,,cartographic,map,pd_usfed,,"Ranney, L.|~|Gales, T. W.",United States. General Land Office.,eng,Land grants--California--Maps|~|Forest reserves--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1928,"Relief represented by shading.|~|compiled from the official records of the General Land Office and other sources ; compiled and drawn by T.W. Gales and Lucille J. Ranney.|~|Includes ""Index of private land grants.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3509104"">UCLA Catalog Record</a>",3509104,"[Washington, D.C.]|~|cau",California,State of California,"1 map on 2 sheets : col., mounted on linen ; 147 x 120 cm.",760320,,"U.S. Dept. of the Interior, General Land Office",26370526,G4361.G4 1MIL USDI 1928,,easternmost:W1140700|~|southernmost:NO323200|~|westernmost:W1242500|~|northernmost:NO420000,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002bfrdw,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz002bfrdw_2008348_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz002bfrdw_2008351_master.tif,238,,,cartographic,map,pd_usfed,,"Barrett, L. A.|~|Geological Survey (U.S.).","Show, S. B. (Stuart Bevier). 1886-1963.",eng,California--Public lands--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1934,"Shows recommended use and ownership of federal, state, county, municipal and private lands.|~|Hand colored.|~|S.B. Show, L.A. Barrett.",3061005,"dcu|~|[Washington, D.C.?]",California,State of California,1 map : col. ; 109 x 104 cm. on 2 sheets 57 x 104 cm.,500000,,"Dept. of the Interior, Geological Survey",21715297,G4361.G4 500 USGS 1934,,easternmost:W1140700|~|southernmost:N0323700|~|westernmost:W1242200|~|northernmost:N420000,,,,,,,,
