Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Visibility,Item Sequence,Duplicate,Delete in Title,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Name.subject,Rights.rightsHolderContact,Name.photographer,Relation.isPartOf,Name.repository,Title,Format.dimensions,Alt ID.local,Format.extent,Date.creation,Description.note,Date.normalized,Format.medium,Finding Aid URL,AltTitle.other,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Picture Collection.  Collection 99,ark:/21198/zz001dwf8r,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwf8r_784830_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_dam_1.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwf8r,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwf8r/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwf98,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwf98_784855_master.tif,private,,,,,still image,,San Diego Mission ,,,,,c99_Missions_SD de Alcala_dam_2.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwf98,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwf98/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwfbs,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwfbs_784864_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_grounds_old base.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwfbs,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwfbs/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwfc9,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwfc9_784870_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_model_2209.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwfc9,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwfc9/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwfdt,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwfdt_784873_master.tif,private,,,,,still image,,San Diego Mission ,,,,,c99_Missions_SD de Alcala_recon_1.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwfdt,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwfdt/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwffb,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwffb_784876_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_recon_2.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwffb,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwffb/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwfgv,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwfgv_784879_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_recon_3.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwfgv,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwfgv/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwfhc,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwfhc_784886_master.tif,private,,,,,still image,,San Diego Mission ,,,,,c99_Missions_SD de Alcala_recon_4.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwfhc,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwfhc/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwfqg,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwfqg_784895_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_recon_5.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwfqg,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwfqg/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwfr0,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwfr0_784906_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_recon_6.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwfr0,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwfr0/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwft1,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwft1_784914_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_recon_7.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwft1,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwft1/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwfvj,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwfvj_784921_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_recon_8.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwfvj,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwfvj/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwfw2,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwfw2_784925_master.tif,private,,,,,still image,,San Diego Mission ,,,,,c99_Missions_SD_Views_2070.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwfw2,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwfw2/manifest
