Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.countryCreation,Rights.rightsHolderContact,Name.subject,Relation.isPartOf,Name.photographer,Name.repository,Subject,Name.creator,Date.normalized,Title,Date.creation,Format.extent,AltTitle.uniform,Alt ID.local,Format.dimensions,Description.note,Summary,AltTitle.other,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cd70,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cd70-1-master.tif,25,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1920/1929,"Ruth St. Denis, Studies personal, [toga], circa 1925",circa 1925,1 photographic print,,clus_1031_b160_f19_1,14 x 20 cm. (5.5 x 8 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cd70,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cd70/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cd8h,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cd8h-1-master.tif,26,,private,,,Black-and-white photographs|~|Portrait photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","Hoppe, E.O. ","University of California, Los Angeles. $b Library Special Collections",,,1920/1939,"Ruth St. Denis, Studies personal, portrait, circa 1930",circa 1930,1 photographic print on mount,,clus_1031_b160_f19_2,18 x 25 cm. (7 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cd8h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cd8h/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cd91,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cd91-1-master.tif,27,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1918,"Ruth St. Denis, Theodora [1918] [portrait]",1918,1 photographic print,Dance of Theodora (Choreographic work : St Denis),clus_1031_b161_f5_1,18 x 25 cm. (7 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cd91,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cd91/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cdbj,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cdbj-1-master.tif,28,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1918,"Ruth St. Denis, Theodora [1918] [3/4 length view, wrapped in veil]",1918,1 photographic print,Dance of Theodora (Choreographic work : St Denis),clus_1031_b161_f5_2,7 x 10 cm. (3 x 4 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cdbj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cdbj/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cdc2,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cdc2-1-master.tif,29,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1924,"Ruth St. Denis, Visions of the Aissoua [1924] [holding veil out over head]",1924,1 photographic print,Visions of the Aissoua (Choreographic work : St. Denis),clus_1031_b161_f6_1,13 x 18 cm. (5 x 7 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cdc2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cdc2/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cddk,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cddk-1-master.tif,30,,private,,,Black-and-white photographs,still image,unknown,unknown,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",Nickolas Muray (New York),"University of California, Los Angeles. $b Library Special Collections",,,1924,"Ruth St. Denis, Visions of the Aissoua [1924] [St. Denis standing with man seated]",1924,1 photographic print,Visions of the Aissoua (Choreographic work : St. Denis),clus_1031_b161_f6_2,20 x 25 cm. (8 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cddk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cddk/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cdf3,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cdf3-1-master.tif,31,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1924,"Ruth St. Denis, Visions of the Aissoua [1924] [slightly turned, veil drapping behind lower body]",1924,1 photographic print : sepia toned,Visions of the Aissoua (Choreographic work : St. Denis),clus_1031_b161_f6_3,19 x 24 cm. (7.5 x 9.5 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cdf3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cdf3/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cdgm,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cdgm-1-master.tif,32,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","Blechman, Marcus","University of California, Los Angeles. $b Library Special Collections",,,1942,"Ruth St. Denis, White Jade/ Quan Yin [1942]",1942,1 photographic print,White jade (Choreographic work : St. Denis),clus_1031_b161_f10_1,20 x 25 cm. (8 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cdgm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cdgm/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cdh4,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cdh4-1-master.tif,33,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,,"Ruth St. Denis, The Yogi [St. Denis in stance, her right arm raised, looking off to her right]",n.d.,1 photographic print,Yogi (Choreographic work : St Denis),clus_1031_b161_f12_1,20 x 25 cm. (8 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cdh4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cdh4/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cdjn,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cdjn-1-master.tif,34,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,,"Ruth St. Denis, Gregorian Chant [St. Denis facing to left, 3/4 turn with gown billowing behind her]",n.d.,1 photographic print : purplish toned,Gregorian chant (Choreographic work : St Denis),clus_1031_b162_f4_1,28 x 35 cm. (11 x 14 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cdjn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cdjn/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0009mg4z,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0009mg4z-1-master.tif,35,,private,,,Black-and-white photographs|~|Portrait photographs,still image,,,,,,,,,,,,"Ruth St. Denis, portrait in profile",,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009mg4z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0009mg4z/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0028w4wf,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0028w4wf_1950696_master.tif,36,,private,,,photographs,still image,,,,,"St. Denis, Ruth, 1880-1968",,,,"Women dancers--California, Southern--Archival resources|~|Choreographers--California, Southern--Archival resources|~|St. Denis, Ruth, 1880-1968--Archives.",,,"Ruth St. Denis [bending, arms over head]",,1 photograph,,"box 109, folder 7",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w4wf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028w4wf/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0028w4xz,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0028w4xz_1950738_master.tif,37,,private,,,photographs,still image,,,,,"St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,"Women dancers--California, Southern--Archival resources|~|Choreographers--California, Southern--Archival resources|~|St. Denis, Ruth, 1880-1968--Archives.",,,"Ruth St. Denis [balancing on left leg, right leg and both arms extended]",,1 photograph,,"box 109, folder 7",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w4xz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028w4xz/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0028w5tw,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0028w5tw_1950757_master.tif,38,,private,,,photographs,still image,,,,,"St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,"Women dancers--California, Southern--Archival resources|~|Choreographers--California, Southern--Archival resources|~|St. Denis, Ruth, 1880-1968--Archives.",,,Ruth St. Denis [with arms crossed in front of her],,1 photograph,,"box 109, folder 7",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w5tw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028w5tw/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0028w5vd,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0028w5vd_1950774_master.tif,39,,private,,,photographs,still image,,,,,"St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,"Women dancers--California, Southern--Archival resources|~|Choreographers--California, Southern--Archival resources|~|St. Denis, Ruth, 1880-1968--Archives.",,,"Ruth St. Denis [right arm raised, left arm bent at the elbow in front of her]",,1 photograph,,"box 109, folder 7",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w5vd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028w5vd/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0028w5wx,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0028w5wx_1950786_master.tif,40,,private,,,photographs,still image,,,,,"St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,"Women dancers--California, Southern--Archival resources|~|Choreographers--California, Southern--Archival resources|~|St. Denis, Ruth, 1880-1968--Archives.",,,"Ruth St. Denis [in white jacket, standing in doorway numbered 3433]",,1 photograph,,"Box 109, folder 8",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w5wx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028w5wx/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0028w5xf,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0028w5xf_1950803_master.tif,41,,private,,,photographs,still image,,,,,"St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,,"Women dancers--California, Southern--Archival resources|~|Choreographers--California, Southern--Archival resources|~|St. Denis, Ruth, 1880-1968--Archives.",,,"Ruth St. Denis [in costume, with skirt spread out on both sides]",,1 photograph,,"Box 159, folder 7",,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028w5xf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0028w5xf/manifest
