Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Name.creator,Name.repository,Date.normalized,Title,Alt ID.local,Format.dimensions,Date.creation,Subject geographic,Format.medium,Subject name,Subject temporal,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Fowler Museum,ark:/21198/zz002cztr5,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztr5_2108181_master.tif,48,,,,three dimensional object,unknown Mayan,Fowler Museum at UCLA,600/900,Jaina figure in ceremonial garb (X2005.18.3),X2005.18.3,"H: 20.0 cm, W: 7.5 cm, D: 6.7 cm (H: 7.9 in, W: 2.9 in, D: 2.6 in)",,,Ceramic and pigment,"Mesoamerican|~|Maya|~|Mexico, Guatemala, Belize, El Salvador, or Honduras",Late Classic (Classic (Mesoamerican period) (aat),succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztr5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztr5/manifest
Fowler Museum,ark:/21198/zz002cztsp,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztsp_2171123_master.tif,49,,,,three dimensional object,,Fowler Museum at UCLA,900/1100,Yogini figure (X74-1433),X74-1433,"H: 89.0 cm, W: 47.3 cm, D: 28.0 cm (H: 35 in, W: 18.6 in, D: 11.0 in)",Circa 1000 C.E.,"Central India, Madhya Pradesh or Uttar Pradesh",Sandstone,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztsp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztsp/manifest
Fowler Museum,ark:/21198/zz002cztt6,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztt6_2160559_master.tif,50,,,,three dimensional object,,Fowler Museum at UCLA,1850/1950,Mask (X65-4366),X65-4366,"H: 31.00 cm, W: 18.00 cm, D: 38.50 cm",Late 19th - Early 20th Century,,"Wood, paint, seeds, plant fiber, snail shells",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztt6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztt6/manifest
Fowler Museum,ark:/21198/zz002dwqvs,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002dwqvs_2175171_master.tif,,,,,three dimensional object,,Fowler Museum at UCLA,1800/1950,Ancestor figure (korwar) (X85-1075),X85-1075,"H: 26.3 cm, W: 11.5 cm, D: 15.3 cm (H: 10.4 in, W: 4.5 in, D: 6.0 in)",19th - Early 20th Century,"Cenderawasih Bay, West Papua (New Guinea), Indonesia",Wood and glass beads,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dwqvs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwqvs/manifest
Fowler Museum,ark:/21198/zz002dwqw9,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002dwqw9_2175162_master.tif,,,,,three dimensional object,,Fowler Museum at UCLA,1900/1950,Mask (Kholuka) (X83-978),X83-978,"H: 75.0 cm, W: 45.0 cm, D: 50.0 cm (H: 29.5 in, W: 17.7 in, D: 19.7 in)",Early 20th Century,Democratic Republic of the Congo,"Wood, polychrome pigment, fiber",Yaka peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dwqw9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwqw9/manifest
Fowler Museum,ark:/21198/zz002dwqxt,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002dwqxt_2175165_master.tif,,,,,three dimensional object,,Fowler Museum at UCLA,1925/1935,Kachina figure (X84-1084),X84-1084,"H: 24.1 cm, W: 10.1 cm (H: 9.5 in, W: 4 in)",Circa 1930,"Arizona, USA",Wood and feathers,Hopi peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dwqxt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwqxt/manifest
Fowler Museum,ark:/21198/zz002dwqzb,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002dwqzb_2175168_master.tif,,,,,three dimensional object,,Fowler Museum at UCLA,1925/1935,Kachina figure (X84-1086),X84-1086,"H: 29.00 cm, W: 18.00 cm, D: 12.70 cm",Circa 1930,"Arizona, USA","Wood, paint, feathers, and other media",Hopi peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dwqzb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwqzb/manifest
Fowler Museum,ark:/21198/zz002dwr0b,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002dwr0b_2175159_master.tif,,,,,three dimensional object,Eloi Lokossou,Fowler Museum at UCLA,1990/1995,Headdress with motorcycle and rider (ere gelede) (X2006-5-1),X2006-5-1,,Early 1990s,Republic of Benin,Wood and paint,Yoruba,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002dwr0b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dwr0b/manifest
Fowler Museum,ark:/21198/zz002j0c01,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_2_72_1.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_2_72_1,fowler_a243_2_72_1,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0c01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0c01/manifest
Fowler Museum,ark:/21198/zz002j0c1j,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_2_72_3.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_2_72_3,fowler_a243_2_72_3,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0c1j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0c1j/manifest
Fowler Museum,ark:/21198/zz002j0c22,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_2_72_4.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_2_72_4,fowler_a243_2_72_4,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0c22,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0c22/manifest
Fowler Museum,ark:/21198/zz002j0c3k,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_2_72_5.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_2_72_5,fowler_a243_2_72_5,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0c3k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0c3k/manifest
Fowler Museum,ark:/21198/zz002j0c43,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_2_72_6.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_2_72_6,fowler_a243_2_72_6,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0c43,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0c43/manifest
Fowler Museum,ark:/21198/zz002j0c5m,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_2_72_7.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_2_72_7,fowler_a243_2_72_7,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0c5m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0c5m/manifest
Fowler Museum,ark:/21198/zz002j0c64,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_2_72_8.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_2_72_8,fowler_a243_2_72_8,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0c64,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0c64/manifest
Fowler Museum,ark:/21198/zz002j0c7n,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_2_72_9.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_2_72_9,fowler_a243_2_72_9,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0c7n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0c7n/manifest
Fowler Museum,ark:/21198/zz002j0c85,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_3_24_09.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_3_24_09,fowler_a243_3_24_09,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0c85,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0c85/manifest
Fowler Museum,ark:/21198/zz002j0c9p,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_3_24_1.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_3_24_1,fowler_a243_3_24_1,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0c9p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0c9p/manifest
Fowler Museum,ark:/21198/zz002j0cb6,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_3_24_10.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_3_24_10,fowler_a243_3_24_10,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0cb6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0cb6/manifest
Fowler Museum,ark:/21198/zz002j0ccq,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_3_24_14.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_3_24_14,fowler_a243_3_24_14,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0ccq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0ccq/manifest
Fowler Museum,ark:/21198/zz002j0cd7,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_3_24_19.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_3_24_19,fowler_a243_3_24_19,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0cd7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0cd7/manifest
Fowler Museum,ark:/21198/zz002j0cfr,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_3_24_3.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_3_24_3,fowler_a243_3_24_3,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0cfr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0cfr/manifest
Fowler Museum,ark:/21198/zz002j0cg8,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_3_24_6.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_3_24_6,fowler_a243_3_24_6,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0cg8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0cg8/manifest
Fowler Museum,ark:/21198/zz002j0chs,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_3_24_7.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_3_24_7,fowler_a243_3_24_7,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0chs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0chs/manifest
Fowler Museum,ark:/21198/zz002j0cj9,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_3_28.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_3_28,fowler_a243_3_28,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0cj9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0cj9/manifest
Fowler Museum,ark:/21198/zz002j0ckt,ark:/21198/zz002czrg2,5,Imported,Work,fowler_museum/image/fowler_a243_3_29.tif,,private,,,still image,,Fowler Museum at UCLA,,fowler_a243_3_29,fowler_a243_3_29,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j0ckt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j0ckt/manifest
