[folder],Parent ARK,Item ARK,Text direction,viewingHint,Title,AltTitle,AltTitle,AltTitle,AltTitle,AltTitle,AltTitle.uniform,AltIdentifier.local,Type.typeOfResource,Type.genre,Date.creation,Date.normalized,Publication/Origination Info,Author,Illustrator,Creator 1 Role,Editor,Contributor Role - 1,Engraver,Page layout,Format? binding?,Provenance,Additions,Colophon,Illustrations,Condition,Contents note,Description 1 Note,Description 2 Note,Description 3 Note,Description 5 Note,Format.extent,Language,Subject topic,Subject.place,Rights.copyrightStatus,Rights.servicesContact,Name.repository
uclaeal_wahon_B01_bib2997886_vol06,,ark:/21198/z1vt374r,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 6 | 佛說善惡因果經直解 : 巻 6,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4811,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B02_bib2997886_vol01,,ark:/21198/z1r22gdb,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 1 | 佛說善惡因果經直解 : 巻 1,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4810,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B02_bib2997886_vol02,,ark:/21198/z1m91qpm,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 2 | 佛說善惡因果經直解 : 巻 2,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4809,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B02_bib2997886_vol03,,ark:/21198/z1gj101k,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 3 | 佛說善惡因果經直解 : 巻 3,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4808,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B02_bib2997886_vol04,,ark:/21198/z1bs078d,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 4 | 佛說善惡因果經直解 : 巻 4,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4807,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B02_bib2997886_vol05,,ark:/21198/z173860m,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 5 | 佛說善惡因果經直解 : 巻 5,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4806,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B02_bib2997886_vol06,,ark:/21198/z13b7f7f,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 6 | 佛說善惡因果經直解 : 巻 6,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4805,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B03_bib1782231_vol01,,ark:/21198/z1zk6xq9,right-to-left,individuals,Hyappō mondō sho : kan 1̄ | 百法問答鈔 : 巻 1,,,,,,,BQ8118.H83 1648,text,,[1648],1648,"[Kyoto] 堤六左衛門, 慶安元 [[Kyoto] Tsutsumi Rokuzaemon, Keian gen]",,,,,,,Within double borders (21.7 x 15.8 cm.); text in 9 vertical lines.,,,Library set has red markings and marginal notes.,,,,,,,,,9 volumes ; 26 cm,jpn,Hossō (Sect)--Doctrines,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4804,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B03_bib1782231_vol02,,ark:/21198/z1tt65zh,right-to-left,individuals,Hyappō mondō shō : kan 2 | 百法問答鈔 : 巻 2,,,,,,,BQ8118.H83 1648,text,,[1648],1648,"[Kyoto] 堤六左衛門, 慶安元 [[Kyoto] Tsutsumi Rokuzaemon, Keian gen]",,,,,,,Within double borders (21.7 x 15.8 cm.); text in 9 vertical lines.,,,Library set has red markings and marginal notes.,,,,,,,,,9 volumes ; 26 cm,jpn,Hossō (Sect)--Doctrines,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4803,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B03_bib1782231_vol03,,ark:/21198/z1q25f8z,right-to-left,individuals,Hyappō mondō shō : kan 3 | 百法問答鈔 : 巻 3,,,,,,,BQ8118.H83 1648,text,,[1648],1648,"[Kyoto] 堤六左衛門, 慶安元 [[Kyoto] Tsutsumi Rokuzaemon, Keian gen]",,,,,,,Within double borders (21.7 x 15.8 cm.); text in 9 vertical lines.,,,Library set has red markings and marginal notes.,,,,,,,,,9 volumes ; 26 cm,jpn,Hossō (Sect)--Doctrines,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4802,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B03_bib1782231_vol04,,ark:/21198/z1k94pkp,right-to-left,individuals,Hyappō mondō shō : kan 4 | 百法問答鈔 : 巻 4,,,,,,,BQ8118.H83 1648,text,,[1648],1648,"[Kyoto] 堤六左衛門, 慶安元 [[Kyoto] Tsutsumi Rokuzaemon, Keian gen]",,,,,,,Within double borders (21.7 x 15.8 cm.); text in 9 vertical lines.,,,Library set has red markings and marginal notes.,,,,,,,,,9 volumes ; 26 cm,jpn,Hossō (Sect)--Doctrines,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4801,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B03_bib1782231_vol05,,ark:/21198/z1fj3xvz,right-to-left,individuals,Hyappō mondō shō : kan 5 | 百法問答鈔 : 巻 5,,,,,,,BQ8118.H83 1648,text,,[1648],1648,"[Kyoto] 堤六左衛門, 慶安元 [[Kyoto] Tsutsumi Rokuzaemon, Keian gen]",,,,,,,Within double borders (21.7 x 15.8 cm.); text in 9 vertical lines.,,,Library set has red markings and marginal notes.,,,,,,,,,9 volumes ; 26 cm,jpn,Hossō (Sect)--Doctrines,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4800,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B03_bib1782231_vol06,,ark:/21198/z19w1wmv,right-to-left,individuals,Hyappō mondō shō : kan 6 | 百法問答鈔 : 巻 6,,,,,,,BQ8118.H83 1648,text,,[1648],1648,"[Kyoto] 堤六左衛門, 慶安元 [[Kyoto] Tsutsumi Rokuzaemon, Keian gen]",,,,,,,Within double borders (21.7 x 15.8 cm.); text in 9 vertical lines.,,,Library set has red markings and marginal notes.,,,,,,,,,9 volumes ; 26 cm,jpn,Hossō (Sect)--Doctrines,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4799,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B03_bib1782231_vol07,,ark:/21198/z16414tx,right-to-left,individuals,Hyappō mondō shō : kan 7 | 百法問答鈔 : 巻 7,,,,,,,BQ8118.H83 1648,text,,[1648],1648,"[Kyoto] 堤六左衛門, 慶安元 [[Kyoto] Tsutsumi Rokuzaemon, Keian gen]",,,,,,,Within double borders (21.7 x 15.8 cm.); text in 9 vertical lines.,,,Library set has red markings and marginal notes.,,,,,,,,,9 volumes ; 26 cm,jpn,Hossō (Sect)--Doctrines,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4798,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B03_bib1782231_vol08,,ark:/21198/z12c0d25,right-to-left,individuals,Hyappō mondō shō : kan 8 | 百法問答鈔 : 巻 8,,,,,,,BQ8118.H83 1648,text,,[1648],1648,"[Kyoto] 堤六左衛門, 慶安元 [[Kyoto] Tsutsumi Rokuzaemon, Keian gen]",,,,,,,Within double borders (21.7 x 15.8 cm.); text in 9 vertical lines.,,,Library set has red markings and marginal notes.,,,,,,,,,9 volumes ; 26 cm,jpn,Hossō (Sect)--Doctrines,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4797,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B03_bib1782231_vol09,,ark:/21198/z1xk9wkx,right-to-left,individuals,Hyappō mondō shō : kan 9 | 百法問答鈔 : 巻 9,,,,,,,BQ8118.H83 1648,text,,[1648],1648,"[Kyoto] 堤六左衛門, 慶安元 [[Kyoto] Tsutsumi Rokuzaemon, Keian gen]",,,,,,,Within double borders (21.7 x 15.8 cm.); text in 9 vertical lines.,,,Library set has red markings and marginal notes.,,,,,,,,,9 volumes ; 26 cm,jpn,Hossō (Sect)--Doctrines,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4796,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B04_bib1240880,,ark:/21198/z1st94vk,right-to-left,individuals,Shoshin tongaku shō | 初心頓覺抄,頓覺抄 | Tongaku shō,,,,,,BQ8968.D64 1649,text,Early works,[1649],1649,"高野山 : [publisher not identified], 慶安 2 [1649] [Kōyasan : [publisher not identified], Keian 2]","道範, 1184-1252 [Dōhan, 1184-1252]",,,,,,Within single border (20.2 x 15.6 cm.); text in 8 vertical lines.,"On double leaves, oriental style.","UCLA Library copy has ""豫洲桑村郡實報寺宝蔵"" [""Yoshū Kuwamura-gun Jippōji hōzō""] stamped. ",,,,,,Caption title.,Toganoo collection; Purchase; 1962; 7269.,,,"24, 6, 24 leaves ; 27 cm",jpn,Shingon (Sect)--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4795,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B05_bib3320008_vol01,,ark:/21198/z1p28d6g,right-to-left,individuals,Tiantai san da bu bu zhu : kan 1 | 天台三大部補注 : 巻  1,Tendai sandaibu hochū,大部補注 | Ta pu pu chu. [Title in postscript],Daibu hochū,法華三大部補注 | Fa hua san ta pu pu chu,Hokke sandaibu hochū,,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 [Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4]","從義, 1042-1091 [Congyi, 1042-1091]",,,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,"On double leaves, oriental style. ",,Library's set has some red marking on text.,,,"Library's set slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,Caption title.,"""古活字版."" [""Gu hao zi ban.""]",,,14 volumes ; 29 cm,jpn,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4794,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B05_bib3320008_vol02,,ark:/21198/z1j97ngr,right-to-left,individuals,Tiantai san da bu bu zhu : kan 2 | 天台三大部補注 : 巻  2,Tendai sandaibu hochū,大部補注 | Ta pu pu chu. [Title in postscript],Daibu hochū,法華三大部補注 | Fa hua san ta pu pu chu,Hokke sandaibu hochū,,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 [Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4]","從義, 1042-1091 [Congyi, 1042-1091]",,,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,"On double leaves, oriental style. ",,Library's set has some red marking on text.,,,"Library's set slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,Caption title.,"""古活字版."" [""Gu hao zi ban.""]",,,14 volumes ; 29 cm,jpn,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4793,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B05_bib3320008_vol03,,ark:/21198/z1dn5m49,right-to-left,individuals,Tiantai san da bu bu zhu : kan 3 | 天台三大部補注 : 巻 3,Tendai sandaibu hochū,大部補注 | Ta pu pu chu. [Title in postscript],Daibu hochū,法華三大部補注 | Fa hua san ta pu pu chu,Hokke sandaibu hochū,,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 [Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4]","從義, 1042-1091 [Congyi, 1042-1091]",,,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,"On double leaves, oriental style. ",,Library's set has some red marking on text.,,,"Library's set slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,Caption title.,"""古活字版."" [""Gu hao zi ban.""]",,,14 volumes ; 29 cm,jpn,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4792,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B05_bib3320008_vol04,,ark:/21198/z18w4vdk,right-to-left,individuals,Tiantai san da bu bu zhu : kan 4 | 天台三大部補注 : 巻 4,Tendai sandaibu hochū,大部補注 | Ta pu pu chu. [Title in postscript],Daibu hochū,法華三大部補注 | Fa hua san ta pu pu chu,Hokke sandaibu hochū,,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 [Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4]","從義, 1042-1091 [Congyi, 1042-1091]",,,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,"On double leaves, oriental style. ",,Library's set has some red marking on text.,,,"Library's set slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,Caption title.,"""古活字版."" [""Gu hao zi ban.""]",,,14 volumes ; 29 cm,jpn,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4791,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B05_bib3320008_vol05,,ark:/21198/z15443mn,right-to-left,individuals,Tiantai san da bu bu zhu : kan 5 | 天台三大部補注 : 巻 5,Tendai sandaibu hochū,大部補注 | Ta pu pu chu. [Title in postscript],Daibu hochū,法華三大部補注 | Fa hua san ta pu pu chu,Hokke sandaibu hochū,,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 [Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4]","從義, 1042-1091 [Congyi, 1042-1091]",,,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,"On double leaves, oriental style. ",,Library's set has some red marking on text.,,,"Library's set slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,Caption title.,"""古活字版."" [""Gu hao zi ban.""]",,,14 volumes ; 29 cm,jpn,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4790,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B05_bib3320008_vol06,,ark:/21198/z11c3bwx,right-to-left,individuals,Tiantai san da bu bu zhu : kan 6 | 天台三大部補注 : 巻 6,Tendai sandaibu hochū,大部補注 | Ta pu pu chu. [Title in postscript],Daibu hochū,法華三大部補注 | Fa hua san ta pu pu chu,Hokke sandaibu hochū,,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 [Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4]","從義, 1042-1091 [Congyi, 1042-1091]",,,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,"On double leaves, oriental style. ",,Library's set has some red marking on text.,,,"Library's set slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,Caption title.,"""古活字版."" [""Gu hao zi ban.""]",,,14 volumes ; 29 cm,jpn,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4789,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B05_bib3320008_vol07,,ark:/21198/z1wm2vf3,right-to-left,individuals,Tiantai san da bu bu zhu : kan 7 | 天台三大部補注 : 巻 7,Tendai sandaibu hochū,大部補注 | Ta pu pu chu. [Title in postscript],Daibu hochū,法華三大部補注 | Fa hua san ta pu pu chu,Hokke sandaibu hochū,,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 [Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4]","從義, 1042-1091 [Congyi, 1042-1091]",,,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,"On double leaves, oriental style. ",,Library's set has some red marking on text.,,,"Library's set slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,Caption title.,"""古活字版."" [""Gu hao zi ban.""]",,,14 volumes ; 29 cm,jpn,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4788,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B05_bib3320008_vol08,,ark:/21198/z1rv23t3,right-to-left,individuals,Tiantai san da bu bu zhu : kan 8 | 天台三大部補注 : 巻 8,Tendai sandaibu hochū,大部補注 | Ta pu pu chu. [Title in postscript],Daibu hochū,法華三大部補注 | Fa hua san ta pu pu chu,Hokke sandaibu hochū,,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 [Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4]","從義, 1042-1091 [Congyi, 1042-1091]",,,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,"On double leaves, oriental style. ",,Library's set has some red marking on text.,,,"Library's set slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,Caption title.,"""古活字版."" [""Gu hao zi ban.""]",,,14 volumes ; 29 cm,jpn,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4787,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B05_bib3320008_vol09,,ark:/21198/z1n31c16,right-to-left,individuals,Tiantai san da bu bu zhu : kan 9 | 天台三大部補注 : 巻 9,Tendai sandaibu hochū,大部補注 | Ta pu pu chu. [Title in postscript],Daibu hochū,法華三大部補注 | Fa hua san ta pu pu chu,Hokke sandaibu hochū,,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 [Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4]","從義, 1042-1091 [Congyi, 1042-1091]",,,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,"On double leaves, oriental style. ",,Library's set has some red marking on text.,,,"Library's set slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,Caption title.,"""古活字版."" [""Gu hao zi ban.""]",,,14 volumes ; 29 cm,jpn,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4786,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B05_bib3320008_vol10,,ark:/21198/z1hd99rp,right-to-left,individuals,Tiantai san da bu bu zhu : kan 10 | 天台三大部補注 : 巻 10,Tendai sandaibu hochū,大部補注 | Ta pu pu chu. [Title in postscript],Daibu hochū,法華三大部補注 | Fa hua san ta pu pu chu,Hokke sandaibu hochū,,BQ9118.T78 1627,text,,[1627],1627,"洛陽 [Kyoto] : 河面半衛門, 寬永4 [Rakuyō [Kyoto] : Kawatsura Hanʼemon, Kanʼei 4]","從義, 1042-1091 [Congyi, 1042-1091]",,,,,,Within double border (22.3 x 15.2 cm.); text between 9-18 vertical lines.,"On double leaves, oriental style. ",,Library's set has some red marking on text.,,,"Library's set slightly wormed, with no loss of text. ",卷第 [Juan di] 1-3. 妙玄 ; 釋籤 -- 卷第 [Miao xuan ; Shi qian -- juan di] 4-10.  妙經文句 ; 文句記 -- 卷第 [Miao jing wen ju ; Wen ju ji -- juan di] 11-14. 止観 ; 輔行 [Zhi guan ; Fu xing].,Caption title.,"""古活字版."" [""Gu hao zi ban.""]",,,14 volumes ; 29 cm,jpn,Tripiṭaka. Sūtrapiṭaka. Saddharmapuṇḍarīkasūtra--Commentaries--Early works to 1800|~|Tiantai Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4785,"Richard C. Rudolph East Asian Library, UCLA"
