Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.rightsHolderName,Subject.descriptiveTopic,Subject temporal,Name.photographer,Author,Format.medium,Name.creator,Rights.permission,Subject geographic,Name.repository,Name.subject,Title,Description.view,Description.caption,Relation.isPartOf,Description.note,Alt ID.local,Description.abstract,AltTitle.translated,Date.normalized,Date.creation,Note,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025j0dj,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025j0dj_1980415_master.tif,,,,,,still image,Graffito,copyrighted,published,Egypt Exploration Society|~|UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Predynastic Art|~|Rock Art",Predynastic Period,"Winkler, Hans A. (Hans Alexander), b. 1900",,Rock,,N,,,,Plate from Winkler’s Rock-Drawings of Southern Upper Egypt,Detail,Figure 2. Plate from Winkler’s pioneering two-volume Rock-Drawings of Southern Upper Egypt.,uee1460,Article: Rock Art|~|45 degree|~|Painted|~|Graffito,UEE_1460v1_fig02|~|21198/zz001nf7fh,,,7000/2950,1938,"Winkler, Hans Alexander 1938 Rock-drawings of southern Upper Egypt. Vol. 1. London: The Egypt Exploration Society.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307101,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025j0dj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j0dj/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025j0f2,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025j0f2_1696653_master.tif,,,,,,still image,Graffito,copyrighted,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Predynastic Art|~|Rock Art",Predynastic Period,"Huyge, Dirk",,Rock,,Y,,,,Tracing Palaeolithic Petroglyphs,Overview,"Figure 3. Tracing late Palaeolithic petroglyphs. Qurta, 2007.",uee1460,Article: Rock Art|~|45 degree|~|Graffito,21198/zz001nf7fh|~|p000682|~|UEE_1460v1_fig03,,,2500/7000,2007,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307102,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025j0f2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j0f2/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025j0gk,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025j0gk_1696667_master.tif,,,,,,still image,Graffito,copyrighted,published,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Rock Art",Old Kingdom,,"Kuper, Rudolph",Rock,,N,,,,"Rock Art, Abu Ballas Caravan Station",Detail,"Figure 4. Rock art from Abu Ballas caravan station, 550 km west of the Nile Valley. Probably late Old Kingdom.",uee1460,Article: Rock Art|~|Horizontal|~|Engraved|~|Graffito,UEE_1460v1_fig04|~|21198/zz001nf7fh,,,2350/2168,1989,"Kuper, Rudolph 1989 Ägypten am Rande des Sahel: Ausgrabungen in der Abu Ballas-Region. Archäologie in Deutschland 2, p. 20",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307103,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025j0gk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j0gk/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025j0h3,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025j0h3_1696673_master.tif,,,,,,still image,Boat,copyrighted,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Predynastic Art|~|Rock Art",Predynastic Period,"Huyge, Dirk",,Rock,,Y,,,,Late Predynastic Boat Representation,Total,Figure 5. Late Predynastic boat representation. Wadi Abu Subeira.,uee1460,Article: Rock Art|~|Horizontal|~|Engraved,p000619|~|UEE_1460v1_fig05|~|21198/zz001nf7fh,,,3300/2950,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307104,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025j0h3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j0h3/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025j0jm,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025j0jm_1696677_master.tif,,,,,,still image,Graffito,copyrighted,published,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Predynastic Art|~|Rock Art",Predynastic Period,,,Rock,"Darnell, John Coleman",N,Thebes West,,,Predynastic Engraved Human and Animal Figures,Total,Figure 6. Finely engraved human and animal figures. Theban Desert. Possibly early Predynastic (Tasian or Badarian).,uee1460,Line Drawing|~|Article: Rock Art|~|Vertical|~|Engraved|~|Graffito,p000152|~|UEE_1460v1_fig06|~|21198/zz001nf7fh,,,4500/4000,2002,"Darnell, John Coleman 2002a Opening the narrow doors of the desert: Discoveries of the Theban Desert Road Survey. In Egypt and Nubia: Gifts of the desert, ed. Renée Friedman, pp. 132 - 155. London: British Museum Press, fig. 17",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307105,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025j0jm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j0jm/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025j0k4,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025j0k4_1696685_master.tif,,,,,,still image,Boat,copyrighted,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Predynastic Art|~|Rock Art",Predynastic Period|~|Naqada,"Huyge, Dirk",,Rock,,Y,,,,High-Prowed Boat with Human Figures,Total,"Figure 7. Predynastic representation of high-prowed boat with human figures, ubiquitous in the Eastern Desert. Wadi Baramiya. Probably Naqada II.",uee1460,Article: Rock Art|~|Horizontal|~|Engraved,p000683|~|p000274|~|UEE_1460v1_fig07|~|21198/zz001nf7fh,,,4000/3300,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307106,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025j0k4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j0k4/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025j0mn,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025j0mn_1696689_master.tif,,,,,,still image,Graffito,copyrighted,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Predynastic Art|~|Rock Art",Predynastic Period,,,Rock,,N,Farafra Oasis,,,Neolithic (?) Hand Stencils,Overview,Figure 8. Neolithic (?) hand stencils from Wadi el-Obeiyd Cave. Farafra Oasis.,uee1460,Courtesy of Barbara E. Barich.|~|Article: Rock Art|~|45 degree|~|Graffito,p000208|~|UEE_1460v1_fig08|~|21198/zz001nf7fh,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307107,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025j0mn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j0mn/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025j0n5,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025j0n5_1696694_master.tif,,,,,,still image,Graffito,copyrighted,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Predynastic Art|~|Rock Art",Predynastic Period,"Huyge, Dirk",,Rock,,N,Kharga Oasis,,,Schematic Outlines of Feet,Overview,"Figure 9. Schematic outlines of feet, typical ofPharaonic rock art. Kharga Oasis.",uee1460,"Courtesy of the North Kharga Oasis Survey, American University in Cairo.|~|Article: Rock Art|~|45 degree|~|Graffito",p000227|~|UEE_1460v1_fig09|~|21198/zz001nf7fh,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307108,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025j0n5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j0n5/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025j0pp,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025j0pp_1696698_master.tif,,,,,,still image,Graffito,copyrighted,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Predynastic Art|~|Rock Art",Predynastic Period,"Huyge, Dirk",,Rock,,N,,,,Labyrinth-Fish-Trap Motifs,Overview,Figure 10. Cluster of Epi-palaeolithic labyrinth-fish-trap motifs from el-Hosh.,uee1460,"Courtesy of the Royal Museums of Art and History, Brussels.|~|Article: Rock Art|~|45 degree|~|Graffito",p000685|~|p000687|~|UEE_1460v1_fig10|~|21198/zz001nf7fh,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307109,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025j0pp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j0pp/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025j0q6,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025j0q6_1696703_master.tif,,,,,,still image,Graffito,copyrighted,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Predynastic Art|~|Rock Art",Predynastic Period,"Huyge, Dirk",,Rock,,N,,,,Late Palaeolithic Bovid Engraving,Overview,Figure 11. Detail of late Palaeolithic rock art panel showing bovids. Qurta.,uee1460,"Courtesy of the Royal Museums of Art and History, Brussels.|~|Article: Rock Art|~|45 degree|~|Graffito",21198/zz001nf7fh|~|p000687|~|p000682|~|UEE_1460v1_fig11,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307110,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025j0q6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j0q6/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025j0rq,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025j0rq_1696709_master.tif,,,,,,still image,Graffito,copyrighted,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Predynastic Art|~|Rock Art",Predynastic Period,"Huyge, Dirk",,Rock,,N,,,,Highly Stylized Human Figures,Overview,Figure 12. Detail of late Palaeolithic rock art panel showing three highly stylized human figures. Qurta.,uee1460,"Courtesy of the Royal Museums of Art and History, Brussels.|~|Article: Rock Art|~|45 degree|~|Graffito",p000687|~|p000682|~|UEE_1460v1_fig12|~|21198/zz001nf7fh,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307111,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025j0rq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025j0rq/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025nf9m,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025nf9m_1703936_master.tif,,,,,,still image,Relief,copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Animal Materials",New Kingdom |~|19th Dynasty|~|Reign of Sety I,"Teeter, Emily",,Limestone,,N,Abydos,,,Goddess Maat Wearing an Ostrich Plume,Partial,"Figure 1. The goddess Maat, wearing an ostrich plume (mAat) on her head, being offered by Sety I. Abydos, temple of Sety I. Dynasty 19.",uee1054,Article: Feathers|~|Horizontal|~|Engraved,p000413|~|UEE_1054v1_fig01|~|21198/zz00256swd,,,1301/1290,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307112,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nf9m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025nf9m/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025nfb4,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025nfb4_1703946_master.tif,,,,,,still image,Relief,copyrighted,published,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Animal Materials",New Kingdom |~|20th Dynasty|~|Reign of Ramesses III,,,,,N,,,,Military Standard Held Over Ramesses III,Partial,Figure 4. sryt military standard held over Ramesses III. Dynasty 20.,uee1054,Article: Feathers|~|Horizontal|~|Engraved,p000243|~|UEE_1054v1_fig04|~|21198/zz00256swd,,,1195/1164,1940,"Epigraphic Survey, The 1940 Medinet Habu IV: Festival scenes of Ramses III. The University of Chicago Oriental Institute Publications 51. ed. The University of Chicago Oriental Institute Epigraphic Survey. Chicago: University of Chicago Press.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307113,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nfb4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025nfb4/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025nfcn,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025nfcn_1703954_master.tif,,,,,,still image,Relief,copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Animal Materials",New Kingdom |~|19th Dynasty|~|Reign of Ramesses II,"Teeter, Emily",,Sandstone,,N,Abu Simbel,,,Bound Nubians with Feathers on Heads,Partial,Figure 6. Bound Nubians with a feather on theirheads. Abu Simbel. Dynasty 19.,uee1054,Article: Feathers|~|Horizontal|~|Engraved,p000156|~|UEE_1054v1_fig06|~|21198/zz00256swd,,,1290/1224,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307114,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nfcn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025nfcn/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025nfd5,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025nfd5_1703939_master.tif,,,,,,still image,Papyrus,copyrighted,,Oriental Institute of the University of Chicago,"Material Culture, Art and Architecture|~|Animal Materials",Ptolemaic |~|Greco-Roman Period,,,Papyrus,,N,,,,"Judges with Maat Feathers on Heads, BD125",Partial,"Figure 2. Chapter 125 of the Book of the Dead showing judges with a maat feather on their head and a goddess with feather head, probably Maat, to the right. Ptolemaic. Oriental Institute 10486.",uee1054,Courtesy of the Oriental Institute of the University of Chicago.|~|Article: Feathers|~|Horizontal|~|Drawing,OIM 10486|~|UEE_1054v1_fig02|~|21198/zz00256swd,,,304/30,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307115,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nfd5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025nfd5/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025nffp,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025nffp_1703942_master.tif,,,,,,still image,Relief,copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Animal Materials",New Kingdom |~|20th Dynasty|~|Reign of Ramesses III,"Teeter, Emily",,Limestone,,N,Medinet Habu,,,Fan Over Barques of Khons and Mut,Partial,Figure 3. Swt fan over the barques of Khons andMut denoting the presence of the divine images. Medinet Habu. Dynasty 20.,uee1054,Article: Feathers|~|Horizontal|~|Engraved,p000243|~|UEE_1054v1_fig03|~|21198/zz00256swd,,,1195/1164,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307116,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nffp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025nffp/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025nfg6,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025nfg6_1703951_master.tif,,,,,,still image,Relief,copyrighted,,Oriental Institute of the University of Chicago,"Material Culture, Art and Architecture|~|Animal Materials",New Kingdom |~|19th Dynasty|~|Reign of Sety I,,,Limestone,,N,,,,Fan Held by Prince Ramesses,Partial,Figure 5. Fan (bht/xw) held by prince Ramessesbehind his father Sety I. OIM 10507. Dynasty 19.,uee1054,Courtesy of the Oriental Institute of the University of Chicago.|~|Article: Feathers|~|Horizontal|~|Engraved,OIM 10507|~|UEE_1054v1_fig05|~|21198/zz00256swd,,,1301/1290,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307117,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nfg6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025nfg6/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025q0px,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025q0px_1707924_master.tif,,,,,,still image,"Unspecified Warfare, Hunting, Fishing Equipment",copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology",,,,Flint / Chert,"Hikade, Thomas",N,,,,Making Bifacial Hand Axe,Total,Figure 1. Making a bifacial hand axe.,uee1067,Article: Stone Tool Production|~|Horizontal|~|Unspecified,UEE_1067v1_fig01|~|21198/zz0025h6kk,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307118,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025q0px,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025q0px/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025q0qf,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025q0qf_1707930_master.tif,,,,,,still image,"Unspecified Warfare, Hunting, Fishing Equipment",copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology",Prehistory|~|Middle Palaeolithic,,,Flint / Chert,"Hikade, Thomas",N,,,,Nubian Levallois Point Sequence,Total,Figure 3. Nubian Levallois point (sequence from top left to bottom right).,uee1067,Article: Stone Tool Production|~|Horizontal|~|Unspecified,UEE_1067v1_fig03|~|21198/zz0025h6kk,,,17500/4000,17500/4000,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307119,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025q0qf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025q0qf/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025q0rz,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025q0rz_1707953_master.tif,,,,,,still image,Knife,copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology",Predynastic Period|~|Maadi/Buto,,,Flint / Chert,"Hikade, Thomas",N,Maadi,,,Upper Egyptian Hemmamijje Knife,Total,Figure 10. Upper Egyptian Hemmamijje knifefound at Maadi.,uee1067,Article: Stone Tool Production|~|Horizontal|~|Unspecified,p000234|~|UEE_1067v1_fig10|~|21198/zz0025h6kk,,,4000/3400,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307120,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025q0rz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025q0rz/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025q0sg,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025q0sg_1707936_master.tif,,,,,,still image,"Unspecified Warfare, Hunting, Fishing Equipment",copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology",Prehistory|~|Epi-Palaeolithic,,,Flint / Chert,"Hikade, Thomas",N,,,,Helwan Points and Lunates,Total,Figure 5. “Helwan points” and lunates (afterSchmidt 1996b).,uee1067,Article: Stone Tool Production|~|Horizontal|~|Unspecified,UEE_1067v1_fig05|~|21198/zz0025h6kk,,,7000/6000,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307121,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025q0sg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025q0sg/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025q0t0,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025q0t0_1707947_master.tif,,,,,,still image,"Unspecified Warfare, Hunting, Fishing Equipment",copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology",Predynastic Period|~|Maadi/Buto,,,Flint / Chert,"Hikade, Thomas",N,Maadi,,,Micro Endscraper and Bladelet Core,Total,Figure 8. Micro endscraper and bladelet core from Maadi.,uee1067,Article: Stone Tool Production|~|Horizontal|~|Unspecified,p000234|~|UEE_1067v1_fig08|~|21198/zz0025h6kk,,,4000/3400,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307122,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025q0t0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025q0t0/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025q0vh,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025q0vh_1707941_master.tif,,,,,,still image,Knife,copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology",Predynastic Period|~|Late Naqada II (Upper Egypt),,,Flint / Chert,"Hikade, Thomas",N,Abydos,,,Fishtail Knife,Total,Figure 6. Fishtail knife from tomb U-127 from Cemetery U at Abydos.,uee1067,Article: Stone Tool Production|~|Horizontal|~|Unspecified,p000162|~|UEE_1067v1_fig06|~|21198/zz0025h6kk,,,3400/3300,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307123,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025q0vh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025q0vh/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025q0w1,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025q0w1_1707956_master.tif,,,,,,still image,Knife,copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology",Predynastic Period|~|Maadi,,,Flint / Chert,"Hikade, Thomas",N,Maadi,,,Upper Egyptian Rhomboid Flint Knife,Total,Figure 11. Upper Egyptian rhomboid flint knife found at Maadi.,uee1067,Article: Stone Tool Production|~|Horizontal|~|Unspecified,p000234|~|UEE_1067v1_fig11|~|21198/zz0025h6kk,,,4000/3400,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307124,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025q0w1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025q0w1/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025q0xj,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025q0xj_1707962_master.tif,,,,,,still image,"Unspecified Warfare, Hunting, Fishing Equipment",copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology",Early Dynastic Period|~|4th Dynasty|~|Old Kingdom|~|5th Dynasty|~|2nd Dynasty|~|1st Dynasty|~|3rd Dynasty,,,Flint / Chert,"Hikade, Thomas",N,Abydos|~|Elephantine,,,"Sequence of Regular, Bi-truncated Blade Tools",Total,"Figure 13. Sequence of regular, bi-truncated blade tools from Umm el-Qaab (1st Dynasty) and Elephantine Island (2nd to 5th Dynasty).",uee1067,Article: Stone Tool Production|~|Horizontal|~|Unspecified,21198/zz0025h6kk|~|p000446|~|p000206|~|UEE_1067v1_fig13,,,2950/2350,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307125,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025q0xj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025q0xj/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025q0z2,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025q0z2_1707927_master.tif,,,,,,still image,"Unspecified Warfare, Hunting, Fishing Equipment",copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology",Prehistory|~|Middle Palaeolithic,,,Flint / Chert,"Hikade, Thomas",N,,,,Levallois Flake and Point,Total,Figure 2. Levallois flake and point.,uee1067,Article: Stone Tool Production|~|Horizontal|~|Unspecified,UEE_1067v1_fig02|~|21198/zz0025h6kk,,,17500/4000,17500/4000,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307126,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025q0z2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025q0z2/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025q102,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025q102_1707950_master.tif,,,,,,still image,Axe,copyrighted,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology",Predynastic Period|~|Maadi/Buto,,,Flint / Chert,"Hikade, Thomas",N,Maadi,,,Flint Axe,Total,Figure 9. Flint axe from Maadi.,uee1067,Article: Stone Tool Production|~|Horizontal|~|Unspecified,p000234|~|UEE_1067v1_fig09|~|21198/zz0025h6kk,,,4000/3400,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307127,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025q102,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025q102/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025q11k,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0025q11k_1707959_master.tif,,,,,,still image,Figurine,copyrighted,,Hierakonpolis Expedition,"Material Culture, Art and Architecture|~|Technology",Predynastic Period|~|Late Naqada II (Upper Egypt),,,Flint / Chert,,N,,,,Flint Hippopotamus,Total,Figure 12. Flint hippopotamus from Hierakonpolis (c. 10 cm long).,uee1067,Photograph courtesy of TheHierakonpolis Expedition.|~|Article: Stone Tool Production|~|Horizontal|~|Unspecified,p000217|~|UEE_1067v1_fig12|~|21198/zz0025h6kk,,,3400/3300,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6307128,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025q11k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025q11k/manifest
