Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permissionNote,Rights.rightsHolderName,Subject.category,Subject.period,Name.photographer,Name.author,Physical-Description.material,Physical-Description.medium,Name.creator,Physical-Description.technique,Physical-Description.dimensions,Rights.permission,Coverage.discoveryLocation,Coverage.creationLocation,Subject.place,Name.repository,Physical-Description.extent,Coverage.currentRepository,Name.subject,Title,Description.view,Alt ID.uee,Description.caption,Relation.isPartOf,Description.note,Alt ID.ueePlaceID,Alt ID.local,Description.abstract,Alternate Title.Arabic,Alternate Title.French,Alternate Title.German,Date.normalized,Date.publication,Source,Description.angle,Description.direction,Date.captured,Alt ID.collection,Date.creation,Alternate Title.transliterated
UCLA Encyclopedia of Egyptology,ark:/21198/zz001nfbh0,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nfbh0%2Fgx17k45p,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Architecture|~|Visual Arts|~|Material Culture, Art and Architecture|~|Religion|~|Wooden Statuary|~|Tombs|~|Serdab|~|Personal Devotion|~|Mortuary Beliefs and Practices|~|Royal Mortuary Cult|~|Votive Practices|~|Private Mortuary Cult",,,"Harvey, Julia Carol",,,,,,Y,,,,,,,,Wooden Statuary,,uee1056,,,,,,"Wood was a widely used material for sculpture in ancient Egypt from the earliest times.  It was mostly native timber, but from the New Kingdom onwards, sculptors also used imported wood species.  The majority of extant examples are from funerary contexts, found in both private and royal tombs, although the art of fine wood carving was also employed for furniture and other ritual objects.",التماثيل الخشبية,Statuaire en bois,Holzstatuen,2009,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001nwz18,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nwz18%2Fz3596b2c,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religion,,,"Ikram, Salima",,,,,,Y,,,,,,,,Mummification,,uee1024,,,,,,"The ancient Egyptians carried out mummification, the artificial preservation of the body, to ensure the survival of the body after death. They believed that the dead body could be reanimated by the ka (spiritual essence) and that the destruction of the body threatened the survival of the soul and the individual’s identity for eternity. Mummification was used primarily by elites from the early Old Kingdom on, with variations becoming available for those of lesser social and economic standing over time. The word “mummy” is derived from the Persian and Arabic word “mum”, meaning liquid pitch, asphalt, or bitumen, a substance that the Arabs mistakenly thought was used to make mummies and responsible for their dark coloring.",التحنيط,Momification,Mumifizierung,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001nx697,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nx697%2F8v710g9w,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society|~|The State and its Institutions|~|Monarchy|~|Royal Titulary,,,"Leprohon, Ronald J.",,,,,,Y,,,,,,,,Patterns of Royal Name-Giving,,uee1086,,,,,,"In ancient Egypt the selection of royal names could follow a number of patterns, including borrowing from the ruler’s own family or from an illustrious predecessor. The names often announced a king’s policy or the situation in which the ruler found himself at his accession.",طرق تلقيب الملوك,Tendances dans la distribution du protocole royal,Muster in der königlichen Namensgebung,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0021bx22,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0021bx22%2Fgk87rs79,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture",,,"Borg, Barbara",,,,,,Y,,,,,,,,Painted Funerary Portraits,,uee1133,,,,,,"The term “painted funerary portraits” used here encompasses a group of portraits painted on either wooden panels or on linen shrouds that were used to decorate portrait mummies from Roman Egypt (conventionally called “mummy portraits”). They have been found in cemeteries in almost all parts of Egypt, from the coastal city of Marina el-Alamein to Aswan in Upper Egypt, and originate from the early first century AD to the mid third century with the possible exception of a small number of later shrouds. Their patrons were a wealthy local elite influenced by Hellenistic and Roman culture but deeply rooted in Egyptian religious belief. To date, over 1000 portraits, but only a few complete mummies, are known and are dispersed among museums and collections on every continent.",الصور الجنائزية الملونة,Portraits Funéraires Peints,Mumienporträts,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002311pm,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002311pm%2Fhd33d98k,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religion,,,"Guilhou, Nadine, 1951-",,,,,,Y,,,,,,,,Myth of the Heavenly Cow,,uee1004,,,,,,"The “Myth of the Heavenly Cow” is the conventional title of a mythological narrative that relates how humanity once rebelled against the sun god and how thereupon the sun god reorganized the cosmos. The narrative is embedded in the so-called Book of the Heavenly Cow, which is preserved in several versions dating to the New Kingdom. It is an etiological myth explaining the origins of certain natural phenomena and religious festivals as well as legitimizing the institution of Egyptian kingship.",أسطورة البقرة السماوية/ كتاب البقرة السماوية,Le mythe de la vache céleste/Le livre de la vache céleste,Der Mythos von der Himmelskuh/Das Buch von der Himmelskuh,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002311q4,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002311q4%2F3k524592,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture",,,"Brand, Peter J. (Peter James), 1967-",,,,,,Y,,,,,,,,Reuse and Restoration,,uee1085,,,,,,"Like members of all pre-modern societies, ancient Egyptians practiced various forms of recycling. The reuse of building materials by rulers is attested throughout Egyptian history and was motivated by ideological and economic concerns. Reuse of masonry from the dilapidated monuments of royal predecessors may have given legitimacy to newer constructions, but in some cases, economic considerations or even antipathy towards an earlier ruler were the decisive factors. Private individuals also made use of the tombs and burial equipment of others—often illicitly—and tomb robbing was a common phenomenon. Ultimately, many monuments were reused in the post-Pharaonic era, including tombs. Restoration of decayed or damaged monuments was a pious aspiration of some rulers. In the wake of Akhenaten’s iconoclastic vendetta against the god Amun and the Theban triad, his successors carried out a large-scale program of restoring vandalized reliefs and inscriptions. Restorations of Tutankhamun and Aye were often usurped by Horemheb and Sety I as part of the damnatio memoriae of the Amarna-era pharaohs. Post-Amarna restorations were sometimes marked by a formulaic inscribed “label.” Restoration inscriptions and physical repairs to damaged reliefs and buildings were also made by the Ptolemaic kings and Roman emperors.",إعادة الاستخدام والترميم,Réemploi et Restauration,Wiederverwendung und Restaurierung,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz00256swd,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00256swd%2F0j06rk58,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Animal Materials|~|Feathers",,,"Teeter, Emily",,,,,,Y,,,,,,,,Feathers,,uee1054,,,,,,"Throughout Egyptian history, feathers appear in purely utilitarian settings and also in ritual contexts where they ornament crowns and personify deities. Feathered fans were used to signal the presence of royal or divine beings, and feathers identified certain ethnic types. Feathers are known from representations and also actual examples recovered primarily from tombs.",الريش,Plumes,Federn,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025dxbr,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dxbr%2Fc167sk6v,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Uses and Applications|~|Liquids in Ritual|~|Food and Drink",,,"Poo, Mu-chou",,,,,,Y,,,,,,,,Liquids in Temple Ritual,,uee1088,,,,,,"In ancient Egypt the liquids most commonly used in temple rituals included wine, beer, milk, and water. The meaning of the ritual act was intimately related to the nature of the liquid employed, as well as to whatever religious and mythological associations the liquid was known to possess. With the exception of beer, all the ritual offerings of liquids were connected in some way with the idea of rejuvenation.",السوائل بطقوس المعابد,Les liquides utilisés dans les rituels du temple,Flüssigkeiten im Tempelritual,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025fks3,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025fks3%2Fr2069c4s,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religion,,,"Lucarelli, Rita, 1972-",,,,,,Y,,,,,,,,Demons (Benevolent and Malevolent),,uee1249,,,,,,"According to ancient Egyptian belief, the created world was populated by humans, spirits of deceased humans, deities, and a host of supernatural beings whose identities were never precisely defined. The Egyptian language refers to the first three categories as, respectively, rmT, Ax or mwt, and nTr, but lacks a proper term for the fourth class. Egyptians nonetheless recognized the existence of these beings, and we are therefore justified in studying them as an ontological category. Instead of defining “demons” as a uniform group, the Egyptians gave specific names and occasionally physical attributes to its individual classes and members. These names and associated iconography do not so much characterize what these demons are as identify what they do. From the perspective of humans, their behavior can be benevolent and malevolent. Two main classes of demons can be recognized: wanderers and guardians. Wandering demons travel between this world and the beyond acting as emissaries for deities or on their own accord. They can bring diseases, nightly terrors, and misfortune and are therefore basically malevolent. Guardian demons are tied to a specific locality, either in the beyond or on earth, and protect their locality from intrusion and pollution; as such, their function is rather benevolent. In the Late and Ptolemaic and Roman Periods, they came to be regarded as deities in their own right and received cult.",(العفاريت (الطيبة والمؤذية,Dämonen (wohlwollend und bösartig),Démons (bienveillant et malveillant),2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025h6fh,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h6fh%2F7b66bf2x,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture",,,"Brand, Peter J. (Peter James), 1967-",,,,,,Y,,,,,,,,Usurpation of Monuments,,uee1579,,,,,,"Usurpation was the practice by some Egyptian rulers of replacing the names of predecessors with their own on monuments such as temple reliefs and royal statuary. Usurpation was often carried out in connection with the damnatio memoriae of pharaohs such as Hatshepsut and Tutankhamen. Ramesses II usurped dozens of monuments of various Middle and New Kingdom predecessors, not to defame them but to promote his own kingship. In the later Ramesside Period, usurpation was again linked to damnatio memoriae. Usurpation for either reason continued in the Saite Period and, sporadically, into Ptolemaic and Roman times.",إعادة الاستخدام,Usurpation de monuments,Usurpierung von Monumenten,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025h6kk,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025h6kk%2Fzp103v5p,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology",,,"Hikade, Thomas",,,,,,Y,,,,,,,,Stone Tool Production,,uee1067,,,,,,"In ancient Egypt, flint or chert was used for knapped stone tools from the Lower Palaeolithic down to the Pharaonic Period. The raw material was available in abundance on the desert surface, or it could be mined from the limestone formations along the Nile Valley. While the earliest lithic industries of Prehistoric Egypt resemble the stone tool assemblages from other parts of Africa, as well as Asia and Europe, the later Prehistoric stone industries in Egypt had very specific characteristics, producing some of the finest knapped stone tools ever manufactured in the ancient world. Throughout Egypt’s history, butchering tools, such as knives and scrapers, and harvesting tools in the form of sickle blades made of flint, underlined the importance of stone tools for the agrarian society of ancient Egypt.",صناعة الأدوات الحجرية,Industrie lithique,Steingeräteherstellung,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025jxjn,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jxjn%2Fzt46ww05,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society|~|The State and its Institutions|~|Structures and Relationships in Society |~|Social Categories|~|Education / Apprenticeship ,,,"Lazaridis, Nikolaos, 1977-",,,,,,Y,,,,,,,,Education and Apprenticeship,,uee1139,,,,,,"The main purpose of education and apprenticeship in ancient Egypt was the training of scribes and of specialist craftsmen. The result of this profession-oriented educational system was restricted accessibility to schooling, most probably favoring male members of the Egyptian elite. Basic education offered in Egyptian local schools consisted of the teaching of language, mathematics, geography, and of other subjects appropriate for the preparation of potential scribes who were destined to work in local and national Egyptian institutions, such as the palace or the temples. The evidence for the existence of such an educational system in ancient Egypt comes mainly in the form of school exercises, schoolbooks, and references found in literary and documentary texts. There is comparatively less evidence, however, for the role of apprenticeship, which was a pedagogical method employed mainly for the training of craftsmen or for advanced and specialized education, such as that needed to become a priest. Although the main elements of pedagogy probably remained as such throughout Egyptian history, it is likely that foreign languages were taught from the New Kingdom onwards, culminating in the bilingual Egyptian-Greek education of the Ptolemaic and Roman Periods.",التعليم والتأهيل المهني,Éducation et apprentissage,Ausbildung und Lehre,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025k5gf,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025k5gf%2Frp62qx74,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Uses and Applications|~|Cult Objects|~|Shrine",,,"Spencer, Neal",,,,,,Y,,,,,,,,Shrine,,uee1144,,,,,,"Shrines, defined here as the architectural element immediately surrounding a sacred image, usually of a god, are attested throughout Pharaonic history, but with regional and chronological variations very evident. The architectural form of Egyptian shrines was developed from that of archaic “tent-shrines” made of timber and matting, but later shrines represent a distillation of formal temple architecture. Eventually, the classic shrine-forms were deployed in non-temple contexts.",الناووس,Naos|~|Portatif,Schrein,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025k5hz,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025k5hz%2F3j998t6x,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religion|~|Deified Humans,,,"Von Lieven, Alexandra",,,,,,Y,,,,,,,,Deified Humans,,uee1278,,,,,,"In ancient Egypt, humans were occasionally the recipients of cult as saints or even deities after their death. Such deified humans could be private persons as well as royalty, men as well as women. The cults were usually of local significance, but in certain cases, they rose to national prominence. The phenomenon of human deification is well attested in ancient Egypt and appears to have become more prominent and diversified over time. There existed a hierarchy within the group of deified humans. Local patrons and “wise” scribes seem to have been favored objects of deification. Nevertheless, it remains virtually impossible in most cases to determine why one individual was deified and another was not.",البشر المؤلهيين,Personnes divinisés,Vergöttlichte Menschen,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025n765,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025n765%2Fcj159h2w,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religion|~|Opet Festival,,,"Darnell, John Coleman",,,,,,Y,,,,,,,,Opet Festival,,uee1131,,,,,,"The annual Opet Festival, during which the bark of Amun—and ultimately those of Mut, Khons, and the king as well—journeyed from Karnak to Luxor, became a central religious celebration of ancient Thebes during the 18th Dynasty. The rituals of the Opet Festival celebrated the sacred marriage of Amun—with whom the king merged—and Mut, resulting in the proper transmission of the royal ka and thus ensuring the maintenance of kingship.",عيد الأوبت,Fête d’Opet,Opetfest,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025nqg2,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025nqg2%2F0t24d91p,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society|~|Conceptions of Person|~|Body,,,"Riggs, Christina",,,,,,Y,,,,,,,,Body,,uee1149,,,,,,"The human body is both the physical form inhabited by an individual “self” and the medium through which an individual engages with society. Hence the body both shapes and is shaped by an individual’s social roles. In contrast to the cognate fields of archaeology, anthropology, and classics, there has been little explicit discussion or theorization of the body in Egyptology. Some recent works, discussed here, constitute an exception to this trend, but there is much more scope for exploring ancient Egyptian culture through the body, especially as evidenced in works of art and pictorial representation.",الجسد,Corps,Körper,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025qh2v,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025qh2v%2Fm286642d,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Archaism",,,"Kahl, Jochem",,,,,,Y,,,,,,,,Archaism,,uee1058,,,,,,"Certain features of ancient Egyptian culture display a conscious return to bygone times. Texts, architecture, and works of art often referred to elements of the remote past. This revival of the past is known as “archaism,” provided that there was a substantial gap in time between the model and the copy, and that the elements referred to had fallen out of use. Archaism appears to have been an elite phenomenon and is found in the royal as well as the (elite) non-royal sphere. It occurred during the Pharaonic Period, from at least the Old Kingdom onward, and was most obvious during the Third Intermediate and Late Periods.",العودة إلى الطرازات القديمة من العهود السابقة,Archaïsme,Archaismus,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025sr1m,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025sr1m%2Fw7279q17,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Child Deities,,,"Budde, Dagmar",,,,,,Y,,,,,,,,Child Deities,,uee1041,,,,,,"Child deities constitute a unique class of divinities in Egyptian religion. A child deity is the child member (usually male) in a divine triad, constituting a family of father, mother, and child. The theology of child deities centered on fertility, abundance, and the legitimation of royal and hereditary succession. Child deities grew in importance in temple cult and popular worship in the first millennium BCE and became particularly prominent in the Ptolemaic and Roman Periods.",الآلهة على هيئة الطفل,Dieux enfants,Kindgötter,2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0025sr24,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025sr24%2Fg380wc1v,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Tool and Instruments",,,"Nicholson, Paul T.",,,,,,Y,,,,,,,,Kilns and Firing Structures,,,,,,uee1080,,"The purpose of firing pottery is to change clay, a plastic material, into ceramic, which is aplastic. Examined here are structures designed to fire pottery or faience or to make glass (although the latter might be better described as furnaces). Firing can take place in an open, bonfire-like environment, which can also be enclosed as a firing structure. Beyond this is the development of the true kiln of which there are two main types: updraft and downdraft. The first of these is by far the most common on archaeological sites throughout the world dating to before the nineteenth century CE. Here the firing technology of ancient Egypt is discussed in particular.",الأفران,"Fours et structures de cuisson (céramique, faience, verre)",Brennöfen und Schmelzöfen (ausser Metallverarbeitung),2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0026v3wp,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026v3wp%2Fkh63ct0z,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Predynastic Period|~|Qena|~|Hiw,,,"Hikade, Thomas",,,,,,Y,,,,,,,,Hiw (Predynastic),,uee1842,,,,,,"The Predynastic remains of the Hiw region (Diospolis Parva) are mainly from cemetery sites first excavated by W. M. Flinders Petrie at the end of the nineteenth century. They cover the material culture of most of the 4th millennium BCE. Although reportedly more than 1100 Predynastic tombs were excavated, the sites have remained some of the poorest published Predynastic cemeteries in Egypt.",(منطقة هيو (ما قبل الأسرات,Hiw (Predynastique),Hiw (Prädynastisch),2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0026v548,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026v548%2Ffs59j687,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Esna|~|Edfu,,,"Hallof, Jochen",,,,,,Y,,,,,,,,The Temple of Esna North,,uee1847,,,,,,"The temple at Esna North was the main temple of the local deity Khnum-Ra, Lord of the Field (3nmw-Ra nb sxt). Its ancient name was Pr-3nmw-n-sxt. Only little information about this temple is available, because the building, first seen and described by Claude Sicard in 1718, was demolished shortly after a visit by Jean François Champollion in 1829. The temple consisted of a hypostyle hall and adjacent undecorated chambers. It can be regarded as a smaller copy of the Temple of Esna. Like its model, the hypostyle hall was decorated with an astronomical ceiling, and the outer walls of the hypostyle hall showed the king smiting enemies. The temple of Esna North was erected and decorated in Ptolemaic and Roman times.",معبد إسنا الشمالي,Le temple d’Esna nord,Der Tempel von Esna Nord,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0026vtgm,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026vtgm%2F2h86m483,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society|~|Structures and Relationships in Society |~|Social Categories,,,"Moreno Garcia, Juan Carlos ",,,,,,Y,,,,,,,,Village,,uee1805,,,,,,"Villages were the backbone of rural organization in Pharaonic Egypt. Inner solidarity and family ties are recorded in literary texts as well as by the use of certain terms, which highlight their “clanic” structure, at least from the New Kingdom on. The relations between villages, royal administration, and institutional centers like the temples or the domains of the crown enabled the rural elite to enhance their status and wealth, thus preserving inequalities while providing paths to social elevation. But specific village values centered on solidarity, the praise of fellow citizens, and the celebration of prominent local ancestors served to strengthen the communal ties of its members.",القرية,Village,Dorf,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0026wfgr,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0026wfgr%2F6334rp78,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Architecture|~|Material Culture, Art and Architecture|~|Birth House (Mammisi)",,,"Kockelmann, Holger",,,,,,Y,,,,,,,,Mammisi (Birth House),,uee1522,,,,,,"Egyptian birth houses (mammisis) are an important feature of many Late Period and Ptolemaic and Roman temple complexes. Being small temple edifices in their own right, their decoration is dominated by scenes that relate to the nativity and bringing up of the divine child of a local triad. As the young god was identified with the king, birth houses were also places devoted to the cult of the living ruler.",بيوت الولادة,Temple de la naissance,Geburtshaus,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0027fc04,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027fc04%2F22032f69,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society|~|Gender (including sexuality)|~|Rites of Passage|~|Private Life|~|Initiation Rituals,,,"Sweeney, Deborah",,,,,,Y,,,,,,,,Defining sex and gender,,uee1558,,,,,,"Masculinity, femininity, and possibly other (intersexual) genders in ancient Egypt were expressed in, and simultaneously shaped by, many different contexts, such as material culture, artistic representation, burial equipment, texts, and the use of space. Ideally, gender should be investigated in combination with other factors, such as social standing, ethnicity and/or age, focusing on specific periods, places, professions, and/or social settings to avoid over-generalization.",الجنس والنوع,Sexe et genre (gender),Geschlecht und Gender,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0027fcnz,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0027fcnz%2Fbx74t21j,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Geography,,,"Millet, Marie|~|Masson, Aurélia",,,,,,Y,,,,,,,,Karnak: Settlements,,uee1176,,,,,,"At Karnak, in addition to the well known temples, there is another type of architecture: the settlements. They are a testimony of the everyday life of the ancient Egyptians for which remains have been found throughout all of the temples of Karnak. Continuous occupation from the First Intermediate Period until the Late Roman Period is well attested at different locations in the complex of Karnak. Settlements are easily recognizable by their use of brick, especially mud-brick. The artifacts and organic remains found during new excavations of settlements give us a good idea of the inhabitants and their daily life.",الكرنك: المناطق السكنية,Karnak: L’habitat,Karnak: Siedlungen,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0028961v,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0028961v%2Fng86hv74,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Cosmogony|~|Religion|~|Religious Concepts and Beliefs,,,"McClain, Brett",,,,,,Y,,,,,,,,Cosmogony (Late to Ptolemaic and Roman Periods),,uee1036,,,,,,"Cosmogonies of Late Period and Ptolemaic and Roman Egypt are founded upon those of the earlier “classic” ages, incorporating old texts and themes but elaborating them to form new compositions, synthesizing elements of the major Heliopolitan, Memphite, and Hermopolitan theologies with texts and rituals more specific to the deities of local cult centers, as well as newly developed theological concepts.",(نظرية الخلق (من العصر المتأخر حتى العصرين البطلمى والرومانى,Cosmogonie (basse époque et époque gréco-romaine),Kosmogonie (Spätzeit und griechisch-römische Zeit),2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz00293crv,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00293crv%2Fmk26bn1c,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,el-Moalla,,,"Manassa, Colleen",,,,,,Y,,,,,,,,El-Moalla to El-Deir,,uee1603,,,,,,"The 3rd nome of Upper Egypt possessed several regional power centers during Pharaonic history, including its nome capital (Nekhen/Elkab) in the south and the urban centers of Hefat and Gebelein near the northern border of the nome. Several important sites occupy the area between el-Moalla and el-Deir, including necropolises, settlement areas, and an ancient road leading into the Eastern Desert. Textual evidence, particularly the autobiography of Ankhtifi, combined with archaeological material enables a preliminary reconstruction of the political history, social character, and cult topography of this regional unit.",من المعلا الي الدير,El-Moalla à el-Deir,El-Moalla bis el-Deir,2011,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz002b227q,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002b227q%2Fs2113v93,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Deir el-Medina,,,"Toivari-Viitala, Jaana",,,,,,Y,,,,,,,,Deir el-Medina (Development),,uee1615,,,,190,,"The site of Deir el-Medina, located in a desert valley on the west bank of Luxor, was conceived as sacred ground. Tombs were built there as early as the Middle Kingdom and a village settlement housing the royal-tomb builders was founded on the site in the early New Kingdom. The workmen’s village gradually became surrounded by chapels and temples. Although the settlement was abandoned by the end of the New Kingdom, the site was still used for burials and for religious devotion. During the Ptolemaic Period a sandstone temple dedicated to the goddess Hathor was built there. A small chapel was added to it in Roman times. The Copts later converted the temple into a church and a monastery, to which the Arabic name of the site refers.",(دير المدينة (تطور الموقع,"Deir el-Médineh, Développement","Deir el-Medine, Entwicklung",2011,,,,,,,,
