Object Type,Title,Local identifier,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Work,"National basket competition, National Art Gallery, 1980",fp_medu_046,ark:/21198/z1bk35zm,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day02_Session04-292.tif,,,,1980,1980,,,"National basket competition, National Art Gallery. 15 May - 20 May, 1980.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk35zm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bk35zm/manifest
Work,"70 Years of resistance : long live the ANC, South Africa, 1982",fp_medu_047,ark:/21198/z16x14p2,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-064.tif,,,,1982,1982,,,70 years of resistance: Long live ANC (South Africa),,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x14p2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16x14p2/manifest
Work,"Gorden Metz: Paintings, Drawings & Sculpture at National Art Gallery, 1980",fp_medu_048,ark:/21198/z1350d1z,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-144.tif,,,,1980,1980,,,"Gordon Metz, Painting, drawings and sculpture, National Art Gallery, 3rd - 5th of July, 1980.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1350d1z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1350d1z/manifest
Work,"Settlement symposium at the National Museum and Art Gallery, Gaborone, Botswana",fp_medu_049,ark:/21198/z1zc9wk5,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-143.tif,,,,Between 1979-1985,1979/1985,,,"Settlement symposium at the National Museum and Art Gallery, 4th - 8th Aug. Post office box 71 Gaborone Botswana, organized by the Botswana Society",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zc9wk5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zc9wk5/manifest
Work,"Annet Essers: painting, drawing, weaving, National Art Gallery, 1980",fp_medu_051,ark:/21198/z1tm94sx,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-164.tif,,,,1980,1980,,,"Annet Essers: painting, drawing, weaving, National Art Gallery. 19-29 June 1980.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm94sx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tm94sx/manifest
Work,"Tlang kwa Museum 29 Ngwanatsele, 1980",fp_medu_052,ark:/21198/z1pv8d0q,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-142.tif,,,,1980,1980,,,"Tlang kwa Museum 29 Ngwanatsele 1980 9am - 10pm Mmino wa Setswana, Metshameko, Mainance, Diphologolo, Ditshwantsho, Le tse dingwe",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv8d0q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pv8d0q/manifest
Work,"National Art Competition: entries to the National Art Gallery exhibition, 1980",fp_medu_053,ark:/21198/z1k37n7v,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day02_Session07-486.tif,,,,1980,1980,,,"1980 National Art Competition: craftwork, Sculpture, painting, photography, filmmaking, drawing, printmaking, 1000 Pula in prizes, entries to the National Art Gallery exhibition: 8-18 Oct, Closing Date: 26 Sept Open to everyone living in Botswana",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37n7v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k37n7v/manifest
Work,Masekela along with the impressive Kalahari,fp_medu_054,ark:/21198/z1fb6wk1,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session03-232.tif,,,,Between 1979-1985,1979/1985,,,Masekela along with the impressive Kalahari. Medu,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb6wk1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fb6wk1/manifest
Work,"Statements in spring' an art exhibition by Thami Mnyele. National Art Gallery, Gaborone, Botswana, 1980",fp_medu_055,ark:/21198/z19p4v7k,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-158.tif,,,,1980,1980,,,Statements in Spring: an art exhibition by Thami Mnyele. National Art Gallery 3-12 September 1980.,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p4v7k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19p4v7k/manifest
Work,Aluta continua,fp_medu_056,ark:/21198/z15x43k4,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-166.tif,,,,Between 1979-1985,1979/1985,,,"Aluta continua in Angola, in Namibia, the Matola raid in Maputo, Joe Gqadi's assassination in Zimbabwe, and first and last the daily aggression against people living in the Republic of South Africa itself. SA Military Aggression 'Whom the gods would destroy, they first make mad."" Medu Art Ensemble",,1 poster,,posters,eng|~|por,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x43k4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15x43k4/manifest
Work,"Culture and Resistance: Symposium and Festival, Gaborone, 1982",fp_medu_057,ark:/21198/z1253bw5,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-020.tif,,,,1982,1982,,,"Culture and resistance symposium and festival, Gaborone. July 5th - 9th. Poster by Medu Art Ensemble",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1253bw5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1253bw5/manifest
Work,"Unity is Power, 1979",fp_medu_059,ark:/21198/z1xd2vb0,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-033.tif,,,,1979,1979,,,,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2vb0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xd2vb0/manifest
Work,"Boiteko theatre unit presents a ploy, and poetry with music accompaniment: From Maseru",fp_medu_060,ark:/21198/z1sn23k6,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-146.tif,,,,Between 1979-1985,1979/1985,,,"Boiteko theatre unit presents a play, and poetry with music accompaniment: From Maseru On 8, 10, 11 November Admission : P2 Ngwedi Graphics",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn23k6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sn23k6/manifest
Work,"Education oppression humiliation: Smash Bantu Education, 1980",fp_medu_061,ark:/21198/z1nw1bvg,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-069.tif,,,,1980,1980,,,"Education oppression humiliation, Smash Bantu Education, misery illiteracy, oppression, humiliation, repression, mutilation.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw1bvg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nw1bvg/manifest
Work,Drawing,fp_medu_063,ark:/21198/z1j40m6c,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-205.tif,,,,,,,,,,1 drawing,,drawings,,"Pelo, Miles",,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40m6c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j40m6c/manifest
Work,"Let us support the fight in Nyanga, Kromdraai, Crossroads, Soekmakaar, the people say: no to resettlement, 1981",fp_medu_064,ark:/21198/z1df8js2,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-207.tif,,,,1981,1981,,,"Let us support the fight in Nyanga, Kromdraai, Crossroads, Soekmakaar, the people say: no to resettlement. Medu Art Ensemble.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8js2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1df8js2/manifest
Work,June 16: The courage of the youth ensures our victory,fp_medu_065,ark:/21198/z18p7t53,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-176.tif,,,,Between 1979-1985,1979/1985,,,June 16: The courage of the youth ensures our victory. Medu Art Ensemble,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p7t53,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18p7t53/manifest
Work,"Emilio Moliner painting, National Art Gallery, 1981",fp_medu_067,ark:/21198/z14x72fr,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session03-234.tif,,,,1981,1981,,,"Fmilio Moliner painting, National Art Gallery. 11-12 February, 1981.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x72fr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14x72fr/manifest
Work,Itumeleng films present: video films festival at the University of Botswana,fp_medu_068,ark:/21198/z11569pw,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-147.tif,,,,Between 1979-1985,1979/1985,,,"Itumeleng films present: Ituleleng Films/Medu Art Ensemble in cooperation with Southern African Arts Trust Fund presents a video films festival, University of Botswana; Science Lecture Theatre, July 11-20, 8:00 pm (1-2 hours per evening) ...",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11569pw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11569pw/manifest
Work,Forward with unity! August 9th: 26th anniversary of South African womenâ€™s day,fp_medu_069,ark:/21198/z1wd5t4q,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-111.tif,,,,Between 1979-1985,1979/1985,,,"Forward with unity! The fighters who raise, teach and nurture the cream of our struggle still fight on: 25th anniversary of S.A. womenâ€™s day, Aug. 9th.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5t4q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wd5t4q/manifest
Work,"Welcome Home Dorothy [Nyembe], 1984",fp_medu_070,ark:/21198/z1rn52ft,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-131.tif,,,,1984,1984,,,Welcome Home Dorothy,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn52ft,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rn52ft/manifest
Work,"Namibia - Swapo will make the sun rise, 1981",fp_medu_072,ark:/21198/z1mw49s0,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-074.tif,,,,1981,1981,,,Namibia: the sun will rise. MEDU Art Ensemble.,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw49s0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mw49s0/manifest
Work,"June 16: The courage of the youth ensures our victory, 1981",fp_medu_073,ark:/21198/z1h728dd,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-091.tif,,,,1981,1981,,,June 16: courage of the youth ensures our victory. MEDU Art Ensemble,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h728dd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h728dd/manifest
Work,"December 16 - Heroes Day, 1983",fp_medu_075,ark:/21198/z1cg1hrk,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-151.tif,,,,1983,1983,,,"December 16 Heroes day. We salute the martyrs of freedom! Pick up the guns of the Mahlangus, Mosologis,Mogoeranes and fight on. Swell the ranks of UMKHONTO SE SIZWE. The key is organization. Workers, students, women, and cultural works mobilize and Unite - Smash Botha's Regime African National Congress (South Africa)",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg1hrk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cg1hrk/manifest
Work,"This is our land: no rent increase for matchboxes, 1981",fp_medu_076,ark:/21198/z17q0s35,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day02_Session04-299.tif,,,,1981,1981,,,This is our land: no rent increase for matchboxes. MEDU Art Ensemble.,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0s35,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17q0s35/manifest
Work,"Conference folder Cover, Culture and Resistance Symposium and Festival, Gaborone, 1982",fp_medu_077,ark:/21198/z13z019x,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-184.tif,,,,1982,1982,,,,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13z019x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13z019x/manifest
Work,"Amandla: the time has come for us to plan action that will put a stop to detention, 1981",fp_medu_078,ark:/21198/z10598jh,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-067.tif,,,,1981,1981,,,,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10598jh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10598jh/manifest
Work,June 16: The courage of the youth ensures our victory,fp_medu_080,ark:/21198/z1vd8s27,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-178.tif,,,,Between 1979-1985,1979/1985,,,June 16: The courage of the youth ensures our victory. MEDU Art Ensemble,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8s27,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vd8s27/manifest
Work,Gwangwa Shakawe,fp_medu_081,ark:/21198/z1qr6qqc,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day02_Session04-287.tif,,,,Between 1979-1985,1979/1985,,,"Gwangwa Shakawe. Shakawe band. Bamba, Steve ... Tony Jappie and Bro Jonas Gwangwa & Dennis Mpole. Poster by Ngwedi Graphics. Medu Arts",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qr6qqc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qr6qqc/manifest
Work,"Unity is Power, 1979",fp_medu_082,ark:/21198/z1m0602n,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-087.tif,,,,1979,1979,,,,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m0602n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m0602n/manifest
Work,"Namibia - Swapo will make the sun rise , 1981",fp_medu_083,ark:/21198/z1g757dt,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-072.tif,,,,1981,1981,,,Namibia: SWAPO will make the sun rise. MEDU Art Ensemble.,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g757dt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1g757dt/manifest
Work,June 16: The courage of the youth ensures our victory,fp_medu_084,ark:/21198/z1bg4gqj,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-177.tif,,,,Between 1979-1985,1979/1985,,,June 16: The courage of the youth ensures our victory. Medu Art Ensemble,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4gqj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bg4gqj/manifest
Work,"Education oppression humilation: Smash Bantu education, 1980",fp_medu_085,ark:/21198/z16q3qwg,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-070.tif,,,,1980,1980,,,"Smash Bantu Education, misery illiteracy, oppression, humiliation, repression, mutilation.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3qwg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16q3qwg/manifest
Work,"The spear fights on Isandlwena, 1979",fp_medu_086,ark:/21198/z12z3043,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-068.tif,,,,1979,1979,,,,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z3043,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12z3043/manifest
Work,"Medu presents a play, Marumo, Gabarone's Town Hall, 1979",fp_medu_087,ark:/21198/z1z62gp5,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-152.tif,,,,1979,1979,,,"Medu presents a play Marumo, Gaborone's town hall. P 1.00, 7pm. 5 July .",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z62gp5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z62gp5/manifest
Work,The 'new' black middle class is a tool of the white baas,fp_medu_088,ark:/21198/z1tj0f8t,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-121.tif,,,,1980,1980,,,The 'new' black middle class is a tool of the white baas.,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tj0f8t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tj0f8t/manifest
