Item ARK,Parent ARK,Parent ARK,Object Type,Title,STAGE URL,Thumbnail,File Name,AltTitle.other,Item Sequence,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal,viewingHint,IIIF Manifest URL
ark:/21198/z1wm36hh,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait of a member of the Palestinian resistance,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1wm36hh,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x65k1q,0038so00424_DC01-M.tif,,,Chafic el Soussi Collection,,1970-1981,1970/1981,,,,9.7 cm x 14.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00424|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,political identity|~|patriotic representation,Tyre (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wm36hh/manifest
ark:/21198/z1rv2fw4,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait of a member of the Palestinian resistance,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1rv2fw4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np42kn,0038so00425_DC01-M.tif,,,Chafic el Soussi Collection,,1970-1981,1970/1981,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00425|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,political identity|~|patriotic representation,Tyre (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rv2fw4/manifest
ark:/21198/z1n31q37,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait of a member of the Palestinian resistance,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1n31q37,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d818j7,0038so00426_DC01-M.tif,,,Chafic el Soussi Collection,,1970-1981,1970/1981,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00426|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,political identity|~|patriotic representation,Tyre (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n31q37/manifest
ark:/21198/z1hb0z9m,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1hb0z9m,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9s1r,0038so00427_DC01-M.tif,,,Chafic el Soussi Collection,,1970-1981,1970/1981,,,,9.7 cm x 14.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00427|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|friendship,Tyre (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hb0z9m/manifest
ark:/21198/z1ck06jt,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portraits of members of the Palestinian resistance,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1ck06jt,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w68hwx,0038so00428_DC01-M.tif,,,Chafic el Soussi Collection,,1970-1981,1970/1981,,,,9.7 cm x 14.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00428|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|political identity|~|patriotic representation,Tyre (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ck06jt/manifest
ark:/21198/z17s9fv0,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait of a member of the Palestinian resistance,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z17s9fv0,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms5qx3,0038so00429_DC01-M.tif,,,Chafic el Soussi Collection,,1970-1981,1970/1981,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00429|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,political identity|~|patriotic representation,Tyre (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17s9fv0/manifest
ark:/21198/z1418q7b,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait of members of the Palestinian resistance,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1418q7b,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c847cd,0038so00430_DC01-M.tif,,,Chafic el Soussi Collection,,1970-1981,1970/1981,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00430|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,political identity|~|patriotic representation|~|cultural identity,Tyre (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1418q7b/manifest
ark:/21198/z10c6nwg,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z10c6nwg,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2qzd,0038so00431a_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00431a|~|Collection 0038so|~|Box 64,Anis el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,social status|~|authority|~|religion|~|clergy|~|monk|~|christianity,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10c6nwg/manifest
ark:/21198/z1vm65f1,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1vm65f1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vb0668,0038so00432_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,9.7 cm x 14.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00432|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|traditional attire,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vm65f1/manifest
ark:/21198/z1qv5dq9,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1qv5dq9,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8pqt,0038so00433_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,9.7 cm x 14.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00433|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|married couple|~|marriage|~|bride|~|groom,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qv5dq9/manifest
ark:/21198/z1m34nwj,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1m34nwj,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b87671,0038so00434_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,9.7 cm x 14.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00434|~|Collection 0038so|~|Box 64,Anis el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,wedding garments|~|marriage|~|gender norms,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m34nwj/manifest
ark:/21198/z1gb3x4s,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1gb3x4s,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12r5pvg,0038so00435_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00435|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|gender norms|~|attitudes and poses,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gb3x4s/manifest
ark:/21198/z1bk35gb,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1bk35gb,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tb352w,0038so00436_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00436|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|attitudes and poses,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bk35gb/manifest
ark:/21198/z16x145b,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z16x145b,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jt1nh3,0038so00437_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00437|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|gender norms|~|attitudes and poses,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16x145b/manifest
ark:/21198/z1350cht,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Family portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1350cht,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz199054n,0038so00438_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00438|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|femininity,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1350cht/manifest
ark:/21198/z1zc9w3w,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1zc9w3w,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11v7c3c,0038so00439_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,9.7 cm x 14.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00439|~|Collection 0038so|~|Box 64,Anis el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|gender stereotypes,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zc9w3w/manifest
ark:/21198/z1tm949n,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1tm949n,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sb63v6,0038so00440_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,9.7 cm x 14.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00440|~|Collection 0038so|~|Box 64,Anis el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tm949n/manifest
ark:/21198/z1pv8ch1,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1pv8ch1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4md5,0038so00441_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,9.7 cm x 14.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00441|~|Collection 0038so|~|Box 64,Anis el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|attitudes and poses,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pv8ch1/manifest
ark:/21198/z1k37mr5,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1k37mr5,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz189341q,0038so00442_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,9.7 cm x 14.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00442|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|gender stereotypes|~|role play,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k37mr5/manifest
ark:/21198/z1fb6w3r,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1fb6w3r,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w09z4,0038so00443_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00443|~|Collection 0038so|~|Box 64,Chafic el Soussi |~| Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|gender stereotypes|~|role play,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fb6w3r/manifest
ark:/21198/z19p4tqf,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Snapshot showing personal belongings stacked in a church,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z19p4tqf,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb92pc,0038so00444_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,6.1 cm x 9.5 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00444|~|Collection 0038so|~|Box 64,Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,religious building|~|christianity,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19p4tqf/manifest
ark:/21198/z15x432d,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z15x432d,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt7k97,0038so00445_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00445|~|Collection 0038so|~|Box 64,Studio Soussi,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties|~|gender norms|~|attitudes and poses,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15x432d/manifest
ark:/21198/z1253bdw,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1253bdw,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4s98,0038so00446_DC01-M.tif,,,Chafic el Soussi Collection,,1950,1950,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0038so00446|~|Collection 0038so|~|Box 64,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family|~|family ties,Saida (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1253bdw/manifest
ark:/21198/z1xd2tv9,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait of a bride and a groom,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1xd2tv9,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw3j1r,0072sr00001_DC01-M.tif,,,Studio Roy Collection,,1930-1970,1930/1970,,,,14.7 cm x 9.7 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0072sr00001|~|Collection 0072sr|~|Box 57,Studio Roy,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,wedding garments|~|marriage|~|gender norms|~|couple|~|married couple|~|commemoration|~|celebration|~|tradition|~|customs|~|posing|~|smoking|~|bride|~|groom,Alexandria (Egypt)|~|Egypt,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xd2tv9/manifest
ark:/21198/z1sn233x,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait of a bride and a groom,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1sn233x,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc21k0,0072sr00002_DC01-M.tif,,,Studio Roy Collection,,1930-1970,1930/1970,,,,14.5 cm x 9.6 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0072sr00002|~|Collection 0072sr|~|Box 57,Studio Roy,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,wedding garments|~|marriage|~|gender norms|~|couple|~|married couple|~|commemoration|~|celebration|~|tradition|~|military|~|army|~|customs|~|posing|~|bride|~|groom,Alexandria (Egypt)|~|Egypt,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sn233x/manifest
ark:/21198/z1nw1bbr,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Bridal studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1nw1bbr,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0j5d,0072sr00003_DC01-M.tif,,,Studio Roy Collection,,1930-1970,1930/1970,,,,14.5 cm x 9.6 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0072sr00003|~|Collection 0072sr|~|Box 57,Studio Roy,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,wedding garments|~|marriage|~|gender norms|~|commemoration|~|celebration|~|tradition|~|customs|~|posing|~|bride,Alexandria (Egypt)|~|Egypt,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nw1bbr/manifest
ark:/21198/z1j40kp7,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait of a bride and a groom,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1j40kp7,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7r5w,0072sr00004_DC01-M.tif,,,Studio Roy Collection,,1930-1970,1930/1970,,,,14.5 cm x 9.6 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0072sr00004|~|Collection 0072sr|~|Box 57,Studio Roy,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,wedding garments|~|marriage|~|gender norms|~|couple|~|married couple|~|commemoration|~|celebration|~|tradition|~|customs|~|posing,Alexandria (Egypt)|~|Egypt,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j40kp7/manifest
ark:/21198/z1df8j9s,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Bridal studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1df8j9s,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw6gwz,0072sr00005_DC01-M.tif,,,Studio Roy Collection,,1930-1970,1930/1970,,,,14.8 cm x 9.8 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0072sr00005|~|Collection 0072sr|~|Box 57,Studio Roy,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,wedding garments|~|marriage|~|gender norms|~|commemoration|~|celebration|~|tradition|~|customs|~|posing|~|bride,Alexandria (Egypt)|~|Egypt,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1df8j9s/manifest
ark:/21198/z18p7spd,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait of a bride and a groom,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z18p7spd,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc50hh,0072sr00006_DC01-M.tif,,,Studio Roy Collection,,1930-1970,1930/1970,,,,14.5 cm x 9.6 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0072sr00006|~|Collection 0072sr|~|Box 57,Studio Roy,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,wedding garments|~|marriage|~|gender norms|~|couple|~|married couple|~|commemoration|~|celebration|~|tradition|~|military|~|army|~|customs|~|posing|~|bride|~|groom,Alexandria (Egypt)|~|Egypt,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18p7spd/manifest
ark:/21198/z14x71z2,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z14x71z2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz26gs,0072sr00007_DC01-M.tif,,,Studio Roy Collection,,1930-1970,1930/1970,,,,14.4 cm x 9.5 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0072sr00007|~|Collection 0072sr|~|Box 57,Studio Roy,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,family ties|~|family|~|intergenerational|~|motherhood|~|fatherhood|~|sisterhood|~|siblinghood|~|childhood|~|babyhood|~|posing,Alexandria (Egypt)|~|Egypt,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14x71z2/manifest
ark:/21198/z115696m,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Wedding studio portrait,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z115696m,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0pzr,0072sr00008_DC01-M.tif,,,Studio Roy Collection,,1930-1970,1930/1970,,,,14.4 cm x 9.5 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0072sr00008|~|Collection 0072sr|~|Box 57,Studio Roy,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,wedding garments|~|marriage|~|gender norms|~|couple|~|married couple|~|commemoration|~|celebration|~|tradition|~|customs|~|family ties|~|posing|~|bride|~|groom,Alexandria (Egypt)|~|Egypt,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz115696m/manifest
ark:/21198/z1wd5sn1,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Studio portrait of a bride and a groom,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1wd5sn1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww9fs1,0072sr00009_DC01-M.tif,,,Studio Roy Collection,,1930-1970,1930/1970,,,,14.4 cm x 9.5 cm,1 photograph,Gelatin silver negative on cellulose acetate film,black-and-white photographs,,0072sr00009|~|Collection 0072sr|~|Box 57,Studio Roy,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,wedding garments|~|marriage|~|gender norms|~|couple|~|married couple|~|commemoration|~|celebration|~|tradition|~|customs|~|posing|~|bride|~|groom,Alexandria (Egypt)|~|Egypt,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wd5sn1/manifest
