Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Name.subject,Subject,Name.architect,Language,Name.creator,Name.artist,Name.sculptor,Name.photographer,Name.repository,Relation.isPartOf,Alt ID.local,Title,Description.note,Description.fundingNote,Format.extent,Format.medium,Coverage.geographic,Description.caption,Date.normalized,Date.creation,Coverage.spatialLongitude,Coverage.spatialLatitude,Format.dimensions
"West (H. H.), Collection Number 1998",ark:/21198/zz002km9tz,ark:/21198/zz002kkz4b,1,In progress,Page,hhwest/image/srgb/21198-zz002km9tz_2416542_master.tif,72,private,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_072,Page 065,"Four photographs of fishing, and San Gabriel Mission.|~|[caption]H.H. West fishing the Fan Gabriel River about 1905.H.H. Cooper and I drive out one Sunday to San Gabriel Mission. 1898.Two views of San Gabriel Mission in April 1898.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km9w0,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km9w0_2416545_master.tif,73,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_073,Page 066,"[newspaper clipping]First Capitol of California[captions]This picture of the first capitol of California was printed in the Los Angeles Times November 30, 1930.Here is the way the building looked when I was there in 1899.|~|Newspaper clipping of First Capitol of California and photograph of the building in 1899, 30 years earlier.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km9nc,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km9nc_2416548_master.tif,74,,,,,,,,,,,,,,,,,uclalsc_98_b123_074,Page 067,Blank page,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km9dr,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km9dr_2416551_master.tif,75,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_075,Page 068,"[captions]San Pedro CaliforniaA family fishing from a boat just off the breakwater 1916Point Firmin 1920Point Firmin 1918. L to R: Wilson D. West, Wilfrid Cline, J.F. LembergerThe CONSTITUTION at San Pedro February 28, 1933. L to R: School teacher of Hebard's Mertie West; Hebard West; Joe Canzonari[handwritten caption]Miss McDaniels|~|Four photographs of family fishing and other observers at Point Firmin in 1920.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km954,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km954_2416554_master.tif,76,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_076,Page 069,"Four photographs of trolley, Pasadena, and residents of the area.|~|[captions]Pasadena, CaliforniaL to R: Grace Cole, Alice Garden and a Mr Cutler, with myself, made a visit to Pasadena in 1897.Our transportation. The Big Red Car.Hotel Green, Pasadena.L to R: Alice Gordon; Grace Cole.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km9vg,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km9vg_2416557_master.tif,77,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_077,Page 070,"[captions]Pasadena 1897Pasadena in 1897, just after creasing the arroyo where the viaduct now is.The house just after crossing the arroyo. Cutler is taking a picture of Alice and Grace.Two views along Colorado street.|~|Four photographs of landscape of Pasadena, Colorado street, and a few homes in the area.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbd7,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbd7_2416560_master.tif,78,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_078,Page 071,"Four photographs of Colorado and Orange Grover street in Pasadena|~|[captions[Pasadena 1897Two views on east Colorado Street, PasadenaTwo houses on Orange Grove Avue, Pasadena, 1897.",,,,,,,,,,
"West (H. H.), Collection Number 2006",ark:/21198/zz002kmbnv,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbnv_2416563_master.tif,79,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_079_080,Page 072a,"Four photographs of old Pasadena lake and newspaper clipping from the Los Angeles Times.|~|[captions]Among the first pictures taken after I got my camera were the ones above September 17, 1898 of Westlake Park. I went out to Park View Street to photograph the Gibbs family. They lived on Park View about a block from Westlake Park.[newspaper clipping]In other times from the files of the timesThe old Pelican in Westlake Park about 1900 - the Seal Pool[photograph below the newspaper clipping]Westlake Park about 1898, showing the oil wells on the hill east.",,,,,,,,,,
"West (H. H.), Collection Number 2007",ark:/21198/z1vq4tsn,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbnv_2416566_master.tif,80,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_079_080,Page 072b,"Four photographs of old Pasadena lake and newspaper clipping from the Los Angeles Times.|~|[captions]Among the first pictures taken after I got my camera were the ones above September 17, 1898 of Westlake Park. I went out to Park View Street to photograph the Gibbs family. They lived on Park View about a block from Westlake Park.[newspaper clipping]In other times from the files of the timesThe old Pelican in Westlake Park about 1900 - the Seal Pool[photograph below the newspaper clipping]Westlake Park about 1898, showing the oil wells on the hill east.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmb5m,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmb5m_2416569_master.tif,81,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_081,Page 073,"[captions]H.H. West, Westlake Park, about 1900A stern wheel, man propelled motor boat at Hellenbeck Park about 1900.Two views of Eastlake Park - now called Lincoln Park, Taken 1899.|~|Four photographs of H.H. West and Hallenbeck Park, Eastlake Park (Lincoln Park).",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmb22,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmb22_2416572_master.tif,82,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_082,Page 074,Four photographs of Eastlake Park.|~|[captions]Eastlake Park 1899. The lilies. Sea the buggy crossing the water. The stepping stones at Eastlake Park in 1899. Notice the buggies also driving through.Close up of the stepping stones.Eastlake Park 1899.,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbj9,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbj9_2416575_master.tif,83,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_083,Page 075,"Women sitting on the lawn at Eastlake Park and conservatory.|~|[captions]In the conservatory Eastlake Park 1898.Left to right: Marie Dixon, Daisy Conner, Lena Weideman. Marie married Fred Colyer; Daisy married Ralph Thompson and Lena married Ben Tyler, father of Don Tyler. Taken at Eastlake Park in 1900Left to right: Ben Tyler, Lena Weideman, Marie Dixen's back, Daisy Conner. Unknown man.Left to right: Daisy Conner, Lena Weideman, Ben Tyler, Marie Dixon.Taken at East Lake Park (now Lincoln Park) 1900. The park was a great place for us to go on Sundays. There was not much else to do in these days.[handwritten]Ben and Lena married and their son is Don Tyler.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmc11,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmc11_2416578_master.tif,84,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_084,Page 076,"Four photographs of California mission in 1900 and Los Angeles Times Newspaper clipping.|~|[captions]Some California Missions taken about 1900. Seems to be at Monterey and San Francisco. Nella West is in the buggy.[newspaper clipping]Los Angeles Times - Friday, Nov. 12, 1954",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbg8,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbg8_2416581_master.tif,85,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_085,Page 077,"Four photographs of arch at Palo Alto and Stanford University under construction.|~|[captions]Taken about 1900This seems to be the arch at Palo Alto, Stanford University, under construction.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbzh,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbzh_2416584_master.tif,86,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_086,Page 078,"Four photographs of West cadets and younger boys.|~|[captions]Griffin Ave.Wilson West and Guy's dog ""Dan,"" 1904L to R: Wayne West, Wilson West Geo. M, West in doorway. About 1898L to R: Wilson West, Wayne West, as Cadets in the Boy's Brigade of the Presbyterian Church about 1900.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmb85,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmb85_2416587_master.tif,87,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_087,Page 079,"Four photographs of West family in front of their home.|~|[captions]L to R: Wayne West, Wilson West on the front lawn in 1900Porch group about 1899. L to R Mr Emery, friend of Pinkie's from Ottumwa, Nella A. West, Mertie Whitaker, Ella (Pinkie) Lemberger.Wilson West shaving JohnHerwick, Wayne West looking on. In rear of house 1898L to R: Wayne West, Leslie smith, Wilson West in front in 1899.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbrd,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbrd_2416590_master.tif,88,,,,,,,,,,,,,,,,,uclalsc_98_b123_088,Page 080,"Camp in canyon. Photographs of trail, tents, and campers.|~|[captions]In a canyon back of Monrovia, Calif. October 23, 1898. Uncle Frank Lemberger was living in Monrovia. He and father continually argues whether gold could be found in the Sierra Madre mountains. They finally got a tent and took it in to this canyon and made a camp. They were up there probably a week, and found gold in panning, in very small quantities. Guy West and myself went in one Sunday to Visit them, and these pictures were taken.The camp from the trailThe camp at close quarters. L to R. Guy M. West; unknown boy; George M. West cooking, J.F. Lemberger.These were taken October 23, 1898Guy M. WestL to R: Geo.M.West, J.F. Lemberger, examining the pan for gold.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbkt,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbkt_2416593_master.tif,89,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_089,Page 081,"[captions]A photo of cousin Charles White and wife, taken in San Francisco about 1900. Cousin Charlie is dead and his wife, very feeble, lives at Sanger, Calif. 1936A photo of the sugar beet factory at Oxnard, Calif. About 1899.Streey [street] scene Oxnard, Calif. 1899|~|Three photographs of Oxnard street and Charles White with wife.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbtf,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbtf_2416596_master.tif,90,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_090,Page 082,"[captions]Cooper and I visit San Gabriel Mission.Two views of the Mission in April 1898.I got a livery stable rig and took Mertie Whitaker out to the San Gabriel Mission one Sunday. She is seen in the rig at left of the huge bunch of cactus. There were great patches of this cactus around the Mission, it having being planted by the MIssion fathers as fences, and it did work well.|~|Photographs of the San Gabriel Mission.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbpc,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbpc_2416599_master.tif,91,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_091,Page 083,"[captions]The swimming pool at Verdugo Estates, taken about 1930 when the Masons held a picnic there. Hebard West and Eleanor Shaw were in swimming.Charles Lick, owner of Lick Pier, Venice, and now Manager of the East Side Brewery, Ed Featherstone and myself made a trip In Featherstone's Packard to Sisquoc creek to fish for trout. We had to leave the car at the ranch house and be taken up in a spring wagon...|~|Three photographs of swimming pool and Lick Pier.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmb9p,ark:/21198/zz002kkz4b,1,In progress,Page,hhwest/image/srgb/21198-zz002kmb9p_2416672_master.tif,92,private,,,,,,,,,,,,,,,,uclalsc_98_b123_104,Page 084,Four photographs of hot air balloons.,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbb6,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbb6_2416636_master.tif,93,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_092,Page 084,"[captions]SF 1899Transport G.W. Elder.The Ferry buildinggin [building in] 1900 when I took mother east. We went up thru San Francisco.Ferry boat Piedmont leaving the slip.Statue in Golden Gate Park.|~|Four photographs of Ferry building, transport ship, and ferry.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbfr,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbfr_2416639_master.tif,94,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_093,Page 085,"[captions]Mother on the Sutro Esplanade 1900The rocks at the Cliff House.Golden Gate Park 1900H.H. West standing on beach at extreme right, below the old Cliff House in San Francisco. Taken in 1901.|~|Four photographs of Golden Gate park and various shots of the Cliff House and surrounding area.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbx0,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbx0_2416642_master.tif,95,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_094,Page 086,"[captions]In August 1900 I took a leave of absence from the S.P.R.R. and took mother east for a visit to Red Oak, Ottumwa, Burlington. Chicago and Aurora, Illinois. I took my camera with me and took many pictures. These photos are scattered through this book. Here are three of them.We had to stop over at Denver, Colorado, to make connection with the Chicago, Burlington and Quincy train for Red Oak, Iowa. We had several house to wait and visited the Capitol and the parks. Left shows mother looking over the railing in the Capitol building; right is a view of Denver from a Life Insurance building.""Pinkie"" Lemberger took this photo of me while we were visiting the cemetery at Ottumwa, Iowa.|~|Three photographs of cemetery and Denver Colorado Capitol buildings and parks.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmb64,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmb64_2416645_master.tif,96,,,,,,,,,,,,,,,,,uclalsc_98_b123_095,Page 087,blank page,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmc0h,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmc0h_2416648_master.tif,97,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_096,Page 088,"Four photographs of the breakwater at san Pedro, and various fishermen.|~|[captions]Los Angeles, MiscellaneousThe breakwater at San Pedro 1901 under construction. Stone was brought on flat care from Declez and dumper.Mending at net at San Pedro 1901Mending the net at San Pedro 1901The extreme end of the Port Los Angeles whard, which ran out into the ocean about a mile from Santa Monica canyon. The end had coal bunkers and the S/P/R/R/ unloaded its coal from Nanaime there, and tried to get the U.S. Government to declare Santa Monica the harbor, and improve it. The government called a board to determine the matter, and it met in Los Angeles and decided to favor of San Pedro. The S.F. took the Port Los Angeles wharf up.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmb1j,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmb1j_2416651_master.tif,98,,,,,,,,,,,,,,,,,uclalsc_98_b123_097,Page 089,Four photographs of Newport Beach goers and various fishermen.,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbqw,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbqw_2416654_master.tif,99,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_098,Page 089_01,"[captions]Los Angeles, misc.Heavy rains in the early days meant washouts on the railroad in the vicinity of Los Angeles. Above are two views of a channel washed out along the railroad near San Dimas on the Covina branch, About 1902.E.L. Swaune, Resident Engineer of the Los Angeles Division climbed up on the engine at Pomona to examine the water tank spout and valve, which had been sported as defective. I snapped him as he started to pull the valve rope, and the next instant the spout blew off the tank and saturated Swaine and the fireman. Taken February 1900.The station building at Colton, Calif. as it looked in February 1900 D.A. Bruce was the agent.|~|Four photographs of various parts of Los Angeles railroad.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmb3k,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmb3k_2416657_master.tif,100,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_099,Page 090,"[captions]Old tenders used as oil storage tanks at Crafton, Calif. 1900At Cabason in 1900At Durmid in 1900Building a trestle on the desert below India in 1900|~|Four photographs of railroad stations and construction.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmb7n,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmb7n_2416660_master.tif,101,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_100,Page 091,"[captions]Two views of the mud volcanoes ne3ar Volcano Springs on the desert 1899. The mud bubbled up and the gas liberated killed small birds that got down into the pits.A couple of Indians [?]pped at Ogilby in 1900. Lots of Indians worked for the S.P.C., and Bob Brain used to handle the pay rolls in the office. Needing names for the Indians, and not being able to spell theirs, he used to have Indians on the pay roll named Jim Jeffries, Jesse Moore, Joe Corbett, and all the other celebrities he could think of.|~|Two photographs of mud volcanoes and two photographs of indigenous workers.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbsx,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbsx_2416663_master.tif,102,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_101,Page 092,"Four photographs of Theodore Roosevelt parade in Los Angeles celebrating his visit and a California fort on the Colorado River.|~|[captions]The fort on the hill on the California side of the Colorado River taken about 1899. Right, the telegraph office and deak of H.H. Cooper in the P.E. building, when the S.P. opened their general office there. Cooper was the only operator. 1898.Theodore Roosevelt visits Los Angeles. Henry E. Huntington was on the reception committee. He is shown at the left getting out of his carriage on Main Street near Third street to enter the Van Nuys Hotel. The building in the background has since been town down and street cut through. This building, by the way, belonged to Tommy Gray, an old timer Western Union operator, who inherited it from his mother. Right shows Spanish American war veterans marching south on Main Street in Roosevelt's",,,,,,,,,,
"West (H. H.), Collection Number 2008",ark:/21198/zz002kmbwg,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbwg_2416666_master.tif,103,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_102-103,Page 093a,"[first photograph captions][newspaper clipping]Sale announced[second photograph captions]Los Angeles, Misc.The Chinese and their Dragon passing. 1904: the Dragon is shown in front of the Westminster Hotel, which was a leading hotel then, and where the president stopped.The Westminster Hotel and crowd.Waiting for the parade and the President.|~|Newspaper clipping of LA Times. Four photographs of Roosevelt welcoming parade.",,,,,,,,,,
"West (H. H.), Collection Number 2009",ark:/21198/z1qz434m,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbwg_2416669_master.tif,104,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_102-103,Page 093b,"[first photograph captions][newspaper clipping]Sale announced[second photograph captions]Los Angeles, Misc.The Chinese and their Dragon passing. 1904: the Dragon is shown in front of the Westminster Hotel, which was a leading hotel then, and where the president stopped.The Westminster Hotel and crowd.Waiting for the parade and the President.|~|Newspaper clipping of LA Times. Four photographs of Roosevelt welcoming parade.",,,,,,,,,,
"West (H. H.), Collection Number 2004",ark:/21198/zz002kmbcq,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbcq_2416675_master.tif,105,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_104-105,Page 094a,"[captions]Los Angeles, Misc.Balloon going up, Washington Garden, Washington and Main Street, Los Angeles about 1908.Higher yet.Up in the air boys.Looking down from the basket.[2nd photograph]Mertie Whitaker and her cousin Ora Prickett watching the parade.There is a captive balloon in the Washington Gardens and about 1908 I took Elizabeth and Frances West up in it.The balloon going up.|~|Four photographs of hot air balloons in the air.",,,,,,,,,,
"West (H. H.), Collection Number 2005",ark:/21198/z10g5b8b,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbcq_2417386_master.tif,106,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_104-105,Page 094b,"[captions]Los Angeles, Misc.Balloon going up, Washington Garden, Washington and Main Street, Los Angeles about 1908.Higher yet.Up in the air boys.Looking down from the basket.[2nd photograph]Mertie Whitaker and her cousin Ora Prickett watching the parade.There is a captive balloon in the Washington Gardens and about 1908 I took Elizabeth and Frances West up in it.The balloon going up.|~|Four photographs of hot air balloons in the air.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbvz,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbvz_2416678_master.tif,107,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_106,Page 095,"[captions]Looking down from the basket on the way up. The basket creaked and squeaked, and gave you the jitters. The children wet the bottom of the basket.Viw [view] of the city from the end of the rope of the captive balloon at Washington Gardens, Washington and Main Streets, Los Angeles, 1908 :|~|Three photographs from the hot air balloon.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbmb,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbmb_2416681_master.tif,108,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_107,Page 096,"[captions]Los Angeles, Misc.There is a fire on Thanksgiving Day on North Main Street in 1898. I happen to be over there with my camera and caught it. The cable road and slot shows in the picture. This was evidently the fire in the furniture factory of Bailey Schmitz Co. A crowd soon gathered.Fireman going up on the roof.Chinatown in Los Angeles was a great place of interest in the early days. They wore ques and Chinese clothes. When they celebrated Chinese New Years they shot tons of fireworks. Taken about 1897.|~|Four photographs of Chinatown in Los Angeles and a small fire on North Main Street.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmb43,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmb43_2416684_master.tif,109,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_108,Page 097,"[captions]Chinatown on Alameda street about 1897.Another view.Down a side street in Chinatown. 1897.Right alongside Chinatown, on Alameda and side streets were the ""cribs"" of the ""red Light"" district. They lined both sides of Alameda street from about Macy street to Fifth street, good bad and indifferent houses and dwellings. At the right is a photo of one of the buildings facing Alameda street with the ""cribs"" and a couple of the inmates. About 1898.|~|Four photographs of Chinatown at Alameda street in 1897.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmbhs,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmbhs_2416687_master.tif,110,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",ucllalsc_98_b123_109,Page 098,"[captions]Los Angeles, misc.The Alameda street cribs and an inmate, 1898. The girls sat in their windows for blocks, and passengers arriving on the Southern Pacific trains looking out their windows as they rode down Alameda street to the Arcade depot saw these scenes.The old city market, about Third and Central Ave. 1900|~|Four photographs of City Market and Alameda street.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmg0z,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmg0z_2416690_master.tif,111,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_110,Page 099,"[captions]A familiar figure around the market and Los Angeles streets about 1900. His coat was made of papers sewed together.The Huntington or Pacific Electric building at Main and Sixth streets in 1908.Judge Lamme's log cabin on West Adams street, Nov. 1898.Boys seining in the old Perpus swimming hole alongside the S.P. railroad track adjoining Eastlake Park (now Lincoln park). There were gold fish in this hole and the boys would catch them to take home. Evidently came there from an outlet from Eastlake Park. Taken about 1899. Who are the boys? I do not remember a one.|~|Four photographs of Los Angeles street market, Huntington or Pacific Electric building, log cabin and young boys swimming.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002kmg1g,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002kmg1g_2416693_master.tif,112,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_11,Page 099_01,"Four photographs of one home, Dick Lacy and his dog, and brick fence in front of Lacy home.|~|[captions]The brick fence in front of the Lacy place on Downey Avenue about 1895. This is now Mater's Undertaking Parlor.. The big tree in the front yard was a rubber or magnolia. This fence was a favorite place to stop and rest at night in the summer when going home from church.Dick Lacy and his dog. About 1895 They lived in the Lacy place.A picture of 135 South Daly street, taken in 1936. Father built this little house for me, and we lived there for several years. We also owned the 2-story house next, formerly belonging to Judge York.Probably the first automobile on Downey Avenue, now north Broadway. An Oldsmobile going toward town and taken from the old Lacy home, now Mater's Undertaking parlor. My brother Guy is probably driving the car, as he used to bring theme home from where he worked for Crippen and Church. About 1904.",,,,,,,,,,
