Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.creatorCorporate,Subject,Name.subject,Language,Name.photographer,Name.interviewer,Name.creator,Name.interviewee,Name.contributor,Publisher.publisherName,Format.extent,Relation.isPartOf,Title,Date.creation,Description.abstract,Coverage.geographic,Description.tableOfContents,Coverage.temporal,AltTitle.uniform,Description.note,Source,Alt ID.local,Publisher.placeOfOrigin,Format.medium,Description.biographicalNote,Format.dimensions,Relation.relatedTo,Relation.hasPart
Mental Health Archive,ark:/21198/zz0026wc12,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wc12_1795125_master.tif,44,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,"Skolnik, Hattie (Mrs.)|~|Robinette, Helen|~|Burns, Robert B. (Mrs.)|~|Seatena, Martin (Mrs.)|~|Schneider, John J. (Mrs.)",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,"General Hospital Visitors Mrs. John J. Schneider, Mrs. Hattie Skolnik, Mrs. Robert B. Burns, Mrs. Martin Seatena and Mrs. Helen Robinette",8/14/1954,,,,8/14/1954,,5 women standing at the side of an electronic machine being demonstrated by a seated female hospital employee.,UCLA Special Collections Los Angeles Times Photo Archive,,,,"Printed caption reads: DEMONSTRATION- From left, Mrs. John J. Schneider, Mrs. Hattie Skolnik, Mrs. Robert B. Burns, Mrs. Martin Seatena and Mrs. Helen Robinette watch Mrs. Ruth Johnson, seated, as she operates electroencephalograph with unidentified patient in psychiatric ward of General Hospital.  The unit registers brain waves of patient.  Visitors were from a gr oup of 50 clubwomen who visited the hospital yesterday.",,,
Mental Health Archive,ark:/21198/zz0026wc33,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wc33_1795131_master.tif,45,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Mentally ill--Advocacy--California--Los Angeles County,"Seymon, M.A. (Mrs.)|~|Washburn, Edward  (Mrs.)|~|Kennedy, Frank (Mrs.)",eng,"Brown, Frank Q.",,,,,Los Angeles Times,,UCLA History of Mental Health,"Mental Health Service Auxilary Members Mmes. Frank Kennedy, M.A. Seymon and Edward Washburn",10/16/1954,,California,,10/16/1954,,Three female members of the Mental Health Service Auxilary (two seated and one standing).,UCLA Special Collections Los Angeles Times Photo Archive,,,,"Printed caption reads: INVITATION TO PREMIERE of Irving Berlin's ""White Christmas"" October 27th at Warmer Beverly Theater informs Mmes. Frank Kennedy, M.A. Seymon and Edward Washburn from left, that premiere proceeds will go to Southern California Society for Mental Hygiene.  Trio are members of Mental Health Service Auxiliary, sponsors of the premiere.",,,
Mental Health Archive,ark:/21198/zz0026wc4m,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wc4m_1795134_master.tif,46,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive),"Larson, Gordon|~|Dickey, R.F.",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health,Gordon Larson and R.F. Dickey Page 1,2/23/1950,,California,,2/23/1950,,Side by side close ups of Gordon Larson and R.F. Dickey. Archive contains two separate negatives of each person.,UCLA Special Collections Los Angeles Times Photo Archive,,,,"Printed caption reads: AT HEARING- Gordon P. Larson, smog director, left and R.F. Dickey, Assembly committee chairman, whose views were made clear yesterday at smog hearing here.",,,
Mental Health Archive,ark:/21198/zz0026wc4m/9s08z22j,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wc4m_1795137_master.tif,47,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive),"Larson, Gordon|~|Dickey, R.F.",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health,Gordon Larson and R.F. Dickey Page 2,2/23/1950,,California,,2/23/1950,,Side by side close ups of Gordon Larson and R.F. Dickey. Archive contains two separate negatives of each person.,UCLA Special Collections Los Angeles Times Photo Archive,,,,"Printed caption reads: AT HEARING- Gordon P. Larson, smog director, left and R.F. Dickey, Assembly committee chairman, whose views were made clear yesterday at smog hearing here.",,,
Mental Health Archive,ark:/21198/zz0026wc54,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wc54_1795140_master.tif,48,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Nurse Gives Medication to Patient,,,California,,,,Nurse adminstering medication to patient lying in cot. Negative does not appear to have been printed. No date available.,UCLA Special Collections Los Angeles Times Photo Archive,,,,,,,
Mental Health Archive,ark:/21198/zz0026wc6n,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wc6n_1795143_master.tif,49,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Doctor Reviewing Chart with Nurse,,,California,,,,Doctor reviewing chart with nurse in front of a table with medication. Negative does not appear to have been printed. No date available.,UCLA Special Collections Los Angeles Times Photo Archive,,,,,,,
Mental Health Archive,ark:/21198/zz0026wc75,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wc75_1795146_master.tif,50,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Nurse and Doctor Give Medication to Patient,,,California,,,,Nurse and doctor adminstrating medication to patient lying in cot.  Negative does not appear to have been printed. No date available.,UCLA Special Collections Los Angeles Times Photo Archive,,,,,,,
Mental Health Archive,ark:/21198/zz0026wc8p,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wc8p_1795155_master.tif,51,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Patient Laying in Cot,,,California,,,,Man lying in caged cot with his hand over his face.  Negative does not appear to have been printed. No date available.,UCLA Special Collections Los Angeles Times Photo Archive,,,,,,,
Mental Health Archive,ark:/21198/zz0026wc96,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wc96_1795162_master.tif,52,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Nurse Injecting Patient,,,California,,,,Nurse injecting patient lying in a cot.,UCLA Special Collections Los Angeles Times Photo Archive,,,,,,,
Mental Health Archive,ark:/21198/zz0026wcbq,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wcbq_1795206_master.tif,53,,,,private,,still image,,,,LA Times Photos (Mental Health Archive)|~|Mental Health Services--California--Los Angeles County--DMH Clinics,"Oliker, Doris, 1927-|~|Gardner, James",,"Graham, Ray",,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Psychological Center in Venice Staff Jacob Oliker and James Gardner,4/15/1970,,,,4/15/1970,,Two therapists (one male and one female) working with young African American boy patient.,UCLA Special Collections Los Angeles Times Photo Archive,,,,"Printed caption reads: PROGRESS- Tape recorder is useful item for para-professional therapists working with children at Psychological Center in Venice.  Mrs. Jacob Oliker, tutor and para-professional, talks with Mark, supervised by Dr. James Gardner, center director.",,,
Mental Health Archive,ark:/21198/zz0026wcdr,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wcdr_1795209_master.tif,55,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,,eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Pacific State Hospital Priest,6/9/1974,,"Pomona, California",,6/9/1974,,Male pastor leans over female worshiper at Pacific State Hospital.,UCLA Special Collections Los Angeles Times Photo Archive,,,,Printed caption reads: PRAY FOR ME- The Reverend Courtney E. Peterson hears the prayer request of a worshiper at Pacific State Hospital in Pomona.  The residents often pray that their parents will come to visit them.,,,
Mental Health Archive,ark:/21198/zz0026wcf8,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wcf8_1795212_master.tif,56,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Psychiatric hospitals--California,"Crowley, Patrick Joseph",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Pacific State Hospital Priest with Chalice,6/9/1974,,"Pomona, California",,6/9/1974,,Catholic priest raising a chalice at the podium during mass.,UCLA Special Collections Los Angeles Times Photo Archive,,,,Printed caption reads: CATHOLIC MASS- The Rev. Patrick Joseph Crowley lifts the chalice during mass at Pacific State Hospital.,,,
Mental Health Archive,ark:/21198/zz0026wch9,ark:/21198/zz0026vsqr,1,In progress,Work,neuropsych/masters/21198-zz0026wch9_1795215_master.tif,58,,,,private,,still image,,copyrighted,,LA Times Photos (Mental Health Archive)|~|Mental Health Services--California--Los Angeles County--DMH Clinics,"Ardagna, Connie (Mrs.)",eng,,,,,,Los Angeles Times,,UCLA History of Mental Health Archive,Metropolitan Psychiatric Services Director Mrs. Connie Ardagna,4/16/1975,,California,,4/16/1975,,Female adminstrator seated with another woman.,UCLA Special Collections Los Angeles Times Photo Archive,,,,"Printed caption reads: PROBLEMS- Mrs. Connie Ardagna is director of Metropolitan Psychiatric Services, located in the heart of Lincoln Heights, which handles family problems, alcoholism, emotional breakdown.",,,
Mental Health Archive,ark:/21198/zz002cxxj2,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002cxxj2_2106129_master.tif,3,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Mental Health Services--California--Los Angeles County--Contract Clinics,,eng,,,,,"Wilbur, Suzane",,1 p.,AMI-ABLE,ABLE Group Photo,"November 9, 2001",ABLE Group Photo: 14 people,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002cxxp4,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002cxxp4_2106138_master.tif,7,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Van Horn, Richard|~|Crowell, Areta|~|Villano, Sandy|~|Burgoyne, Dr. Karl|~|Bailey, Joyce|~|Gurney, Gloria",,1 p.,AMI-ABLE,AMI-ABLE Group Greeting Photo,,AMI-ABLE Group Greeting Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czq1v,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czq1v_2107647_master.tif,8,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Arns, Paul G.",,1 p.,AMI-ABLE,Arns' Family Photo,,Arns' Family at AMI-ABLE (Photo),,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czq2c,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czq2c_2107650_master.tif,9,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Elpers, J. R.|~|Abbott, Beverly",,1 p.,AMI-ABLE,Beverly Abbot and J.R. Elpers Photo,,Beverly Abbot and J.R. Elpers Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czq3w,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czq3w_2107653_master.tif,10,,,,private,,still image,,pd_holder,,AMI-ABLE|~|National Association for the Mentally Ill NAMI|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Reed, Dolly|~|Wilbur, Suzane",,1 p.,AMI-ABLE,Dolly Reed and Suzane Wilbur Photo,,Dolly Reed and Suzane Wilbur Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czq4d,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czq4d_2107656_master.tif,11,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Van Horn, Richard|~|Elpers, J. R.",,1 p.,AMI-ABLE,Dr. Elpers and Richard Van Horn Photo,,Dr. Elpers and Richard Van Horn Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czq5x,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czq5x_2107659_master.tif,12,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Wilbur, Suzane",,1 p.,AMI-ABLE,Families and Staff Members of AMI-ABLE Photo,,Families and Staff Members of AMI-ABLE Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czq6f,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czq6f_2107662_master.tif,13,,,,private,,still image,,pd_holder,,AMI-ABLE|~|National Association for the Mentally Ill NAMI|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Dennen, Richard|~|Villalobos, Geri",,1 p.,AMI-ABLE,Geri Villalobos and Richard Dennen of NAMI Photo,,Geri Villalobos and Richard Dennen of NAMI Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czq90,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czq90_2107669_master.tif,16,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Wilbur, Suzane",,1 p.,AMI-ABLE,"""It's a big party!"" Interacting Groups Photo",,"""It's a big party!"" Interacting Groups Photo",,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czqbh,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czqbh_2107672_master.tif,17,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Elpers, J. R.|~|Richard, John|~|Arns, Paul G.",,1 p.,AMI-ABLE,"John Richard, Elpers, Paul Arns, Katie Arns Photo",,"John Richard, Elpers, Paul Arns, Katie Arns Photo",,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czrnn,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czrnn_2107727_master.tif,18,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Gast, Andie|~|Gurney, Gloria",,1 p.,AMI-ABLE,"Laura, Gloria Gurney, and Andie Gast Photo",,"Laura, Gloria Gurney, and Andie Gast Photo",,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czrp5,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czrp5_2107730_master.tif,19,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Yoon, Lynn|~|Nunez, Max",,1 p.,AMI-ABLE,Lynn Yoon and Max Nunez Photo,,Lynn Yoon and Max Nunez Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czrqp,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czrqp_2107733_master.tif,20,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Arns, Paul G.",,1 p.,AMI-ABLE,"Arns' Family: Marcia, Katie, and Dr. Paul Arns Photo",,"Arns' Family: Marcia, Katie, and Dr. Paul Arns Photo",,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czrr6,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czrr6_2107736_master.tif,21,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County|~|National Alliance for the Mentally Ill NAMI,,eng,,,,,"Schultz, Mary Jane",,1 p.,AMI-ABLE,Mary Jane Schultz NAMI Plays Piano Photo,,Mary Jane Schultz NAMI Plays Piano Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czrsq,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czrsq_2107739_master.tif,22,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County|~|National Alliance for the Mentally Ill NAMI,,eng,,,,,"Doyle, John|~|Schultz, Peter",,1 p.,AMI-ABLE,Peter Schultz and John Doyle NAMI Photo,,Peter Schultz and John Doyle NAMI Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czrt7,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czrt7_2107742_master.tif,23,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Wilbur, Suzane",,1 p.,AMI-ABLE,Prize Winning Poster Photo,,Prize Winning Poster Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czrvr,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czrvr_2107745_master.tif,24,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Van Horn, Richard|~|Crowell, Areta|~|Crowell, Clarence",,1 p.,AMI-ABLE,"Richard Van Horn, Clarence Crowell, and Dr. Areta Crowell Photo",,"Richard Van Horn, Clarence Crowell, and Dr. Areta Crowell Photo",,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czrw8,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czrw8_2107748_master.tif,25,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Villano, Sandy|~|Bailey, Joyce|~|Gurney, Gloria|~|Sternquist, Sandy",,1 p.,AMI-ABLE,"Sandy Sternquist, Joyce Bailey, Sandy Villano, Gloria Gurney Photo",,"Sandy Sternquist, Joyce Bailey, Sandy Villano, Gloria Gurney Photo",,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czrxs,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czrxs_2107751_master.tif,26,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Wilbur, Suzane",,1 p.,AMI-ABLE,Staff Member's Child in Front of Poster Photo,,Staff Member's Child in Front of Poster Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czs09,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czs09_2107756_master.tif,28,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Wilbur, Suzane",,1 p.,AMI-ABLE,Suzane Wilbur Welcoming Speech Photo,,Suzane Wilbur Welcoming Speech Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czs1t,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czs1t_2107759_master.tif,29,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Reed, Dolly|~|Sternquist, Sandy|~|Lancon, Ann|~|Forster, Bella|~|Dennen, Teal",,1 p.,AMI-ABLE,"Teal Dennen, Dolly Reed, Ann Lancon, Sandy Sternquist, Bella Forster Photo",,"Teal Dennen, Dolly Reed, Ann Lancon, Sandy Sternquist, Bella Forster Photo",,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czs2b,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czs2b_2107762_master.tif,30,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Dennen, Teal",,1 p.,AMI-ABLE,Teal Dennen seated Photo,,Teal Dennen seated Photo,,,,,,,,,,,,,
Mental Health Archive,ark:/21198/zz002czs3v,ark:/21198/zz002cxq2x,1,In progress,Work,neuropsych/masters/21198-zz002czs3v_2107765_master.tif,31,,,,private,,still image,,pd_holder,,AMI-ABLE|~|Department of Mental Health-- California-- Los Angeles County,,eng,,,,,"Wilbur, Suzane",,1 p.,AMI-ABLE,View of the Drop In Room Photo,,View of the Drop In Room Photo,,,,,,,,,,,,,
