Project Name,Parent ARK,Item ARK,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Subject,Name.subject,Author,Name.creator,Name.correspondent,Name.interviewee,Name.compiler,Coverage.geographic,Name.sponsor,Rights.servicesContact,Rights.rightsHolderName,Name.repository,Name.photographer,Name.interviewer,Language,Alt ID.local,Format.dimensions,Date.normalized,Description.note,Relation.isPartOf,Title,Date.creation,Format.extent,Description.caption,Alt ID.issueNo,Description.contents,AltTitle.uniform,Description.latitude,Description.longitude,Alt ID.oclc,Finding Aid URL,Description.abstract,Opac url,AltTitle.other,IIIF Access URL,IIIF Manifest URL
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017mxz6,Work,,,,,text,paged,,,,identity cards,"Regents of the University of California, UCLA Library.",,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations",,,,,,Palestine--Politics and government--1948-,United Nations. Conciliation Commission for Palestine,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 435, Folder 1|~|uclamss_2051_b140_f38_2",13 x 22 cm.,1948-06,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,Identification card for Ralph Bunche for membership in the United Nations mission on the truce in Palestine,June 1948,2 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017mz06,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017mxz6/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017n114,Work,,,,,text,paged,,,,clippings,unknown,Academy Awards (Motion pictures),"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",Anonymous,,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",Anonymous,,eng,uclamss_2051_b144_f5_1,34 x 25 cm.,1951,Digitization took place as part of the California Cultures Project.|~|Primarily photographs,http://calcultures.cdlib.org,Ralph Bunche goes to Hollywood : U.N. mediator presents Academy Awards and proves himself adept at night clubbing too,1951,2 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n12n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017n114/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017n1r0,Work,,,,,text,paged,,,,letters (correspondence),unknown,African Americans--Civil rights|~|African American civil rights workers,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Allen, Margaret|~|Cross, Agnes",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 249, Folder 4|~|uclamss_2051_b127_f33_6",28 x 22 cm,1965-03-06,"Bunche's handwritten response to Misses Allen and Cross regarding his involvement in the civil rights movement|~|Digitization took place as part of the California Cultures Project.|~|Letter from Misses Allen and Cross, students at Howard University, inquiring about Bunche's participation in the civil rights movement. Holograph notes (draft reply) beginning on recto, continuing on verso. Formal reply on 10 March 1965: ""Dear Miss Allen and Miss Cross...""",http://calcultures.cdlib.org,"Letter, 1965 March 6, Washington D.C. to Ralph J. Bunche, New York, N.Y.","March 6, 1965",2 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n1sh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017n1r0/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017n1vj,Work,,,,,text,paged,,,,interviews,Associated Press,African Americans--Civil rights,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,United States--Race relations,,,,"University of California, Los Angeles. $b Library Special Collections",,"Oatis, William Nathan, 1914-1997",eng,uclamss_2051_b58_f35_1,58 x 27 cm.,1963-06-09,"Digitization took place as part of the California Cultures Project.|~|Newspaper article, topped by a 13 x 24 cm. photograph with the caption: ""Scenes like this from Birmingham, with police dogs used against negro demonstrators, have caused ""very bad reactions"" in Asia, Africa and Europe, says Ralph Bunche, Negro United Nations undersecretary, Bunche believes the situation climaxes a long struggle"". Article also includes a photograph of Ralph Bunche with the caption : Ralph J. Bunche ""Built-in impatience"". Also includes a political cartoon by Justus, Minneapolis Star, with the caption: Extra! Extra! U.S. Race Riots All About the Race Riots in America",http://calcultures.cdlib.org,"Ralph Bunche On Integration : U.N. official says major breakthrough approaching : interview, the Courier-Journal, Louisville, Ky.","June 9, 1963",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n1w2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017n1vj/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017n313,Work,,,,,text,paged,,,,clippings,unknown,Race discrimination--United States|~|United States--Race Relations,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|West Side Tennis Club (Forest Hills, N.Y.)",Anonymous,,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 490, Folder 4|~|uclamss_2051_b124_f2_1",28 x 22 cm.,1959-07-20,"Newsweek National Affairs column on the incident of race discrimination by the West Side Tennis Club against Ralph Bunche, Jr., son of UN diplomat and Nobel Peace Prize winner Ralph J. Bunche. Article includes an AP photo of Ralph Bunche, Jr. with the caption: ""...as Ralph Bunche Jr. found out"".|~|Digitization took place as part of the California Cultures Project.",http://calcultures.cdlib.org,Segregation : West Side Story,"July 20, 1959",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n32m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017n313/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017n34n,Work,,,,,text,paged,,,,essays,"Regents of the University of California, UCLA Library.",African Americans--Politics and government|~|National socialism|~|Democracy,"Hitler, Adolf, 1889-1945","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b180_f29_3,28 x 22 cm.,1940-06,"Handwritten at the top of page: Prepared for William Allen White Committee by Harris and Bunche, June, 1940 (Committee to Defend America by Aiding the Allies)|~|Digitization took place as part of the California Cultures Project.",http://calcultures.cdlib.org,Stop Hitler Now! The Negro Must Help,June 1940,8 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n355,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017n34n/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017n753,Work,,,,,text,paged,,,,articles,"Regents of the University of California, UCLA Library.",African American politicians,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,Chicago (Ill.)--Politics and government,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 393, Folder 5|~|uclamss_2051_b60_f1_1",28 x 22 cm.,1928,"The article addresses the issue of increasing participation of African Americans in Chicago politics. This is the first article published by Bunche, National Municipal Review, Vol. XVII, No. 5, May 1928. This is the copy of the article as marked by the magazine editor and sent to the printer|~|Digitization took place as part of the California Cultures Project.",http://calcultures.cdlib.org,The Negro in Chicago Politics,1928,9 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017n76m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017n753/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017ngck,Work,,,,,text,paged,,,,articles,"Regents of the University of California, UCLA Library.",,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,Africa,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"uclamss_2051_b60_f5_1|~|Box 60, Folder 5",30 x 22 cm.,1935-04,"Digitization took place as part of the California Cultures Project.|~|Article in the ""Southern California Alumnus,"" official publication of the University of California at Los Angeles. Bunche's political and social impressions of Africa after his first visit there. Includes illustrations (photos).",http://calcultures.cdlib.org,Light on the Dark Continent,April 1935,4 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ngd3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ngck/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017ngj5,Work,,,,,text,paged,,,,reports,"Regents of the University of California, UCLA Library.",African Americans--Economic conditions|~|African Americans--Civil rights|~|African Americans--Social conditions,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,Republican National Committee (U.S.). Committee on Programs and Progress,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"uclamss_2051_b60_f20_1|~|Box 394, Folder 3",28 x 22 cm.,1939-06-10,This document is the introduction to the full 133 page report written by Ralph J. Bunche when he was a professor of political science at Howard University.|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Report on the needs of the Negro, for the Republican Program Committee","June 10, 1939",7 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ngkp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ngj5/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017ngt9,Work,,,,,text,paged,,,,charters,United Nations,International law,United Nations. Charter.,United Nations,,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 94, Folder 5|~|uclamss_2051_b100_f17_1",13.5 x 8.5 cm.,1945,Digitization took place as part of the California Cultures Project.|~|Introduction to the charter,http://calcultures.cdlib.org,The Charter of the United Nations,1945,7 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ngvt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ngt9/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017nn9z,Work,,,,,text,paged,,,,clippings,New York Amesterdam News,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Powell, Adam Clayton, 1908-1972|~|X, Malcolm, 1925-1965","Robinson, Jackie, $d 1919-1972",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b144_f13_2,28 x 22 cm.,1963-16-11,"In the New York Amsterdam News Home Plate Column, Robinson defends Bunche's civil rights record against attacks by Powell and X.|~|Digitization took place as part of the California Cultures Project.",http://calcultures.cdlib.org,Malcolm X and Adam Powell,"November 16, 1963",2 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017nnbg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017nn9z/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017npqn,Work,,,,,text,paged,,,,telegrams,"Regents of the University of California, UCLA Library.",African American civil rights workers,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|King, Martin Luther, Jr., 1929-1968",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 174, Folder 5|~|uclamss_2051_b176_f1_2",28 x 22 cm.,1956-02-22,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Telegram, 1956 February 22, to Rev. Martin Luther King, Jr.","February 22, 1956",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017npr5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017npqn/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017nqgh,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",African American civil rights workers|~|African Americans--Civil rights--Alabama--Birmingham,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|King, Martin Luther, Jr., 1929-1968",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 233, Folder 4|~|uclamss_2051_b176_f1_3",28 x 22 cm.,1963-05-11,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1963 May 11, to the Rev. Dr. Martin Luther King, Birmingham, Alabama","May 11, 1963",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017nqh1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017nqgh/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017nqjj,Work,,,,,text,paged,,,,memorandums,"Regents of the University of California, UCLA Library.",African American soldiers--England--Social conditions,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|Read, Conyers, 1881-1959|~|Firth, Raymond William, 1901-","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,England--Race relations|~|United States--Armed Forces--African Americans,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 108, Folder 6|~|uclamss_2051_b176_f1_4",27 x 20 cm.,1942-11-03,Digitization took place as part of the California Cultures Project.|~|Memorandum about the status of African American military personnel in England vis a vis relations between African Americans and the British and between African Americans and white Americans,http://calcultures.cdlib.org,"Memorandum, 1942 November 3, to Conyers Read","November 3, 1942",3 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017nqk2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017nqjj/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017ntdx,Work,,,,,text,paged,,,,wrappers (book covers),"Regents of the University of California, UCLA Library.",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 393, folder 14|~|uclamss_2051_b60_f10_1",20.5 x 13.5 cm.,,"Digitization took place as part of the California Cultures Project.|~|Bronze Booklet No. 4. Published by The Associates in Negro Folk Education, Washington, D.C.",http://calcultures.cdlib.org,A World View of Race,1936,1 p. (cover),,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ntj0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ntdx/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017ntff,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.","African Americans--Societies, etc.","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|National Association for the Advancement of Colored People",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b114_f6_2,26.5 x 20.5 cm.,1947-04-16,Digitization took place as part of the California Cultures Project.|~|Cover letter to Mr. Walter White,http://calcultures.cdlib.org,"Letter, 1947 April 16, Lake Success, N.Y. to Mr. Walter White, Secretary, National Association for the Advancement of Colored People, New York, N.Y.","April 16, 1947",2 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ntgz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ntff/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017nw58,Work,,,,,text,paged,,,,telegrams,"Regents of the University of California, UCLA Library.",African American civil rights workers--Southern States,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,"Steele, Charles Kenzie, 1914-1980|~|Shuttlesworth, Erle|~|King, Martin Luther, Jr., 1929-1968",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 181, Folder 6|~|uclamss_2051_b176_f1_5",28 x 22 cm.,1957-01-08,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Telegram, 1957 January 8, Atlanta, Ga. to Ralph J. Bunche, New York, N.Y.","January 8, 1957",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017nw6s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017nw58/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017pb1x,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",Success|~|African American men,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 201, Folder 1|~|uclamss_2051_b126_f36_9",27 x 21 cm.,1960-03-10,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1960 March 10, New York, N.Y. to Mr. Marcellus Butler, Washington, D.C.","March 10, 1960",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pb2f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pb1x/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017pb71,Work,,,,,text,paged,,,,letters (correspondence),"Regents of the University of California, UCLA Library.",African Americans--Civil rights|~|African American civil rights workers,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 249, Folder 4|~|uclamss_2051_b127_f33_7",28 x 22 cm.,1965-03-10,Includes a few handwritten remarks at the bottom of the page|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1965 March 10, New York, N.Y. to Miss Margaret Allen and Miss Agnes Cross, Washington, D.C.","March 10, 1965",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pb8j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pb71/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017pbbk,Work,,,,,text,paged,,,,telegrams,"Regents of the University of California, UCLA Library.",African American civil rights workers--Southern States,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"uclamss_2051_b176_f1_5.5|~|Box 181, Folder 6",28 x 22 cm.,1957-01-08,Digitization took place as part of the California Cultures Project.|~|Typescript transcript of telegram (night letter),http://calcultures.cdlib.org,"Telegram, 1957 January 8, New York, N.Y. to the Reverends Martin Luther King, G. K. Steele and Erle Shuttlesworth, Atlanta, Ga.","January 8, 1957",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pbh5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pbbk/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017pbdm,Work,,,,,text,paged,,,,press releases,"Regents of the University of California, UCLA Library.",,United Nations. Security Council,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,Middle East--Politics and government,United Nations. Dept. of Public Information,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 84, Folder 7|~|uclamss_2051_b101_f15_1",31.5 x 20.5 cm.,1949-08-04,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Statement by Dr. Ralph J. Bunche, UN Acting Mediator on Palestine, before the Security Council on 4 August 1949","August 4, 1949",3 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pbq8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pbdm/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017ppdf,Work,,,,,text,paged,,,,diary entries,"Regents of the University of California, UCLA Library.",African Americans--Social conditions,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971","Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,United States--Race relations,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,uclamss_2051_b177_f2_1,20 x 12.5 cm.,1936/1946,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,Ironies of American race,circa 1941,1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ppfz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ppdf/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017ppgg,Work,,,,,text,paged,,,,letters (correspondence),unknown,Allegiance--United States,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United States Civil Service Commission",,,"Cerety, Pierce J.",,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"uclamss_2051_b179_f4_1|~|Box 100, Folder 4",27 x 20 cm.,1954-05-28,"Digitization took place as part of the California Cultures Project.|~|Letter of clearance from the United States Civil Service Commission to the Secretary of State for transmission to the Secretary General of the United Nations, confirming Bunche's loyalty to the United States government",http://calcultures.cdlib.org,"Letter, 1954 May 28, Washington D.C. to Secretary of State John Foster Dulles, Washington D.C.","May 28, 1954",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pph0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ppgg/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017pr48,Work,,,,,text,paged,,,,letters (correspondence),unknown,,United Nations. Security Council|~|United Nations--Cyprus,,,"Papadopoulos, A. A.",,,Cyprus,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 196, Folder 5|~|uclamss_2051_b101_f22_1",25 x 22 cm.,1964-05-05,At head of page: Minister of Communication and Works|~|Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1964 May 5, Nicosia, Cyprus, to Mr. Ralph Bunche, United Nations Under-Secretary for Political Affairs, New York, N.Y.","May 5, 1964",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pr5s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pr48/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017ps6s,Work,,,,,text,paged,,,,ballots,United Nations,,,United Nations. General Assembly,,,,,"Palestine--History--Partition, 1947",,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"uclamss_2051_b176_1|~|Box 433, Folder 2",35 x 28 cm.,1947-11-29,Digitization took place as part of the California Cultures Project.|~|Signatures of some of the voting members are on the page,http://calcultures.cdlib.org,"United Nations General Assembly, 1947 November 29, Palestine Partition Plan: voting sheet","November 29, 1947",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017ps79,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017ps6s/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017pst3,Work,,,,,text,paged,,,,drafts (documents)|~|resolutions (administrative records),United Nations,,United Nations. Charter.,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations|~|Australia. Delegation to the General Assembly of the United Nations.|~|China. Delegation of the General Assembly to the United Nations.",,,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"uclamss_2051_b101_f3_1|~|Box 77, Folder 3",33 x 20 cm.,,"Handwritten notes on all pages.|~|Fourth Committee Delegation of China: Proposed amendments to the United States amendment to Section 1 of Chapter IV, draft resolution for the General Assembly.|~|Digitization took place as part of the California Cultures Project.|~|Fourth Committee Delegation of Australia: Draft resolution proposed amendments to Section 1 of Chapter IV.",http://calcultures.cdlib.org,United Nations draft resolution on the trusteeship system for the Fourth Committee,1946,6 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017psvm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pst3/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017pxdt,Work,,,,,text,paged,,,,letters (correspondence),United Nations,Allegiance--United States,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971|~|United Nations. Bureau of Personnel.",,,United Nations. Bureau of Personnel.,,,,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"Box 100, Folder 4|~|uclamss_2051_b179_f4_2",28 x 22 cm.,1954-07-01,Digitization took place as part of the California Cultures Project.,http://calcultures.cdlib.org,"Letter, 1954 July 1, New York, N.Y. to Dr. Ralph J. Bunche","July 1, 1954",1 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017pxfb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017pxdt/manifest
Bunche (Ralph J.) Papers.  Collection 2051,ark:/21198/zz0009gvc3|~|ark:/21198/n11s67,ark:/21198/zz0017q0mb,Work,,,,,text,paged,,,,scrapbooks,"Regents of the University of California, UCLA Library.",,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,"Bunche, Ralph J. (Ralph Johnson), $d 1904-1971",,,,,"University of California, Los Angeles. $b Library Special Collections",,,eng,"uclamss_2051_b195_f1_1|~|Box 458, Folder 1",40.5 x 28.5 cm,1920/1960,Digitization took place as part of the California Cultures Project.|~|Scrapbook of Ralph J. Bunche ephemera,http://calcultures.cdlib.org,The ideal scrap book,1920-1950s,8 p.,,,,,,,,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017q0nv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017q0mb/manifest
