Item ARK,Parent ARK,Object Type,Title,File Name,Item Sequence,AltTitle.other,AltTitle.translated,collection.physical,Description.note,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Summary,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,Subject,Subject,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
ark:/21198/z11r8prz,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Ոչ մի ընտանիք առանց թերթի եւ ամսագրի,Masters/othermasters/DEParmenianposters/images/soviet_00231_p_arm_29.tif,,,No family should be without newspapers and magazines,,,,,1967,,,Soviet Armenia encourages subscribing to newspapers and magazines. Թերթերի եւ ամսագրերի բաժանորդագրություն Խորհրդային Հայաստանում,51 x 22 cm. (20 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Newpapers|~|Serials subscription agencies,Arts and Culture|~|Արվեստ և Մշակույթ|~|Լրագիր|~|Բաժանորդութիւն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8prz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11r8prz/manifest
ark:/21198/z1x0867x,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Օգտվեցեք «Սոյուզպեչատի» կրպակների ծառայություններից,Masters/othermasters/DEParmenianposters/images/soviet_00232_p_arm_33.tif,,,"Use the ""Soyuzpechat'' kiosk services",,,,,1967,,,"In Soviet Armenia, newspapers and magazines are purchased at the Soyuzpechat kiosk. Խորհրդային Հայաստանում թերթեր եւ ամսագրեր գնում են Սոյուզպեչատի կրպակներից",51 x 22 cm. (20 x 8.7 in.),1 poster,,posters|~|advertisements,arm|~|rus,,,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Newpapers|~|Serials subscription agencies,Arts and Culture|~|Արվեստ և Մշակույթ|~|Լրագիր|~|Բաժանորդութիւն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x0867x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x0867x/manifest
ark:/21198/z1s77fjn,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Ահա մեր լավագույն խորհրդատուն,Masters/othermasters/DEParmenianposters/images/soviet_00233_p_arm_31.tif,,,Here is our best advisor!,,,,,1967,,,Newspapers and magazines are a source of information for the public. Թերթերը ու ամսագրերը  ինֆորմացիայի աղբյուր են եւ խորհրդատու,51 x 23 cm. (20 x 9 in.),1 poster,,posters|~|advertisements,arm|~|rus,,,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Newpapers|~|Serials subscription agencies,Arts and Culture|~|Արվեստ և Մշակույթ|~|Լրագիր|~|Բաժանորդութիւն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s77fjn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s77fjn/manifest
ark:/21198/z1ng6pwt,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Չե՞ք մոռացել` ժամանակին բաժանորդագրվելու թերթերին եւ ամսագրերին,Masters/othermasters/DEParmenianposters/images/soviet_00235_p_arm_36.tif,,,Remember to subscribe to newspapers and magazines by their deadlines,,,,,1967,,,1967 newspaper subscriptions. Երեւանում անց է կացվում 1967 թվականի բաժանորդագրություն,51 x 23 cm. (20 x 9 in.),1 poster,,posters|~|advertisements,arm,,,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Newpapers|~|Serials subscription agencies|~|Armenian newspapers|~|Armenia (Republic),Arts and Culture|~|Արվեստ և Մշակույթ|~|Լրագիր|~|Բաժանորդութիւն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6pwt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ng6pwt/manifest
ark:/21198/z1hq5z6z,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Բաժանորդագրվեցեք թերթերին եւ ամսագրերին,Masters/othermasters/DEParmenianposters/images/soviet_00236_p_arm_23.tif,,,Subscribe to newspapers and magazines,,,,,1965,,,Annual subscription of newspapers and magazines. Թերթերի եւ ամսագրերի տարեկան բաժանորդագրություն,54 x 35 cm. (21.2 x 13.8 in.),1 poster,,posters|~|advertisements,arm,,Soyuzpechat|~|Սոյուզպեչատ,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Newpapers|~|Serials subscription agencies|~|Armenian newspapers|~|Armenia (Republic),Arts and Culture|~|Արվեստ և Մշակույթ|~|Լրագիր|~|Բաժանորդութիւն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5z6z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hq5z6z/manifest
ark:/21198/z1cz56f5,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,"Աչալուրջ հսկեցեք մեր գործարաններին, պահեստներին, երկաթուղիներին, դաշտերին",Masters/othermasters/DEParmenianposters/images/soviet_00237_p_arm_288.tif,,,"Keep an eye on our factories, warehouses, railways, and fields",,,,,1941,,,"During the years of WWII, people protected their economy and industries with weapons. Երկրորդ համաշխարհային պատերազմի տարիներին մարդիկ զինված հսկում են իրենց տնտեսությունը եւ արդյունաբերությունը",59 x 45 cm. (23 x 17.7 in.),1 poster,,posters,arm,,,,,Երևան,Պետհրատ (Pethrat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Civil defense|~|Crime prevention,Government and Society|~|Կառավարություն եւ հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz56f5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cz56f5/manifest
ark:/21198/z1864fp9,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Գյուղատնտեսական կուլտուրաների կամավոր ապահովագրություն,Masters/othermasters/DEParmenianposters/images/soviet_00238_a_p_arm_70.tif,,,Voluntary insurance for agricultural crops,,,,,,,,Agricultural crops should be insured against natural disasters. Գյուղատնտեսական մշակաբույսերը պետք է ապահովագրել բնական աղետներից,28 x 22 cm. (11 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Crop insurance,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864fp9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1864fp9/manifest
ark:/21198/z14j2dbv,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Կամավոր ապահովագրեցեք գյուղատնտեսական կուլտուրաների բերքը,Masters/othermasters/DEParmenianposters/images/soviet_00238_b_p_arm_70.tif,,,Voluntary insurance for agricultural crops,,,,,,,,Compensation for agricultural crop insurance. Գյուղատնտեսական մշակաբույսերի ապահովագրության հատուցումը,28 x 22 cm. (11 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Crop insurance,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j2dbv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14j2dbv/manifest
ark:/21198/z10s1nm4,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Քաղաքացիների կենդանիների կամավոր ապահովագրություն,Masters/othermasters/DEParmenianposters/images/soviet_00239_a_p_arm_66.tif,,,Voluntary insurance for animals available to citizens,,,,,,,,Voluntary insurance for larger cattles. Խոշոր եղջերավոր անասունների կամավոր ապահովագրում,29 x 22 cm. (11.4 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Livestock insurance,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1nm4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10s1nm4/manifest
ark:/21198/z1w1154j,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Քաղաքացիների կենդանիների կամավոր ապահովագրություն,Masters/othermasters/DEParmenianposters/images/soviet_00239_b_p_arm_66.tif,,,Voluntary insurance for animals available to citizens,,,,,,,,Voluntary insurance for larger cattles. Խոշոր եղջերավոր անասունների կամավոր ապահովագրում,29 x 22 cm. (11.4 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Livestock insurance,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w1154j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w1154j/manifest
ark:/21198/z1r80dgq,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Գյուղատնտեսական տեխնիկայի եւ մեխանիզացված փոխադրական միջոցների կամավոր ապահովագրություն,Masters/othermasters/DEParmenianposters/images/soviet_00240_a_p_arm_62.tif,,,Voluntary insurance for agricultural equipments and mechanical vehicles,,,,,,,,Collective farming equipment and machinery insurance. Կոլտնտեսության տեխնիկայի եւ մեքենաների ապահովագրում,29 x 22 cm. (11.4 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Agricultural machinery,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r80dgq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1r80dgq/manifest
ark:/21198/z1mg9nrf,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Գյուղատնտեսական տեխնիկայի եւ մեխանիզացված փոխադրական միջոցների կամավոր ապահովագրություն,Masters/othermasters/DEParmenianposters/images/soviet_00240_b_p_arm_62.tif,,,Voluntary insurance for agricultural equipments and mechanical vehicles,,,,,,,,Collective farming equipment and machinery insurance. Կոլտնտեսության տեխնիկայի եւ մեքենաների ապահովագրում,29  x 22 cm. (11.4 x 8.7 in.),1 poster,,posters|~|advertisements,arm|~|rus,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Agricultural machinery,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9nrf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mg9nrf/manifest
ark:/21198/z1gq8x0p,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Կոլտնտեսությունների կենդանիների կամավոր ապահովագրություն,Masters/othermasters/DEParmenianposters/images/soviet_00241_a_p_arm_61.tif,,,Voluntary insurance for farm animals in collective farms,,,,,,,,Collective farm animal voluntary insurance. Կոլտնտեսության կենդանիների ապահովագրություն,28 x 22 cm.  (11 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Livestock insurance,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8x0p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gq8x0p/manifest
ark:/21198/z1bz857w,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Կոլտնտեսությունների կենդանիների կամավոր ապահովագրություն,Masters/othermasters/DEParmenianposters/images/soviet_00241_b_p_arm_61.tif,,,Voluntary insurance for farm animals in collective farms,,,,,,,,Collective farm animal voluntary insurance. Կոլտնտեսության կենդանիների ապահովագրություն,28 x 22 cm.  (11 x 8.7 in.),1 poster,,posters|~|advertisements,arm|~|rus,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Livestock insurance,"Environment, Science, and Technology|~|Բնապահպանություն, Գիտություն եւ Տեխնոլոգիա",,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz857w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bz857w/manifest
ark:/21198/z17963wb,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Պետական ապահովագրությունը օժանդակում է բնակչության նյութական բարեկեցության բարձրացմանը,Masters/othermasters/DEParmenianposters/images/soviet_00242_a_p_arm_65.tif,,,Voluntary personal and property insurance for citizens,,,,,,,,"House, car and motorcycle insurance available for citizens. Քաղաքացիների տան, ավտոմեքենայի ու մոտոցիկլետի ապահովագրում",29 x 23 cm. (11.4 x 9 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17963wb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17963wb/manifest
ark:/21198/z13j5c51,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Պետական ապահովագրությունը օժանդակում է բնակչության նյութական բարեկեցության բարձրացմանը,Masters/othermasters/DEParmenianposters/images/soviet_00242_b_p_arm_65.tif,,,Voluntary personal and property insurance for citizens,,,,,,,,"Citizens' lives, property and livestock insurance. Քաղաքացիների կյանքի, գույքի եւ ընտանի կենդանիների ապահովագրում",29 x 23 cm. (11.4 x 9 in.),1 poster,,posters|~|advertisements,arm|~|rus,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j5c51,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13j5c51/manifest
ark:/21198/z1zs4vqs,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Շենքերի կամավոր ապահովագրություն,Masters/othermasters/DEParmenianposters/images/soviet_00243_a_p_arm_67.tif,,,Vonluntary insurance for buildings,,,,,,,,Insurance of residential buildings against natural disasters. Բնակելի շենքերի եւ շինությունների ապահովագրությունը բնական աղետներից,28 x 22 cm. (11 x 8.7 in.),1 poster,,posters|~|advertisements,arm|~|rus,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4vqs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1zs4vqs/manifest
ark:/21198/z1v1441m,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Շենքերի կամավոր ապահովագրություն,Masters/othermasters/DEParmenianposters/images/soviet_00243_b_p_arm_67.tif,,,Voluntary insurance for buildings,,,,,,,,Insurance of residential buildings against natural disasters. Բնակելի շենքերի եւ շինությունների ապահովագրությունը բնական աղետներից,28 x 22 cm. (11 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v1441m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1v1441m/manifest
ark:/21198/z1q83cbb,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Քաղաքացիներ ապահովագրեցեք ձեր սեփական փոխադրական միջոցները,Masters/othermasters/DEParmenianposters/images/soviet_00244_a_p_arm_71.tif,,,Voluntary transport systems insurance for citizens,,,,,,,,Insurance of personal vehicles from citizens. Քաղաքացիների անձնական փոխադրամիջոցների ապահովագրություն,28 x 23 cm. (11 x 9 in.),1 poster,,posters|~|advertisements,arm|~|rus,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q83cbb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1q83cbb/manifest
ark:/21198/z1kh2mjq,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Քաղաքացիներ ապահովագրեցեք ձեր սեփական փոխադրական միջոցները,Masters/othermasters/DEParmenianposters/images/soviet_00244_b_p_arm_71.tif,,,Voluntary transport systems insurance for citizens,,,,,,,,Insurance of personal vehicles from citizens. Քաղաքացիների անձնական փոխադրամիջոցների ապահովագրություն,28 x 23 cm. (11 x 9 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2mjq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1kh2mjq/manifest
ark:/21198/z1fr1vt0,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Ձեր կյանքը ապահովագրեք դժբախտ դեպքերից,Masters/othermasters/DEParmenianposters/images/soviet_00245_a_p_arm_63.tif,,,Insurance against accidents,,,,,,,,Insurance against accidents. Ապահովագրություն դժբախտ պատահարներից,29 x 22 cm. (11.4 x 8.7 in.),1 poster,,posters|~|advertisements,arm|~|rus,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1vt0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fr1vt0/manifest
ark:/21198/z1b29tj6,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Ձեր կյանքը ապահովագրեք դժբախտ դեպքերից,Masters/othermasters/DEParmenianposters/images/soviet_00245_b_p_arm_63.tif,,,Insurance against accidents,,,,,,,,Insurance against accidents. Ապահովագրություն դժբախտ պատահարներից,29 x 22 cm. (11.4 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29tj6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b29tj6/manifest
ark:/21198/z16992sd,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Ապահովագրիր կյանքդ,Masters/othermasters/DEParmenianposters/images/soviet_00246_a_p_arm_72.tif,,,Life insurance,,,,,1962,,,People are covered by their insurance while on vacation. Մարդիկ ապահովագրում են իրենց կյանքը հանգստի մեկնելիս,29 x 22 cm. (11.4 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16992sd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16992sd/manifest
ark:/21198/z12j8b23,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Ապահովագրիր կյանքդ,Masters/othermasters/DEParmenianposters/images/soviet_00246_b_p_arm_72.tif,,,Life insurance,,,,,1962,,,Life insurance covers many different situations. Մարդու կյանքի ապահովագրություն կյանքի տարբեր իրավիճակներում,29 x 22 cm. (11.4 x 8.7 in.),1 poster,,posters|~|advertisements,arm|~|rus,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j8b23,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12j8b23/manifest
ark:/21198/z1xs7tn9,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Տնային գույքի կամավոր ապահովագրություն,Masters/othermasters/DEParmenianposters/images/soviet_00247_a_p_arm_69.tif,,,Voluntary insurance for personal items in your home,,,,,,,,Insurance for furniture and personal items in your home. Կենցաղում օգտագործվող գույքի ապահովագրում,29 x 22 cm. (11.4 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7tn9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xs7tn9/manifest
ark:/21198/z1t172x8,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Տնային գույքի կամավոր ապահովագրություն,Masters/othermasters/DEParmenianposters/images/soviet_00247_b_p_arm_69.tif,,,Voluntary insurance for personal items in your home,,,,,,,,Insurance for furniture and personal items in your home. Կենցաղում օգտագործվող գույքի ապահովագրում,29 x 22 cm. (11.4 x 8.7 in.),1 poster,,posters|~|advertisements,arm,,Department of State Insurance of the Armenian SSR|~|Հայկական ՍՍՌ Պետական ապահովագրության վարչություն,,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Insurance policies|~|Armenia (Republic),Government and Society|~|Կառավարություն եւ Հասարակություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t172x8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t172x8/manifest
ark:/21198/z1p86b42,ark:/21198/z17963vw|~|ark:/21198/z1zk7d59,Work,Պահպանել հակահրդեհային կանոնները,Masters/othermasters/DEParmenianposters/images/soviet_00248_a_p_arm_302.tif,,,Observe fire safety regulations,,,,,1964,,,Fire avoidance rule. Հրդեհից խուսափելու կանոների պահպանումը,34 x 23.5 cm. (13.4 x 9.2 in.),1 poster,,posters,arm|~|rus,,"Aut. and ed. Khachaturov, J. M.|~|Art. Tiraturyan Mkrtich Tatevosi|~|Fire Department Ministry of Public Order Protection of Armenian SSR|~|Հեղ. և խմբ. Խաչատուրով, Յա. Մ.|~|Նկ. Տիրատուրյան, Մկրտիչ Թադևոսի|~|ՀՍՍՌ ՀԿՊՄ հրշեջ պահպանության վարչություն",,,Երևան,Պոլիգրաֆկոմբինատ (Poligrafkombinat),,still image,copyrighted,"http://www.nla.am/, info@nla.am",,,,Fire prevention|~|Armenia (Republic)|~|Public safety,Health and Public Safety|~|Առողջապահություն եւ Հանրային Անվտանգություն,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p86b42,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p86b42/manifest
