Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Finding Aid URL
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d439k,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,text,individuals,,private,,schedules,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21 x 27.5 cm,c1179_b2000_f(30)_108|~|c1179_b2000_f(30)_107,,,"Von Sternberg House, door schedule, Northridge, California, 1935","August 2, 1935",2 p.,1935-08-02,graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d455g,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,text,individuals,,private,,checklists,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21 x 27.5 cm,c1179_b2000_f(30)_112|~|c1179_b2000_f(30)_113,,"Checklist for glass in doors, windows, shelves, and mirrors.","Von Sternberg House, list of glass, Northridge, California, 1935","October 17, 1935",2 p.,1935-10-17,graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d51bk,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Blueprints,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21 x 27.5 cm,c1179_b2000_f(30)_175_side 1|~|c1179_b2000_f(30)_175_side 2,,Second item: verso.|~|Includes details for bases in kitchen.,"Von Sternberg House, blueprint, foundation plan for kitchen floor, Northridge, California, 1935","July 28, 1935",1 p.,1935-07-28,blueprint paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d5rtz,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image,individuals,,private,,Architectural drawings|~|calculations,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 27.5 cm,c1179_b2000_f(30)_199_side 1|~|c1179_b2000_f(30)_199_side 2,,,"Von Sternberg House, sketch and calculations, Northridge, California, 1935",1935,1 drawing,1935,graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d5rvg,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image,individuals,,private,,Architectural drawings|~|specifications,,,California,,,dwellings|~|Architecture--California--20th century|~|Furniture,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 27.5 cm,c1179_b2000_f(30)_200_side 1|~|c1179_b2000_f(30)_200_side 2,,"Sketches and measurements for living room, dining room, and bedroom furniture.","Von Sternberg House, specifications for furniture, Northridge, California, 1935",1935,1 drawing,1935,graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d5rw0,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,checklists,,,California,,"Baxter, Bruce",dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",22.5 x 30 cm,c1179_b2000_f(30)_201_side 2|~|c1179_b2000_f(30)_201_side 1,,"Checklist of measurements, pricing, and contacts. Verso contains an image of a fireplace from the residence of Dr. Bruce Baxter.","Von Sternberg House, checklist, Northridge, California, 1935","July 1, 1935",1 p.,1935-07-01,graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d5s3k,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Sketches|~|calculations|~|checklists,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 27.5 cm,c1179_b2000_f(30)_202_side 2|~|c1179_b2000_f(30)_202_side 1,,Verso contains several sketches.,"Von Sternberg House, checklist and calculations, Northridge, California, 1935",1935,1 p.,1935,graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d5s43,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Architectural drawings|~|specifications,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 27.5 cm,c1179_b2000_f(30)_203_side 2|~|c1179_b2000_f(30)_203_side 1,,,"Von Sternberg House, specifications for kitchen fan, Northridge, California, 1935",1935,1 p.,1935,graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d5sb6,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Architectural drawings|~|checklists,,,California,,United States. Federal Housing Administration,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",20 x 26.5 cm,c1179_b2000_f(30)_204_side 1|~|c1179_b2000_f(30)_204_side 2,,"Sketches and notes for an electrical unit. Verso lists sales and earnings from air-conditioning and refrigeration industries, supplied by the Federal Housing Administration.","Von Sternberg House, sketch and checklist, electrical and air conditioning details, Northridge, California, 1935",1935,1 p.,1935,graphite and typescript on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d6f2p,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 27.5 cm,c1179_b2000_f(30)_205_side 1|~|c1179_b2000_f(30)_205_side 2,,"Detail of plaster cove light for master bedroom and wall light troughs for along gallery wall, porte-cochere, and entry. Verso contains sketch of light bulb.","Von Sternberg House, detail of lights for master bedroom and entries, Northridge, California, 1935","July 29, 1935",1 p.,1935-07-29,graphite and colored pencil on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d6f8s,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",14.5 x 23 cm,c1179_b2000_f(30)_206_side 2|~|c1179_b2000_f(30)_206_side 1,,"Sketches of door frames, with dimensions and notes.","Von Sternberg House, sketch, door details, Northridge, California, 1935",1935,1 drawing,1935,graphite on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d6f99,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 27.5 cm,c1179_b2000_f(30)_207_side 1|~|c1179_b2000_f(30)_207_side 2,,,"Von Sternberg House, detail of first floor stair hall soffit light, Northridge, California, 1935",1935,1 drawing,1935,graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d6fbt,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",23 x 30.5 cm,c1179_b2000_f(30)_208_side 1|~|c1179_b2000_f(30)_208_side 2,,,"Von Sternberg House, detail of porte-cochere soffit light, Northridge, California, 1935",1935,1 drawing,1935,graphite on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d6fcb,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image,individuals,,private,,Sketches|~|calculations,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",18.5 x 21.5 cm,c1179_b2000_f(30)_209_side 2|~|c1179_b2000_f(30)_209_side 1,,,"Von Sternberg House, calculations and sketches, Northridge, California, 1935",1935,1 p.,1935,graphite on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d6fmz,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21 x 27.5 cm,c1179_b2000_f(30)_211_side 1|~|c1179_b2000_f(30)_211_side 2,,,"Von Sternberg House, preliminary drawing, jambs, Northridge, California, 1935",1935,1 drawing,1935,graphite on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d6fng,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Architectural drawings|~|checklists,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21 x 27.5 cm,c1179_b2000_f(30)_212_side 1|~|c1179_b2000_f(30)_212_side 2,,,"Von Sternberg House, checklist and sketch of door frame, Northridge, California, 1935",1935,1 p.,1935,graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d6fvk,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Architectural drawings|~|calculations,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",22.5 x 30 cm,c1179_b2000_f(30)_213_side 2|~|c1179_b2000_f(30)_213_side 1,,Verso contains sketch and calculations.,"Von Sternberg House, detail of porte-cochere soffit light, Northridge, California, 1935","August 30, 1935",1 drawing,1935-08-30,graphite on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d6fw3,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Architectural drawings|~|folders (containers),,,California,,,,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)",,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",23 x 29.5 cm,c1179_b2000_f(30)_214_side 2|~|c1179_b2000_f(30)_215|~|c1179_b2000_f(30)_214_side 1,,"File folder labeled ""Terrazzo Details"" containing sketches of architectural joints.","Von Sternberg House, folder with sketches, Northridge, California, 1935",1935,1 folder,1935,graphite on cardboard,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d80dg,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Sections,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)",,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",23 x 30 cm,c1179_b2000_f(30)_OM2_020|~|c1179_b2000_f(30)_OM2_021,,,"Von Sternberg House, preliminary details of ornamental metal for second floor stair hall, Northridge, California, 1935","September 9, 1935",2 drawings,1935-09-09,graphite on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001d80f0,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image|~|text,individuals,,private,,Elevations|~|Architectural drawings,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Von Sternberg House (San Fernando Valley, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",23 x 32 cm,c1179_b2000_f(30)_OM4_023|~|c1179_b2000_f(30)_OM4_022,,Includes elevations of stair hall and doors.,"Von Sternberg House, preliminary details of ornamental metal for spindle, stairpost, and rail, Northridge, California, 1935","September 27, 1935",2 drawings,1935-09-27,graphite on tracing paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001drkw6,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,"Neutra, Richard Joseph, $d 1892-1970|~|Paddock Engineering Co., Ltd.",still image|~|text,individuals,,private,,brochures|~|notes,,,California,,,Swimming pools|~|dwellings,,,eng,"Sten-Frenke House (Santa Monica, Calif.)",,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 28 cm,c1179_b1396_f(11)_Paddock brochure_2|~|c1179_b1396_f(11)_Paddock brochure_3|~|c1179_b1396_f(11)_Paddock brochure_4|~|c1179_b1396_f(11)_Paddock brochure_1,,"Brochure from Paddock Engineering Co. advertising swimming pools, pool maintenance, and underwater lighting. Contains a loose sheet of paper with Richard J. Neutra's notes about estimates for installing a swimming pool at the Sten-Frenke House.",Paddock Engineering Company brochure,1934,4 p.,1934,"typescript on paper, graphite on tracing paper",,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dv84t,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,"Beard, William|~|Beard, Belba",text,individuals,,private,,letters (correspondence),,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Beard House (Altadena, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 28 cm,c1179_b23_f(1-Correspondence)_Modern Metal Home|~|c1179_b23_f(1-Correspondence)_Modern Metal Home-2,,Located in the Beard client files.,"Letter, William and Belba Beard, Life in a Modern Metal Home",,2 p.,,typescript on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dvj98,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,"Creative Construction, Steyer Weisbrod, Inc.",still image|~|text,individuals,,private,,Advertisements,,,California,,,Architecture--California--20th century,,,eng,"Beard House (Altadena, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",21.5 x 28,c1179_b23_f(1-Correspondence)_Steelite|~|c1179_b23_f(1-Correspondence)_Steelite-back,,Located in Beard client files.,Steelite expanded lattice studs and joists,Between 1946 and 1947,1 p.,1946/1947,typescript on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001dxr1x,ark:/21198/zz0008b9tw,2,Completed,Work,,,,,,,still image,individuals,,,,Black-and-white photographs|~|Architectural photographs,,,California,,,dwellings|~|Architecture--California--20th century,,,,"Beard House (Altadena, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,C1179_b778_f7_beardresidence16_back|~|C1179_b778_f7_beardresidence16_front,,Second item: verso.,"Beard House, installation of utility lines, Altadena, California, 1934",1934,1 photographic print,1934,b&w,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001hcnj9,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,still image,individuals,,private,,Floor plans,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Lovell House (Los Angeles, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,uclass_1179_f1234_no#|~|uclass_1179_f1233_no#,,"Both items are labeled ""Sheet 2.""","Lovell Health House, living room floor plan, Los Angeles, California, 1928","April 6, 1928",2 drawings,1928-04-06,graphite and pen and ink on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001hd7jz,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,,text,individuals,,private,,proposals,,,California,,,dwellings,,,eng,"Kun House (Hollywood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b69_f(5)_001|~|c1179_b69_f(5)_002|~|c1179_b69_f(5)_003|~|c1179_b69_f(5)_004,,,"Kun House, subcontract proposals, 1936",1936,4 p.,1936,graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001hfz08,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,Bennett-Forsberg Co. Inc.,text,individuals,,private,,estimates,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Kun House (Hollywood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b69_f(5)_011|~|c1179_b69_f(5)_012,,"Bennett-Forsberg Co. Inc., electrical installation. Signed C.J. Bennett.","Kun House, estimate from Bennett-Forsberg Co. Inc., 1935","June 12, 1935",2 p.,1935-06-12,typescript and graphite on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001hmc5w,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,L.A. Star Roof Company,text,individuals,,private,,estimates,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Kun House (Hollywood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b69_f(5)_022|~|c1179_b69_f(5)_023,,"Signed ""W. Fritz, engineer.""","L. A. Star Roof Company, estimates for five houses, 1935","September 18, 1935",2 p.,,typescript on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001hmc8f,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,Consolidated Rock Products Co.,text,individuals,,private,,contracts,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Kun House (Hollywood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b69_f(5)_026-1|~|c1179_b69_f(5)_026-2,,Second item: verso.,"Kun House, contract from Consolidated Rock Products Co., 1935","May 21, 1935",1 p.,1935-05-21,typescript and pen and ink on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001hmc9z,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,Consolidated Rock Products Co.,text,individuals,,private,,letters (correspondence),,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Kun House (Hollywood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b69_f(5)_027-1|~|c1179_b69_f(5)_027-2,,"Informal letter to Richard Neutra from N. T. Mahon, Consolidated Rock Products Co. Second item: verso.","Kun House, letter to Richard Neutra from N.T. Mahon, 1935",1935,1 p.,1935,pen and ink on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001hmcbg,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,Detroit Steel Products Company,text,individuals,,private,,contracts,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Kun House (Hollywood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b69_f(5)_028-1|~|c1179_b69_f(5)_028-2,,Signed by W.B. Arnot.|~|Second item: verso.,"Kun House, standard form contract for steel windows, 1935","May 24, 1935",1 p.,1935-05-24,typescript on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001hmcdh,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,Detroit Steel Products Company,text,individuals,,private,,contracts,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Kun House (Hollywood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b69_f(5)_030-1|~|c1179_b69_f(5)_030-2,,Signed by W.B. Arnot.|~|Second item: verso.,"Kun House, standard form contract for steel windows, 1935","September 18, 1935",1 p.,1935-09-18,typescript on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz001hmqwk,ark:/21198/zz0008b9tw,1,In progress,Work,,,,,,K. P. Crater Co.,,individuals,,private,,bids (documents)|~|contracts,,,California,,,dwellings|~|Architecture--California--20th century,,,eng,"Kun House (Hollywood, Calif.)","Neutra, Richard Joseph, $d 1892-1970",,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_b69_f(5)_037-1|~|c1179_b69_f(5)_037-2,,Second item: verso.,"Kun House, plumbing bid and contract, 1935","May 16, 1935",1 p.,1935-05-16,typescript and pen and ink on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
