"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","viewingHint","Text direction","Visibility","IIIF Range","Subject","Name.subject","Name.author","Name.creator","Name.recipient","Name.correspondent","Name.repository","AltIdentifier.local","Title","Date.creation","Date.normalized","Format.extent","Description.note","Language.text","Description.abstract"
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sg25","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sg25-1-master.tif","19","","","","","","","","Flax","","Cooke, Alex ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","","","MS 200/10/2/12/1","Letter from Alex Cooke; Page 1","16th February 1887","1887-02-16","1 Page","The letter is in regards to flax samples.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sg3p","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sg3p-1-master.tif","20","","","","","","","","Flax","","Cooke, Alex ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","","","MS 200/10/2/12/2","Letter from Alex Cooke; Page 2","16th February 1887","1887-02-16","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sg46","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sg46-1-master.tif","21","","","","","","","","Flax industry|~|Business--History|~|Clippings (Books, newspapers, etc.)","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/13/1","The Shoe and Leather Trades' Chronicle; Page 15","15th August 1882","1882-08-15","1 Page","1 article consisting of pages 15-18.|~|The item is a newspaper article about the Marshalls's mill.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sg5q","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sg5q-1-master.tif","22","","","","","","","","Flax industry|~|Business--History|~|Clippings (Books, newspapers, etc.)","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/13/2","The Shoe and Leather Trades' Chronicle; Pages 16 and 17","15th August 1882","1882-08-15","1 Double Page","1 article consisting of pages 15-18.|~|The item is a newspaper article about the Marshalls's mill.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sg67","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sg67-1-master.tif","23","","","","","","","","Flax industry|~|Business--History|~|Clippings (Books, newspapers, etc.)","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/13/3","The Shoe and Leather Trades' Chronicle; Page 18","15th August 1882","1882-08-15","1 Page","The item is a newspaper article about the Marshalls' mill.|~|1 article consisting of pages 15-18.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sg7r","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sg7r-1-master.tif","24","","","","","","","","Flax industry|~|Business--History|~|Clippings (Books, newspapers, etc.)","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/14/1","The Shoe and Leather Trades' Chronicle; Page 15","15th August 1882","1882-08-15","1 Page","The item is the same as MS 200/10/2/13.  It consists only of pages 15 and 16 of the article.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sg88","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sg88-1-master.tif","25","","","","","","","","Flax industry|~|Business--History|~|Clippings (Books, newspapers, etc.)","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/14/2","The Shoe and Leather Trades' Chronicle; Page 16","15th August 1882","1882-08-15","1 Page","The item is the same as MS 200/10/2/13.  It consists only of pages 15 and 16 of the article.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sg9s","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sg9s-1-master.tif","26","","","","","","","","Patents","Kendrew, John|~|Porterhouse, Thomas ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/15","Notes on Kendrew and Porthouse's Patent","19 June 1787","1787-06-19","1 Page","The item is notes on the patent.  The date refers to the date of the patent rather than the date of the notes.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgb9","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgb9-1-master.tif","27","","","","","","","","Patents|~|Spinning machinery ","Murray, Matthew","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/16","Notes on Matthew Murray's Patent","1 June 1790","1790-06-01","1 Page","The item is notes on the patent.  The date refers to the date of the patent rather than the date of the notes.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgct","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgct-1-master.tif","28","","","","","","","","Patents|~|Spinning machinery ","Murray, Matthew","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/17","Notes on Matthew Murray's Patent","18th December 1793","1793-12-18","1 Page","The item is notes on the patent.  The date refers to the date of the patent rather than the date of the notes.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgdb","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgdb-1-master.tif","29","","","","","","","","Industrial buildings","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/19|~|MS 200/10/2/18","Historical Notes","1830 and 1817-1855","1830|~|1817/1855","2 Pages","Bottom item is historical notes on the occupation of the mills.|~|Top item is a note on the history of flax spinning.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgfv","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgfv-1-master.tif","30","","","","","","","","Flax industry|~|Business--History|~|Clippings (Books, newspapers, etc.)","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/20/1","The British Trade Journal; Page 169","1st March 1883","1883-03-01","1 Page","The item is an article about the Marshalls flax mill.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sggc","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sggc-1-master.tif","31","","","","","","","","Flax industry|~|Business--History|~|Clippings (Books, newspapers, etc.)","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/20/2","The British Trade Journal; Pages 170 and 171","1st March 1883","1883-03-01","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sghw","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sghw-1-master.tif","32","","","","","","","","Flax industry|~|Business--History|~|Clippings (Books, newspapers, etc.)","Marshall & Company, Leeds, Eng. ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/20/3","The British Trade Journal; Page 172","1st March 1883","1883-03-01","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgjd","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgjd-1-master.tif","34","","","","","","","","Trade|~|Flax industry|~|America |~|Clippings (Books, newspapers, etc.)","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/21/2","Irish Textile Journal; Page 96","15th August 1886","1886-08-15","1 Page","The item is a page from the Irish Textile Journal.  It contains articles on Continental linen trade, the United States market, the textile industries in Philadelphia and the Royal Commission on the depression of trade.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgkx","ark:/21198/zz0009cdm3","1","In progress","ChildWork","marshall/masters/21198-zz0009sgkx_762317_master.tif","33","","","","","","","","Trade|~|Flax industry|~|America |~|Clippings (Books, newspapers, etc.)","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/21/1","Irish Textile Journal; Page 95","15th August 1886","1886-08-15","1 Page","The item is a page from the Irish Textile Journal.  It contains articles on Continental linen trade, the United States market, the textile industries in Philadelphia and the Royal Commission on the depression of trade.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgmf","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgmf-1-master.tif","36","","","","","","","","Trade|~|Spinning machinery |~|Flax industry|~|Clippings (Books, newspapers, etc.)|~|Inventions","De Girard, Philippe, 1775-1845 |~|Marshall, Stephen Albert, 1843-1904 ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/22","Irish Textile Journal; Page 105","15th September 1886","1886-09-15","1 Page","The item contains a table of figures about exports of linen and articles on monthly trade reports.  The article also contains correspondence, especially a letter to the editor from Stephen A. Marshall regarding de Girard's invention and a subsequent letter from an anonymous person in Warsaw.|~|4 page article.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgnz","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgnz-1-master.tif","37","","","","","","","","Trade|~|Spinning machinery |~|Flax industry|~|Clippings (Books, newspapers, etc.)|~|Inventions","De Girard, Philippe, 1775-1845 |~|Marshall, Stephen Albert, 1843-1904 ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/22/1","Irish Textile Journal; Page 106","15th September 1886","1886-09-15","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgpg","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgpg-1-master.tif","38","","","","","","","","Trade|~|Spinning machinery |~|Flax industry|~|Clippings (Books, newspapers, etc.)|~|Inventions","De Girard, Philippe, 1775-1845 |~|Marshall, Stephen Albert, 1843-1904 ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/22/2","Irish Textile Journal; Page 107","15th September 1886","1886-09-15","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgq0","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgq0-1-master.tif","39","","","","","","","","Trade|~|Spinning machinery |~|Flax industry|~|Clippings (Books, newspapers, etc.)|~|Inventions","De Girard, Philippe, 1775-1845 |~|Marshall, Stephen Albert, 1843-1904 ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/22/3","Irish Textile Journal; Page 108","15th September 1886","1886-09-15","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgrh","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgrh-1-master.tif","40","","","","","","","","Spinning machinery |~|Clippings (Books, newspapers, etc.)|~|Inventions","De Girard, Philippe, 1775-1845 ","Marshall, Stephen Albert, 1843-1904 ","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/23/1","Irish Textile Journal; Page 5","15th January 1887","1887-01-15","1 Page","The item is a letter to the editor from Stephen A. Marshall in regards to the response from the person in Warsaw.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgs1","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgs1-1-master.tif","41","","","","","","","","Spinning machinery |~|Clippings (Books, newspapers, etc.)|~|Inventions","De Girard, Philippe, 1775-1845 ","Marshall, Stephen Albert, 1843-1904 ","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/23/2","Irish Textile Journal; Page 6","15th January 1887","1887-01-15","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgtj","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgtj-1-master.tif","42","","","","","","","","Spinning machinery |~|Clippings (Books, newspapers, etc.)|~|Inventions","De Girard, Philippe, 1775-1845 ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/24","Irish Textile Journal","","","1 Page","The item is a letter to the editor regarding Phillip de Girard's invention.|~|Article is incomplete.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgv2","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgv2-1-master.tif","43","","","","","","","","Ireland|~|Trade|~|America |~|Clippings (Books, newspapers, etc.)|~|France","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/25/1","Irish Textile Journal; Page 77","15th June 1887","1887-06-15","1 Page","The item is a page from the Irish Textile Journal with articles covering the United States market, Belfast Technical School and notes from Paris.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgwk","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgwk-1-master.tif","44","","","","","","","","Ireland|~|Trade|~|America |~|Clippings (Books, newspapers, etc.)|~|France","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/25/2","Irish Textile Journal; Page 78","15th June 1887","1887-06-15","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgx3","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgx3-1-master.tif","45","","","","","","","","Spinning machinery |~|Clippings (Books, newspapers, etc.)|~|Inventions","De Girard, Philippe, 1775-1845 ","Marshall, Stephen Albert, 1843-1904 ","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/26/1","Irish Textile Journal; Page 85","15th July 1887","1887-07-15","1 Page","The item is correspondence to the editor regarding Phillip de Girard's invention and a Belfast Linen trade report.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sgzm","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sgzm-1-master.tif","46","","","","","","","","Ireland|~|Trade|~|Clippings (Books, newspapers, etc.)","De Girard, Philippe, 1775-1845 ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/26/2","Irish Textile Journal; Page 86","15th July 1887","1887-07-15","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sh0m","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sh0m-1-master.tif","47","","","","","","","","Trade|~|Linen|~|Clippings (Books, newspapers, etc.)|~|Belgium","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/27/1","Textile Manufacturer; Page 543","15th December 1884","1884-12-15","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sh14","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sh14-1-master.tif","48","","","","","","","","Trade|~|Linen|~|Clippings (Books, newspapers, etc.)|~|Belgium","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/27/2","Textile Manufacturer; Page 544","15th December 1884","1884-12-15","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sh2n","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sh2n-1-master.tif","49","","","","","","","","Accounts|~|Thread|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/28/1","Yarn and Thread Price Lists; Page 40","1826-1842","1826/1842","1 Page","The booklet has yarn and thread prices and yarn calculations.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sh35","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sh35-1-master.tif","50","","","","","","","","Accounts|~|Thread|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/28/2","Yarn and Thread Price Lists; Page 41","1826-1842","1826/1842","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sh4p","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sh4p-1-master.tif","51","","","","","","","","Accounts|~|Thread|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/28/3","Yarn and Thread Price Lists; Page 42","1826-1842","1826/1842","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sh56","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sh56-1-master.tif","52","","","","","","","","Accounts|~|Thread|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/28/4","Yarn and Thread Price Lists; Page 43","1826-1842","1826/1842","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sh6q","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sh6q-1-master.tif","53","","","","","","","","Accounts|~|Thread|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/28/5","Yarn and Thread Price Lists; Page 44","1826-1842","1826/1842","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sh77","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sh77-1-master.tif","54","","","","","","","","Accounts|~|Thread|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/28/6","Yarn and Thread Price Lists; Page 45","1826-1842","1826/1842","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sh8r","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sh8r-1-master.tif","55","","","","","","","","Accounts|~|Thread|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/28/7","Yarn and Thread Price Lists; Page 46","1826-1842","1826/1842","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sh98","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sh98-1-master.tif","56","","","","","","","","Accounts|~|Thread|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/28/8","Yarn and Thread Price Lists; Page 47","1826-1842","1826/1842","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shbs","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shbs-1-master.tif","57","","","","","","","","Accounts|~|Thread|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/28/9","Yarn and Thread Price Lists; Page 48","1826-1842","1826/1842","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shc9","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shc9-1-master.tif","58","","","","","","","","Accounts|~|Thread|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/28/10","Yarn and Thread Price Lists; Page 49","1826-1842","1826/1842","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shdt","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shdt-1-master.tif","59","","","","","","","","Accounts|~|Thread|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/28/11","Yarn and Thread Price Lists; Page 50","1826-1842","1826/1842","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shfb","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shfb-1-master.tif","60","","","","","","","","Prices","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/29","Notes on Tow Prices","7th September 1823","1823-09-07","1 Page","The item is a list of tow prices.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shgv","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shgv-1-master.tif","61","","","","","","","","Business--History","Patrington Flax Company|~|Marshall, Stephen Albert, 1843-1904 ","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/30","Note on Patrington Flax Company","1894","1894","1 Page","The item is a note on the history of the Patrington flax company signed by Stephen A. Marshall.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shhc","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shhc-1-master.tif","62","","","","","","","","Labor disputes|~|Clippings (Books, newspapers, etc.)|~|Labor relations","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/31","Hunslet & Holbeck News","28th August 1886","1886-08-28","1 Page","The item is a newspaper clipping regarding the hands planning to attack a foreman after the mill closed.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shjw","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shjw-1-master.tif","63","","","","","","","","Accounts|~|Prices|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/32/1","Yarn Prices; Page 1","26th July and 10th August 1830","1830-08-10|~|1830-07-26","1 Page","The item is a list of yarn prices.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shkd","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shkd-1-master.tif","64","","","","","","","","Accounts|~|Prices|~|Yarn","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/32/2","Yarn Prices; Page 2","26th July and 10th August 1830","1830-08-10|~|1830-07-26","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shmx","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shmx-1-master.tif","65","","","","","","","","Industrial equipment |~|Spinning machinery |~|Industrial production |~|Business--History","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/33","Notes on Machinery & Methods","","","1 Page","The item is a very brief list of notes about machinery and methods used by the Marshalls.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shnf","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shnf-1-master.tif","66","","","","","","","","Industrial equipment |~|Spinning machinery |~|Industrial production |~|Business--History","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/34/1","Memo Concerning Flax Spinning; Page 1","","","1 Page","5 pages total.|~|The item is notes on the history of flax spinning at Marshalls mills.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shpz","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shpz-1-master.tif","67","","","","","","","","Industrial equipment |~|Spinning machinery |~|Industrial production |~|Business--History","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/34/2","Memo Concerning Flax Spinning; Pages 2 and 3","","","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shqg","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shqg-1-master.tif","68","","","","","","","","Industrial equipment |~|Spinning machinery |~|Industrial production |~|Business--History","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/34/3","Memo Concerning Flax Spinning; Pages 4 and 5","","","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shr0","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shr0-1-master.tif","69","","","","","","","","Industrial equipment |~|Spinning machinery |~|Industrial production ","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/35","Notes on Production","","","1 Page","The item is rough notes on developments in production.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shsh","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shsh-1-master.tif","70","","","","","","","","Research Work|~|Russia ","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/36/1","Book List; Page 1","","","1 Page","The item is a list of books.  On the back of the sheet is notes about a visitor from Russia in 1830.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sht1","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sht1-1-master.tif","71","","","","","","","","Research Work|~|Russia ","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/36/2","Book List; Page 2","","","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shvj","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shvj-1-master.tif","72","","","","","","","","Factory School|~|Child labor ","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/37/1","Notes About the School; Page 1","1822","1822","1 Page","The item is a note about the setting up and running of the school.  On the back there are notes of people who will supervise the school.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shw2","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shw2-1-master.tif","73","","","","","","","","Factory School|~|Child labor ","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/37/2","Notes About the School; Page 2","1822","1822","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shxk","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shxk-1-master.tif","74","","","","","","","","Working Conditions|~|Labor--Standards|~|Factory workers|~|Health|~|Child labor ","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/38/1","Notes on Margaret Kendell; Page 1","1827-1831","1827/1831","1 Page","The item is an account of the injuries sustained by Margaret Kendell during her time at the Marshalls mills.  The item itself is not dated but refers to dates related to Margaret Kendell's life.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009shz3","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009shz3-1-master.tif","75","","","","","","","","Working Conditions|~|Labor--Standards|~|Factory workers|~|Child labor ","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/38/2","Notes on Margaret Kendall; Page 2","1827-1831","1827/1831","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sj03","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sj03-1-master.tif","76","","","","","","","","Factory School|~|Child labor ","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/39/1","Notes About the School; Page 1","1822","1822","1 Page","The item is the same as MS 200/10/2/37 but not in note form.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sj1m","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sj1m-1-master.tif","77","","","","","","","","Factory School|~|Child labor ","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/39/2","Notes About the School; Page 2","1822","1822","1 Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sj24","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sj24-1-master.tif","78","","","","","","","","Public welfare|~|Working Conditions|~|Labor--Standards|~|Factory workers|~|Labor relations|~|Working time","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/40/1","Eleven Hours Time; Page 1","March 1846","1846-03","1 Page","The item is the same as MS 200/4/2.","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sj3n","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sj3n-1-master.tif","80","","","","","","","","Public welfare|~|Working Conditions|~|Labor--Standards|~|Factory workers|~|Labor relations|~|Working time","","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/40/2","Eleven Hours Time; Page 2 and 3","March 1846","1846-03","1 Double Page","","",""
"Marshall and Co., Leeds, Papers","ark:/21198/zz0009sj45","ark:/21198/zz0009cdm3","2","Completed","ChildWork","marshall/masters/21198-zz0009sj45-1-master.tif","81","","","","","","","","Industrial equipment |~|Industrial development |~|Spinning machinery |~|Industrial production |~|Business--History","Marshall & Company, Leeds, Eng. |~|Kay, James","","Marshall & Company, Leeds, Eng. ","","","","MS 200/10/2/41/1","Historical Notes; Page 1","December 1881","1881-12","1 Page","10 pages total.|~|The item contains historical notes on the firm and the flax spinning process, notes on machinery and production developments and notes on Kay's patent case.  The notes also seem to carry on indexing the experimental notebooks from MS 200/10/1/8.","",""
