Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Subject,Name.subject,Name.author,Name.creator,Name.recipient,Name.correspondent,Name.repository,AltIdentifier.local,Title,Date.creation,Date.normalized,Format.extent,Description.note,Language.text,Description.abstract
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cd4v,ark:/21198/zz0009c6r8,2,Completed,Work,,514,,,,paged,,,,Ireland|~|Trade|~|Prices,,"Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ","Marshall, John II, 1791 – 1836 ",,,MS 200/5/14,Letter from John Marshall to John Marshall Jnr [2 Oct 1829],2nd October 1829,1829-10-02,1 Letter,The letter is in regards to trade in Ireland and prices.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cd5c,ark:/21198/zz0009c6r8,2,Completed,Work,,543,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/43,Letter from James G. Marshall to Henry Marshall [23 Oct 1836],23rd October 1836,1836-10-23,1 Letter,"The letter is in regards to points that were made in trial at  York that were incorrect and arguments to be made against Kay, especially as to question whether the patent is lawful.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cd6w,ark:/21198/zz0009c6r8,2,Completed,Work,,506,,,,paged,,,,Industrial development |~|Spinning machinery ,,"Marshall, John II, 1791 – 1836 ","Marshall & Company, Leeds, Eng. ","Marshall, James Garth, 1802-1873",,,MS 200/5/6,Letter to James Garth Marshall presumably from J. Marshall Jr [27 April 1827],27th April 1827,1827-04-27,1 Letter,The letter is in regards to John's plans for machinery which differ to James's. The letter is incomplete.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cd7d,ark:/21198/zz0009c6r8,2,Completed,Work,,581,,,,paged,,,,Research Work,,"Dawson, Henry","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/81,Letter from Henry Dawson to Marshalls [26 Aug 1882],26th August 1882,1882-08-26,1 Letter,The letter is a reply to the Marshall's request for information.  It states that Mr. Dawson will give them information at a later date.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cd8x,ark:/21198/zz0009c6r8,2,Completed,Work,,576,,,,paged,,,,Research Work,,"Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ","Thomson, David S.",,,MS 200/5/76,Letter from Marshall & Co. reply to Thomson [14 April 1882],14th April 1882,1882-04-14,1 Letter,The letter is a response to David Thomson's request for information.  There are two copies of this letter.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cd9f,ark:/21198/zz0009c6r8,2,Completed,Work,,513,,,,paged,,,,Wet Spinning|~|Banks and banking|~|Staff,,"Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ","Marshall, John II, 1791 – 1836 ",,,MS 200/5/13,Letter from John Marshall to John Marshall Jnr [8 April 1829],8th April 1829,1829-04-08,1 Letter,"The letter is in regards to banking, staff and wet spinning.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdbz,ark:/21198/zz0009c6r8,2,Completed,Work,,536,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/36,Letter from James G. Marshall to Henry Marshall [15 July 1836],15th July 1836,1836-07-15,1 Letter,"The letter is in regards to gathering evidence against Kay's patent, especially the use of the rollers in Kay's patent being used in wool spinning previously.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdcg,ark:/21198/zz0009c6r8,1,In progress,Work,,505,,,,paged,,private,,Industrial development |~|Spinning machinery ,,"Marshall, John II, 1791 – 1836 ","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/5,Letter to Father from John Marshall Jr [14 April 1827],14th April 1827,1827-04-14,1 Letter,The letter is in regards to the manufacture of new machinery.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdd0,ark:/21198/zz0009c6r8,2,Completed,Work,,503,,,,paged,,,,Flax|~|Experiments|~|Hackling,,"Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/3,Letter to Father probably from James Garth Marshall [21 Feb 1827],21st February 1827,1827-02-21,1 letter,The letter is in regards to experiments carried out on hackling broken flax.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdfh,ark:/21198/zz0009c6r8,2,Completed,Work,,522,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery |~|Health,"Kay, James|~|Marshall, John II, 1791 – 1836 ","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/22,Letter from James G. Marshall to Henry Marshall [ca. 17 July 1835/6],17th July no year possibly 1835/1836,1835/1836,1 Letter,"The letter is in regards to Kay's patent case, especially with finding evidence against Kay.  There is also mention of John Marshall Jnr's illness.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdg1,ark:/21198/zz0009c6r8,2,Completed,Work,,512,,,,paged,,,,Prices|~|Patents|~|Spinning machinery ,,"Marshall, John II, 1791 – 1836 ","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/12,Letter to Father possibly from John Marshall Jnr [11 Nov 1827],11th November 1827,1827-11-11,1 Letter,"The letter is in regards to prices, machinery and patents. This letter is incomplete.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdhj,ark:/21198/zz0009c6r8,2,Completed,Work,,535,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James","Marshall, James Garth, 1802-1873","Marshall & Company, Leeds, Eng. ","Marshall, Henry Cowper, 1808-1884",,,MS 200/5/35,Letter from James G. Marshall to Henry Marshall [12 July 1836],12th July 1836,1836-07-12,1 Letter,The letter is in regards to the trial date and the main arguments against Kay.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdj2,ark:/21198/zz0009c6r8,1,In progress,Work,,504,,,,paged,,private,,Prices|~|Industrial development |~|Linen|~|Research Work|~|Cotton,,"Marshall, John II, 1791 – 1836 ","Marshall & Company, Leeds, Eng. ","Marshall, John, 1765 - 1845",,,MS 200/5/4,Letter from John Marshall Jr to Father [15 March 1827],15th March 1827,1827-03-15,1 letter,The letter is in regards to cotton and linen prices and visits carried out to other mills.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdkk,ark:/21198/zz0009c6r8,2,Completed,Work,,567,,,,paged,,,,Industrial development |~|Spinning machinery |~|Hackling|~|Industrial production |~|Expenditure,"Marshall & Company, Leeds, Eng. ","Lawson, Thomas","Marshall & Company, Leeds, Eng. ",Hives & Atkinson,,,MS 200/5/67,Letter from Thomas Lawson to Hives & Atkinson [16 Sep 1852],16th September 1852,1852-09-16,1 Letter,The letter is in regards to a trip made to inspect hackling machines.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdm3,ark:/21198/zz0009c6r8,2,Completed,Work,,1002,,,,paged,,,,"Correspondence|~|Accounts|~|Patents|~|Industrial equipment |~|Partnership|~|Industrial production |~|Business--History|~|Industrial buildings|~|Staff|~|Business enterprises|~|Clippings (Books, newspapers, etc.)|~|Sales of business enterprises ","Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/10/2,Guardbook [1782-1894],1782-1894,1782/1894,1 Guardbook,"There seems to be no arrangement to the items inside the guardbooks.  The catalogue follows the order in which the items are bound into the guardbook.|~|The guardbook is a collection of items that refer to several aspects of the Marshall company.  It contains notes for other notebooks, a c.v. for Philippe de Girard, account details, correspondence, newspaper cuttings, notes for Kay's legal case, notes on machinery, notes on patents, historical notes, price lists, production notes, staff notes, sales catalogues and legal notes for the case of Hives vs Benyons.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdnm,ark:/21198/zz0009c6r8,2,Completed,Work,,1001,,,,paged,,,,Correspondence|~|Accounts|~|Patents|~|Industrial equipment |~|Partnership|~|Industrial production |~|Business--History|~|Industrial buildings|~|Staff|~|Business enterprises|~|Child labor ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/10/1,Guardbook [1769-1879],1769-1879,1769/1879,1 Guardbook,"The guardbook is a collection of items that refer to several aspects of the Marshall company.  It contains questionnaires about child factory hours, historical notes, a lease for Scotland mill, correspondence, accounts, an index to the experimental notebooks, notes on property, receipts and an article of agreement for the settlement between the Benyons and the Marshalls.|~|There seems to be no arrangement to the items inside the guardbooks.  The catalogue follows the order in which the items are bound into the guardbook.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdp4,ark:/21198/zz0009c6r8,2,Completed,Work,,492,,,,paged,,,,Working Conditions|~|Labor--Standards|~|Factory workers|~|Child labor |~|Labor relations|~|Working time|~|Political oratory,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/4/9/2|~|MS 200/4/9/3|~|MS 200/4/9/4,Child Working Laws:  Notes for Speeches,"17th June 1830, May 1833, and 5th July 1833",1830-06-17|~|1833-07-05|~|1833-05,3 sets of notes,Consists of three sets of notes for speeches written by John Marshall I in the course of his political career.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdqn,ark:/21198/zz0009c6r8,2,Completed,Work,,495,,,,paged,,,,Working Conditions|~|Labor--Standards|~|Factory workers|~|Child labor |~|Factory laws and legislation|~|Labor relations|~|Working time,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/4/9/5,Notes on the Resolutions of the Committee of Master Cotton Spinners,18th June 1833,1833-06-18,1 Item,The item states the changes to child working hours in cotton factories.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdr5,ark:/21198/zz0009c6r8,2,Completed,Work,,803,,,,paged,,,,Linen|~|Industrial production |~|History|~|Flax industry|~|Textile industry,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/8/3,The Manufacture of Linen Yarn,1846,1846,1 Booklet,The booklet is a concise explanation and history of the production of linen. The booklet is printed by the Society for Promoting Christian Knowledge.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdsp,ark:/21198/zz0009c6r8,2,Completed,Work,,806,,,,paged,,,,Spinning machinery |~|Linen|~|Industrial production |~|History|~|Flax industry|~|Textile industry,"De Girard, Philippe, 1775-1845 ","Grothe, Hermann ","Marshall & Company, Leeds, Eng. ",,,,MS 200/8/6,Filature Mecanique du Lin,1874,1874,1 Booklet,"The booklet is about the history of flax spinning, in particular Philippe de Girard.",French,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdt6,ark:/21198/zz0009c6r8,2,Completed,Work,,497,,,,paged,,,,Working Conditions|~|Labor--Standards|~|Factory workers|~|Child labor |~|Factory laws and legislation|~|Labor relations|~|Working time,"General Association of Mill Owners, Lancashire, Eng.","Poole, Holland","Marshall & Company, Leeds, Eng. ",,,,MS 200/4/9/7,Printed Letter,19th April 1838,1838-04-19,1 Item,The item is a printed letter from Holland Hoole regarding the Factory Bill and states that various spinners associations were against a further decrease in child working hours.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdvq,ark:/21198/zz0009c6r8,2,Completed,Work,,501,,,,paged,,,,Building receipts |~|Flax,,"Marshall, John, 1765 - 1845","Marshall & Company, Leeds, Eng. ","Gataker, Thomas",,,MS 200/5/1,Letter from John Marshall to Thomas Gataker [19 Nov 1801],19th November 1801,1801-11-19,1 Letter,The item is a photocopy of an original letter held in the Northern Ireland Public Records Office (copy of record D207/28/113).  The letter is in regards to building new mills and flax growing.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdw7,ark:/21198/zz0009c6r8,2,Completed,Work,,229,,,,paged,,,,Spinning|~|Evidence|~|Patents|~|Machinery|~|Inventions,"De Girard, Philippe, 1775-1845 |~|Hall, Horace",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/29,Notes on Philippe de Girard's Invention,,,1 Item,The item explains how Philippe de Girard's invention works comparing it to Horace Hall's patent of 1814.  There is no date but presumably it was made for the trial.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdxr,ark:/21198/zz0009c6r8,2,Completed,Work,,808,,,,paged,,,,Linen|~|History|~|Textile industry|~|Linen industry|~|Finance and Trade|~|Business--History|~|Profits ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/8/8,Historical Notes on the Firm [1765-1894],1765-1894,1765/1894,1 Volume,The item is a bound volume of historical notes written about the firm and the school. The volume also contains notes on capitals and earnings. Pages 2-3 and 20-23 are missing from this volume.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cdz8,ark:/21198/zz0009c6r8,2,Completed,Work,,809,,,,paged,,,,Industrial equipment |~|Spinning machinery |~|Partnership|~|History|~|Textile industry|~|Linen industry|~|Finance and Trade|~|Business--History,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/8/9,Notebook of Rough Notes [1788-1886],1788-1886,1788/1886,1 Notebook,"The notebook contains rough notes on the history of various parts of the mill including, partnerships, mill sizes, spindles, hands and wages and machinery.  A large number of these notes have been crossed out.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cf08,ark:/21198/zz0009c6r8,2,Completed,Work,,13,,,,paged,,,,Accounts|~|Account books|~|Prices|~|Expenditure,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/13,Book 10 General Accounts,1831-1882,1831/1882,1 Ledger,"The Ledger contains account information on prices of yarn 1834 to 1872, prices of piece goods 1864 to 1880, prices of threads 1831 to 1880, prices of linens 1856 to 1880 and general expenditure 1879 to 1882. There is a large amount of pages missing from this ledger pages 2-164, pages 173-317 and 320-321.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cf1s,ark:/21198/zz0009c6r8,2,Completed,Work,,227,,,,paged,,,,Spinning|~|Evidence|~|Patents|~|Machinery|~|Gill spinning,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/27,Memo on Gill Spinning [n.d.],,,1 Item,The item describes the differences between before and after gill machines were introduced.  There is also some notes on Kay's machines as used by other people.  There is no date but presumably it was made as evidence for the trial.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cf29,ark:/21198/zz0009c6r8,2,Completed,Work,,5,,,,paged,,,,Spinning|~|General Statements|~|Accounts|~|Flax,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/5,Calculations from General Statement,1804-1836,1804/1836,1 Item,The item appears to be a copy of accounts from 'General Statement'. It has account details from the spinning and flax accounts. The item may have been created as evidence for the Kay's patent case.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cf3t,ark:/21198/zz0009c6r8,2,Completed,Work,,7,,,,paged,,,,Accounts|~|Account books|~|Inventories|~|Personal accounts|~|Stock |~|Partnership|~|Debts ,"Marshall & Company, Leeds, Eng. |~|Marshall, Hives and Company",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/7,Book 4 Leeds,1806-1871,1806/1871,1 Ledger,"The ledger contains accounts of stock in trade and debts owing by Marshall and Hives 1806 to 1871, personal accounts, the Salop Concern 1823 - 1832 and memorandum at the back of the ledger.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cf4b,ark:/21198/zz0009c6r8,2,Completed,Work,,16,,,,paged,,,,Accounts|~|Account books|~|Inventories|~|Stock |~|Machinery,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/16,Book 8 Leeds and Salop Machinery Stocks,1850-1884,1850/1884,1 Ledger,The ledger contains lists of machinery stock in Leeds from 1850 to 1884 and in Salop from 1850 to 1884.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cf5v,ark:/21198/zz0009c6r8,2,Completed,Work,,2,,,,paged,,,,Accounts|~|Account books|~|Inventories|~|Personal accounts|~|Stock ,"Marshall & Benyons, 1793-1804 ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/2,Book 2 Leeds,1793-1810,1793/1810,1 Ledger,"The ledger contains accounts for Marshall and Benyons between 1793 and 1806, stocktake records between 1793 and 1804, personal accounts and a list of debts owing to Marshalls and Benyons.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cf6c,ark:/21198/zz0009c6r8,2,Completed,Work,,18,,,,paged,,,,Accounts|~|Account books|~|Inventories|~|Personal accounts|~|Stock |~|Partnership,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/18,Book 9 Private Ledger,1871-1899,1871/1899,1 Ledger,"The ledger contains personal accounts between 1871 and 1899, accounts of stock in trade 1872 to 1891 and memorandum for the conditions of the partnership of Marshall and Company, 1872, 1876, 1882, 1884, 1891 and 1899.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cf7w,ark:/21198/zz0009c6r8,2,Completed,Work,,14,,,,paged,,,,Accounts|~|Account books,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/14,General Accounts,1833-1845,1833/1845,1 Item,The item contains one page from a ledger with account information.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cf8d,ark:/21198/zz0009c6r8,2,Completed,Work,,6,,,,paged,,,,Accounts|~|Account books|~|Inventories|~|Personal accounts|~|Stock |~|Industrial production ,"Marshall, Atkinson and Company|~|Marshall & Company, Leeds, Eng. |~|Marshall, Hutton and Company ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/6,Book 3 Shrewsbury,1804-1851,1804/1851,1 Ledger,"The ledger contains accounts for machinery 1806 to 1811, stock lists for Marshall Hutton and Co. 1811 to 1822, profits and losses 1806 to 1811, stock lists of Marshall and Atkinson 1825 to 1851 and some personal accounts.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cf9x,ark:/21198/zz0009c6r8,2,Completed,Work,,8,,,,paged,,,,Weaving|~|General Statements|~|Accounts|~|Account books|~|Thread|~|Inventories|~|Stock |~|Yarn|~|Flax,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/8,Book 7 Shrewsbury,1813-1837,1813/1837,1 Ledger,"The ledger contains records of the yarn and thread account 1813 to 1823, the flax account 1815 to 1822, the weaving account 1817 to 1822 and general statements between 1824 and 1837.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfbf,ark:/21198/zz0009c6r8,2,Completed,Work,,11,,,,paged,,,,Accounts|~|Account books|~|Inventories|~|Stock |~|Debts ,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/11,Book 5 Salop Stock,1828-1840,1828/1840,1 Ledger,"The ledger contains stock lists and lists of debts owing to and by Marshall and Company, 1828 to 1840.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfcz,ark:/21198/zz0009c6r8,2,Completed,Work,,3,,,,paged,,,,Accounts|~|Sales|~|Canvas|~|Account books|~|Prices|~|Thread|~|Yarn,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/3,"Notebook, Yarn Sales and Prices",1801-1839,1801/1839,1 Notebook,"The notebook contains lists of yarn prices and sales including bleached and coloured yarn prices. Pages 2-32, 40, 45 and 48-68 are missing from the notebook.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfdg,ark:/21198/zz0009c6r8,2,Completed,Work,,15,,,,paged,,,,Spinning|~|Accounts|~|Sales|~|Account books|~|Wages|~|Twisting,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/15,Book 11 Salop Check,1848-1864,1848/1864,1 Ledger,"The ledger contains accounts for average sales between 1853 to 1860, annual line spinning accounts 1851 to 1863, annual tow spinning accounts,  1851 to 55, hand twisting accounts 1851 to 1860, wages 1851 to 1860 and returns  and monthly sales 1851 to 1863.  There are lots of pages missing from this volume, p. 2-9, p. 22-65, p. 72-323, p. 356-375, p. 380-381 and p. 392-429.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cff0,ark:/21198/zz0009c6r8,2,Completed,Work,,9,,,,paged,,,,Accounts|~|Sales,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/9,Sales accounts,1814-1834,1814/1834,1 Item,The item lists sales between 1814 and 1834 in note form.  The item could possibly have been made for the case against Kay.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfgh,ark:/21198/zz0009c6r8,2,Completed,Work,,4,,,,paged,,,,Spinning|~|Weaving|~|General Statements|~|Bleaching|~|Accounts|~|Account books|~|Flax,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/4,Book 6 Leeds Accounts,1804-1846,1804/1846,1 Ledger,"The ledger contains spinning accounts between 1806 and 1824, bleaching accounts 1806 to 1818, weaving accounts 1804 to 1824, flax accounts 1806 to 1824, general statements 1804 to 1839 and annual check account 1824 to 1846.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfh1,ark:/21198/zz0009c6r8,2,Completed,Work,,302,,,,paged,,,,Industrial equipment |~|Industrial development |~|Spinning machinery |~|Experiments|~|Industrial production ,Fenton & Company ,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/3/2,Record of New Machinery Made [1808-1831],1808-1831,1808/1831,1 Notebook,"Some documents indicate Fenton & Company dealings.|~|The notebook contains information about new machinery that was produced and experiments carried out in the mills at Leeds and Salop.  These include notes on spinning frames, hackling and flax experiments.  There are also machinery diagrams at the back of the notebook.|~|This material is fragile",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfjj,ark:/21198/zz0009c6r8,2,Completed,Work,,1,,,,paged,,,,Accounts|~|Account books|~|Inventories,"Marshall, Atkinson and Company|~|Marshall & Company, Leeds, Eng. |~|Marshall & Benyons, 1793-1804 |~|Marshall, Fenton and Company |~|Marshall, Hutton and Company |~|Marshall, Hives and Company",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/1,Book 1 John Marshall's Private Ledger,1788-1840,1788/1840,1 Ledger,"The ledger contains account details of Marshall Fenton and Co. between 1788 and 1793, Marshall and Benyons in Shrewsbury 1793 to 1806, Marshall and Hives from 1814 to 1830, and Marshall and Hutton (Salop) between 1808 and 1820. The Ledger contains records of the first stock take in 1793. It also contains records of personal accounts.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfk2,ark:/21198/zz0009c6r8,3,Pending,Work,,12,,,,paged,,private,,Spinning|~|Weaving|~|Accounts|~|Sales|~|Account books|~|Flax|~|Wages|~|Purchasing,"Marshall & Company, Leeds, Eng. ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/1/12,Number 4 Check [1 Image unknown],1829-1886,1829/1886,1 Large Notebook,"This material is fragile|~|The ledger contains annual quarterly accounts 1829 to 1883, Line spinning accounts 1829 to 1880, Tow spinning accounts 1829 to 1882, annual spinning accounts 1853 to 1882, annual weaving accounts 1853 to 1882, flax bought 1875 to 1882, annual wages 1865 to 1882 and returns and monthly sales 1853 to 1883.  There are lots of pages missing from this note book, p. 2 to 54, p. 78 to 99, p. 106 to 113, p. 120 to 161, p. 168 to 170, p. 174 to 197, p. 280 to 293, p. 300 to 307, p. 328 to 339 and p. 358 to 363.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfmk,ark:/21198/zz0009c6r8,3,Pending,Work,,291,,,,paged,,private,,Spinning|~|Patents|~|Machinery|~|Inventions,"Kendrew, John|~|Porterhouse, Thomas ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/2/1,Kendrew and Porterhouse Patent [2 IMAGES MISSING],19th June 1787,1787-06-19,1 Item,"The item is a patent for new machinery for spinning yarn from hemp, tow flax or wool.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfn3,ark:/21198/zz0009c6r8,2,Completed,Work,,204,,,,paged,,,,Spinning|~|Patents|~|Legal opinions|~|Machinery,"Marshall & Company, Leeds, Eng. |~|Kay, James|~|Cresswell, Cresswell, Sir, 1794-1863 ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/4,Opinion:  Cresswell [3 Dec 1834],3rd December 1834,1834-12-03,1 Item,"The item is a statement suggesting that Kay's patent is not legal because it tries to cover too much, rather than just concentrating on one aspect.|~|See MS 200/5/23 containing an opinion by Cress Cresswell dated February 23, 1836, a follow-up of this statement.  Cresswell was legal counsel to the Marshalls in the early stage of the Kay case.",,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfq4,ark:/21198/zz0009c6r8,2,Completed,Work,,213,,,,paged,,,,Spinning|~|Evidence|~|Patents|~|Legal opinions|~|Machinery,"Busk, Robert",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/13,Notes on Kay's Patent Case [5 July 1836],5th July 1836,1836-07-05,1 Item,The item is a list of people who remember using Mr. Busk's wet spinning machines.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfrn,ark:/21198/zz0009c6r8,2,Completed,Work,,557,,,,paged,,,,Patents|~|Spinning machinery |~|Legal Decisions,"Kay, James","Bloxam, Richard ","Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/57,Letter from Richard Bloxam to Marshalls [17 July 1839],17th July 1839,1839-07-17,1 Letter,The letter is in regards to the judgment in favour of the Marshalls and the costs of the trial.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cftp,ark:/21198/zz0009c6r8,2,Completed,Work,,534,,,,paged,,,,Evidence|~|Patents|~|Spinning machinery ,"Kay, James",,"Marshall & Company, Leeds, Eng. ","Marshall & Company, Leeds, Eng. ",,,MS 200/5/34,Letter from D. G. to Marshalls [8 July 1836],Postmarked 8th July 1836,1836-07-08,1 Letter,The letter is in regards to Kay's experiments before he was granted a patent.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfv6,ark:/21198/zz0009c6r8,2,Completed,Work,,219,,,,paged,,,,Spinning|~|Patents|~|Legal opinions|~|Machinery,,,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/19,Notes on Kay's Patent Case [23 Oct 1836],23rd October 1836,1836-10-23,1 Item,The item is notes about arguments against the points raised by Kay at the trial at York.  There is only one page and it seems that earlier pages are missing.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfwq,ark:/21198/zz0009c6r8,2,Completed,Work,,215,,,,paged,,,,Spinning|~|Evidence|~|Patents|~|Legal opinions|~|Machinery,"Busk, Robert|~|Buckley, William ",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/15,Memo on William Buckley [6 July 1836],6th July 1836,1836-07-06,1 Item,The item is notes on William Buckley's memories of Mr. Buck's wet spinning.,,
"Marshall and Co., Leeds, Papers",ark:/21198/zz0009cfx7,ark:/21198/zz0009c6r8,3,Pending,Work,,249,,,,paged,,private,,Spinning|~|Patents|~|Legal opinions|~|Machinery,"Marshall & Company, Leeds, Eng. |~|Kay, James",,"Marshall & Company, Leeds, Eng. ",,,,MS 200/2/1/49,Joint Appendix [MISSING P 8],1839,1839,1 Item,The item is the same as MS 200/2/1/48.,,
