Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Subject,Type.genre,Name.repository,Name.author,Name.attributedTo,Name.translator,Name.commentator,Name.scribe,Name.creator,Name.compiler,Name.annotator,Language.language,Language.script,Name.calligrapher,Alternate Identifier.local,Title,Relation.rectoVerso,Source,Date.creation,Format.dimensions,Relation.textDirection,Alternate Title.other,Description.abstract,Description.microfilm,Description.citation,Alternate Title.scriptArab,Description.physical,Date.normalized,Description.note,Format.extent,Relation,Description.stamp,Relation.citation,Alternate Title.spine,Description.marks,Description.colophon,thumbnailImageName,masterImageName
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq30q,ark:/21198/zz000sq1g0,7,Needs Review,ChildWork,,,,,pd,Miscellanea,,,,,,,,,,,,,,0035_044,Masāʾil,,"Caro Minasian Collection of Persian and Arabic Manuscripts, 35",,21 x 16,,,,,,,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq317,ark:/21198/zz000sq1g0,7,Needs Review,ChildWork,,,,,pd,Creation (Islam)|~|Islamic cosmology,,,,,,,,,,,,,,0035_045,Fī khalq al-ʿālam,,"Caro Minasian Collection of Persian and Arabic Manuscripts, 35",,21 x 16,,,,,,,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq32r,ark:/21198/zz000sq1g0,7,Needs Review,ChildWork,,,,,pd,Essays,,,,,,,,,,,,,,0035_046,Risāʾil mutafarriqah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, 35",,21 x 16,,,,,,,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq338,ark:/21198/zz000sq1g0,7,Needs Review,ChildWork,,,,,pd,Essays,,,,,,,,,,,,,,0035_047,Risāʾil mutafarriqah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, 35",,21 x 16,,,,,,,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq34s,ark:/21198/zz000sq1g0,7,Needs Review,ChildWork,,,,,pd,Essays,,,,,,,,,,,,,,0035_048,Risāʾil mutafarriqah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, 35",,21 x 16,,,,,,,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq3w5,ark:/21198/zz000sq3vn,10,Completed with minimal metadata,ChildWork,,,,,pd,Shīʿah $x Doctrines $v Early works to 1800|~|Islamic law $x Interpretation and construction $v Early works to 1800,,,"Ibn Bābawayh al-Qummī, Muḥammad ibn ʿAlī, $d 918 or 19-991 or 2",,,,Muḥammad Taqī ibn Mīr Muḥammad Riḍā al-Ḥusaynī al-Lārijānī,,,,Arabic,Naskh,,0009_001,Man lā-yahḍ̣̣uruhu al-faqīh,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 9",1099 [1687 or 1688],24.5 x 16 cm.,,,"One of the authoritative works of Shīʿī jurisprudence. Includes notes in the margins as well as in the text. Author is also identified as ""al-Shaykh al-Ṣadūq.""",,,من لا يحضره الفقيه,,,Needs review. Lisa McAulay changed the status from Needs Review in order to release to the items to regular digital 2.,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq3xp,ark:/21198/zz000sq3vn,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,,,,"Majlisī, Muḥammad Bāqir ibn Muḥammad Taqī, $d 1627 or 8-ca. 1699  ",,,,Muḥammad Jaʿfar ibn Quṭb al-Dīn al-Sanjānī al-Isfahānī,,,,Persian,Naskh,,0009_002,Fawāʾid,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 9",1149 [1736 or 1737],24.5 x 16 cm.,,,Commentary on the Man lā... (1).  This commentator wrote another famous commentary on the work (available in Persian and Arabic); this seems to be a shorter set of lessons based on Man lā...,,,فوائد,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq43r,ark:/21198/zz000sq427,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"Arabic poetry $x History and criticism|~|Mutanabbī, Abū al-Ṭayyib Aḥmad ibn al-Ḥusayn, $d 915 or 16-965 $x Criticism and interpretation |~|Poets, Arab $v Biography|~|Mutanabbī, Abū al-Ṭayyib Aḥmad ibn al-Ḥusayn, $d 915 or 16-965",,,,,,,,,,,Arabic,Naskh,,0013_001,Sharḥ Dīwān al-Mutanabbī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 13",,21.2 x 15 cm.,,,"Pp. 1-75.  A commentary by an unknown author on the poetry of al-Mutanabbī including biographical notes. Mentions the works of al-Jurjānī, al-Maʿarrī, Ibn Jinnī, and Abū ʿAlī ibn Furjah and Burūjirdī. Missing end folios.",,,شرح ديوان المتنبي,,,Dānishpazhūh dates manuscript as 12th C. AH.,76 p.,,,656,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sq6rj,ark:/21198/zz000sq427,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Arabic poetry,,,,,,,,,,,Arabic,Naskh,,0013_002,Ṭarāʾif al-ṭuraf wa-ẓarāʾif al-nuṭaf,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 13",,21.2 x 15 cm.,,,Pp. 77-174.  A collection of various works of Arabic poetry. Compiler unknown. Consists of 12 chapters.,,,طرائف الطرف وظرائف النطف,,,Dānishpazhūh dates manuscript as 12th C. AH.,98 p.,,,656,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sqzg1,ark:/21198/zz000sqzfh,8,Record proofed; needs metadata review ,ChildWork,,1,,,pd,"Sufi poetry|~|Riddles, Persian",,,,,,,,,,,Persian,Nastaʿlīq,,0023_001,Chand muʿammā,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 23",,19 x 13.5 cm.,,,"Pp. 4-6.  Three pages of various verses of poetry. Seems to be in the same hand as the following manuscript, Makhzan-i javāhir. Includes verses by ʿAṭāʾī, Mīr Ḥaydar, Faṣīḥ, Mīrzā Jān, Jamshīd, Nizām-i Āstarābādī, and Kamāl Ṭabīb. Compiler is unknown.",,,چند معمّا,,,Dānishpazhūh dates manuscript as 11th C. AH.,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sqzhj,ark:/21198/zz000sqzfh,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"Riddles, Persian",,,Ḥaqīrī Hiravī,,,,,,,,Persian,Nastaʿlīq,,0023_002,Makhzan-i jawāhir,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 23",1090 [1679 or 1680],19 x 13.5 cm.,,Kāmrāniyyah|~|Risālah-ʾi muʿammā,(2) Pp. 7-17.  Riddles.,,,مخزن جواهر,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sqzj2,ark:/21198/zz000sqzfh,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"Riddles, Persian",,,,,,,,,,,Persian,Nastaʿlīq,,0023_003,Muʿammā-yi Mullā Shihāb Ḥaqīrī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 23",n.d.,19 x 13.5 cm.,,,(3) Pp. 29-39.  Author is unknown.,,,معمّای مالّا شهاب حقيری,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sqzkk,ark:/21198/zz000sqzfh,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"Riddles, Persian",,,,,,,,,,,Persian,unidentified,,0023_004,Muʿammiyāt-i Mīr Ḥaydar Rafīʿī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 23",n.d.,19 x 13.5 cm.,,,(4) Pp. 43-72.  Author is unknown.,,,معمّيات مير حيدر رفيعي,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sqzm3,ark:/21198/zz000sqzfh,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"Riddles, Persian",,,,"Jāmī, $d 1414-1492",,,,,,,Persian,unidentified,,0023_005,Muʿammiyāt-i Jāmī va dīgarān,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 23",n.d.,19 x 13.5 cm.,,,(5) Pp. 75-86.  Riddles.,,,معمّيات جامی و ديگران,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sqznm,ark:/21198/zz000sqzfh,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"Sufi poetry|~|Ibn al-ʿArabī, $d 1165-1240. $t Naqsh al-fuṣūṣ ",,,,,,,,,,,Arabic,Nastaʿlīq,,0023_006,Sharḥ al-Fuṣūṣ li-Ibn al-ʿArabī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 3, 23",,19 x 13.5 cm.,,,(6) Pp. 90-211.  A commentary on Ibn ʿArabī's mystical work. The beginning and end folios are missing and there are three pages inserted between Makhzan-i Javāhir and Muʿammā-yi Mullā Shihāb Ḥaqīrī (pp. 20-27). Includes notes in the margins. Author is unknown.,,,شرح الفصوص لابن العربي,,,Dānishpazhūh dates manuscript as 10th/11th C. AH.,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sqzw7,ark:/21198/zz000sqzvq,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Contracts (lslamic law) $v Early works to 1800|~|Shīʿah $x Customs and practices $v Early works to 1800,,,"Muḥaqqiq al-Thānī, ʿAlī ibn al-Ḥusayn, $d 1463 or 4-1533 or 4",,,,,,,,Arabic,,,0029_001,Ṣiyagh al-ʿuqūd wa-al-īqāʿāt,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 29",958 [1551],15 x 11 cm.,,,"(1) A compendium of legal issues regarding standards for writing contracts, including sales, slave contracts, marriage contracts, etc. Includes marginal notes.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 656.",صيغ العقود والايقاعات,,1551,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sqzxr,ark:/21198/zz000sqzvq,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,"Prayer $x Islam|~|Imams (Shiites)|~|Muslim pilgrims and pilgrimages $z Iraq $z Najaf|~|ʿAlī ibn Abī Ṭālib, $c Caliph, $d 600 (ca.)-661|~|Shīʿah $v Prayers and devotions",,,,,,,,,,,Persian|~|Arabic,Naskh,,0029_002,Ziyārat amīr al-muʾminīn,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 29",,15 x 11 cm.,,,"Supplication for the Shiite Imam ʿAlī during pilgrimage to his shrine in Najaf, Iraq. With an introduction in Persian. Author is unknown.  Two pages.",,,زيارة اميرالمؤمنين,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sqzz8,ark:/21198/zz000sqzvq,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Muslim pilgrims and pilgrimages $z Saudi Arabia $z Mecca $v Early works to 1800,,,,,,,Rustam ʿAlī ibn Qāsim ibn ʿAlī Jarpādiqānī,,,,Arabic,Naskh,,0029_003,Risalāh fī bayān al-wājibāt fī al-ḥajj wa-al-ʿumrah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 29",963 [1555 or 1556],15 x 11 cm.,,,"(3) Guide to practices and observances associated with the pilgrimage to Makkah. Includes an introduction, two treatises, and a conclusion. Author is unknown.",,,رسالة في بيان الواجبات في الحج والعمرة,,1555/1556,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 656-7.",,,,656-7,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr00q,ark:/21198/zz000sqzvq,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Islamic law $v Early works to 1800|~|Imams (Shiites) $v Early works to 1800|~|Shīʿah $x Doctrines $v Early works to 1800|~|Muslim pilgrims and pilgrimages $z Saudi Arabia $z Mecca $v Early works to 1800|~|Prophecy $x Islam $v Early works to 1800|~|Shīʿah $x Customs and practices $v Early works to 1800,,,,,,,,,,,Arabic,Nastaʿlīq,,0029_004,Risālah fī farḍ al-ḥajj mujarradan ʿan al-dalīl,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 29",,15 x 11 cm.,,,"(4) Includes treatise on Ḥajj justice, resurrection of the body on Judgment Day, prophecy, and the imamate. Author is unknown. Seems to be the same hand as 0029.003. Treatise is incomplete, cut off after 15 pages.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",رسالة في فرض الحج مجرداً عن الدليل,,,Dānishpazhūh dates manuscript as 11th C. AH.,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr017,ark:/21198/zz000sqzvq,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Shīʿah $v Prayers and devotions|~|Shīʿah $x Rituals|~|Muslim pilgrims and pilgrimages $z Iraq $z Kūfah|~|Muslim pilgrims and pilgrimages $z Iraq ,,,"Narāqī, Muḥammad Mahdī ibn Abī Zarr $d d. 1794 or 5",,,,,,,,Arabic,Naskh,,0029_005,Bāb faḍl al-Kūfah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 29",11th C. AH,15 x 11 cm.,,,"(6) Handbook of religious sites and ritual performance when performing pilgrimage to Kūfah, Iraq. Includes supplications for other Shīʿī shrines in Iraq.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.|~|Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",باب فضل الكوفة,,,Dānishpazhūh dates manuscript as 11th C. AH.,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr02r,ark:/21198/zz000sqzvq,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,Shīʿah $v Prayers and devotions,,,,,,,,,,,Persian,Naskh,,0029_006,Kitāb-i duʿāʾ,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 29",11th C. AH,15 x 11 cm.,,,7. Book of prayers.  Author is unknown.  Beginning and ending missing.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",کتاب دعاء,,,Dānishpazhūh dates manuscript as 11th C. AH.,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr038,ark:/21198/zz000sqzvq,7,Needs Review,ChildWork,,,,,pd,Prayer $x Islam|~|Worship (Islam)|~|Islam $x Prayers and devotions,,,,,,,,,,,Persian,unidentified,,0029_007,Risālah dar duʿāʾ,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 29",n.d.,15 x 11 cm.,,,(8) Treatise on religious supplication. Missing end folios. Author is unknown.,,,رساله در دعاء,,,"REVIEW NEEDED: There seems to be only one work on prayer (=work 7), then two unidentified treatises.  See ""problem list.""  Needs further study.",,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr0gz,ark:/21198/zz000sr04s,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,God $x Proof $v Early works to 1800|~|God (Islam) $x Attributes $v Early works to 1800,,,"Ṣadr al-Dīn Shīrāzī, Muḥammad ibn Ibrahīm, $d d. 1641",,,,Faḍl Allāh Sabzawārī,,,,Arabic,Nastaʿlīq,,0030_001,Ithbāt al-wājib,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",985 [1577 or 1578],,,,(1) Pp. 2-67.  Treatise on the proof of the existence of God and His attributes. Includes marginal notes.,,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",اثبات الواجب,,1577/1578,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr0vn,ark:/21198/zz000sr04s,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,God $x Proof $v Early works to 1800|~|God (Islam) $x Attributes $v Early works to 1800,,,"Dawwānī, Muḥammad ibn Asʿad, $d 1426 or 7-1512 or 13",,,,Faḍl Allāh Sabzawārī,,,,Arabic,Nastaʿlīq,,0030_002,Ithbāt al-wājib al-jadīd,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",985 [1577 or 1578],,,,"(2) Pp. 74-144.  Treatise on the existence of God, the unity of God, and God's attributes. Includes notes in the margins.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",اثبات الواجب الجديد,,1577/1578,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr17t,ark:/21198/zz000sr04s,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,God (Islam) $x Attributes $v Early works to 1800,,,"Turkah, Muḥammad ibn Ḥabīb Allāh, $d 14th cent.",,,,,,,,Arabic,Nastaʿlīq,,0030_003,Burhān al-tawḥīd,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",985 [1577 or 1578],,,,"(3) Pp. 145-148.  Treatise on the unity of God, probably copied by Faḍl Allāh Sabzawārī in A.H. 985.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",برهان التوحيد,,1577/1578,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr1mh,ark:/21198/zz000sr04s,8,Record proofed; needs metadata review ,ChildWork,,,,,pd,God (Islam) $x Attributes $v Early works to 1800,,,"Jurjānī, ʿAlī ibn Muḥammad, $c al-Sayyid al-Sharīf, $d 1340-1413",,,,,,,,Arabic,Nastaʿlīq,,0030_004,Risālah kalāmīyah fī al-karam,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 5, 30",ca. 985 (1577 or 1578),,,,"(4) Pp. 150-152.  Theological treatise on the grace of God. Fragment, missing end folios and includes notes in the margins.",,"Muḥammad Taqī Dānish-pazhūh, Fihrist-i Nushahhā-yi khaṭṭī, daftar 11 & 12 (Ṭihrān: Intishārāt-i Dānishgāh-i Ṭihrān, 1983), p. 657.",رسالة كلامية في الكرم,,1577/1578,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr279,ark:/21198/zz000sr26s,7,Needs Review,ChildWork,,,,,pd,Fasting $x Religious aspects $x Islam $v Early works to 1800|~|Fasts and feasts $x Islam $v Early works to 1800,,,,,,,,,,,Persian,Naskh,,0348_001,Kitāb al-ṣawm,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 50, 348",1072 [1661 or 1662],,,,Arabic text is quoted and followed by Persian translation and interpretation.,,,کتاب الصوم,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr28t,ark:/21198/zz000sr26s,7,Needs Review,ChildWork,,,,,pd,Zakat $v Early works to 1800,,,,,,,,,,,Persian,Naskh,,0348_002,Kitāb al-zakāh,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 50, 348",1072 [1661 or 1662],,,,Arabic text is quoted and followed by Persian translation and interpretation.,,,کتاب الزکاة,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr2fd,ark:/21198/zz000sr2dw,7,Needs Review,ChildWork,,,,,pd,Islam $x Customs and practices $v Early works to 1800|~|Islamic law $x Interpretation and construction $v Early works to 1800|~|Shīʿah $x Customs and practices $v Early works to 1800,,,"ʿĀmilī, Bahāʾ al-Dīn Muḥammad ibn Ḥusayn $d 1547-1621",,,,Muḥammad Riz̤ā ibn Niz̤ām al-Dīn Muḥammad Nasīrī Tụsī Nakhjavānī Tabrīzī,,,,Persian|~|Arabic,Naskh|~|Nastaʿlīq,,0352_001,Jāmiʿ-i ʿAbbāsī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 50, 352",1051 [1642 or 1643],,,,Includes a section on prayer.,,,جامع عبّاسی,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr2gx,ark:/21198/zz000sr2dw,7,Needs Review,ChildWork,,,,,pd,Prayer $x Islam|~|Worship (Islam),,,,,,,,,,,Persian,Nastaʿlīq,,0352_002,Dar bayān-i vājibāt-i namāz,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 50, 352",n.d.,,,,Manuscript is incomplete and there is no colophon. Author is unknown.,,,در بيان واجبات نماز,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr2vm,ark:/21198/zz000sr2t3,7,Needs Review,ChildWork,,,,,pd,Calligraphy $v Early works to 1800,,,"Kāshānī, Nūr al-Dīn Muḥammad ibn Murtaz̤á",,,,,,,,Persian,Nastaʿlīq,,0362_001,Ādāb-i khaṭṭ,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 52, 362",n.d.,,,,,,,آداب خطّ,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr2w4,ark:/21198/zz000sr2t3,7,Needs Review,ChildWork,,,,,pd,"Proverbs, Persian",,,,,,,,,,,Persian,Nastaʿlīq,,0362_002,Risālah fī z̤arb,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 52, 362",n.d.,,,,Author is unknown.,,,رساله في ضرب,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr2xn,ark:/21198/zz000sr2t3,7,Needs Review,ChildWork,,,,,pd,Calligraphy $v Early works to 1800,,,"Mashhadī, Sulṭān ʿAlī",,,,,,,,Persian,Nastaʿlīq,,0362_003,Risālah-ʾi khaṭṭ,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 52, 362",n.d.,,,,,,,رساله خطّ,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr326,ark:/21198/zz000sr31p,7,Needs Review,ChildWork,,,,,pd,Persian poetry,,,"Ibn Yamīn Shubrughānī, $d d. ca. 1594 ",,,,,,,,Persian,Nastaʿlīq,,0365_001,Dīvān-i Shubrughānī,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 52, 365",n.d.,,,,,,,ديوان شبورغانی,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr33q,ark:/21198/zz000sr31p,7,Needs Review,ChildWork,,,,,pd,Persian poetry,,,,,,,,,,,Persian,Nastaʿlīq,,0365_002,Majmūʿah-ʾi ashʿār,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 52, 365",n.d.,,,,This text includes various lines of poetry from different poets with the poets' names appearing under the first hemistich of each poem.,,,مجموعه اشعار,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr368,ark:/21198/zz000sr35r,7,Needs Review,ChildWork,,,,,pd,"Logic $v Early works to 1800|~|Qazwīnī, ʻAlī ibn ʿUmar, $d 1203 or 4-1276 or 7. $t Risālah al-shamsīyah|~|Quṭb al-Taḥtānī, Muḥammad ibn Muḥammad, $d 1294 or 5-1364 or 5. $t Sharḥ al-Shamsīyah ",,,"Jurjānī, ʿAlī ibn Muḥammad, $c al-Sayyid al-Sharīf, $d 1340-1413",,,,Husayn Ibn Mahdī Najafī,,,,Arabic,unidentified,,0367_001,Ḥāshiyat Taḥrīr al-qawāʿid al-manṭiqīyah fī sharḥ al-Risālah al-shamsīyah,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 53, 367",1131 [1718 or 1719],,,,"A commentary by al-Jurjānī on Quṭb al-Dīn al-Rāzī's (d. A.H. 766) commentary on ʿAlī ibn ʿUmar al-Kātibī al-Qazwīnī’s (d. A.H. 675) work on logic, al-Risālah al-Shamsiyah. Includes intensive notes in the margins.",,,حاشية تحرير القواعد المنطقية في شرح الرسالة الشمسية,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr37s,ark:/21198/zz000sr35r,7,Needs Review,ChildWork,,,,,pd,Shīʿah $x Doctrines,,,"Gīlānī, Naẓar ʿAlī ibn Muḥsin",,,,,,,,Arabic,unidentified,,0367_002,Risālah fī al-Tafwīḍ,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 53, 367",n.d.,,,,"Two pages on Shīʿī theology covering the problem of free will, the right of ʿAli to the succession of the Prophet Muḥammad and notes on afternoon prayer.",,,رسالة في التفويض,,,,,,,,,,,,
Minasian (Caro) Collection of Persian and Arabic Manuscripts,ark:/21198/zz000sr389,ark:/21198/zz000sr35r,7,Needs Review,ChildWork,,,,,pd,"Taftāzānī, Masʿūd ibn ʿUmar, $d 1322-1389? $t Muṭawwal|~|Sakkākī, Yūsuf ibn Abī Bakr, $d b. 1160. $t Miftāḥ al-ʿulūm|~|Arabic language $x Morphology $v Early works to 1800|~|Arabic language $x Grammar $v Early works to 1800|~|Taftāzānī, Masʿūd ibn ʿUmar, $d 1322-1389? $t Ḥāshiyat al-mukhtaṣar |~|Arabic language $x Rhetoric $v Early works to 1800|~|Qazwīnī, Jalāl al-Dīn Muḥammad ibn ʻAbd al-Raḥmān, $d 1267 or 8-1338. $t Talkhīṣ al-Miftāḥ ",,,"Jurjānī, ʿAlī ibn Muḥammad, $c al-Sayyid al-Sharīf, $d 1340-1413",,,,,,,,Arabic,unidentified,,0367_003,al-Ḥāshīyah al-sharīfīyah ʿalá sharḥ al-muṭawwal li-talkhīṣ al-Miftāḥ,,"Caro Minasian Collection of Persian and Arabic Manuscripts, box 53, 367",n.d.,,,,"A commentary by al-Sayyid al-Sharīf al-Jurjānī (d. A.H. 816) on Taftazānī's (d. A.H. 792) al-Sharḥ al-muṭawwal li-Talkhīṣ al-Miftāḥ. al-Sharḥ al-muṭawwal is one of two commentaries by Taftazānī, the other being al-Sharḥ al-mukhtaṣar, on Jalal al-Dīn Muḥammad al-Qazwīnī’s (d. A.H. 739) Talkhīṣ al-Miftāḥ, an abridgment of the third section of Sirāj al-Din Yūsuf al-Kākī’s (d. A.H. 626) Miftāḥ al-ulūm on Arabic grammar and morphology, more specifically on bayān and maʿná. Missing end folios and includes notes in the margins.",,,الحاشية الشريفية على شرح المطول تلخيص المفتاح,,,,,,,,,,,,
