Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,AltTitle.uniform,Subject,Name.photographer,Name.architect,Name.repository,Name.creator,Relation.isPartOf,Alt ID.local,Date.creation,Format.medium,Format.dimensions,Title,Format.extent,Date.normalized,Description.latitude,Description.longitude,Description.note,Description.caption,Opac url,Coverage.geographic,Description.adminnote,Description.contents,Finding Aid URL,Description.abstract,Bucketeer State,IIIF Access URL
Lee (S. Charles) Papers,ark:/21198/zz000j3dpf,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3dpf-1-master.tif,224,still image,Renderings|~|Architectural drawings,copyrighted,,,,Drive-in theaters|~|Landmarks,Morris & Monroe,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b2_f8_17|~|0020817,[between 1919-1962],,8 x 10 in.,"Drive-in theatre, Ventura, photograph of rendering",1 photographic print,1919/1962,,,"This earliest-known concept for a drive-in theater by Lee, the Ventura Drive-In, shows a sophisticated use of illuminated triangular forms massed alongside the large illuminated screen structure and along the edges of the parking lot, creating an advertising sign for the theater out of the drive-in form itself. The sharp-edged forms are clearly Art Deco in character, a style that is sometimes called Zig-Zag Moderne. The design vocabulary was adapted from usage current in theatre design at the time.",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3dpf
Lee (S. Charles) Papers,ark:/21198/zz000j3dqz,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3dqz-1-master.tif,225,still image,Aerial photographs,copyrighted,,,,Drive-in theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b2_f8_18|~|0020818,[1948],,8 x 10 in.,"Drive-in theatre, El Monte, aerial view",1 photographic print,1948,34.0879191,-118.0606323,"Drive-in theatre, El Monte, California. Aerial view.",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3dqz
Lee (S. Charles) Papers,ark:/21198/zz000j3drg,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3drg-1-master.tif,226,still image,Renderings|~|Architectural drawings,copyrighted,,,"Egyptian Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b2_f9_01|~|0020901,1936,,,"Egyptian Theatre, photograph of rendering",1 photographic print,1936,33.771705,-118.1903295,"Lee's concept rendering for a storefront theatre in the popular Egyptian theme betrays little attention on the façade to Egyptian-derived elements. The tall pylon sign, the illuminated marque extended out over the sidewalk, and the dramatically curved forms all serve to advertise the product to the audience on the street.",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3drg
Lee (S. Charles) Papers,ark:/21198/zz000j3ds0,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3ds0-1-master.tif,227,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,"Haight, George D.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b2_f12_001.tif|~|0021201,1931,,8 x 10,"Fox Theatre, Long Beach, facade",1 photograpic print,1931,33.7606168,-118.2395958,"Lee designed an elegant Beaux Arts style theatre to be used both for legitimate stage shows and motion pictures for the Southern California beach city, Long Beach. The massive poured-concrete building with its monumental cornice centered by a giant cartouche dominated the urban landscape of downtown Long Beach. The retail shop fronts at street level give a sense of the scale of the building.",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3ds0
Lee (S. Charles) Papers,ark:/21198/zz000j3dth,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3dth-1-master.tif,228,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",Lobbies|~|motion picture theaters|~|Landmarks,"Haight, George D.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b2_f12_02|~|0021202,1931,,,"Fox Theatre, Long Beach, foyer",1 photographic print,1931,33.7606168,-118.2395958,The foyer is low-ceilinged and relatively narrow. It serves primarily as access to the balcony. The pylons atop the newel posts echo the giant pylons on the façade. The coffered and stenciled ceiling is a scaled-down version of the auditorium ceiling.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3dth
Lee (S. Charles) Papers,ark:/21198/zz000j3dv1,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3dv1-1-master.tif,229,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|Landmarks,"Haight, George D.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0021203|~|clus_1384_b2_f12_03,1931,,,"Fox Theatre, Long Beach, mezzanine",1 photographic print,1931,33.7606168,-118.2395958,The mezzanine floor offers access to the lower balcony. Stairs lead up to the upper balcony. The vaulted ceiling features stenciled beams with some arches filled in with stenciled garlands reminiscent of designs by Adams. Settees and chairs reflect the scale of the building.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3dv1
Lee (S. Charles) Papers,ark:/21198/zz000j3dwj,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3dwj-1-master.tif,230,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|auditoriums|~|Proscenium arches|~|Landmarks,"Haight, George D.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0021204|~|clus_1384_b2_f12_04,1931,,,"Fox Theatre, Long Beach, auditorium, proscenium",1 photographic print,1931,33.7606168,-118.2395958,The Beaux Arts style interior features a proscenium arch framed by pseudo quoins and flanked by giant compositions of paired columns centered by oversize sculptures and cartouches. There is clearly a stage behind the curtain and the organ used to accompany silent motion pictures is seen at the lower left. The perforated panel in the center of the ceiling is a ventilation vent.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3dwj
Lee (S. Charles) Papers,ark:/21198/zz000j3dx2,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3dx2-1-master.tif,231,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|auditoriums|~|Landmarks,"Haight, George D.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b2_f12_05|~|0021205,1931,,,"Fox Theatre, Long Beach, auditorium, rear",1 photographic print,1931,33.7606168,-118.2395958,"This view shows the lower and upper balconies. The side walls were painted to simulate masonry with superimposed pilasters. Lee designed unusual indirect lighting fixtures and shades for the ceiling, side walls and under the balcony.",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3dx2
Lee (S. Charles) Papers,ark:/21198/zz000j3dzk,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3dzk-1-master.tif,232,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|auditoriums|~|Landmarks,"Haight, George D.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0021206|~|clus_1384_b2_f12_06,1931,,,"Fox Theatre, Long Beach, auditorium, detail",1 photographic print,1931,33.7606168,-118.2395958,Larger-than-life sculptures of women representing comedy and tragedy flank the stage; such representations are common motifs in theatre design. Both the statues and the surrounding columns are of cast stone. The columns are painted to simulate marble.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3dzk
Lee (S. Charles) Papers,ark:/21198/zz000j3f0k,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3f0k-1-master.tif,233,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Theatre (Long Beach, Calif.)",motion picture theaters|~|auditoriums|~|Landmarks,"Haight, George D.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0021207|~|clus_1384_b2_f12_07,1931,,,"Fox Theatre, Long Beach, auditorium, lantern",1 photographic print,1931,33.7606168,-118.2395958,"Lee's design for the ceiling lanterns incorporates traditional motifs such as fleurs-de-lys and sunbursts, while using sharp-edged geometry borrowed from Art Deco motifs.",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3f0k
Lee (S. Charles) Papers,ark:/21198/zz000j3f13,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3f13-1-master.tif,234,still image,Renderings|~|Architectural drawings,copyrighted,,,,Streamlined Moderne|~|motion picture theaters|~|Landmarks,Hoffman-Luckhaus,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0020701,Between 1939-1941,,,"Disney Theatre, photograph of rendering",1 photographic print,1939/1941,,,"The Disney Theatre was used for private screenings on the Disney lot. Lee's concept shows a glistening exterior of shiny materials, perhaps glass or ceramic tile. To add height and presence to the building, Lee set the entrance up on a podium and accented the semi-circular Streamline Moderne façade with vertical tower forms. A broad overhanding marquee echoes the circular form of the façade; its recessed lights illuminate the glass-walled foyer and the area around the entrance.",photograph of rendering,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3f13
Lee (S. Charles) Papers,ark:/21198/zz000j3f2m,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3f2m-1-master.tif,235,still image,Renderings|~|Architectural drawings,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f1_01|~|0030101,1928-30,,,"Fox Wilshire, Beverly Hills, exterior, renderings",1 photographic print,1928/1930,34.0647339,-118.374971,"This publication shows three of Lee's many concepts for this lavish and important building in Beverly Hills. The building opened on September 19, 1930, only weeks before the stock market crash. Several sketches for the landmark tower survive in the Lee collection.",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3f2m
Lee (S. Charles) Papers,ark:/21198/zz000j3f34,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3f34-1-master.tif,236,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",motion picture theaters|~|Landmarks,"Lee, S. Charles, 1899-1990","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f1_02|~|0030102,1928-30,,,"Fox Wilshire, Beverly Hills, exterior at night",1 photographic print,1928/1930,34.0647339,-118.374971,The Fox Wilshire on opening night illuminated by spotlights and draped with bunting. The exterior design was a much simplified version of Lee's many concepts. The Fox sign became the most prominent attribute of the tower at night.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3f34
Lee (S. Charles) Papers,ark:/21198/zz000j3f4n,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3f4n-1-master.tif,237,still image,Renderings|~|Architectural drawings,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",motion picture theaters|~|auditoriums|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f1_03|~|0030103,1928-30,,,"Fox Wilshire, Beverly Hills, auditorium, photograph of rendering",1 photographic print,1928/1930,34.0647339,-118.374971,"The interior design concept was in lavish Art Deco, with contrasting light and dark (probably black and silver or gilt).",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3f4n
Lee (S. Charles) Papers,ark:/21198/zz000j3f55,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3f55-1-master.tif,238,still image,Renderings|~|Architectural drawings,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",Lobbies|~|motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f1_04|~|0030104,1928-30,,,"Fox Wilshire, Beverly Hills, foyer, photograph of rendering",1 photographic print,1928/1930,34.0647339,-118.374971,"The concept for the foyer proposed a domed ceiling, executed perhaps in stained glass or in paint on plaster. Curved staircases lead to the mezzanine above.",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3f55
Lee (S. Charles) Papers,ark:/21198/zz000j3f6p,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3f6p-1-master.tif,239,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",motion picture theaters|~|auditoriums|~|Proscenium arches|~|Landmarks,"Mott Studios (Los Angeles, Calif.)","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f1_05|~|0030105,1928-30,,,"Fox Wilshire, Beverly Hills, auditorium, proscenium",1 photographic print,1928/1930,34.0647339,-118.374971,"The stage opening is set back deeply into a much larger proscenium arch. The sloping walls and ceiling surrounding the stage are heavily ornamented in gilt or silver plaster relief; the forms are the abstracted designs from nature and geometry typical of Art Deco design. The stage curtain was designed in separate panels that could be raised individually, adjusting the space to stage productions or motion picture screenings and at the same time introducing a dramatic design element.",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3f6p
Lee (S. Charles) Papers,ark:/21198/zz000j3f76,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3f76-1-master.tif,240,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",motion picture theaters|~|auditoriums|~|Proscenium arches|~|Landmarks,"Mott Studios (Los Angeles, Calif.)","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f1_06|~|0030106,1928-30,,,"Fox Wilshire, Beverly Hills, auditorium, proscenium",1 photographic print,1928/1930,34.0647339,-118.374971,The stage curtain panels in another possible configuration.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3f76
Lee (S. Charles) Papers,ark:/21198/zz000j3f8q,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3f8q-1-master.tif,241,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",motion picture theaters|~|auditoriums|~|Proscenium arches|~|Landmarks,"Mott Studios (Los Angeles, Calif.)","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f1_07|~|0030107,1928-30,,,"Fox Wilshire, Beverly Hills, auditorium, proscenium [motion picture screen]",1 photographic print,1928/1930,34.0647339,-118.374971,The stage curtain in place for motion picture screening.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3f8q
Lee (S. Charles) Papers,ark:/21198/zz000j3f97,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3f97-1-master.tif,242,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",Lounges (sitting rooms)|~|motion picture theaters|~|Landmarks|~|Lifestyle,"Mott Studios (Los Angeles, Calif.)","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f1_08|~|0030108,1928-30,,,"Fox Wilshire, Beverly Hills, ladies' lounge",1 photographic print,1928/1930,34.0647339,-118.374971,"For the ladies' lounge Lee used reflective black wall surfaces, angular mirrors, and white ceiling and zig-zag shaped vanity lights to create the glamorous sophisticated look associated with Hollywood in the 1920s.",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3f97
Lee (S. Charles) Papers,ark:/21198/zz000j3fbr,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3fbr-1-master.tif,243,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0030109|~|clus_1384_b3_f1_09,1928-30,,,"Fox Wilshire, Beverly Hills, exterior and interior views",1 photographic print,1928/1930,34.0647339,-118.374971,"Four photographs published at the time of the opening show the mezzanine, (top right), the exterior (center), the foyer (lower left), and the auditorium (lower right).",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3fbr
Lee (S. Charles) Papers,ark:/21198/zz000j3kz0,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3kz0-1-master.tif,244,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",Motion picture theatres--Design and construction|~|motion picture theaters|~|Landmarks,"Shouler, Mayson W.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0030110|~|clus_1384_b3_f1_10,1928-30,,,"Fox Wilshire, Beverly Hills, construction [1] [1930-02-27]",1 photographic print,1928/1930,34.0647339,-118.374971,This construction photo shows the basement and the mass of wood framing used to make the forms for the poured concrete. The large derrick in the background was used to lift the materials and equipment up as the building rose.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3kz0
Lee (S. Charles) Papers,ark:/21198/zz000j3m00,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3m00-1-master.tif,245,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",Motion picture theatres--Design and construction|~|motion picture theaters|~|Landmarks,"Shouler, Mayson W.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0030111|~|clus_1384_b3_f1_11,1928-30,,,"Fox Wilshire, Beverly Hills, construction [2] [1930-03-27]",1 photographic print,1928/1930,34.0647339,-118.374971,Here two derricks are operating as the building rises on the corner of Wilshire Boulevard.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3m00
Lee (S. Charles) Papers,ark:/21198/zz000j3m1h,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3m1h-1-master.tif,246,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",Motion picture theatres--Design and construction|~|motion picture theaters|~|Landmarks,"Shouler, Mayson W.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0030112|~|clus_1384_b3_f1_12,1928-30,,,"Fox Wilshire, Beverly Hills, construction [3] [1930-05-08]",1 photographic print,1928/1930,34.0647339,-118.374971,The angular-shaped tower dominates the already completed walls of the auditorium and stage flies.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3m1h
Lee (S. Charles) Papers,ark:/21198/zz000j3m21,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3m21-1-master.tif,247,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Fox Wilshire Theatre (Beverly Hills, Calif.)",motion picture theaters|~|Landmarks|~|Arts,"Shouler, Mayson W.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f1_13|~|0030113,1928-30,,,"Fox Wilshire, Beverly Hills, ornament detail",1 photographic print,1928/1930,34.0647339,-118.374971,This abstract floral and leaf design executed in cast stone was probably part of a screen over a ventilation or sound duct at the side of the proscenium arch.,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3m21
Lee (S. Charles) Papers,ark:/21198/zz000j3m3j,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3m3j-1-master.tif,248,still image,Renderings|~|Architectural drawings,copyrighted,,,"Garmar Theatre (Montebello, Calif.)",motion picture theaters|~|Landmarks,Morris & Monroe,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f3_01|~|0030301,1949-50,,,"Garmar Theatre, Montebello, photograph of rendering",1 photographic print,1949/1950,34.013348,-118.125959,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3m3j
Lee (S. Charles) Papers,ark:/21198/zz000j3m42,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3m42-1-master.tif,249,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Garmar Theatre (Montebello, Calif.)",motion picture theaters|~|Marquees|~|Landmarks|~|Entertainment,"Todd, L. A.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0030302|~|clus_1384_b3_f3_02,1949-50,,,"Garmar Theatre, Montebello, entrance and marquee",1 photographic print,1949/1950,34.013348,-118.125959,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3m42
Lee (S. Charles) Papers,ark:/21198/zz000j3m5k,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3m5k-1-master.tif,250,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Garmar Theatre (Montebello, Calif.)",motion picture theaters|~|auditoriums|~|Landmarks,"Todd, L. A.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f3_03|~|0030303,1949-50,,,"Garmar Theatre, Montebello, auditorium",1 photographic print,1949/1950,34.013348,-118.125959,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3m5k
Lee (S. Charles) Papers,ark:/21198/zz000j3m63,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3m63-1-master.tif,251,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Garmar Theatre (Montebello, Calif.)",motion picture theaters|~|Lifestyle,"Todd, L. A.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f3_04|~|0030304,1949-50,,,"Garmar Theatre, Montebello, crying room",1 photographic print,1949/1950,34.013348,-118.125959,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3m63
Lee (S. Charles) Papers,ark:/21198/zz000j3m7m,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3m7m-1-master.tif,252,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Garmar Theatre (Montebello, Calif.)",motion picture theaters|~|Landmarks|~|Media,"Todd, L. A.","Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",clus_1384_b3_f3_05|~|0030305,1949-50,,8 x 10 in.,"Garmar Theatre, Montebello, projection room",1 photographic print,1949/1950,34.013348,-118.125959,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3m7m
Lee (S. Charles) Papers,ark:/21198/zz000j3m84,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3m84-1-master.tif,253,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Grand Theatre (Clarkdale, Ariz.)",motion picture theaters|~|Landmarks,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0030501|~|clus_1384_b3_f5_01,1936,,,"Grand Theatre, Arizona, collage of interior and exterior views",1 photographic print,1936,34.770891,-112.058426,"Probably Lee's simplest design and smallest commission was this 250 seat theatre for the United Verde Copper company in Clarkdale, Arizona. The crowd of people in front of the theatre, the handwritten note on the reverse of the picture, and the letter from the theatre manager all attest to the appreciation of this small theatre in a remote town in northern Arizona",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3m84
Lee (S. Charles) Papers,ark:/21198/zz000j3m9n,ark:/21198/zz00096xsp,2,Completed,Work,sclee/masters/21198-zz000j3m9n-1-master.tif,254,still image,Black-and-white photographs|~|Architectural photographs,copyrighted,,,"Grand Theatre (Clarkdale, Ariz.)",motion picture theaters|~|Culture,,"Lee, S. Charles, 1899-1990","University of California, Los Angeles. $b Library Special Collections",,"S. Charles Lee Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",0030502|~|clus_1384_b3_f5_02,1936,,8 x 10 in.,"Grand Theatre, Arizona, verso of the exterior view",1 photographic print,1936,34.770891,-112.058426,"Verso of the exterior view, bearing a note complimenting Lee by the manager of the Grand Theatre.  Two ceiling fans, some benches painted red and a crying room were all features added to this little theatre.",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000j3m9n
