Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Coverage.geographic,Name.producer,Name.publisher,Subject,Rights.servicesContact,Language,Type.genre,Name.repository,Name.surveyor,Name.cartographer,Name.subject,Name.sponsor,Name.compiler,Name.lithographer,Name.artist,Format.dimensions,AltIdentifier.local,Title,AltIdentifier.oclc,Date,Format.extent,Description.note,AltIdentifier.callNo,Relation.isPartOf,Publisher.placeOfOrigin,Publisher.publisherName,AltTitle.caption,AltTitle.translated,AltTitle.other,AltIdentifier.collection,Description.abstract
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096fb6,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096fb6-1-master.tif,,,,still image|~|still image|~|cartographic|~|cartographic,pd|~|pd,,,,,Railroads--United States--Maps|~|Railroads--United States--Maps,,eng|~|eng,maps|~|maps,"University of California, Los Angeles. $b Library Special Collections|~|University of California, Los Angeles. $b Library Special Collections",,,"Union Pacific Railway, Eastern Division--Maps|~|Union Pacific Railway, Eastern Division--Maps",,,,,29.5 x 64.5 cm. on sheet 32.5 x 68 cm. originally folded to 16.5 x 9.5 cm|~|29.5 x 64.5 cm. on sheet 32.5 x 68 cm. originally folded to 16.5 x 9.5 cm,clusc_1_1_00017246a|~|clusc_1_1_00017247a|~|uclamss_294_b55_1-back|~|uclamss_294_b55_1-front|~|clusc_1_1_00017246a|~|clusc_1_1_00017247a|~|uclamss_294_b55_1-back|~|uclamss_294_b55_1-front,"Map of the Union Pacific Railway Eastern Division and connections, from the Mississippi River to San Francisco|~|Map of the Union Pacific Railway Eastern Division and connections, from the Mississippi River to San Francisco",,1867(?)|~|1867(?),1 map|~|1 map,"scale: 1:3,801,600|~|Relief shown by hachures.  Verso of map provides description of all the major cities in Kansas as well as publisher's advertisement of land for sale.|~|Digitization took place as part of the California Cultures Project.|~|scale: 1:3,801,600|~|Relief shown by hachures.  Verso of map provides description of all the major cities in Kansas as well as publisher's advertisement of land for sale.|~|Digitization took place as part of the California Cultures Project.",G4050 P3 1867|~|G4050 P3 1867,http://calcultures.cdlib.org|~|http://calcultures.cdlib.org,"Wyandotte, Kan.|~|Wyandotte, Kan.","Union Pacific Railway, Eastern Division|~|Union Pacific Railway, Eastern Division",,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096fcq,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096fcq-1-master.tif,,,,still image|~|cartographic,pd,,Coronado (Calif.)--Aerial views,,,,,eng,bird's-eye views,"University of California, Los Angeles. $b Library Special Collections",,"Moore, E. S.",,,,H.S. Crocker Co.,,46 x 64.5 cm. on sheet 53.3 x 69.5 cm.,clusc_1_1_00017390a|~|uclamss_294_b60_2,"Bird's eye view of Coronado Beach, San Diego Bay and city of San Diego, Cal. in distance",233727441,1880,1 view,"Officers and directors of the Coronado Beach Company are listed.|~|Includes index to important sites.  Below view: ""Capital - One million dollars""|~|Perspective map not drawn to scale.|~|Digitization took place as part of the California Cultures Project.",,http://calcultures.cdlib.org,"San Francisco, Calif.",Coronado Beach Company,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096fd7,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096fd7-1-master.tif,,,,still image|~|cartographic,pd,,San Francisco (Calif.)--Maps,,,San Francisco (Calif.)--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,,,,Britton & Rey,,50 x 63 cm. on sheet 53.7 x 71.2 cm.,clusc_1_1_00017243a|~|uclamss_294_b71_2,Guide map of the city of San Francisco : compiled from the official surveys and engraved expressly for Langley's San Francisco Directory,233719897,1878,1 map : col.,"Relief shown by hachures.  Area tints distinguish various subdivisions of the city and city blocks are numbered within each subdivision.|~|scale: 1:50,000|~|Digitization took place as part of the California Cultures Project.",G4364 S216 1878,http://calcultures.cdlib.org,"San Francisco, Calif.","Langley, Henry G.",,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096ffr,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096ffr-1-master.tif,,,,still image|~|cartographic,pd,,Los Angeles (Calif.)--Maps,,,Real property--California--Los Angeles--Maps,,spa|~|eng,maps,"University of California, Los Angeles. $b Library Special Collections","Ord, Edward Otho Cresap, 1818-1883|~|Hancock, Henry",,,,,A.L. Bancroft & Company,,72 x 70 cm. on sheet 75 x 73.5 cm.,clusc_1_1_00017395a|~|uclamss_294_b5_1,Map of the city of Los Angeles showing the confirmed limits surveyed in August 1857 by Henry Hancock,,August 1857,1 map,"All street names are in both English and Spanish.  Relief shown by hachures.  Shows drainage, block and lot numbers, land ownership, buildings, fields, etc.  Cf. Robinson 33 Harlow p. 72.|~|""Surveyed in August 1857 by Henry Hancock, U.S. Dep. Surv.""  ""Donation lots surveyed by H. Hancock in August and April 1853. Geo Hanson, asst.""|~|Earlier title: ""Plan de la ciudad de Los Angeles. Surveyed by E.O.C. Ord, Lt. U.S.A. and Wm. R. Hutton, assistant. August 29th 1849.""|~|scale: 1:11,800, not 5 1/3 in. to 1 mi.|~|Digitization took place as part of the California Cultures Project.",G4364 L875 1847a,http://calcultures.cdlib.org,"Los Angeles, Calif.",Bancroft & Thayer,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096fg8,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096fg8-1-master.tif,,,,still image|~|cartographic,unknown,,Rancho Sausal Redondo (Calif.)--Maps|~|Rancho Centinela (Calif.)--Maps,,,,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,Anonymous,,,,,,52 x 44 cm.,clusc_1_1_00017221a|~|uclamss_294_b121_1,"Map of the Centinela and Sausal Redondo ranches in Los Angeles County, Cal.",,n.d.,1 map,Scale not given|~|Hand drawn on tracing paper.  Boundary lines over drawn in red.  Relief shown by hachures.|~|Digitization took place as part of the California Cultures Project.,,http://calcultures.cdlib.org,,,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096fkt,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096fkt-1-master.tif,,,,still image|~|cartographic,pd,,Los Angeles (Calif.)--Maps,,,Real property--California--Los Angeles--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,52 x 63.3 cm. on sheet 82.5 x 71 cm.,clusc_1_1_00017241a|~|uclamss_294_b3_1,Cox and Sanders index map of Los Angeles City,233731436,1896,1 map,"""Corrected to Jan. 1st 1896""|~|""Showing all streets and street car lines and sewer connections""  ""Index shows location of streets and shortest routes from centre of city""  In lower left hand corner reads: ""Compiled in office of Jas. T. Taylor""|~|Digitization took place as part of the California Cultures Project.|~|Street car lines over printed in red, sewer lines over printed in blue.  Tracts are indicated.  Railroad lines also indicated.  Index to banks, business blocks and halls, theatres, public buildings, public institutions, railway stations, cemeteries, churches, colleges and schools, hotels, parks, telegraph and telephone cos. miscellaneous societies and streets.|~|Scale not given.",G4364 L875 1896a,http://calcultures.cdlib.org,"Los Angeles, Calif.",Cox and Sanders,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096fnv,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096fnv-1-master.tif,,,,still image|~|cartographic,pd,,El Camino Real (Calif.)--Maps|~|California--History--To 1846--Maps|~|California--Historical geography--Maps,,,"Missions, Spanish--California--Maps, Pictorial",,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,"Prentiss, Mabel Emerton",Franciscans--Missions--California--Maps,,,,,48.5 x 43 cm. on sheet 58.5 x 53.5 cm..,clusc_1_1_00017217a|~|uclamss_294_b61_2,El Camino Real : outline map of California showing missions and principal settlements prior to secularization of the missions in 1834,233725288,c.1903,1 map,"""Published by Mrs. S.A.P. Wheeler, San Gabriel, Cal.""|~|Digitization took place as part of the California Cultures Project.",G4360 P2 1769-1824,http://calcultures.cdlib.org,"San Gabriel and Los Angeles, Calif.",Out West Co.,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096frd,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096frd-1-master.tif,,,,still image|~|cartographic,pd,,,,,"Trolley buses--California, Southern|~|Street-railroads--California, Southern",,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,"Pontius, D. W.",Pacific Electric Railway Company--Maps,,,,,40 x 59.3 cm. on sheet 48.5 x 61 cm.,clusc_1_1_00017238a|~|uclamss_294_b120_1,Lines of the Pacific Electric Railway in Southern California,,circa  1912,1 map,"Describes Mount Lowe, Orange Empire and ""Old Mission-Ballona Route"" trolley trips.|~|Digitization took place as part of the California Cultures Project.|~|Railroad lines also indicated.|~|scale: 1:234,000",,http://calcultures.cdlib.org,"Los Angeles, Calif. (?)",Pacific Electric Railway Company,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096fsx,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096fsx-1-master.tif,,,,still image|~|cartographic,pd,,"Ventura (Calif.)--Buildings, structures, etc.--Pictorial works|~|Ventura (Calif.)--Aerial views",,,,,eng,bird's-eye views,"University of California, Los Angeles. $b Library Special Collections",,,,,,W.W. Elliot & Co.,,49.5 x 66 cm. on sheet 54 x 71.5 cm.,clusc_1_1_00017396a|~|uclamss_294_b60_1,San Buena Ventura,,circa 1890,1 view,Digitization took place as part of the California Cultures Project.|~|Perspective map not drawn to scale.  Relief shown pictorially.  Includes an index of important sites in the area.  Directly above and below the view are insets of prominent buildings.|~|Bird's-eye view from the Pacific.,,http://calcultures.cdlib.org,"San Francisco, Calif.",Ventura Daily Press,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096ftf,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096ftf-1-master.tif,,,,still image|~|cartographic,pd,,North Pacific Ocean--Maps,,,Nautical charts--North Pacific Ocean,,spa,maps,"University of California, Los Angeles. $b Library Special Collections",,,,Mexico. President (1824-1829 : Victoria),,,,62 x 70 cm. on sheet 69 x 85 cm.,clusc_1_1_00017216a|~|uclamss_294_b48_1,Carta general para las navegaciones a la India Oriental por el mar del sur y el grande oceano que separa el continente americano del asiatico,233732526,1825,1 map,"Emblem with eagle perched on boat surrounded by 2 sails and 2 anchors in lower left corner.|~|Digitization took place as part of the California Cultures Project.|~|""Los numeros de la sonda son brazas de 6 pies de Burgos""  ""Longitude oeste de Cadiz""|~|""Construido segun las derretas, observaciones y trabajos de los mas celebres navegantes españoles y publicada por orden del Excmo. Sr. D. Guadalupe Victoria, primer presidente de la Repblica""",G3201 1825,http://calcultures.cdlib.org,Mexico,,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096fx0,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096fx0-1-master.tif,,,,still image|~|cartographic,pd,,,,,Street-railroads--California--Los Angeles Metropolitan Area--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,Pacific Electric Railway Company--Maps,,,,,46 x 57.5 cm. on sheet 47.5 x 58.5 cm.,clusc_1_1_00017237a|~|uclamss_294_b96_1,Map of the Los Angeles-Pacific R.R.,,circa 1900,1 map : blueprint,scale: 20 chains:1 inch|~|Relief shown by spot heights.  Existing ranchos are identified.|~|Digitization took place as part of the California Cultures Project.|~|UCLA copy: Ex-libris W.W. Robinson,G4363 L8P3 1900,,"Los Angeles, Calif.",,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096fzh,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096fzh-1-master.tif,,,,still image|~|still image|~|cartographic|~|cartographic,pd|~|pd,,Pacific States--Maps|~|Pacific States--Maps,,,Steamboat lines--Pacific Coast (U.S.)--Maps|~|Steamboat lines--Pacific Coast (U.S.)--Maps|~|Steamboat lines--Pacific Coast--British Columbia--Maps|~|Steamboat lines--Pacific Coast--British Columbia--Maps,,eng|~|eng,maps|~|maps,"University of California, Los Angeles. $b Library Special Collections|~|University of California, Los Angeles. $b Library Special Collections",,,Pacific Coast Steamship Company--Maps|~|Pacific Coast Steamship Company--Maps,Pacific Coast Steamship Company|~|Pacific Coast Steamship Company,,,,68 x 31.2 cm. on sheet 71.5 x 35.4 cm. originally folded to 17.5 x 9 cm.|~|68 x 31.2 cm. on sheet 71.5 x 35.4 cm. originally folded to 17.5 x 9 cm.,clusc_1_1_00017265a|~|uclamss_294_b57_1-back|~|uclamss_294_b57_1-front|~|clusc_1_1_00017266a|~|clusc_1_1_00017265a|~|uclamss_294_b57_1-back|~|uclamss_294_b57_1-front|~|clusc_1_1_00017266a,Map showing routes of the Pacific Coast Steamship Company|~|Map showing routes of the Pacific Coast Steamship Company,,1888|~|1888,,"Relief shown by hachures.  Pictorial inset: ""Alaska's Thousand Islands seen from Sitka""|~|scale: 1:3,100,000|~|Verso of map has schedules and rates of fare for August, September and October 1888 for the various lines. Also has advertisement : ""Hotel Ramona, San Luis Obispo County, California, to be opened September 15, 1888""|~|Digitization took place as part of the California Cultures Project.|~|Relief shown by hachures.  Pictorial inset: ""Alaska's Thousand Islands seen from Sitka""|~|scale: 1:3,100,000|~|Verso of map has schedules and rates of fare for August, September and October 1888 for the various lines. Also has advertisement : ""Hotel Ramona, San Luis Obispo County, California, to be opened September 15, 1888""|~|Digitization took place as part of the California Cultures Project.",G4230 P5 1888|~|G4230 P5 1888,http://calcultures.cdlib.org|~|http://calcultures.cdlib.org,"Chicago, Ill.|~|Chicago, Ill.",Rand McNally and Company|~|Rand McNally and Company,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096g32,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096g32-1-master.tif,,,,still image|~|cartographic,pd,,United States--Maps,,,,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,,John Thomson & Co.,,,,50.5 x 60.5 cm. on sheet 53.5 x 68 cm.,clusc_1_1_00017236a|~|uclamss_294_b51_1,United States and additions : 1820,,1821,1 map : col.,"Relief shown by hachures and shading.|~|A plate from Thomson's New general atlas published in 1821.  ""*Engraved for Thomson's New general atlas""|~|Digitization took place as part of the California Cultures Project.|~|scale: 1:8,000,000",G3700 F2 1820,http://calcultures.cdlib.org,"Edinburgh, Scotland & London, England","Baldwin, Cradock and Joy",,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096g4k,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096g4k-1-master.tif,,,,still image|~|cartographic,pd,,"Mexico, North--Historical geography--Maps",,,,,spa|~|eng,maps,"University of California, Los Angeles. $b Library Special Collections",,"Fleury, E. de",,,,"Baker, Geo. H. (George Holbrook), 1827-1906",,62.5 x 85.5 cm. on sheet 69 x 90 cm.,clusc_1_1_00017393a|~|uclamss_294_b205_1,"Nuevo mapa de los estados de Sonora, Chihuahua, Sinaloa, Durango y territoria de la Baja California",,1881,1 map : col.,"All legends are in both English and Spanish.  Relief shown by hachures and spot heights.  Includes table of distances.  Locates state capital cities, towns, villages, old presidios, ranches, Indian villages and mines.|~|scale: 1:18,600|~|""Published by A. Gensoul revised by Warren Holt, San Francisco, Calif.""  ""Paris, France. Ch. Albessard, Libraire-Commissionaire""|~|Digitization took place as part of the California Cultures Project.",,http://calcultures.cdlib.org,"Paris, France; San Francisco, Calif.","Holt, Warren",,"New map of Sonora, Chihuahua, Sinaloa, Durango and Lower California",,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096g53,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096g53-1-master.tif,,,,still image|~|still image|~|cartographic|~|cartographic,pd|~|pd,,Inglewood (Calif.)--Description and travel--Maps|~|Inglewood (Calif.)--Description and travel--Maps|~|Inglewood (Calif.)--Directories|~|Inglewood (Calif.)--Directories,,,Inglewood (Calif.)--Maps.|~|Inglewood (Calif.)--Maps.,,eng|~|eng,maps|~|maps,"University of California, Los Angeles. $b Library Special Collections|~|University of California, Los Angeles. $b Library Special Collections",,,,,,,,51 x 45 cm. originally folded to 25 x 12 cm.|~|51 x 45 cm. originally folded to 25 x 12 cm.,clusc_1_1_00017214a|~|uclamss_294_b121_2-front|~|clusc_1_1_00017215a|~|uclamss_294_b121_2-back|~|clusc_1_1_00017214a|~|uclamss_294_b121_2-front|~|clusc_1_1_00017215a|~|uclamss_294_b121_2-back,"Inglewood the hub city : map of Los Angeles County, Southwest|~|Inglewood the hub city : map of Los Angeles County, Southwest",233725766|~|233725766,1908|~|1908,1 map : col.|~|1 map : col.,"Purchase, Michael Vinson, 1995.|~|Digitization took place as part of the California Cultures Project.|~|The map on side 1 shows Inglewood in the middle of the greater Los Angeles area, with red lines emanating from that ""hub"" showing mileage from Inglewood to specified destinations. The other side of the map contains promotional material about Inglewood (including that ""Inglewood is composed of Caucasians only""), including descriptions of its attractions (with caption title, Desirable residence conditions), a city business directory and a short recap of this information. The entire sheet is intended to be folded and used as a brochure for real estate purposes.|~|scale: 1:90,000|~|Purchase, Michael Vinson, 1995.|~|Digitization took place as part of the California Cultures Project.|~|The map on side 1 shows Inglewood in the middle of the greater Los Angeles area, with red lines emanating from that ""hub"" showing mileage from Inglewood to specified destinations. The other side of the map contains promotional material about Inglewood (including that ""Inglewood is composed of Caucasians only""), including descriptions of its attractions (with caption title, Desirable residence conditions), a city business directory and a short recap of this information. The entire sheet is intended to be folded and used as a brochure for real estate purposes.|~|scale: 1:90,000",F869.I51 l53 1908|~|F869.I51 l53 1908,http://calcultures.cdlib.org|~|http://calcultures.cdlib.org,"Inglewood, Calif.|~|Inglewood, Calif.",Inglewood (Calif.). Board of Trade|~|Inglewood (Calif.). Board of Trade,Desirable residence conditions.|~|Desirable residence conditions.,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096g8n,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096g8n-1-master.tif,,,,still image|~|cartographic,pd,,San Francisco Bay Area (Calif.)--Maps,,,Roads--California--San Francisco Bay Area--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,58 x 42.5 cm. on sheet 61 x 47.5 cm.,clusc_1_1_00017230a|~|uclamss_294_b88_1,Road map of the Bay counties : compiled from the latest and most accurate official data,,circa 1907,1 map,"County boundaries are shown.  Includes Alameda, Contra Costa, Marin, Napa, San Francisco, San Mateo, Santa Clara, Santa Cruz and Solano counties.|~|""Copyright, 1907 by the Whitaker & Ray Co.""|~|scale: 1:268,224|~|Digitization took place as part of the California Cultures Project.",G4362 N89 P2 1909,http://calcultures.cdlib.org,"San Francisco, Calif.",Whitaker & Ray-Wiggin Co.,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096g95,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096g95-1-master.tif,,,,still image|~|cartographic,pd,,California--Administrative and political divisions--Maps|~|San Francisco (Calif.)--Administrative and political subdivisions--Maps,,,Election districts--California--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,,,"Curry, Charles Forrest, 1858-1930",,,each 25 x 30 cm. on sheet 59 x 68 cm.,clusc_1_1_00017263a.tif|~|uclamss_294_b57_5,"California political subdivisions maps showing senatorial, congressional, railroad, equalization, and assembly districts plus a map of San Francisco political subdivisions",233726495,1902,6 maps on 1 sheet : col.,"""Compiled by C.F. Curry, Secretary of State ""|~|""Printed at California State Printing Office, A.J. Johnston, State Printer""|~|Digitization took place as part of the California Cultures Project.|~|Scale not given.",G460 F8 1902,http://calcultures.cdlib.org,"Sacramento, Calif.",California. Secretary of State,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096gbp,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz00096gbp-1-master.tif,,,,still image|~|cartographic,pd,,Orange County (Calif.)--Maps|~|Los Angeles County (Calif.)--Maps,,,Real property--California--Orange County--Maps|~|Real property--California--Los Angeles County--Maps|~|Landowners--California--Los Angeles County--Maps|~|Land grants--California--Los Angeles County--Maps|~|Land grants--California--Orange County--Maps,,eng,cadastral maps,"University of California, Los Angeles. $b Library Special Collections",,,"Stearns, Abel, 1798-1871",,,"Baker, Geo. H. (George Holbrook), 1827-1906",,46 x 42 cm. on sheet 51 x 47.5 cm.,uclamss_294_b94_1|~|clusc_1_1_00017212a,"Map of a portion of Los Angeles County showing the Abel Stearns' ranches : La Habra, Los Coyotes, San Juan Cajon, Las Bolsas, La Bolsa Chica",,1873,1 map : hand col.,"Relief shown by hachures.  Shows drainage, township and section lines, land ownership, ranchos, settlements, railroads, etc.  Los Angeles and San Pedro railroad shown as well as projected railroads from Los Angeles to San Berndardino, to Anaheim and from Compton to Anaheim.|~|""Proprietors: E.F.Northan, Edw. Martin, C.B. Polehamns, estate of A. Stearns, Geo. H. Hward, A.W. Bowman""|~|UCLA copy: From the William Starke Rosencrans papers|~|scale: 1:158,400|~|""5 ranchos 200 square miles in blocks of 1 mile square with road on each side. For sale in section or fractions by Alfred Robinson, trustee of the Los Angeles and San Bernardino Land Office, 524 Market St., corner of Montgomery St., San Francisco or apply to the agency, Los Angeles or Anaheim""  ""Shaded tracts are sold""|~|Digitization took place as part of the California Cultures Project.",G4363 L8 1873,http://calcultures.cdlib.org,"San Francisco, Calif.",,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015wtvz,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz0015wtvz-1-master.tif,,,,still image|~|cartographic,pd,,West (U.S.)--Maps,,,Railroads--West (U.S.)--Maps,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,St. Louis-San Francisco Railway Company--Maps,,,,,37 x 73 cm. on sheet 40.5 x 76 cm.,uclamss_294_b83_2|~|clusc_1_1_00017401a,Map of St. Louis and San Francisco R[ailwa]y and connections,,1889(?),1 map,Relief shown by hachures.  St. Louis-San Francisco railway lines marked in red other railway lines marked in black.|~|Scale not given.|~|Digitization took place as part of the California Cultures Project.,,http://calcultures.cdlib.org,"Chicago, Ill.",Rand McNally and Company,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015wtzh,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz0015wtzh-1-master.tif,,,,still image|~|cartographic,pd,,"Los Angeles (Calif.)--Aerial views|~|Los Angeles (Calif.)--Buildings, structures, etc.--Pictorial works",,,,,eng,bird's-eye views,"University of California, Los Angeles. $b Library Special Collections",,"Koch, Augustus, b. 1840",,,,,,51.5 x 76.5 cm. on sheet 69 x 82 cm.,uclamss_294_b8_1|~|clusc_1_1_00017402a,"City of Los Angeles, Los Angeles County, Cal.",233729439,1871,1 view,Perspective map not drawn to scale.|~|Includes index to important civic locations.  Directly below view are 11 inset pictorial images of prominent Los Angeles buildings.|~|Digitization took place as part of the California Cultures Project.,G4364 L875 1871b,http://calcultures.cdlib.org,"San Francisco, Calif.",Britton & Rey,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015wv32,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz0015wv32-1-master.tif,,,,still image|~|cartographic,pd,,"Placerville (Calif.)--Aerial views|~|Placerville (Calif.)--Buildings, structures, etc.--Pictorial works",,,,,eng,bird's-eye views,"University of California, Los Angeles. $b Library Special Collections",,"Roethe, L.",,,,W.W. Elliot & Co.,,30.5 x 60.5 cm. on sheet 56 x 76.5 cm.,clusc_1_1_00017403a|~|uclamss_294_b60_3,"Bird's eye view of Placerville, Calif.",233725967,1888,1 view,"perspective map is not drawn to scale|~|Relief shown pictorially.  Perspective map not drawn to scale.  Includes a numbered index of important buildings and sites.|~|Information on El Dorado County and the town of Placerville provided.|~|View is surrounded by pictorial images of the most important buildings in Placerville.  Inset view: ""Placerville, 1851, reproduced from early sketch""|~|Digitization took place as part of the California Cultures Project.",,http://calcultures.cdlib.org,"San Francisco, Calif.",Weekly Observer,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015wv74,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz0015wv74-1-master.tif,,,,still image|~|cartographic,pd,,Los Angeles Metropolitan Area (Calif.)--Aerial views,,,Streets--California--Los Angeles Metropolitan Area--Aerial views,,eng,bird's-eye views,"University of California, Los Angeles. $b Library Special Collections",,"Humitsh, A. ",,,,,,44.7 x 60 cm. on sheet 63 x 77.5 cm.,clusc_1_1_00017404a|~|uclamss_294_b20_1,Map of Los Angeles and suburbs,,circa 1906,1 view : col.,"Scale not given.|~|""Designed and engraved by Riley-Moore Co., Los Angeles, Cal.""""Key to car lines"" along right hand side.Street rail lines marked in red.Includes street index.Relief shown pictorially.|~|Digitization took place as part of the California Cultures Project.",,http://calcultures.cdlib.org,"Los Angeles, Calif.",H.R. Lawson (Firm),,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015wwqv,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz0015wwqv-1-master.tif,,,,still image|~|cartographic,pd,,Los Angeles Metropolitan Area (Calif.)--Maps|~|California--Maps|~|San Francisco Bay Area (Calif.)--Maps,,,,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,66 x 79.5 on sheet 83.5 x 71.5 cm.,uclamss_294_b58_1|~|clusc_1_1_00017407a,Clason's map of California,233721962,circa 1913,1 map : col.,"Inset maps: ""Enlarged section of San Francisco and vicinity"" and  ""Enlarged section of Los Angeles and vicinity""|~|Relief shown by hachures and spot heights. National forests shaded in green county boudaries overprinted in red.|~|scale: 1:1,400,000|~|Digitization took place as part of the California Cultures Project.",G4360 1913,http://calcultures.cdlib.org,"Denver, Colo.",Clason Map Company,,,,,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015wx31,ark:/21198/zz0002h48z,2,Completed,Work,Masters/maps/yrlscmaps/masters/21198-zz0015wx31-1-master.tif,,,,still image|~|cartographic,pd,,San Francisco Bay Area (Calif.)--Maps,,,,,eng,maps,"University of California, Los Angeles. $b Library Special Collections",,San Francisco (Calif.). Bureau of Engineering ,,,,,,66 x 79 cm. on sheet 73.5 x 86.5 cm.,uclamss_294_b71_4|~|clusc_1_1_00017408a,Map of city and county of San Francisco,,1909,1 map : blueline print,"Rancho San Miguel and Rancho Laguna de la Merced are identified.|~|scale: 1:18,000|~|Digitization took place as part of the California Cultures Project.",G4364 S216 1909a,http://calcultures.cdlib.org,"San Francisco, Calif.",,,,,,
