Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Rights.copyrightStatus,Rights.publicationStatus,Language,Type.typeOfResource,Type.genre,Name.repository,Subject,Name.creator,Title,Alt ID.local,Alt ID.oclc,Description.latitude,Description.longitude,Date.creation,Format.dimensions,Relation.isPartOf,Coverage.geographic,Description.note,Format.extent,Date.normalized,AltTitle.other,Publisher.publisherName,Publisher.placeOfOrigin
Southern African Maps in Books,ark:/21198/zz002bwtqb,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Pringle_0008.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"The ceded territory on the Caffer frontier; with the district of Albany, and part of Somerset",SAMAPS_Pringle_0008,18056213,-33.30566,26.52453,1834,13.2 x 8.7 cm,"Pringle, Thomas. African sketches. London : E. Moxon, 1834.",Grahamstown (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtrv,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Reizen_0035.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,[Map of the Cape of Good Hope],SAMAPS_Reizen_0035,6106985,-34.3570158,18.473668,[1916-32],33.4 x 38.1 cm,"Godée Molsbergen, E. C. Reizen in Zuid-Afrika in de Hollandse tijd. ’s-Gravenhage : M. Nijhoff, 1916-32.",Cape of Good Hope (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtsc,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Skelton_0001.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Africa nuova tavola,SAMAPS_Skelton_0001,1689284,-30.559482,22.937506,1561,14.2 x 19.9 cm,"Sanuto, Livio. Geografia dell’Africa. [Amsterdam]: Theatrum orbis terrarum, [1965].","Africa, Sub-Saharan",,,,,,
Southern African Maps in Books,ark:/21198/zz002bwttw,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Steedman__0010.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,South Africa; compiled from the M.S. maps in the Colonial Office,SAMAPS_Steedman__0010,2288396,-30.559482,22.937506,1834,,"Steedman, Andrew. Wanderings and adventures in the interior of southern Africa. Cape Town : C. Struik, 1966.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtvd,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Stuart_0002.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Kaart von Zuid-Afrika,SAMAPS_Stuart_0002,320183348,-30.559482,22.937506,1854,36.5 x 48.2 cm,"Stuart, J. De Hollandsche Afrikanen en hunne Republiek in Zuid-Afrika. Amsterdam : G.W. Tielkemeijer, 1854.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtwx,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Ward_0009.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Sketch map of the seat of war,SAMAPS_Ward_0009,9128000,-33.93264,25.56995,[1848],9.5 x 15.6 cm,"Ward, Harriet. Five years in Kaffirland. London : H. Colburn, 1848.",Algoa Bay (South Africa),,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtxf,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMAPS_Ward_0016.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Map of the scene of the present war in Kaffirland,SAMAPS_Ward_0016,16529724,-30.559482,22.937506,1851,15 x 19 cm,"Ward, Harriet. The Cape and the Kaffirs: a diary of five years’ residence in Kaffirland. London : Bohn, 1860.",South Africa,,,,,,
Southern African Maps in Books,ark:/21198/zz002bwtzz,ark:/21198/zz0028tkq7,2,Completed,Work,Masters/Maps/southe/image/SAMPAS_Botelho_0017.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Lourenço Marques (Bahia); planta levantada ultimamente (em 1825) pelo Capitão Owen da Marinha Britanica,SAMPAS_Botelho_0017,2219277,-25.9666667,32.5833333,[1835-1837],30 x 24.5 cm,"Xavier Botelho, Sebastião. Memoria estatistica sobre os dominios portuguezes na Africa oriental. Lisboa: Typ. de J. B. Morando, 1835-37.",Maputo Bay (Mozambique),,,,,,
Southern African Maps in Books,ark:/21198/zz002h6p6r,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6p6r_2251486_master.tif,,,,unknown|~|unknown,unknown|~|unknown,,cartographic|~|cartographic,,"University of California, Los Angeles. Library|~|University of California, Los Angeles. Library",,,A New and Correct Map of Africa.|~|A New and Correct Map of Africa.,,02045780|~|02045780,,,1748|~|1748,,"Harris, John. Navigantium atque itinerantium bibliotheca. Or, A complete collection of voyages and travels. Consisting of above six hundred of the most authentic writers ... Now carefully revised, with large additions, and continued down to the present time; including particular accounts of the manufactures and commerce of each country. London : Printed for T. Woodward [etc.], 1744-48.|~|Harris, John. Navigantium atque itinerantium bibliotheca. Or, A complete collection of voyages and travels. Consisting of above six hundred of the most authentic writers ... Now carefully revised, with large additions, and continued down to the present time; including particular accounts of the manufactures and commerce of each country. London : Printed for T. Woodward [etc.], 1744-48.",,Page 716|~|Page 716,35 x 45 cm|~|35 x 45 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6p78,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6p78_2236034_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,The Diocese of Cape Town to Illustrate the Bishop of Cape Town's Visitation of 1850.,,4893569,,,1850,,"Flemyng, Francis Patrick. Kaffraria, and its inhabitants. By the Rev. Francis Fleming. London : Smith, Elder, and co.; [etc., etc.], 1853.",,Page 1,18.5 x 41 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6x64,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6x64_2234319_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Plan du Cap de Bonne Esperance et de ses Environs; leve en 1793 par L. De Grand Pre, Officer de la Marine francaise; pour servir a ses Voyages sur les cotes d'Afrique",,5252929,,,1793,,"Grandpré, L. de. Voyage à la côte occidentale d’Afrique fait dans les années 1786 et 1787 ... suivi d’un Voyage fait au cap de Bonne-Espérance, contenant la description militaire de cette colonie. Par L. de Grandpré. Paris : Dentu, 1801.",,Volume 2 Page 165,47 x 27 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6x7n,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6x7n_2234384_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Plan de Citadelle du Cap de Bonne Esperance,,5252929,,,[1856],,"Grandpré, L. de. Voyage à la côte occidentale d’Afrique fait dans les années 1786 et 1787 ... suivi d’un Voyage fait au cap de Bonne-Espérance, contenant la description militaire de cette colonie. Par L. de Grandpré. Paris : Dentu, 1801.",,Volume 2Page 206,,,,,
Southern African Maps in Books,ark:/21198/zz002h6x85,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6x85_2234320_master.tif,,,,unknown,unknown,,,cartographic,"University of California, Los Angeles. Library",,,"Military plan of the Cape Peninsula drawn by order of the Dutch Govt and revised and corrected by  Lieut. Col. Bridges, Royal Engineer.",,2024708,,,1803,,"Barrow, John, Sir. An account of travels into the interior of southern Africa, in the years 1797 and 1798. London : T. Cadell, jun. and W. Davies, 1801-1804.",,Volume 2Page 205,55 x 24.5 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6x9p,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6x9p_2234512_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Coast of Africa from Table Bay at the Cape of Good Hope, to Saldanha Bay.",,2024708,,,1804,,"Barrow, John, Sir. An account of travels into the interior of southern Africa, in the years 1797 and 1798. 	 London : T. Cadell, jun. and W. Davies, 1801-1804.",,Volume 2Page 261,24 x 69.5 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6xb6,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6xb6_2234366_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Mossel Bay on the S.E. Coast of Africa…Surveyed in Sept. 1797 by Lieut. Wm McPherson Rice, Royal Navy.",,2024708,,,1797,,"Barrow, John, Sir. An account of travels into the interior of southern Africa, in the years 1797 and 1798. 	 London : T. Cadell, jun. and W. Davies, 1801-1804.",,Volume 2 Page 70,26 x 20 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6xcq,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6xcq_2234545_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Plettenbergs Bay on the S.E. coast of Africa…Surveyed in July & Aug. 1797, by Lieut. Wm McPherson Rice, R. Navy.",,2024708,,,1797,,"Barrow, John, Sir. An account of travels into the interior of southern Africa, in the years 1797 and 1798. 	 London : T. Cadell, jun. and W. Davies, 1801-1804.",,Volume 2 Page 70,24.5 x 21 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6xd7,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6xd7_2234552_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Algoa Bay on the S.E. Coast of Africa…Surveyed in Aug. & September (1797) by Lieut. Wm McPherson Rice, Royal Navy.",,2024708,,,1797,,"Barrow, John, Sir. An account of travels into the interior of southern Africa, in the years 1797 and 1798. 	 London : T. Cadell, jun. and W. Davies, 1801-1804.",,Volume 2Page 86,42.5 x 24 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6xfr,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6xfr_2251512_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"General chart of the Colony of the Cape of Good Hope, constructed from bearings, estimations of distances & frequent observations for Latitudes in travelling thro' the Country in the years 1797 & 1798…",,2024708,,,1800,,"Barrow, John, Sir. An account of travels into the interior of southern Africa, in the years 1797 and 1798. 	 London : T. Cadell, jun. and W. Davies, 1801-1804.",,iiiVolume 1,44.5 x 68 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6xg8,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6xg8_2251491_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Chart of Table Bay at the Cape of Good Hope, as taken in the year 1786 by order of the Governor van de Graaff.",,2024708,,,1786,,"Barrow, John, Sir. An account of travels into the interior of southern Africa, in the years 1797 and 1798. 	 London : T. Cadell, jun. and W. Davies, 1801-1804.",,Volume 2Page 255,36.5 x 23.5 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6xhs,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6xhs_2234393_master.tif,,,,unknown,,,cartographic,,"University of California, Los Angeles. Library",,,"False Bay at the Cape of Good Hope with the Soundings as taken in the Year 1797, by order of Rear Adml Pringle.",,2024708,,,1797,,"Barrow, John, Sir. An account of travels into the interior of southern Africa, in the years 1797 and 1798. 	 London : T. Cadell, jun. and W. Davies, 1801-1804.",,Volume 2Page 258,24 x 25.5 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6xj9,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6xj9_2234371_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Chart of the Knysna, An Arm of the Sea Seven Leagues to the Westward of  Plettenberg's Bay.  Surveyed by Mr. James Callendar.",,2024708,,,1804,,"Barrow, John, Sir. An account of travels into the interior of southern Africa, in the years 1797 and 1798. 	 London : T. Cadell, jun. and W. Davies, 1801-1804.",,Volume 2 Page 76,19 x 28 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6xkt,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6xkt_2236035_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Africa North-East of the Cape Colony, exhibiting the relative positions of the Emigrant Farmers and the Native Tribes. May 1837. By W.C. Harris...",,2145610,,,1837,,"Harris, William Cornwallis, Sir. Narrative of an expedition into southern Africa, during the years 1836, and 1837. Bombay : Printed at the American mission press, 1838.",,Map separate from book (inserted),47.5 x 41 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h6xmb,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h6xmb_2251501_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Chart of False Bay.,,4800406,,,1783,,"Sparrman, Anders. Resa till Goda Hopps-udden, Södra. Stockholm : Tryckt hos A. J. Nordstrolm, 1783-1818.",,Volume 1End of Book Same page as main map (corner),12.5 x 11 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h7k36,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7k36_2251500_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Carte der SudlichenSpitze von Africa, Zu Paterson's Reisen",,4800406,,,1790,,"Paterson, William. Reisen in das Land der Hottentotten und der Kaffern, waÌˆhrend der Jahre 1777, 1778 und 1779 [von] Wilhelm Patterson. Aus dem Englischen uÌˆbersetzt und mit Anmerkungen begleitet von Johann Reinhold Forster ...Berlin : C.F. Voss, 1790.",,End of Book Volume 2,9.5 x 7.5 cm.,,,,
Southern African Maps in Books,ark:/21198/zz002h7k4q,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7k4q_2251508_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,A New Map of the Cape of Good Hope,,8753866,,,1719,,"Kolb, Peter. The present state of the Cape of Good Hope: or, A particular account of the several nations of the Hottentots: their religion, government, laws, customs, ceremonies, and opinions; their art of war, professions, language, genius, &c. Together with a short account of the Dutch settlement at the cape. Written originally in High German, by Peter Kolben. Done into English from the original by Mr. Medley. London : W. Innys, 1731.",,Volume 2Page 16,14 x 19 cm.,,,,
Southern African Maps in Books,ark:/21198/zz002h7k57,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7k57_2251490_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Map to Illustrate Capt. Alexander's Route in South Africa.,,4380285,,,1838,,"Alexander, James Edward, Sir. An expedition of discovery into the interior of Africa, through the hitherto undescribed countries of the Great Namaquas, Boschmans, and Hill Damaras. Performed under the auspices of Her Majesty’s government, and the Royal geographical society; and conducted by Sir James Edward Alexander. London : H. Colburn, 1838.",,Page 1,13.5 x 6 cm.,,,,
Southern African Maps in Books,ark:/21198/zz002h7k6r,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7k6r_2234538_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Cape of Good Hope,,320133650,,,1812,,"The Naval chronicle : containing a general and biographical history of the royal navy of the United kingdom with a variety of original papers on nautical subjects / under the guidance of several literary and professional men. London : J. Gold, [1799-1818]",,Page 496,14 x 11.5 cm.,,,,
Southern African Maps in Books,ark:/21198/zz002h7k78,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7k78_2251549_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Insvla S. Lavrentii vulgo Madagascar,,3337921,,,1668,,"Dapper, Olfert. Description de l’Afrique, contenant les noms, la situation & les confins de toutes ses parties, leurs rivieres, leurs villes & leurs habitations, leurs plantes & leurs animaux; les mÅ“urs, les couÌ‚tumes, la langue, les richesses, la religion & le gouvernement de ses peuples. Avec des cartes des EÌtats, des provinces & des villes, & des figures en taille-douce, qui representent les habits & les principales ceremonies des habitans, les plantes & les animaux les moins connus. Tr. du flamand d’O.Amsterdam : Wolfgang, Waesberge, Boom & van Someren, 1686.",,Page 427,,,,,
Southern African Maps in Books,ark:/21198/zz002h7k8s,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7k8s_2251487_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Carte des Pays et des Peuples du Cap de Bonne Esperance Nouvellement Decouverts par les Hollandois,,4271907,,,1686,,"Tachard, Guy. A relation of the voyage to Siam. Performed by six Jesuits, sent by the French king, to the Indies and China, in the year, 1685. With their astrological observations, and their remarks of natural philosophy, geography, hydrography, and history. Published in the original, by the express orders of His Most Christian Majesty. And now made English, and illustrated with sculptures. London : Printed by T.B. for J. Robinson and A. Churchil, 1688.",,Page 64,14 x 15 cm.,,,,
Southern African Maps in Books,ark:/21198/zz002h7k99,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7k99_2234535_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Saldanha Bay,,320133650,,,1812,,"The Naval chronicle : containing a general and biographical history of the royal navy of the United kingdom with a variety of original papers on nautical subjects / under the guidance of several literary and professional men. London : J. Gold, [1799-1818]",,Page 148,,,,,
Southern African Maps in Books,ark:/21198/zz002h7kbt,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7kbt_2251520_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Africae Accurata Tabula ex Officina Iacobum Meursium,,3337921,,,1668,,"Dapper, Olfert. Description de l’Afrique, contenant les noms, la situation & les confins de toutes ses parties, leurs rivieres, leurs villes & leurs habitations, leurs plantes & leurs animaux; les mÅ“urs, les couÌ‚tumes, la langue, les richesses, la religion & le gouvernement de ses peuples. Avec des cartes des EÌtats, des provinces & des villes, & des figures en taille-douce, qui representent les habits & les principales ceremonies des habitans, les plantes & les animaux les moins connus. Tr. du flamand d’O.Amsterdam : Wolfgang, Waesberge, Boom & van Someren, 1686.",,Page 1,42 x 53 cm.,,,,
Southern African Maps in Books,ark:/21198/zz002h7kcb,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7kcb_2236038_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Carte pour L'Intelligence du Voyage,,21617511,,,[1847],,"Delegorgue, Adulphe. Voyage dans l’Afrique Australe : notamment dans le territoire de Natal dans celui des Cafres Amazoulous et Makatisses et jusqu’au tropique du Capricorne, exeÌcuteÌ durant les anneÌes 1838, 1839, 1840, 1841, 1842, 1843 & 1844 / par M. Adulphe Delegorgue (de Douai) avec une introduction par M. Albert-MonteÌmont. Paris : A. ReneÌ, 1847.",,Page 576,,,,,
Southern African Maps in Books,ark:/21198/zz002h7kdv,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7kdv_2251511_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,"Mappa Geographica Promontorii Bonae Spei Cum Belgarum Coloniis nec non Hottentottum Stationibus, quam ex propriis ovservationibus et Incolarum relatis...",,4800406,,,1783,,"Sparrman, Anders.Resa till Goda Hopps-udden, SoÌˆdra, pol-kretsen och omkring jordklotet, samt till Hottentott- och Caffer-landen, aÌŠren 1772-76, af Anders Sparrman. Stockholm : Tryckt hos A. J. NordstroÌˆm, 1783-1818.",,End of Book Volume 1,32.5 x 53 cm,,,,
Southern African Maps in Books,ark:/21198/zz002h7kjx,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7kjx_2251544_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library","Africa, Southern $v Maps",,Insulae Canariae alias Fortunatae dictae,,3337921,,,1668,,"Dapper, Olfert. Description de l’Afrique, contenant les noms, la situation & les confins de toutes ses parties, leurs rivieres, leurs villes & leurs habitations, leurs plantes & leurs animaux; les mÅ“urs, les couÌ‚tumes, la langue, les richesses, la religion & le gouvernement de ses peuples. Avec des cartes des EÌtats, des provinces & des villes, & des figures en taille-douce, qui representent les habits & les principales ceremonies des habitans, les plantes & les animaux les moins connus. Tr. du flamand d’O.Amsterdam : Wolfgang, Waesberge, Boom & van Someren, 1686.",,Page 496,,,,,
Southern African Maps in Books,ark:/21198/zz002h7kkf,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7kkf_2251515_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Map to Illustrate Capt. Alexander's Route in South Africa.,,4380285,,,1838,,"Alexander, James Edward, Sir. An expedition of discovery into the interior of Africa, through the hitherto undescribed countries of the Great Namaquas, Boschmans, and Hill Damaras. Performed under the auspices of Her Majesty’s government, and the Royal geographical society; and conducted by Sir James Edward Alexander. London : H. Colburn, 1838.",,1,37.5 x 22.5 cm.,,,,
Southern African Maps in Books,ark:/21198/zz002h7kmz,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7kmz_2251523_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Nora Egypt Tabula 1,,3337921,,,1668,,"Dapper, Olfert. Description de l’Afrique, contenant les noms, la situation & les confins de toutes ses parties, leurs rivieres, leurs villes & leurs habitations, leurs plantes & leurs animaux; les mÅ“urs, les couÌ‚tumes, la langue, les richesses, la religion & le gouvernement de ses peuples. Avec des cartes des EÌtats, des provinces & des villes, & des figures en taille-douce, qui representent les habits & les principales ceremonies des habitans, les plantes & les animaux les moins connus. Tr. du flamand d’O.Amsterdam : Wolfgang, Waesberge, Boom & van Someren, 1686.",,Page 32,,,,,
Southern African Maps in Books,ark:/21198/zz002h7kng,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7kng_2251524_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Barbaria Biledulgerid o: Libye er Pars Nigritarum Terra,,3337921,,,1668,,"Dapper, Olfert. Description de l’Afrique, contenant les noms, la situation & les confins de toutes ses parties, leurs rivieres, leurs villes & leurs habitations, leurs plantes & leurs animaux; les mÅ“urs, les couÌ‚tumes, la langue, les richesses, la religion & le gouvernement de ses peuples. Avec des cartes des EÌtats, des provinces & des villes, & des figures en taille-douce, qui representent les habits & les principales ceremonies des habitans, les plantes & les animaux les moins connus. Tr. du flamand d’O.Amsterdam : Wolfgang, Waesberge, Boom & van Someren, 1686.",,Page 116,,,,,
Southern African Maps in Books,ark:/21198/zz002h7kp0,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7kp0_2251529_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Fezza et Marocchi Regna Africae Celeberrima,,3337921,,,1668,,"Dapper, Olfert. Description de l’Afrique, contenant les noms, la situation & les confins de toutes ses parties, leurs rivieres, leurs villes & leurs habitations, leurs plantes & leurs animaux; les mÅ“urs, les couÌ‚tumes, la langue, les richesses, la religion & le gouvernement de ses peuples. Avec des cartes des EÌtats, des provinces & des villes, & des figures en taille-douce, qui representent les habits & les principales ceremonies des habitans, les plantes & les animaux les moins connus. Tr. du flamand d’O.Amsterdam : Wolfgang, Waesberge, Boom & van Someren, 1686.",,Page 125,,,,,
Southern African Maps in Books,ark:/21198/zz002h7kqh,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7kqh_2251530_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Nigritarum Regio,,3337921,,,1668,,"Dapper, Olfert. Description de l’Afrique, contenant les noms, la situation & les confins de toutes ses parties, leurs rivieres, leurs villes & leurs habitations, leurs plantes & leurs animaux; les mÅ“urs, les couÌ‚tumes, la langue, les richesses, la religion & le gouvernement de ses peuples. Avec des cartes des EÌtats, des provinces & des villes, & des figures en taille-douce, qui representent les habits & les principales ceremonies des habitans, les plantes & les animaux les moins connus. Tr. du flamand d’O.Amsterdam : Wolfgang, Waesberge, Boom & van Someren, 1686.",,Page 218,,,,,
Southern African Maps in Books,ark:/21198/zz002h7kr1,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7kr1_2251535_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Guinea,,3337921,,,1668,,"Dapper, Olfert. Description de l’Afrique, contenant les noms, la situation & les confins de toutes ses parties, leurs rivieres, leurs villes & leurs habitations, leurs plantes & leurs animaux; les mÅ“urs, les couÌ‚tumes, la langue, les richesses, la religion & le gouvernement de ses peuples. Avec des cartes des EÌtats, des provinces & des villes, & des figures en taille-douce, qui representent les habits & les principales ceremonies des habitans, les plantes & les animaux les moins connus. Tr. du flamand d’O.Amsterdam : Wolfgang, Waesberge, Boom & van Someren, 1686.",,Page 251,,,,,
Southern African Maps in Books,ark:/21198/zz002h7ksj,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7ksj_2251536_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Aethiopia Superior vel Interior vulgo Abissinorum five Presbiteriioannis Imperior.,,3337921,,,1668,,"Dapper, Olfert. Description de l’Afrique, contenant les noms, la situation & les confins de toutes ses parties, leurs rivieres, leurs villes & leurs habitations, leurs plantes & leurs animaux; les mÅ“urs, les couÌ‚tumes, la langue, les richesses, la religion & le gouvernement de ses peuples. Avec des cartes des EÌtats, des provinces & des villes, & des figures en taille-douce, qui representent les habits & les principales ceremonies des habitans, les plantes & les animaux les moins connus. Tr. du flamand d’O.Amsterdam : Wolfgang, Waesberge, Boom & van Someren, 1686.",,Page 320,,,,,
Southern African Maps in Books,ark:/21198/zz002h7kt2,ark:/21198/zz0028tkq7,1,In progress,Work,Masters/Maps/southe/image/21198-zz002h7kt2_2251541_master.tif,,,,unknown,unknown,,cartographic,,"University of California, Los Angeles. Library",,,Regna Congo et Angola,,3337921,,,1668,,"Dapper, Olfert. Description de l’Afrique, contenant les noms, la situation & les confins de toutes ses parties, leurs rivieres, leurs villes & leurs habitations, leurs plantes & leurs animaux; les mÅ“urs, les couÌ‚tumes, la langue, les richesses, la religion & le gouvernement de ses peuples. Avec des cartes des EÌtats, des provinces & des villes, & des figures en taille-douce, qui representent les habits & les principales ceremonies des habitans, les plantes & les animaux les moins connus. Tr. du flamand d’O.Amsterdam : Wolfgang, Waesberge, Boom & van Someren, 1686.",,Page 341,,,,,
Southern African Maps in Books,ark:/21198/zz002jjz71,ark:/21198/zz0028tkq7,10,Completed with minimal metadata,Work,Masters/Maps/southe/image/21198-zz002jjz71_2340044_master.tif,,,,,,eng|~|ita,cartographic,,,Africa $v Maps $v Early works to 1800 $v Facsimiles,"Pigafetta, Filippo, $d 1533-1604","Africa according to Pigafetta, 1591",Worger 1868280 page 48,,,,1893?,,"Keltie, John Scott, Sir, 1840-1927. Partition of Africa. 2d ed. London : E. Stanford, 1895. (OCoLC)01335084. Page 48",,Relief shown pictorially.,,1893,Africa & il Capo di Buona Speranza,,
