Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Type.typeOfResource,Type.genre,Subject,Rights.copyrightStatus,Rights.publicationStatus,Name.subject,Name.fashionDesigner,Rights.rightsHolderContact,Rights.servicesContact,Relation.isPartOf,Name.repository,Name.creator,Name.photographer,Rights.permission,Language,Date.normalized,Description.note,Format.extent,Alt ID.local,Date.creation,Title,Format.dimensions,Description.fundingNote,Note,Format.medium,Description.caption,Coverage.geographic,Description.contents,Publisher.publisherName,AltTitle.other,Opac url,Alt ID.url,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzh64,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0149.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,evening dresses (garments)|~|gloves|~|velvet (fabric weave)|~|trains (costume components),copyrighted,,,,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,1930,"A different photograph of Peggy Hamilton  wearing this gown appears in her Los Angeles Times feature ""Fashions,""  November 23, 1930, pg. H3.|~|Peggy Hamilton modeling a velvet, fitted, sleeveless formal evening gown with a v-neck, peplum and floor-length scarf-like extensions from the shoulders. She is also wearing elbow-length white gloves.",1 photographic negative,uclamss_1373_0149,1930,"Peggy Hamilton modeling a formal evening gown, 1930",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,"Text from negative sleeve: PH 113|~|Handwritten on edge of negative: P 72|~|Text from negative sleeve (uclamss_1373_0339i): Pathé negatives, P111 to P120",,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzh64,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzh64/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzh7n,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0150.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,dresses (garments)|~|silk (textile)|~|cloches (hats)|~|net (textile)|~|fur stoles,copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,1929,"This is the same location as photograph no. uclamss_1373_0520.|~|Peggy Hamilton modeling a silk dress with a pleated skirt and a loose bodice with a sash extensions  at the bottom of the front, with a fur stole and a cloche hat. The hat is trimmed with netting. On the left and reflected in the  large mirror behind Hamilton, are lengths of the same fabric from which the dress is made.",1 photographic negative,uclamss_1373_0150,1929,"Peggy Hamilton modeling a dress and fur stole, Chicago, 1929",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,,Illinois--Chicago,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzh7n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzh7n/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzh85,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0151.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,fur|~|coats (garments)|~|hats,copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Bachrach, Ernest, $d 1899-1973 ",N,zxx,1931,"A different photograph of Peggy Hamilton wearing this coat appears in her Los Angeles Times feature ""Fashions,"" December 27, 1931, pg. G3.|~|According to Hamilton's ""Fashions"" feature in the Los Angeles Times, October 18, 1931, pg. H3, Jean Lucas, president of the millinery business Hortense Inc., visited Los Angeles, in September 1931, to announce the opening his Los Angeles millinery salons.",1 photographic negative,uclamss_1373_0151,1931,"Peggy Hamilton modeling a Hortense hat and a coat with a high collar and flared cuffs, 1931",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,"Note with negative: This chic hat created by Hortense of Hortense Inc. It is fashioned of black straw cloth with imitation aigrettes and is typical of the ultra and chic style and originality of all Hortense creations. This French artist has found the key note to the artistry and fascinating tilt of the Parisian millinery worn before the World War, and these charming creations are shown by Jean Lucas at his Salon Hortense Inc. in their Beverly Hills Salon at 9440 Wilshire, which is their only shop west of New York. Mr. Lucas is the President of Hortense Inc. 1931. Dec. ...Bachrach Photo....Peggy Hamilton, Hollywood's Fashion Critic, wearing an elegant coat of black broadtail (Parisian Broadtail), imported by Beckman's Exclusive Fur Shop on West Seventh Street. Circular flares in sleeves and one side of coat with the extreme collar add distinction to this coat which is valued at $4000.000. Bachrach Dec. 1931. R.K.O. Studios (image no. uclamss_1373_0152i).|~|Handwritten on edge of negative: RKO-146",California--Culver City,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzh85,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzh85/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzh9p,ark:/21198/zz0008hs10,5,Imported,Work,adams/masters/uclamss_1373_0152i.tif,,,,private,still image,,,copyrighted,,,,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,,,1 typescript note,uclamss_1373_0152i,,uclamss_1373_0152i  -  note,,Access to this collection is generously supported by Arcadia funds.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzh9p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzh9p/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhb6,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0153.tif,,,,private,still image,Black-and-white photographs|~|acetate film,evening dresses (garments)|~|jackets (garments)|~|boleros|~|satin|~|tulle (meshed textile),copyrighted,,,"Adrian, $d 1903-1959",,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,1929-02-05,"Adrian (Adolph Greenberg), an American costume designer during the 1930s and 1940s, designed costumes for over 250 films. In the 1940's he became a fashion designer as well.|~|Peggy Hamilton modeling a tulle evening gown by Adrian of Metro-Goldwyn-Mayer Studios. The gown has a satin bodice and a long, full tulle skirt with a large bow at the waist. Over the gown is a sheer bolero with thin metallic bands, and a short ostrich feather [?] jacket|~|A different photograph of Peggy Hamilton wearing this gown appears in her Los Angeles Times feature ""Fashions,""  August 11, 1929 and November 2, 1930",1 photographic negative,uclamss_1373_0153,"February 5, 1929","Peggy Hamilton modeling an Adrian  tulle evening gown, 1929",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,,Handwritten on edge of negative: 11169|~|Printed on edge of negative: FEB. 5. 29.  PUB.528.  BULL.|~|Text from negative sleeve: Adrian. M.G.M.  tulle dress. 11169. [Printed on sleeve]: Metro-Goldwyn-Mayer Studios,California--Culver City,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhb6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhb6/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhcq,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0154.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,dresses (garments)|~|hats|~|parasols|~|satin|~|tulle (meshed textile),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,1930,"This photograph appears in Peggy Hamilton’s Los Angeles Times feature ""Fashions,"" January 26, 1930, pg. G3|~|Peggy Hamilton modeling a dress with a fitted satin bodice and a layered, lower calf length tulle skirt with 2 flounces extending to the floor. Her tulle hat has a broad brim and her ruffled parasol has a spray of flowers painted on the inside.",1 photographic negative,uclamss_1373_0154,1930,"Peggy Hamilton modeling a tulle dress with matching hat and parasol, 1930",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,,California,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhcq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhcq/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhd7,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0155.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,dresses (garments)|~|hats|~|parasols|~|satin|~|tulle (meshed textile),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,1930,"Peggy Hamilton modeling a dress with a fitted satin bodice and a layered, lower calf length tulle skirt with 2 flounces extending to the floor. Her tulle hat has a broad brim and her ruffled parasol has a spray of flowers painted on the inside.|~|This photograph appears in Peggy Hamilton’s Los Angeles Times feature ""Fashions,"" January 26, 1930, pg. G3|~|Copy print",1 photographic negative,uclamss_1373_0155,1930,"Peggy Hamilton modeling a tulle dress with matching hat and parasol, 1930",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,,California,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhd7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhd7/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhfr,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0156.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,capes (outerwear)|~|fur|~|gloves|~|hats,copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984","Adams, Peggy Hamilton, $d 1890-1984",,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Bachrach, Ernest, $d 1899-1973 ",N,zxx,July 1931,"This photograph appears in Peggy Hamilton’s Los Angeles Times feature ""Fashions,"" October 18, 1931, pg. H3|~|Peggy Hamilton modeling a cape of her own design of cream corded henrietta cloth bordered with marten fur, created for Beckman's Fur Shop on West Seventh Street in Los Angeles.",1 photographic negative,uclamss_1373_0156,1931-07,"Peggy Hamilton modeling a cape of her own design of cream corded henrietta cloth, 1931",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,Handwritten on edge of negative: RKO-50|~|Text from negative sleeve: RKO 50. White hat and coat trimmed with japanese mink. Bachrach Photo. 1931 - July,California--Culver City,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhfr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhfr/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhg8,ark:/21198/zz0008hs10,5,Imported,Work,adams/masters/uclamss_1373_0157i.tif,,,,private,still image,,,copyrighted,,,,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,eng,,,1 negative sleeve,uclamss_1373_0157i,,uclamss_1373_0157i  -  negative sleeve for image no. uclamss_1373_0156,,Access to this collection is generously supported by Arcadia funds.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhg8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhg8/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhhs,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0158.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,evening dresses (garments)|~|fur|~|fans (costume accessories)|~|gloves|~|velvet (fabric weave)|~|trains (costume components),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984","Tree, Dolly",,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Bachrach, Ernest, $d 1899-1973 ",N,zxx,1931,"Peggy Hamilton modeling a form-fitting gown made of daybreak chiffon velvet with a flaring train trimmed with sable designed by Dolly Tree of Fox Studios. On the left shoulder is a spray of French hand-made gold thread flowers. The fan is made from fuchsia feathers and willow plumes. The imported gloves have a narrow insert of gold kid.|~|A different photograph of Peggy Hamilton wearing this gown appears in her Los Angeles Times feature ""Fashions,""  March 27, 1932, pg. I4A.",1 photographic negative,uclamss_1373_0158,1931,"Peggy Hamilton modeling a Dolly Tree gown of chiffon velvet, 1931",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,Handwritten on edge of negative: RKO-131,California--Culver City,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhhs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhhs/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhj9,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0159.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,evening dresses (garments)|~|fur|~|coats (garments)|~|chiffon|~|sequins (spangles),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Bachrach, Ernest, $d 1899-1973 ",N,zxx,1931-07,"Peggy Hamilton modeling a fur coat made of white Russian Ermine with a roll collar, flare cuffs of white fox and a chiffon evening gown with diagonal rows of large sequins and one exposed shoulder on the bodice and a long, tiered chiffon skirt. The coat was from Beckman's Exclusive Fur Shop on West Seventh Street in Los Angeles.",1 photographic negative,uclamss_1373_0159,July 1931,"Peggy Hamilton modeling an ermine coat chiffon evening gown, 1931",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,Handwritten on edge of negative: R-31,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhj9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhj9/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhkt,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0160.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,dresses (garments)|~|fur|~|hats|~|epaulets,copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,1933-09,"Date from another image of this dress (image ark no. 21198/zz002bzqhp)|~|Peggy Hamilton modeling a small, military style hat with a light colored feather, and a full length dress with dolman sleeves, a self-fabric tie at the waist and long, decorative fur epaulettes",1 photographic negative,uclamss_1373_0160,September 1933,"Peggy Hamilton modeling a full dress with dolman sleeves and fur epaulettes and a hat, 1933",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,,California,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhkt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhkt/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhmb,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0161.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,evening dresses (garments)|~|fans (costume accessories)|~|hats|~|sequins (spangles),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984","Luck, Earl",,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Fryer, Elmer, $d 1898-1944",N,zxx,,"Earl Luck, designer at Warner Bros., was nominated for an academy award for his costumes for the movie Cavalcade (1933).|~|A different photograph of Peggy Hamilton wearing this gown appears in her Los Angeles Times feature ""Fashions,"" December 27, 1931, pg. G3.|~|Peggy Hamilton holding a fan and modeling a dinner gown of blue sequins and a tiny cap to match by  costume designer Earl Luck of Warner Bros.",1 photographic negative,uclamss_1373_0161,1931,"Peggy Hamilton modeling an Earl Luck blue sequin dinner gown and cap, 1931",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,Handwritten on edge of negative: A 79,California--Burbank,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhmb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhmb/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhnv,ark:/21198/zz0008hs10,5,Imported,Work,adams/masters/uclamss_1373_0162i.tif,,,,private,still image,Black-and-white photographs,,copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,,,1 photographic print,uclamss_1373_0162i,,uclamss_1373_0162i  -  Deteriorated contact print. Cataloged image no. uclamss_1373_0161 scanned from same negative,8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhnv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhnv/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhpc,ark:/21198/zz0008hs10,5,Imported,Work,adams/masters/uclamss_1373_0163i.tif,,,,private,still image,Black-and-white photographs,,copyrighted,,,,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,,,1 photographic print,uclamss_1373_0163i,,uclamss_1373_0163i  -  verso of deteriorated contact print no.uclamss_1373_ 0162i,8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhpc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhpc/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhqw,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0164.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,evening dresses (garments)|~|cuffs (costume components)|~|gloves|~|satin,copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984","Rée, Max",,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Coburn, Robert Sr., 1900-1990",N,zxx,1931,"Max Rée (1889–1953) was a Danish costume designer who designed for films from 1926 to 1935 and was the  supervising director for sets and costumes at RKO from 1929 through 1932. He won an Academy Award for Best Art Direction for the film Cimarron.|~|Peggy Hamilton modeling a gown of ivory and black satin trimmed with jet and rhinestone buckles and black fox cuffs, designed by Max Rée of RKO Radio Pictures.",1 photographic negative,uclamss_1373_0164,1931,"Peggy Hamilton modeling a Max Rée gown in ivory and black satin, 1931",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,"A different photograph of Peggy Hamilton wearing this gown appears in her Los Angeles Times feature ""Fashions,"" December 27, 1931, pg. G3.|~|Handwritten on edge of negative: RKO-139",California--Culver City,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhqw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhqw/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhrd,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0165.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,evening dresses (garments)|~|satin|~|tulle (meshed textile),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984","Banton, Travis, $d 1894-1958",,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Richee, Eugene, $d 1896-1972",N,zxx,1933,"Travis Banton was the chief designer at Paramount Pictures. He is considered one of the most important Hollywood costume designers of the 1930s.|~|Eugene Richee was a studio photographer who worked for Paramount Pictures from 1925 to 1935 and later worked for MGM and Warner Brothers.|~|Peggy Hamilton modeling a gown with a white satin bodice with tulle cap sleeves and a skirt of white tulle accented with gardenias. Hamilton wore this gown as the Official Hostess for the Los Angeles 1932 Olympic festivities.|~|A different photograph of Peggy Hamilton wearing this gown appears in her Los Angeles Times feature ""Fashions,"" April 16, 1933, pg. F4.",1 photographic negative,uclamss_1373_0165,1933,"Peggy Hamilton modeling a Travis Banton gown with a full skirt of white tulle accented with gardenias, 1933",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,Text from negative sleeve: FPL-54 [Famous Players Lasky; later Paramount]|~|Handwritten on edge of negative: FPL-54 [Famous Players Lasky; later Paramount],,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhrd,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhrd/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhsx,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0166.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|acetate film,evening dresses (garments)|~|fur|~|sequins (spangles),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984",,,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,1933-12,"Peggy Hamilton modeling a currency-themed gown. Over the gown is a short  wrap of coin-sized sequins with a fur border.|~|Peggy Hamilton wore this gown in 1932 when she was escorted by Francis Thaddeus O'Connor, the Comptroller of the Currency, to the premier of the film Rain at Grauman's Chinese Theatre, where she did a radio broadcast (see image ark no. 21198/zz002bzk21) .",1 photographic negative,uclamss_1373_0166,December 1933,"Peggy Hamilton wearing a currency-themed gown, 1933",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: FPL-119 [Famous Players Lasky; later Paramount]. December 1933,California--Hollywood,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhsx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhsx/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhtf,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0167.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,evening dresses (garments)|~|satin|~|tulle (meshed textile),copyrighted,,"Adams, Peggy Hamilton, $d 1890-1984","Banton, Travis, $d 1894-1958",,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,"Richee, Eugene, $d 1896-1972",N,zxx,1933,"A different photograph of Peggy Hamilton wearing this gown appears in her Los Angeles Times feature ""Fashions,"" April 16, 1933, pg. F4.|~|Peggy Hamilton modeling a gown with a white satin bodice with tulle cap sleeves and a skirt of white tulle accented with gardenias. Hamilton wore this gown as the Official Hostess for the Los Angeles 1932 Olympic festivities.|~|Travis Banton was the chief designer at Paramount Pictures. He is considered one of the most important Hollywood costume designers of the 1930s.|~|Eugene Richee was a studio photographer who worked for Paramount Pictures from 1925 to 1935 and later worked for MGM and Warner Brothers.",1 photographic negative,uclamss_1373_0167,1933,"Peggy Hamilton modeling a Travis Banton gown with a full skirt of white tulle accented with gardenias, 1933",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,Text from negative sleeve: FPL-61|~|Handwritten on edge of negative: FPL-61,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhtf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhtf/manifest
Adams (Peggy Hamilton) Papers.  Collection 1373,ark:/21198/zz002bzhvz,ark:/21198/zz0008hs10,2,Completed,Work,adams/masters/uclamss_1373_0168.tif,,,,private,still image,Fashion photographs|~|Black-and-white photographs|~|cellulose nitrate film,evening dresses (garments)|~|gloves|~|beadwork|~|satin|~|Alençon lace|~|crowns (headdresses)|~|spiral stairs,copyrighted,,"Olympic Games $n (10th : $d 1932 : $c Los Angeles, Calif.)|~|Adams, Peggy Hamilton, $d 1890-1984","Rée, Max",,,"Peggy Hamilton Adams Papers (Collection 1373).  UCLA Library Special Collections, Charles E. Young Research Library.","University of California, Los Angeles. $b Library Special Collections",,,N,zxx,1931,"This gown was designed by Max Rée, courtesy of Radio Pictures Corporation, for the Coronation Ball at the Biltmore Hotel in Los Angeles at which Hamilton was crowned as Queen Olympia. Hamilton was the Los Angeles County Official Hostess during the 1932 summer Olympics held in Los Angeles. The location of this photograph with grand spiral staircase is not documented.|~|Peggy Hamilton descending a grand spiral staircase, wearing a regal evening gown with empire lines in ivory satin embroidered with pearls and rhinestones, with puffed sleeves and a flared stand-up collar of Alençon lace. Her crown is ornamented with diamonds and pearls.|~|A different photograph of Peggy Hamilton wearing this gown and train appears in her Los Angeles Times feature ""Fashions,"" August 23, 1931. pg. H3",1 photographic negative,uclamss_1373_0168,1931,"Peggy Hamilton modeling a Max Rée gown as ""Queen Olympia,"" 1931",8 x 10 inches,Access to this collection is generously supported by Arcadia funds.,,b&w nitrate negative,Handwritten on edge of negative: RKO-31,California,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002bzhvz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002bzhvz/manifest
