Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Name.subject,Name.creator,Rights.servicesContact,Language,Name.repository,Name.artist,Rights.permission,Name.photographer,Name.correspondent,Description.note,Alt ID.local,AltTitle.other,Title,Date.creation,Format.extent,Date.normalized,Coverage.geographic,Alt ID.collection,Description.caption,Alt ID.url,Summary,Relation.url,Opac url,Finding Aid URL,Alt ID.mp4,Format.medium,Relation.isPartOf
Huxley (Aldous) Collection,ark:/21198/zz00255d27,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255d27_1656210_master.tif,144,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|College presidents--California--Los Angeles County","Topping, Norman, 1908-|~|Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Writer Aldous Huxley, seated on couch, with University of Southern California president Dr. Norman Topping (holding a cup). Circa 1960-1963.|~|Image YRLSC_2009_00146 appears to be cropped from this image.",YRLSC_2009_00142,Aldous Huxley with Dr. Norman Topping [descriptive],,1960-1963,1 photograph : b&w,1960/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255d3r,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz00255d3r_1656213_master.tif,145,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|College presidents--California--Los Angeles County","Topping, Norman, 1908-|~|Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Image of writer Aldous Huxley (right), seated at dining table with University of Southern California president Dr. Norman Topping, circa 1960-1963.",YRLSC_2009_00143,Aldous Huxley seated at dining table with Dr. Norman Topping (1) [descriptive],,1960-1963,,1960/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255d48,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz00255d48_1656216_master.tif,146,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|College presidents--California--Los Angeles County","Topping, Norman, 1908-|~|Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Image of writer Aldous Huxley (right), seated at dining table with University of California president Dr. Norman Topping, circa 1960-1963.",YRLSC_2009_00144,Aldous Huxley seated at dining table with Dr. Norman Topping (2) [descriptive],,1960-1963,,1960/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255d5s,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255d5s_1656225_master.tif,147,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century|~|Musicologists $z United States","Huxley, Aldous, 1894-1963|~|Kendall, Raymond",,,zxx,,,Y,,,"Writer Aldous Huxley standing with musicologist and academic Dr. Raymond Kendall (cup in hand), circa 1960-1963.",YRLSC_2009_00145,Aldous Huxley with Dr. Raymond Kendall [descriptive],,1960-1963,1 photograph : b&w,1960/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255d69,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255d69_1656230_master.tif,148,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Close-up image of writer Aldous Huxley (right side ), dressed in suit and looking down, circa 1960-1963. Appears to be cropped from image YRLSC_2009_00142 of Mr. Huxley's meeting with University of Southern California president Dr. Norman Topping.",YRLSC_2009_00146,"Aldous Huxley close up, from meeting with USC president Dr. Norman Topping [descriptive]",,1960-1963,1 photograph : b&w,1960/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255d7t,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255d7t_1656234_master.tif,149,,,,,color photographs,still image,copyrighted,"Authors, English--20th century|~|Diplomats--Brazil|~|Journalists $z Brazil|~|Authors, Brazilian","Huxley, Aldous, 1894-1963|~|Penna, José Osvaldo de Meira|~|Callado, Antônio",,,zxx,,,Y,,,"Writer Aldous Huxley (dressed in suit) standing with Brazilian writer and diplomat José Osvaldo de Meira Penna (far left), Brazilian journalist and novelist Antônio Callado (second from right), and unidentified woman. Circa 1955-1963.",YRLSC_2009_00147,"Aldous Huxley with José Osvaldo de Meira Penna, Antônio Callado and unidentified woman [descriptive]",,1955-1963,1 photograph: color,1955/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255d8b,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz00255d8b_1656239_master.tif,150,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Portrait of writer Aldous Huxley (profile), looking down, dark background, and shadow on lower face. Circa mid 1950s-early 1960s.",YRLSC_2009_00148,"Aldous Huxley portrait, dark background, looking down (1) [descriptive]",,1955-1963,,1955/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255d9v,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz00255d9v_1656243_master.tif,151,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Portrait of writer Aldous Huxley (profile, close-up), looking down, dark background, shadow on lower face. Circa mid 1950s-early 1960s.",YRLSC_2009_00149,"Aldous Huxley portrait, dark background, looking down (2) [descriptive]",,1955-1963,,1955/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255dbc,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz00255dbc_1656252_master.tif,152,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Image of writer Aldous Huxley, seated and looking down, white background (brick wall). Circa 1955-1963.",YRLSC_2009_00150,"Aldous Huxley, seated and looking down, white background [descriptive]",,1955-1963,,1955/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255dcw,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255dcw_1656257_master.tif,153,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Writer Aldous Huxley, dressed in a suit standing at a podium with microphone (plant in foreground), circa 1950-1959.",YRLSC_2009_00151,Aldous Huxley at podium [descriptive],,1950-1959,1 photograph : b&w,1950-1959,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255drk,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz00255drk_1656261_master.tif,154,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Image of writer Aldous Huxley holding a small statue award and standing next to an unidentified man, circa early 1960s.",YRLSC_2009_00152,"Aldous Huxley holding small statue award, with unidentified man [descriptive]",,1960-1963,,1960/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255ds3,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255ds3_1656267_master.tif,155,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Food and Agriculture Organization of the United Nations. $b Conference",,,zxx,,,Y,,,"Writer Aldous Huxley signing a document at the Food and Agriculture Organization of the U.N. Conference in Rome, Italy in 1963.",153|~|YRLSC_2009_00153,"Aldous Huxley signing document at the Food and Agriculture Organization of the United Nations Conference, Rome 1963 [descriptive]",,1963,1 photograph : b&w,1963,Italy,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255dtm,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255dtm_1656274_master.tif,156,,,,,color photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Food and Agriculture Organization of the United Nations. $b Conference",,,zxx,,,Y,,,,0154|~|YRLSC_2009_00154,"Aldous Huxley at the Food and Agriculture Organization of the United Nations Conference, Rome, 1963",,1963,1 photograph : color,1963,Italy,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255dv4,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255dv4_1656281_master.tif,157,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Food and Agriculture Organization of the United Nations. $b Conference",,,zxx,,,Y,,,,YRLSC_2009_00155|~|0155,"Aldous Huxley at the Food and Agriculture Organization of the United Nations Conference, Rome, 1963",,1963,1 photograph : b&w,1963,Italy,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255dwn,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255dwn_1656286_master.tif,158,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Food and Agriculture Organization of the United Nations. $b Conference",,,zxx,,,Y,,,,0156|~|YRLSC_2009_00156,"Aldous Huxley at the Food and Agriculture Organization of the United Nations Conference, Rome, 1963",,1963,1 photograph : b&w,1963,Italy,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255dx5,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255dx5_1656293_master.tif,159,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|Food and Agriculture Organization of the United Nations. $b Conference",,,zxx,,,Y,,,,0157|~|YRLSC_2009_00157,"Aldous Huxley at the Food and Agriculture Organization of the United Nations Conference, Rome, 1963",,1963,1 photograph : b&w,1963,Italy,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255dzp,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255dzp_1656296_master.tif,160,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,,0158|~|YRLSC_2009_00158,"Aldous Huxley at the Food and Agriculture Organization of the United Nations Conference, Rome, 1963",,1963,1 photograph : b&w,1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255f0p,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255f0p_1656302_master.tif,161,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,,0159|~|YRLSC_2009_00159,"Aldous Huxley at the Food and Agriculture Organization of the United Nations Conference, Rome, 1963",,1963,1 photograph : b&w,1963,Italy,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255f16,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255f16_1656306_master.tif,162,,,,,color photographs,still image,copyrighted,,Food and Agriculture Organization of the United Nations. $b Conference,,,zxx,,,Y,,,,0160|~|YRLSC_2009_00160,"Food and Agriculture Organization of the United Nations Conference, Rome, Italy, 1963",,1963,1 photograph : color,1963,Italy,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255f2q,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255f2q_1656311_master.tif,163,,,,,clippings,still image,copyrighted,India $x Officials and employees,"Wright, Norman, $c Sir, $d 1900-1970|~|Krishnaswamy, S. Y. $q (Sucheendrum Yegnanarayana), $d 1906-",,,zxx,,,Y,,,,0161|~|YRLSC_2009_00161,S.Y. Krishnaswamy and Dr. Norman C. Wright with unidentified men at the Food and Agriculture Organization of the United Nations Conference Rome Italy,,1963,1 photograph : color,1963,Italy,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255f37,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255f37_1656316_master.tif,164,,,,,color photographs,still image,copyrighted,,Food and Agriculture Organization of the United Nations. $b Conference,,,zxx,,,Y,,,,0162|~|YRLSC_2009_00162,"Food and Agriculture Organization of the United Nations Conference, Rome, Italy, 1963",,1963,1 photograph : color,1963,Italy,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255f4r,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255f4r_1656320_master.tif,165,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|World Academy of Art and Science",,,zxx,,,Y,,,,0163|~|YRLSC_2009_00163,"Aldous Huxley drafting outline for Potential of Man at WAAS meeting, Stockhom, Sweden, 1963",,1963,1 photograph : b&w,1963,Sweden,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255f58,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255f58_1656323_master.tif,166,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|World Academy of Art and Science",,,zxx,,,Y,,,,0164|~|YRLSC_2009_00164,"Aldous Huxley drafting outline for Potential of Man at WAAS meeting, Stockhom, Sweden, 1963",,1963,1 photograph : b&w,1963,Sweden,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255f6s,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255f6s_1656326_master.tif,167,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|World Academy of Art and Science",,,zxx,,,Y,,,,0165|~|YRLSC_2009_00165,"Aldous Huxley drafting outline for Potential of Man at WAAS meeting, Stockhom, Sweden, 1963",,1963,1 photograph : b&w,1963,Sweden,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255f79,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255f79_1656329_master.tif,168,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|World Academy of Art and Science",,,zxx,,,Y,,,,0166|~|YRLSC_2009_00166,"Aldous Huxley drafting outline for Potential of Man at WAAS meeting, Stockhom, Sweden, 1963",,1963,1 photograph : b&w,1963,Sweden,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255f8t,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255f8t_1656332_master.tif,169,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|World Academy of Art and Science",,,zxx,,,Y,,,,0167|~|YRLSC_2009_00167,"Aldous Huxley drafting outline for Potential of Man at WAAS meeting, Stockhom, Sweden, 1963",,1963,1 photograph : b&w,1963,Sweden,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255f9b,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255f9b_1656335_master.tif,170,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|World Academy of Art and Science",,,zxx,,,Y,,,,0168|~|YRLSC_2009_00168,"Aldous Huxley drafting outline for Potential of Man at WAAS meeting, Stockhom, Sweden, 1963",,1963,1 photograph : b&w,1963,Sweden,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255fbv,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255fbv_1656338_master.tif,171,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963|~|World Academy of Art and Science",,,zxx,,,Y,,,,0169|~|YRLSC_2009_00169,"Aldous Huxley drafting outline for Potential of Man at WAAS meeting, Stockhom, Sweden, 1963",,1963,1 photograph : b&w,1963,Sweden,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255fcc,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,172,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fcc%2F9706xw87,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Writer Aldous Huxley (signing an item in his hand) with [Mercer?] Sullivan (in glasses), at Presbyterian Church in Lake Forest, Illinois. Reverse side: handwritten note ""Taken April 7, 1960 at Presbyterian Church, Lake Forest, Ill""; handwritten ""Aldous Huxley""; handwritten ""[Mercer?] Forest""; photographer's stamp.",YRLSC_2009_00170,"Aldous Huxley with [Mercer?] Sullivan at Presbyterian Church, Lake Forest, Ill., 1960 [descriptive]",,"April 7, 1960",1 photograph : b&w,1960-04-07,Lake Forest (Ill.),,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255fdw,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,173,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fdw%2F3h07kd6d,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Kellejian, R.",,"Reverse side: handwritten note ""COMPLIMENTS OF SF STATE COLLEGE INDUSTRIAL ARTS DEPT. R. KELLEJIAN PHOTOGRAPHER"".|~|Writer Aldous Huxley, standing at a podium on stage in front of an audience at the Industrial Arts Department of San Francisco State College, circa 1955-1963.",YRLSC_2009_00171,"Aldous Huxley speaking at the Industrial Arts Department, San Francisco State College [descriptive]",,1955-1963,1 photograph : b&w,1955/1963,San Francisco,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255fr2,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255fr2_1656365_master.tif,174,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Close-up image of writer Aldous Huxley, grinning. March 22, 1963. Cropped from image YRLSC_2009_00045.",YRLSC_2009_00172,"Aldous Huxley close up, grinning [descriptive]",,"March 22, 1963",1 photograph : b&w,1963-03-22,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255fsk,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,175,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fsk%2Fmx18fz83,black-and-white photographs,still image,copyrighted,"Photographers $z United States|~|Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Barrie, Jay",,"Portrait of writer Aldous Huxley (looking to the side), leaning on elbow, hands clasped, dressed in suit with scarf around neck. Circa 1950-1959.|~|Reverse side: photographer's information written in blue ink ""Please Credit JAY BARRIE 545 SPOLETO DRIVE SANTA MONICA, CALIF""; additional handwriting in pencil.",YRLSC_2009_00173,"Aldous Huxley portrait, leaning on elbow, hands clasped, scarf around neck [descriptive]",,1950-1959,1 photograph : b&w,1950/1959,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255ft3,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,176,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255ft3%2Fv550b62s,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Writer Aldous Huxley, leaning on arm and seated, smiling and holding a copy of his book Doors of Perception. Circa 1954-1959.|~|Reverse side: stamp ""CAVALCADE OF BOOKS 2061 CERRO GORDO STREET LOS ANGELES 39, CALIFORNIA""; stamp ""JACK CASE 2061 CERRO GORDO ST. LOS ANGELES 39, CALIFORNIA.",YRLSC_2009_00174,"Aldous Huxley seated, smiling and holding a copy of Doors of Perception [descriptive]",,1954-1959,1 photograph : b&w,1954/1959,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255fvm,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,177,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fvm%2Fbk808274,black-and-white photographs,still image,copyrighted,"Photographers $z United States|~|Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Steiner, Ralph, $d 1899-1986",,"Writer Aldous Huxley, dressed in suit, seated and looking down with hands clasped.|~|Reverse side: pencial notation ""A Huxley 4/48"", the possible date of the photograph (April 1948); ""Photo by Ralph Steiner""; ""Griffin Copy Negs"".",175|~|YRLSC_2009_00175,"Aldous Huxley seated, looking down, hands clasped, circa 1948 [descriptive]",,circa April 1948,1 photograph : b&w,1948-04,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255fw4,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255fw4_1656414_master.tif,178,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Writer Aldous Huxley (profile) facing a bust of Benjamin Franklin, circa 1955-1963.",YRLSC_2009_00176,Aldous Huxley with a bust of Benjamin Franklin [descriptive],,1955-1963,1 photograph : b&w,1955/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255fxn,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255fxn_1656422_master.tif,179,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Writer Aldous Huxley, dressed in sweater and pants, standing in snow near trees, circa 1945-1955.",YRLSC_2009_00177,Aldous Huxley standing in snow [descriptive],,1945-1955,1 photograph : b&w,1945/1955,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255fz5,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,,180,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255fz5%2Ft0733n45,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Reserve side: ""10-One Never"" handwritten in blue ink on a label; ""Property of Laura Huxley""(?) handwritten in blue ink on a label.|~|Close-up portrait of writer Aldous Huxley, looking down and smiling, circa 1955-1963.",178|~|YRLSC_2009_00178,"Aldous Huxley portrait, looking down, smiling [descriptive]",,1955-1963,1 photograph : b&w,1955/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255g05,ark:/21198/zz00253vz2,2,Completed,Work,,181,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255g05%2Fxd04mr44,photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Glass, Douglas",,,0179|~|YRLSC_2009_00179,"Aldous Huxley portrait profile, hand to forehead",,[between 1955 and 1963?],1 b&w photograph,1955/1963,,,"On back of photo: ""19 The Almost Boundless.""",,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255g1p,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz00255g1p_1656446_master.tif,182,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Image (close up) of writer Aldous Huxley, circa mid 1950s-early 1960s.",YRLSC_2009_00180,"Aldous Huxley, close up [descriptive]",,1955-1963,1 b&w photograph,1955/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255g26,ark:/21198/zz00253vz2,1,In progress,Work,,183,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00255g26%2Fm543s14z,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,,,"Portrait (close up) of writer Aldous Huxley with his eyes closed, circa mid 1950s-early 1960s. Reverse side: handwritten label ""21. O Nobly Born""; cut-off handwritten label ""Property of Laura Huxley""(?).",YRLSC_2009_00181,"Aldous Huxley portrait, eyes closed [descriptive]",,1955-1963,1 b&w photograph,1955/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255g3q,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255g3q_1656459_master.tif,184,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Photo by George Kramer|~|Profile portrait of writer Aldous Huxley, dressed in light-colored suit and tie, circa 1960-1963.",YRLSC_2009_00182,"Aldous Huxley profile, dressed in light-colored suit and tie [descriptive]",,1960-1963,1 photograph : b&w,1960/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255g47,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255g47_1656467_master.tif,185,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Full length portrait of writer Aldous Huxley, dressed in suit and looking forward, circa 1960-1963. Image is cropped from image YRLSC_2009_00248, of Mr. Huxley and unidentified woman.",YRLSC_2009_00183,"Aldous Huxley, full length portrait [descriptive]",,1960-1963,1 photograph : b&w,1960/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255g5r,ark:/21198/zz00253vz2,1,In progress,Work,huxle/image/21198-zz00255g5r_1656471_master.tif,186,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,,,"Portrait of writer Aldous Huxley (profile, close-up) with his hand on his cheek. Circa mid 1950s-early 1960s.",YRLSC_2009_00184,"Aldous Huxley portrait, hand to cheek [descriptive]",,1955-1963,1 b&w photograph,1955/1963,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255g68,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255g68_1656480_master.tif,187,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,"Nys Wessberg, Rose",,"Portrait of writer Aldous Huxley, 1944. Signed by Rose Nys.",YRLSC_2009_00185,"Aldous Huxley portrait, hand to cheek, wearing tweed blazer, in writing studio, Llano CA [descriptive]",,1944,1 photograph : b&w,1944,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255g7s,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255g7s_1656485_master.tif,188,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,zxx,,,Y,"Nys Wessberg, Rose",,"Portrait of writer Aldous Huxley, 1944. Signed by Rose Nys.",YRLSC_2009_00186,"Aldous Huxley portrait, hand to chin, looking down wearing tweed blazer, in writing studio, Llano CA [descriptive]",,1944,1 photograph : b&w,1944,,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255g89,ark:/21198/zz00253vz2,2,Completed,Work,huxle/image/21198-zz00255g89_1656491_master.tif,189,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Nys Wessberg, Rose",,Signed by Rose Nys.,0187|~|YRLSC_2009_00187,"Aldous Huxley portrait, at desk, looking down, holding a pen, in writing studio, Llano CA",,1944,1 photograph : b&w,1944,California--Llano,,,,,,,,,,
Huxley (Aldous) Collection,ark:/21198/zz00255g9t,ark:/21198/zz00253vz2,10,Completed with minimal metadata,Work,huxle/image/21198-zz00255g9t_1656495_master.tif,190,,,,,black-and-white photographs,still image,copyrighted,"Authors, English--20th century","Huxley, Aldous, 1894-1963",,,eng,,,Y,"Nys Wessberg, Rose",,"Portrait of writer Aldous Huxley, 1944. Signed by Rose Nys.",YRLSC_2009_00188,"Aldous Huxley portrait, profile, at desk leaning on arms, wearing tweed blazer, in writing studio, Llano CA [descriptive]",,1944,1 photograph : b&w,1944,,,,,,,,,,,
