"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Type.typeOfResource","Rights.copyrightStatus","Name.sponsor","Name.subject","Publisher.publisherName","Rights.servicesContact","Subject.conceptTopic","Type.genre","Language","Name.repository","Name.designer","Subject.uniformTitle","Name.photographer","Name.creator","Subject.geographicPlace","Coverage.geographic","Description.note","Date.normalized","Publisher.placeOfOrigin","Title","Date.creation","Alt ID.local","Format.extent","Description.caption","AltTitle.parallel","AltTitle.other","Publisher.publisherName"
"Ethiopian Posters","21198/zz002hgwjd","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder010_010.tif","","still image","","","","","","Church music $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster depicts a collage of the following: an illustration of a man wearing white robes, a gold cloak, and a gold cap with his hands crossed over his chest, while the Virgin Mary holds an infant Jesus and hands the man a cross and an angel stands behind the man with his hands crossed over his chest; a photograph of another man in profile, wearing white robes, raising his palms, and looking upward, as if at the illustrated man.|~|Musician credits printed in the bottom right.","2000/2010","[Addis Ababa (Ethiopia)?]","Poster in Amharic depicting an illustration of the Virgin Mary handing a cross to a man and a photograph of another man in white robes looking up at the illustrated man [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder010_010","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgwkx","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder011_001.tif","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","Eamersen Graphic Design and Printing Press","","","","Ethiopia $x Religion","Ethiopia","Poster depicts a collage of the following: an illustration of a church with three gold domes, with a closed gold and white gate in the foreground flanked by gray walls; the gray walls are decorated with pillars bearing crosses; in the background is a photograph of a cloudy sky.","2000/2010","[Addis Ababa (Ethiopia)?]","Poster in Amharic depicting a church with a gate and wall in the foreground and a cloudy sky in the background [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder011_001","1 poster : col.","Graphics desighn [sic] & print by Eamersen","","",""
"Ethiopian Posters","21198/zz002hgwmf","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder011_002.tif","","still image","","","","","","Christianity","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster depicts an illustration of Jesus Christ wearing a robe with a wide collar and cuffs, holding in one hand a book written in Greek, and raising the index finger of his other hand.","2000/2010","[Ethiopia?]","Poster in Amharic depicting a black-and-white illustration of Jesus Christ holding a book in Greek and raising an index finger [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder011_002","1 poster : b&w","Adyame Yordanos P.P","","",""
"Ethiopian Posters","21198/zz002hgwnz","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder011_003.tif","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","Eamersen Graphic Design and Printing Press","","","","Ethiopia $x Religion","Ethiopia","Poster depicts a green book with images of two open Bibles and one closed Bible on its cover; all the Bibles are printed in Ge'ez script; background is light green with gray curved lines.","2000/2010|~|[between 2000 and 2010?]","[Ethiopia?]","Poster in Amharic depicting a green book with images of two open Bibles and one closed Bible on its cover [descriptive]","","ucla_1922_box01_folder011_003","1 poster : col.","Graphics design & print by Eamersen","","",""
"Ethiopian Posters","21198/zz002hgwpg","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder011_004.tif","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster depicts an illustration of a bearded man with three pairs of wings and a circle of light behind his head who is wearing a white robe and blue cloak and is raising his hands upward; he is standing or floating above a hilly horizon with clouds in the background.","2000/2010","[Addis Ababa (Ethiopia)?]","Poster in Amharic depicting a man with three pairs of wings and a circle of light behind his head [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder011_004","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgwq0","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder011_005.tif","","still image","","","","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster depicts a collage of the following: an illustration of Jesus Christ in white robes and with a halo behind his head, standing with a hand and index finger raised while older men surround him, looking at him; in the bottom left is a woman in a white headscarf with red embroidery; the background is blue with light blue cross shapes and the photograph of the woman duplicated in the bottom right.","2000/2010","[Ethiopia?]","Poster in Amharic depicting Jesus Christ surrounded by older men and a woman in a white headscarf with red embroidery [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder011_005","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgwrh","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder011_006.tif","","still image","","","","","","Christianity $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","Eamersen Graphic Design and Printing Press","","","","Ethiopia $x Religion","Ethiopia","Chiefly in Amharic with some English.|~|Poster depicts a photomontage of the following: a man with a goatee wearing a white robe over a pink and white long-sleeve shirt and a cross on a pendant, with one hand on his belly and another hand raised with a pointed index finger; the exterior of a rural blue church with trim painted in green, yellow, and red; a group of prostrating people in white robes.","2000/2010","[Addis Ababa (Ethiopia)?]","Poster chiefly in Amharic depicting a man in a white robe raising an index finger, a rural blue church, and a group of prostrating people in white robes [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder011_006","1 poster : col.","Graphics design & printed by Eamersen","","",""
"Ethiopian Posters","21198/zz002hgws1","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder011_007.tif","","still image","","","Zebene Lema","","","Christianity $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster depicts a collage of the following: a photograph of mehmir Zebene Lema wearing white robes with multicolored trim and a white head covering and holding a microphone; an illustration of a wooden cross radiating light; an illustration of a dark corridor lit with lanterns; the Amharic-language title is printed as if it is dripping blood.","2000/2010","[Addis Ababa (Ethiopia)?]","Poster in Amharic depicting mehmir Zebene Lema, a wooden cross radiating light, and a corridor lit with lanterns [descriptive]","[between 2000 and 2010?]","ucla_1922_box01_folder011_007","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgwtj","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder012_001.tif","","still image","","","","","","Islam $z Ethiopia","posters","amh|~|aar","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster depicts a photograph image of a man, possibly Qali Mirac Macammad Canfaxe, and a small illustration of a mosque. Includes a list of sales booths in various Ethiopian cities and towns.|~|Text in Afar [?] and Amharic.","1965/2010","Addis Ababa (Ethiopia)","Raba kee Kabri","[between 1965 and 2010]","ucla_1922_box01_folder012_001","1 poster : col.","Nejashi kitabwa kee Qaglatwa Matbaqatin exxa|~|Addis Ababak Anwar Masjidih Xaqut","","Qali Mirac Macammad Canfaxe|~|Al-azhar Barfeena",""
"Ethiopian Posters","21198/zz002hgwv2","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder012_002.tif","","still image","","","","","","Christianity $z Ethiopia","posters","zxx","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster depicts an illustration of the Virgin Mary holding Jesus as a Child with four archangels looking down upon them; the Virgin Mary is wearing a blue hooded robe with yellow tassels, sunbursts, and stars; Jesus is wearing a red robe and holding a book; behind the Virgin Mary and Jesus is a red background with a yellow floral pattern; three of the archangels appear to hold swords; at the top is a border composed of red leaves and blue flowers.","1965/2010","[Ethiopia]","Poster with no text of the Virgin and Child overseen by four archangels [descriptive]","[between 1965 and 2010]","ucla_1922_box01_folder012_002","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgwwk","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder012_003.tif","","still image","","","","","","Contemporary Christian music $z Ethiopia","posters","eng|~|orm","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster appears to be an advertisement for a music album by F. Mulugeta Desaleny and depicts a photomontage that includes two photographs of a man, likely Mulugeta Desaleny; the left photograph is semi-transparent shows the orange and yellow background behind it; the right photograph is larger with a blue background; in both photographs, the man is wearing contemporary Western clothing. At the bottom left is a photograph of a man, possibly Gemechis Fromsa, seated on a chair; he is wearing a button-up shirt and slacks.|~|Chiefly in Oromo with some English.","2010","[Addis Ababa (Ethiopia)]","""Uleen warra kakuu lafa qabata!""","2010","ucla_1922_box01_folder012_003","1 poster : col.","Music: Misgana, Dawit Lamii, Mesert, Gemechis; Mix: Gemechis Fromsa, Horeb D. Studio|~|Jesus Bless you|~|W.W.M.Y. Lalisa Jarso (Yubdoo)|~|Maxxansaa fi Raabsaan M.F. Saron Finfine, M.F Ebeenezeer Gimbii","","Vol 2 2002/2010|~|F. Mulugeta Desaleny",""
"Ethiopian Posters","21198/zz002hgwx3","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder012_004.tif","","still image","","","Naik, Zakir, $d 1965-","Najaashii Odiyoo Visiwaal Pirodaakshiinii","","Islam|~|Video CDs $z Ethiopia","posters","orm","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster is an advertisement for a VCD of a lecture by Dr. Zakir Naik and depicts a photograph of Naik, which is tinted purple; the text is chiefly printed in purple, with some white text on printed purple backgrounds.","2004/2010","Addis Ababa (Ethiopia)","Shororkisummaa fi Jihaada","[between 2004 and 2010?]","ucla_1922_box01_folder012_004","1 poster : col.","Yeroo Dhihoo: 1. Salaata - Kara Milki / Dr. Zaakir Naayik -- 2. Marii Murteessaa : Qura'aanaa fi Macaafa Qulqulluu Ija Saayinsitiin / Dr. Zaakir Naayik fi Dr. Wiiliyaam Kaambil|~|Najaashii Odiyoo Visiwaal Pirodaakshiinii|~|Ilaalacha Islaamummaatiin Dr. Zaakir Naayik","","""VCD"" Haarewwaan Najaashiirraa",""
"Ethiopian Posters","21198/zz002hgwzm","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder012_005.tif","","still image","","","Garramuu Baayisaa","","","Church music $z Ethiopia|~|Video CDs $z Ethiopia","posters","eng|~|amh|~|orm","University of California, Los Angeles. $b Library Special Collections","Eamersen Graphic Design and Printing Press","","","","","Ethiopia","Poster appears to be an advertisement for a video CD (VCD) by Garramuu Baayisaa and depicts a photomontage of the following: a photograph of a man who is possibly Garramuu Baayisaa with his palms raised and wearing a cream robe and a cross on a necklace; a photograph of a man in a black hooded robe who is carrying a cross and holding a staff; a photograph of an Ethiopian cross; and a group of people wearing head coverings and bowing their heads. The left half of the background is purple and the right half is brown.|~|Chiefly in Oromo, with Amharic parallel title and some English text.","2000/2010","[Addis Ababa (Ethiopia)?]","Yeroo Jalqabaaf Kan Qophaa'e VCD /Vii Sii Dii/ Faarfannaa Lak.3ffaa Kan Far/D/Garramuu Baayisaa Gabaarra Ooleera","[between 2000 and 2010?]","ucla_1922_box01_folder012_005","1 poster : col.","Far/D/N C|~|Graphic design and print by Eamersen|~|Maxansaa fi Rabsaan Mana faaruu Afuuraa|~|Abuune Henook Walaloo fi yeedaloo faarsaa kanaa kan sirreessan Phaaphaasii Godina W/L Fi Asoosaa|~|Gargaartota Sagalee: 1. Din Saamu'eel Biraanuu; 2. Din Nigusuu Alemuu; 3. Far/ Alamayyo Urgee; 4. Far.Tu. Qiddist Mitikkuu; 5. Far.Tu. Masarat Maammoo; 6. Far.Tu. Masarat Baddiluu|~|VIDIHOO/Camera man/fiQindeessaan Aanteenee Zeleqee|~|Gargaartota Meeshaa: 1. Zahuduu Amaaree-Kiraara; 2. Annimuut-Ulullee; 3. Indaalkee Addunyaa-Maseenqoo","","",""
"Ethiopian Posters","21198/zz002hgx0m","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder012_006.tif","","still image","","","Alemu Misganaw","","","Church music $z Ethiopia","posters","amh|~|orm","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Chiefly in Oromo, with parallel alternate title in Amharic.|~|Poster appears to be an advertisement for a music album by Alemu Misganaw and depicts Alemu Misganaw smiling, holding a religious book in one hand, and pointing the index finger of his other hand upward; he is wearing a white robe and a large cross pendant on a chain.","2000/2010","[Addis Ababa (Ethiopia)]","Amantiin Tokko","[between 2000 and 2010?]","ucla_1922_box01_folder012_006","1 poster : col.","St. George Union|~|Maxxansaan fi Rabsaan Mana Faaruu Afuura Agapee, Teessoon Bataskanaa Aradaa Gorgisii Fulaa duraa|~|Di'aaqon Alemu Misganaw","","EFF",""
"Ethiopian Posters","21198/zz002hgx14","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder012_007.tif","","still image","","","","","","Church music $z Ethiopia","posters","amh|~|orm","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Text chiefly in Amharic, with some Oromo.|~|Poster depicts photograph images of clergy and church singers, captioned with their names. The names in Latin script read ""F/ttuu Fiqiree Biresaa"" and ""F/ttuu Tigist Fiqriee."" Includes the Ethiopian dates Miyazya 14-17, 2002, possibly for a church choir event.","2010","[Addis Ababa (Ethiopia)]","Wal-Gayii Afuraa Guddaa","[2010?]","ucla_1922_box01_folder012_007","1 poster : col.","Printed by AYU Printing.|~|""Amantii dhaaf Yaada quiqulinaa Qabaadha"" 1xm 1 19","","",""
"Ethiopian Posters","21198/zz002hgx2n","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder012_008.tif","","still image","","","","","","Christianity $z Ethiopia","posters","amh|~|orm","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Religion","Ethiopia","Poster depicts a collage that includes the following images: an illustration of Jesus on a cross; photographs of groups of men and women in white robes; a photomontage of Ethiopian religious leaders, women, and children; a photomontage of soldiers in ceremonial uniforms, people performing construction outdoors, and a group of people standing together and raising their hands; a photograph of a man in a white robe with his palms raised upward; and a photograph of a church.|~|Chiefly in Amharic with title in Oromo.","2000/2010","[Addis Ababa (Ethiopia)]","Maaliif Gargerbana","[between 2000 and 2010?]","ucla_1922_box01_folder012_008","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgx35","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_001.tif","","still image","","","Master Film & Communication","Master Film & Communication","","Motion pictures $x Study and teaching (Higher)|~|Education, Higher $z Ethiopia|~|Motion pictures $x Production and direction $x Study and teaching (Higher)","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Advertisement poster for Master Film & Communication school in Addis Ababa. Appears to include a list of courses offered, mostly in Amharic, some in English, including Quark Express, Sound forge, PageMaker, Ulead video editing, networking, various journalisms, and communication skills. Printed in purple and brown. Portrays three students in a window, one with a video camera, and one with a regular camera.","1999/2010","[Addis Ababa (Ethiopia)]","Master Film & Communication school advertisement poster [descriptive]","[between 1999 and 2010]","ucla_1922_box01_folder013_001","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgx4p","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_002.tif","","still image","","","Olympic Games $n (29th : $d 2008 : $c Beijing, China)","Ethiopia. $b YaBāhelena turizem ministér","","Track and field athletes $z Ethiopia|~|Olympic athletes $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Background of the poster is the Ministry of Culture and Tourism's logo, including the phrase, ""13 months of sunshine.""|~|Depicts a ceremony celebrating the Ethiopian 2008 Olympic athletes. Image on the left has the team standing in a line in their green, yellow, and red uniforms. Image on the right has the Olympic medalists posing for a picture.","2008","[Addis Ababa (Ethiopia)?]","Ethiopia's 2008 Olympic athletes ceremony [descriptive]","[2008?]","ucla_1922_box01_folder013_002","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgx56","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_003.tif","","still image","","","Olympic Games $n (29th : $d 2008 : $c Beijing, China)|~|Sileshi Sihine|~|Tirunesh Dibaba|~|Meseret Defar|~|Tsegay Kebede|~|Kenenisa Bekele","Ethiopia. $b YaBāhelena turizem ministér","","Track and field athletes $z Ethiopia|~|Olympic athletes $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Background of the poster is the Ministry of Culture and Tourism's logo, including the phrase, ""13 months of sunshine.""|~|Poster has upper body images of the five track and field 2008 Olympic medalists from Ethiopia: Kenenisa Bekele (gold in the men's 10000 m and 5000 m), Tirunesh Dibaba (gold in the women's 10000 m and 5000 m), Sileshi Sihine (silver in the men's 10000 m), Meseret Defar (bronze in the women's 5000 m), and Tsegaye Kebede (bronze in the men's marathon).","2008","[Addis Ababa (Ethiopia)?]","Ethiopia's 2008 Olympic track and field medalists [descriptive]","[2008?]","ucla_1922_box01_folder013_003","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgx6q","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_004.tif","","still image","","","","","","Martial arts $z Ethiopia","posters","amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster appears to be for a martial arts event held Tir 2, 2002 (i.e. January 10, 2010). Depicts a man in the upper left who looks to be either the leader of a school of martial arts, or possibly a headliner. Next to the man are images of a dragon, tiger, and lion. Bottom half of the poster has 6 young men and women in martial arts poses, some with weapons. All are wearing kung fu uniforms. One woman is wearing a headscarf.","2010-01-10","","Martial arts event held in 2010 [descriptive]","January 10, 2010","ucla_1922_box01_folder013_004","1 poster : col.","AB GET Printing Press|~|AZ Graphics","","",""
"Ethiopian Posters","21198/zz002hgx77","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_005.tif","","still image","","","Soll Billy","","","Martial artists $z Ethiopia|~|Sports $z Ethiopia|~|Martial arts $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster is an upper body image of Soll Billy, an Ethiopian martial artist who specializes in kickboxing and tae kwon do. He is in a fighting stance, with flames on the left hand side of the poster. In the upper left corner is a picture of Soll Billy performing a mid-air kick. The poster appears to be for an event held Hamle 10, 2001 (i.e. July 17, 2009).","2009-07-17","[Ethiopia]","Hu is Sol Billy?","July 17, 2009","ucla_1922_box01_folder013_005","1 poster : col.","","Who is Soll Billy?","Hu is Soll Billy?|~|Is Billy?",""
"Ethiopian Posters","21198/zz002hgx8r","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_006.tif","","still image","","","Selam International Taekwondo Club (Organization)","Selam International Taekwondo Club (Organization)","","Martial arts $z Ethiopia|~|Tae kwon do $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Advertisement poster for a tae kwon do club.  Images include three men in fighting poses and one man in mid-leap. Event is dated for Tarr 9, 2002 (i.e. January 17, 2010).","2010-01-17","Ethiopia","Selam International Taekwondo Club","January 17, 2010","ucla_1922_box01_folder013_006","1 poster : col.","Original Tae Kwon-Do","","",""
"Ethiopian Posters","21198/zz002hgx98","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_007.tif","","still image","","","Ethiopia. $b Agency for Government Houses","Ethiopia. $b Agency for Government Houses","","Housing $z Ethiopia|~|Real estate management $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Logo for Agency for Government Houses in upper left corner of poster.|~|Streetview of Addis Ababa which includes the Ethiopian National Theatre with Lion of Judah statue, along with several high-rise buildings in the background and blue-and-white taxis.","1990/2010","[Addis Ababa (Ethiopia)]","Agency for Government Houses","between 1990 and 2010","ucla_1922_box01_folder013_007","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgxbs","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_008.tif","","still image","","","Ethiopia. $b Agency for Government Houses","Ethiopia. $b Agency for Government Houses","","Housing $z Ethiopia|~|Real estate management $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Logo for Agency for Government Houses in upper left corner of poster.|~|Image is of a couple dozen people possibly planting seeds or doing some sort of gardening, maybe a conservation project. Background are hills covered in greenery and shrubs.","1990/2010","[Addis Ababa (Ethiopia)]","Agency for Government Houses","[between 1990 and 2010]","ucla_1922_box01_folder013_008","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgxc9","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_009.tif","","still image","","","Ethiopia. $b Agency for Government Houses","Ethiopia. $b Agency for Government Houses","","Housing $z Ethiopia|~|Real estate management $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster for the Agency for Government Houses with four antiquities in Ethiopia: the Obelisk of Axum, the Church of St. George at Lalibela, Fasilides' Castle, and Harar Gate.|~|Logo for Agency for Government Houses in upper left corner of poster.","2005/2010","[Addis Ababa (Ethiopia)]","Agency for Government Houses","[between 2005 and 2010]","ucla_1922_box01_folder013_009","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgxdt","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_010.tif","","still image","","","Mekuria, Salem $v Exhibitions","","","Short films $z Ethiopia $v Exhibitions|~|Video art $v Exhibitions","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Social life and customs","Ethiopia","A poster for a video installation exhibition by Ethiopian-American filmmaker Salem Mekuria. The film featured was a video triptych depicting Ethiopian everyday life.|~|The poster image is a map of Ethiopia in shades of brown.","2008","[Ethiopia?]","IMAGinING TOBIA","[2008?]","ucla_1922_box01_folder013_010","1 poster : col.","","","",""
"Ethiopian Posters","21198/zz002hgxfb","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_011.tif","","still image","","","","","","Beauty contests $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Social life and customs","Ethiopia","Sponsors listed on the bottom of the poster: Fasiledes Advert, Mitchell Cotts, Abyssinia Fine Art, Infiniti Digital Printing & Advertising, Habesha Beer, and Penguin Printing Press. Poster printed by Penguin Printing Press.|~|Contest was held Tir 30, 2002 (i.e., February 7, 2010).","2010-02-07","[Ethiopia]","Miss Lideta","[February 7, 2010]","ucla_1922_box01_folder013_011","1 poster : col.","A woman's posed outline is on the left side of the poster, wearing a crown and high heels. Four smaller women's outlines are on the center and right side of the poster. Appears to be a beauty pageant.","","",""
"Ethiopian Posters","21198/zz002hgxgv","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_012.tif","","still image","","","All Ethiopia Games","All Ethiopia Games","","Sports $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","All Ethiopia Games logo in the center of the poster, possibly a stylized dove over a podium.|~|Games held from Mägabit 2-15, 1999/March 11-24, 2007.","2007-03-11","[Ethiopia]","First All Ethiopia Games","March 11, 2007","ucla_1922_box01_folder013_012","1 poster : col.","","","1st All Ethiopia Games",""
"Ethiopian Posters","21198/zz002hgxhc","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_013.tif","","still image","","Addis Ababa University|~|Ethiopia. $b Ministry of Industry","Addis Ababa University|~|Ethiopia. $b Ministry of Industry","","","","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Chiefly text poster printed in red and black. Color logo at the top, resembling a green gear encircling an industrial horizon and nuclear atom symbol.","1991-02-05","Addis Ababa (Ethiopia)","University-Industry Week","February 5, 1991","ucla_1922_box01_folder013_013","1 poster : col.","Display of activities, Makonnen Hall, 5-7/2/91Panel discussion: University-Industry interaction, experiences and prospects, Makonnen Hall, 6/2/91Closing programme, Makonnen Hall, 7/2/91","","Addis Ababa University-Ministry of Industry Cooperation Programme, fifth anniversary, University-Industry Week",""
"Ethiopian Posters","21198/zz002hgxjw","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_014.tif","","still image","","","Addis Ababa University. $b YaʼItyop̣yā ṭenātenā meremer taqwām|~|International Conference of Ethiopian Studies","Addis Ababa University. $b YaʼItyop̣yā ṭenātenā meremer taqwām","","Congresses and conventions $z Ethiopia","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Civilization","Ethiopia","Poster background is white and yellow. Images printed in blue pertaining to Ethiopian culture border the yellow section.Two scrolls, side by side, list the program. The left scroll is in Amharic, and the right scroll is in English.A handwritten note in black ink is added in Amharic under the scrolls.","1991-04-01","Addis Ababa (Ethiopia)","XIth International Conference of Ethiopian Studies: 32nd anniversary","April 1, 1991","ucla_1922_box01_folder013_014","1 poster : col.","Programme: Opening: Monday, April 1-6, 1991, 8:30 a.m., Ras Makonnen Hall, AAUConference: April 1-6, 1991, Addis Ababa UniversityExhibition: April 6, 1991, 5:30 p.m., Institute of Ethiopian Studies, Addis Ababa University","","11th International Conference of Ethiopian Studies: 32nd anniversary|~|Eleventh International Conference of Ethiopian Studies: 32nd anniversary",""
"Ethiopian Posters","21198/zz002hgxkd","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder013_015.tif","","still image","","","Jan Meda (Addis Ababa, Ethiopia : Racetrack)|~|International Show Jumping (Equestrian competition) $n (15th : $d 1975 : $c Addis Ababa, Ethiopia)","International Show Jumping (Equestrian competition) $n (15th : $d 1975 : $c Addis Ababa, Ethiopia)","","Horse sports|~|Show jumping","posters","eng|~|amh","University of California, Los Angeles. $b Library Special Collections","","","","","","Ethiopia","Poster depicts a person jumping a horse over a striped bar obstacle, on a teal background.","1975-05-10","[Addis Ababa (Ethiopia)]","15th International Show Jumping at Jan Meda","May 10, 1975","ucla_1922_box01_folder013_015","1 poster : col.","10-11 May 1975.Entrance fee: Adults Eth. $5.00 the two days, Eth. $3.00 per day, Children: Eth. $1.00 per day.","","Fifteenth International Show Jumping at Jan Meda",""
"Ethiopian Posters","21198/zz002hgxmx","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder014_001.tif","","still image","","Alliance ethio-française","Shiferaw Girma","Alliance ethio-française","","Painters $z Ethiopia $v Exhibitions","posters","eng|~|fre","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Social life and customs","Ethiopia","Artist's exhibition poster. Poster is designed to resemble a blue sky with white clouds. Women's heads and legs make up the top and bottom borders. Text in red.","2000-04-21","[Addis Ababa (Ethiopia)]","Soleil","April 21, 2000","ucla_1922_box01_folder014_001","1 poster : col.","Vernissage 21/04/2000 Opening ceremony; Ouvert jusqu'au 09/05/2000 Open till.","Sun","",""
"Ethiopian Posters","21198/zz002hgxnf","21198/zz002h77vr","Work","ethiopian_posters/image/ucla_1922_box01_folder014_002.tif","","still image","","","National Conference of Ethiopian Studies","Addis Ababa University. $b YaʼItyop̣yā ṭenātenā meremer taqwām","","Congresses and conventions $z Ethiopia","posters","eng","University of California, Los Angeles. $b Library Special Collections","","","","","Ethiopia $x Civilization|~|Ethiopia $x Social life and customs|~|Ethiopia $x History","Ethiopia","All text conference poster re: a call for papers on the following topics:  anthropology, archaeology/prehistory, contemporary issues, history, and linguistics/literature. Conference to be held October 5-7, 1992.","1992","Addis Ababa (Ethiopia)","Second National Conference of Ethiopian Studies, Institute of Ethiopian Studies, Addis Ababa University: call for papers","1992","ucla_1922_box01_folder014_002","1 poster : b&w","Conference language: Amharic and English.","","Call for papers",""
