"Project Name","Item ARK","Parent ARK","Object Type","File Name","Item Sequence","Type.typeOfResource","Rights.copyrightStatus","Subject","Name.subject","Type.genre","Name.repository","Rights.servicesContact","Language","Rights.permission","Name.photographer","Name.artist","Name.architect","Title","AltIdentifier.local","Format.extent","Format.medium","Relation.isPartOf","Description.fundingNote","Coverage.geographic","Description.latitude","Description.longitude","Description.note","Date.creation","Date.normalized","Description.caption","Coverage.temporal","AltIdentifier.collection"
"Connell (Will) Papers, 1928-1961","21198/zz002h2mj5","21198/zz002h2fpt","Work","connell/image/uclamss_893_0346.tif","","still image","copyrighted","Polo $z California $z Los Angeles","Zanuck, Darryl Francis, $d 1902-1979|~|Griffith, Raymond, $d -1957|~|Whyte, Dave|~|Hubbard, Lucien, $d 1889-1971","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Raymond Griffith, Darryl Zanuck, Lucian Hubbard and Dave Whyte playing polo, Los Angeles, 1931","uclamss_893_0346","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","The Los Indios polo team was organized by Juan Reynal, from Argentina, in the winter of 1930-1931. Davy Whyte is recorded as the  captain of the team in Los Angeles Times articles published from July through October 1931.|~|Distant view of the Los Indios polo team, with Raymond Griffith, Darryl Zanuck, Lucian Hubbard and Dave Whyte, playing polo|~|Raymond Griffith was one of the great silent movie comedians; Darryl Zanuck was an American film studio executive and producer; and Lucien Hubbard was a film producer and screenwriter.","1931","1931","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mkp","21198/zz002h2fpt","Work","connell/image/uclamss_893_0347.tif","","still image","copyrighted","Polo $z California $z Los Angeles","Zanuck, Darryl Francis, $d 1902-1979|~|Griffith, Raymond, $d -1957|~|Whyte, Dave|~|Hubbard, Lucien, $d 1889-1971","Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Dave Whyte, Darryl Zanuck, Lucian Hubbard and Raymond Griffith posing on their polo horses, Los Angeles, 1931","uclamss_893_0347","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","The Los Indios polo team was organized by Juan Reynal, from Argentina, in the winter of 1930-1931. Davy Whyte is recorded as the  captain of the team in Los Angeles Times articles published from July through October 1931.|~|Photograph of Dave Whyte, Darryl Zanuck, Lucian Hubbard and Raymond Griffith, of the Los Indiens polo team, posing on their horses with their mallets raised. They wear t-shirts with the Indian head nickel image on the front.|~|Darryl Zanuck was an American film studio executive and producer; Lucien Hubbard was a film producer and screenwriter; and Raymond Griffith was one of the great silent movie comedians.","1931","1931","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mm6","21198/zz002h2fpt","Work","connell/image/uclamss_893_0348.tif","","still image","copyrighted","Polo $z California $z Los Angeles","Griffith, Raymond, $d -1957","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Raymond Griffith on his polo horse with his mallet raised, Los Angeles, 1931","uclamss_893_0348","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","The Los Indios polo team was organized by Juan Reynal, from Argentina, in the winter of 1930-1931. Davy Whyte is recorded as the  captain of the team in Los Angeles Times articles published from July through October 1931.|~|Raymond Griffith was one of the great silent movie comedians.|~|Raymond Griffith on his polo horse with his mallet raised. He was a member of the Los Indiens polo team and is wearing the team t-shirt with an Indian head nickel image on the front.","1931","1931","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mnq","21198/zz002h2fpt","Work","connell/image/uclamss_893_0349.tif","","still image","copyrighted","Comedians","Griffith, Raymond, $d -1957|~|Mann, Bertha, $d 1893-1967","Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Raymond Griffith with his wife Bertha Mann, Los Angeles, 1933-1934","uclamss_893_0349","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","34.107066","-118.303672","Raymond Griffith was one of the great silent movie comedians. Bertha Mann was a stage actress who appeared in at least one silent film.|~|Portrait photograph of Raymond Griffith with his wife, Bertha Mann, probably in their home|~|The 1930 Census lists Griffith's address as 5220 Lynwood Dr., in Los Feliz.|~|The 1930 Census lists Griffith's address as 5220 Lynwood Dr., in Los Feliz.","[between 1933-1934]","1933/1934","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mp7","21198/zz002h2fpt","Work","connell/image/uclamss_893_0350.tif","","still image","copyrighted","Comedians","Griffith, Raymond, $d -1957|~|Griffith, Michael, $d 1931-2004|~|Cole, Patricia Griffith, $d b. 1933","Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Raymond Griffith with his children Michael and Patricia, Los Angeles, 1933-1934","uclamss_893_0350","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","34.107066","-118.303672","Portrait of Raymond Griffith seated in an upholstered chair with his children Michael, behind him, and Patricia, in his lap.|~|Raymond Griffith was one of the great silent movie comedians.|~|The 1930 Census lists Griffith's address as 5220 Lynwood Dr., in Los Feliz.","[between 1933-1934]","1933/1934","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mqr","21198/zz002h2fpt","Work","connell/image/uclamss_893_0351.tif","","still image","copyrighted","Children $z California $z Los Angeles","Griffith, Michael, $d 1931-2004|~|Mann, Bertha, $d 1893-1967","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Bertha Mann with her son Michael Griffith, Los Angeles, 1933-1934","uclamss_893_0351","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","34.107066","-118.303672","The 1930 Census lists Griffith's address as 5220 Lynwood Dr., in Los Feliz.|~|Portrait photograph of Bertha Mann with her son Michael Griffith on a porch swing at their home.|~|Bertha Mann was a stage actress who appeared in at least one silent film. She married silent movie comedian Raymond Griffith in 1928.","[between 1933-1934]","1933/1934","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mr8","21198/zz002h2fpt","Work","connell/image/uclamss_893_0352.tif","","still image","copyrighted","Children $z California $z Los Angeles","Griffith, Michael, $d 1931-2004","Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Baby Michael Griffith, son of Raymond Griffith and Bertha Mann, Los Angeles, 1931","uclamss_893_0352","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Raymond Griffith was one of the great silent movie comedians.|~|Portrait photograph of Michael Griffith, in a baptismal gown and placed on a fluffy pillow.","1931","1931","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mss","21198/zz002h2fpt","Work","connell/image/uclamss_893_0353.tif","","still image","copyrighted","Children $z California $z Los Angeles","Griffith, Raymond, $d -1957|~|Griffith, Michael, $d 1931-2004|~|Mann, Bertha, $d 1893-1967","acetate film|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Bertha Mann with her infant son Michael Griffith, and husband Raymond Griffith, Los Angeles County, 1933-1934","uclamss_893_0353","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Raymond Griffith was one of the great silent movie comedians. Bertha Mann was a stage actress who appeared in at least one silent film.|~|Portrait photograph of Bertha Mann holding her infant son Michael Griffith, dressed in a baptismal gown, with her husband Raymond Griffith seated behind and looking towards Michael.","1931","1931","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mt9","21198/zz002h2fpt","Work","connell/image/uclamss_893_0354.tif","","still image","copyrighted","Comedians|~|Children $z California $z Los Angeles","","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Raymond Griffith with his infant son Michael Griffith, Los Angeles County, 1933-1934","uclamss_893_0354","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Los Angeles","","","Portrait photograph of Raymond Griffith holding his infant son Michael Griffith, dressed in a baptismal gown.|~|Raymond Griffith was one of the great silent movie comedians.","1931","1931","","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mvt","21198/zz002h2fpt","Work","connell/image/uclamss_893_0355.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Den or family room in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0355","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","Interior view of a room in the home of William Conselman, perhaps a den or family room, with a sofa and French doors providing access to a patio. A dining or breakfast room is visible through an open doorway.|~|William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mwb","21198/zz002h2fpt","Work","connell/image/uclamss_893_0356.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Dressing room in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0356","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","View of a dressing room table in the house of William Conselman with a mirror top, a 3-way mirror and a view out a window.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.|~|William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mxv","21198/zz002h2fpt","Work","connell/image/uclamss_893_0357.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)|~|William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Living room in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0357","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","The William Conselman Residence was located at 4905 Lockhaven Ave.|~|View of the living room in the house of William Conselman, with wood paneled walls and an open beam ceiling, and furnished with sofas, tables, Indian throw rugs and book cases.|~|William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2mzc","21198/zz002h2fpt","Work","connell/image/uclamss_893_0358.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)|~|William Conselman Residence (Eagle Rock, Calif.)","black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Girl's bedroom in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0358","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","The William Conselman Residence was located at 4905 Lockhaven Ave.|~|View of a girl's bedroom, probably Deirdre Conselman's room, in the house of William Conselman, with wood paneled walls and furnished with a canopied bed, a chair and ottoman, and dolls.|~|William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2n0c","21198/zz002h2fpt","Work","connell/image/uclamss_893_0359.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","exterior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Exterior view of the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0359","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","The William Conselman Residence was located at 4905 Lockhaven Ave.|~|William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|Exterior view of the house of William Conselman in a hillside location","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2n1w","21198/zz002h2fpt","Work","connell/image/uclamss_893_0360.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Living room in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0360","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","View of the living room in the house of William Conselman, with wood paneled walls, and furnished with sofas, tables, Indian throw rugs and book cases. The dining room is visible through an open doorway.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.|~|William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2n2d","21198/zz002h2fpt","Work","connell/image/uclamss_893_0361.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Living room in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0361","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","View of the living room in the house of William Conselman, with wood paneled walls and furnished with chairs, tables, Indian throw rugs and book cases along a wall with three windows.|~|William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2n3x","21198/zz002h2fpt","Work","connell/image/uclamss_893_0362.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Girl's bedroom in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0362","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.|~|View of a girl's bedroom, probably Deirdre Conselman's room, in the house of William Conselman, with wood paneled walls and furnished with a canopied bed. A wall cabinet holds a collection of dolls.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2n4f","21198/zz002h2fpt","Work","connell/image/uclamss_893_0363.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Hand vase collection on display in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0363","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|View of a wood paneled room with a cabinet holding a collection of hand vases in the house of William Conselman. The room is furnished with upholstered chairs, an ottoman, a table and floor lamp and there is a large, round ceramic platter on the wall.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2n5z","21198/zz002h2fpt","Work","connell/image/uclamss_893_0364.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Kitchen in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0364","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|View of the kitchen vases in the house of William Conselman with a gas range, a center work table with small braided rugs on the floor on either side, canisters lined up along one counter and a water cooler in the corner.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2n6g","21198/zz002h2fpt","Work","connell/image/uclamss_893_0365.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Bedroom in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0365","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","","34.137636","-118.224193","View of a bedroom in the house of William Conselman with wood paneled walls, and open beam ceiling, a pair of double beds, upholstered chairs, a dresser and oval area rug.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.|~|William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2n70","21198/zz002h2fpt","Work","connell/image/uclamss_893_0366.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Game room in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0366","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","","William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.|~|View of a game room in the house of William Conselman with a poker table and a bar.|~|-118.224193","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2n8h","21198/zz002h2fpt","Work","connell/image/uclamss_893_0367.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Living room in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0367","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","","-118.224193","34.137636|~|The William Conselman Residence was located at 4905 Lockhaven Ave.|~|William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|View of the living room in the house of William Conselman, with an open beam ceiling, book cases built into the wood paneled walls and furnished with sofas, chairs, tables and Indian throw rugs.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2n91","21198/zz002h2fpt","Work","connell/image/uclamss_893_0368.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Dining room in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0368","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|View of a dining room in the house of William Conselman with a dining table, dining chairs and sideboard and with a fireplace at the far end of the room.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.|~|View of a dining room in the house of William Conselman with a dining table, dining chairs and sideboard and with a fireplace at the far end of the room.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2nbj","21198/zz002h2fpt","Work","connell/image/uclamss_893_0369.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Living room in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0369","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","","","William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|View of the living room in the house of William Conselman, with wood paneled walls and open beam ceiling, a fire in the fireplace, a painting above the mantle, a sofa, chairs and book case.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2nc2","21198/zz002h2fpt","Work","connell/image/uclamss_893_0370.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Dining room in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0370","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|The William Conselman Residence was located at 4905 Lockhaven Ave|~|View of a dining room in the house of William Conselman with wood paneled walls and furnished with a dining table, dining chairs and a built-in display cabinet. A coffee service sits on a small table in the corner.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2ndk","21198/zz002h2fpt","Work","connell/image/uclamss_893_0371.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Hallway in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0371","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|View of an upstairs hallway in the house of William Conselman with wood paneled walls, a dresser and nine framed drawings on the walls.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2nf3","21198/zz002h2fpt","Work","connell/image/uclamss_893_0372.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Living room in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0372","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|The William Conselman Residence was located at 4905 Lockhaven Ave.|~|View of the living room in the house of William Conselman, with book cases built into the wood paneled walls, and furnished with upholstered chairs, a carved wood folding screen and Indian throw rugs.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
"Connell (Will) Papers, 1928-1961","21198/zz002h2ngm","21198/zz002h2fpt","Work","connell/image/uclamss_893_0373.tif","","still image","copyrighted","Dwellings $z California $z Eagle Rock","William Conselman Residence (Eagle Rock, Calif.)","interior views|~|black-and-white photographs|~|cellulose nitrate film","University of California, Los Angeles. $b Library Special Collections","","","Y","Connell, Will, $d 1898-1961","","","Entrance hall in the William Conselman Residence, Eagle Rock, 1930-1939","uclamss_893_0373","1 photographic negative","b&w nitrate negative","Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.","Access to this collection is generously supported by Arcadia funds.","California--Eagle Rock","34.137636","-118.224193","William Marien Conselman was an American screenwriter who also wrote newspaper comic strips.|~|View of the entrance hall in the house of William Conselman, with desert-themed wall paper and furnished with a small table, wall mirror, and 2 stools|~|The William Conselman Residence was located at 4905 Lockhaven Ave.","[between 1930-1939]","1930/1939","Text from negative sleeve: Conselman. 5190. Printed.","",""
