Object Type,Item ARK,Parent ARK,File name,local ID,Title,AltTitle.translated,AltTitle.other,Creator,Contributor,Contributor.producer,volume/year,issue,Date.created,Date.created (single),Language | code,TypeOfResource,Genre,Extent,Dimensions,Medium,Insitution/Repository,collection name,collection number,collection number,Rights.copyrightStatus,Rights.publicationStatus,Rights.servicesContact,Abstract,Note.content,Subject.topic
Work,ark:/21198/z1ns2vcr,ark:/21198/z1jd6x7k,ias_meap_1967_b_0696.mp3,644,Aburi Meeting of Nigerian Military Leaders,,,,Ghana Government| LT.Col. Ojukwu.(Military Governor of Eastern Nigeria),"Institute of African Studies, University of Ibadan",,,January 1981,1981-01,eng,sound recording,sound recording,1hr 4mins 50secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"The meeting between the Federal Government of Nigeria and Eastern Region of Nigeria to prevent ethnic conflict from degenerating into a full war. The meeting leading to the historical ""Aburi Accord"" was fascilitated by the Government of Ghana.",,Nigeria|~|Ghana|~|Conference proceedings
Work,ark:/21198/z1j123nq,ark:/21198/z1jd6x7k,ias_meap_1967_b_0697.mp3,274,Iworiowonrin,,,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,6,1967,1967,yor,sound recording,sound recordings,20 mins 49 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iworiowonrin, an Odu of Ifa.",,"Nigeria, Southwest|~|Art and Culture|~|Recitations|~|Intellectuals--Interviews"
Work,ark:/21198/z1d81bwj,ark:/21198/z1jd6x7k,ias_meap_1967_b_0698.mp3,274,Iworiobere,,,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,6,1967,1967,yor,sound recording,sound recordings,11 mins 25 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iworiobere, an Odu of Ifa.",,"Nigeria, Southwest|~|Art and Culture|~|Recitations|~|Intellectuals--Interviews"
Work,ark:/21198/z18k99k0,ark:/21198/z1jd6x7k,ias_meap_1967_b_0699.mp3,275,Iworiobere,,,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,7,1967,1967,yor,sound recording,sound recordings,29 mins 53 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iworiobere, an Odu of Ifa.",,"Nigeria, Southwest|~|Art and Culture|~|Recitations|~|Intellectuals--Interviews"
Work,ark:/21198/z14t8jwq,ark:/21198/z1jd6x7k,ias_meap_1967_b_0701.mp3,276,Iworiorinkan,,Iworiokanran,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,8,1967,1967,yor,sound recording,sound recordings,23 mins 13 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iworiorinkan or Iworiokanran, an Odu of Ifa.",,"Nigeria, Southwest|~|Art and Culture|~|Recitations|~|Intellectuals--Interviews"
Work,ark:/21198/z1127t3t,ark:/21198/z1jd6x7k,ias_meap_1967_b_0702.mp3,277,Iworiwonda,,Iworiogunda or Iworiaweda,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,9,1967,1967,yor,sound recording,sound recordings,31 mins 37 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iworiwonda or Iworiogunda or Iworiaweda, an Odu of Ifa.",,"Nigeria, Southwest|~|Art and Culture|~|Recitations|~|Intellectuals--Interviews"
Work,ark:/21198/z1w979nz,ark:/21198/z1jd6x7k,ias_meap_1967_b_0715.mp3,278,Iworiwosa,,,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,10,1967,1967,yor,sound recording,sound recordings,24 mins 17 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iworiwosa, an Odu of Ifa.",,"Nigeria, Southwest|~|Art and Culture|~|Recitations|~|Intellectuals--Interviews"
Work,ark:/21198/z1rj6jzp,ark:/21198/z1jd6x7k,ias_meap_1967_b_0716.mp3,279,Iworiayoka,,Iworiwoka,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,1,1967,1967,yor,sound recording,sound recordings,32 mins 02 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iworiayoka or Iworiwoka, an Odu of Ifa.",,"Nigeria, Southwest|~|Art and Culture|~|Recitations|~|Intellectuals--Interviews"
Work,ark:/21198/z1ms5t8t,ark:/21198/z1jd6x7k,ias_meap_1967_b_0719.mp3,280,Iworiwoka (continued),,Iworiwoka,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,2,1967,1967,yor,sound recording,sound recordings,20 mins 02 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iworiayoka or Iworiwoka, an Odu of Ifa.",,"Nigeria, Southwest|~|Art and Culture|~|Recitations|~|Intellectuals--Interviews"
Work,ark:/21198/z1h152hb,ark:/21198/z1jd6x7k,ias_meap_1967_b_0720.mp3,281,Iworioturupon,,Iworitutu,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,3,1967,1967,yor,sound recording,sound recordings,32 mins 23 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iworioturupon or Iworitutu, an Odu of Ifa.",,"Nigeria, Southwest|~|Art and Culture|~|Recitations|~|Intellectuals--Interviews"
Work,ark:/21198/z1cc316b,ark:/21198/z1jd6x7k,ias_meap_1967_b_0725.mp3,282,Iworioturupon,,Iworitutu  (continued),,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,4,1967,1967,yor,sound recording,sound recordings,13 mins 26 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iworioturupon or Iworitutu, an Odu of Ifa.",,"Nigeria, Southwest|~|Art and Culture|~|Recitations|~|Intellectuals--Interviews"
Work,ark:/21198/z17m28dq,ark:/21198/z1jd6x7k,ias_meap_1967_b_0726.mp3,282,Iworiwotu,,,,,"Institute of African Studies, University of Ibadan",,4,1967,1967,yor,sound recording,sound recordings,19 mins 20 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iworiwotu, an Odu of Ifa.",,"Nigeria, Southwest|~|Art and Culture|~|Recitations|~|Intellectuals--Interviews"
Work,ark:/21198/z13v1hnj,ark:/21198/z1jd6x7k,ias_meap_1967_b_0729.mp3,458,Elekole's Oriki,,,,,"Institute of African Studies, University of Ibadan",,1,1967,1967,yor,sound recording,sound recordings,24 mins 56 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional women's performance (singing and drumming) of the oriki (praise chant) of the Ikole Ekiti king (Elekole),,"Nigeria, Southwest|~|Art and Culture|~|Performing Arts|~|Cultural Heritage|~|Songs and Music"
Work,ark:/21198/z1030rzk,ark:/21198/z1jd6x7k,ias_meap_1967_b_0730.mp3,458,Oriki of Ekiti Obas,,,,,"Institute of African Studies, University of Ibadan",,2,1967,1967,yor,sound recording,sound recordings,31 mins 06 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Traditional women's performance (singing and drumming) of the oriki (praise chant) of Ekiti kings, at Elekole's palace in Ikole Ekiti",,"Nigeria, Southwest|~|Art and Culture|~|Performing Arts|~|Cultural Heritage|~|Songs and Music"
Work,ark:/21198/z1vb08jk,ark:/21198/z1jd6x7k,ias_meap_1967_b_0739.mp3,459,Elekole's Oriki,,,,Didiye Olori|Ubitoye Olori,"Institute of African Studies, University of Ibadan",,1,1967,1967,yor,sound recording,sound recordings,05 mins 02 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Traditional women's performance (singing and drumming) of the oriki (praise chant) of Ekiti kings, at Elekole's palace in Ikole Ekiti",,"Nigeria, Southwest|~|Art and Culture|~|Performing Arts|~|Cultural Heritage|~|Songs and Music"
Work,ark:/21198/z1qj9hsv,ark:/21198/z1jd6x7k,ias_meap_1967_b_0740.mp3,459,Men Bata Oba drummers,,,,,"Institute of African Studies, University of Ibadan",,2,1967,1967,yor,sound recording,sound recordings,27 mins 52 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,Public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Traditional Men's performance (drumming) of the oriki (praise chant) of Ekiti kings, at Elekole's palace in Ikole Ekiti",,"Nigeria, Southwest|~|Art and Culture|~|Performing Arts|~|Cultural Heritage|~|Songs and Music"
Work,ark:/21198/z1ks8s2j,ark:/21198/z1jd6x7k,ias_meap_1967_b_0742.mp3,460,Oriki of Elekole and Chiefs of Ikole,,,,,"Institute of African Studies, University of Ibadan",,,1967,1967,yor,sound recording,sound recordings,08 mins 24 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Traditional men's performance of the oriki (praise chant) of Elekole (King of Ikole Ekiti) and Chiefs of Ikole Ekiti, at  Elekole's palace",,"Nigeria, Southwest|~|Art and Culture|~|Performing Arts|~|Cultural Heritage|~|Songs and Music"
Work,ark:/21198/z1g46qsw,ark:/21198/z1jd6x7k,ias_meap_1968_b_0064.mp3,367,Ofun Gunda,Ifa Explanations,Ofun Eko; Ofuunjugbe,,,"Institute of African Studies, University of Ibadan",,,May 1968,1968-05,yor,sound recording,sound recordings,1hr 2mins 45secs,,,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Ifa corpus explanations about the importance of names, dreams, women and hospitality.",,"Nigeria, Southwest |~|Oral History |~|Recitations |~|Personal Narratives"
Work,ark:/21198/z1bc6002,ark:/21198/z1jd6x7k,ias_meap_1968_b_0065.mp3,368,Ofun Gunda,Ifa Explanations,Ofun Eko; Ofuunjugbe,,,"Institute of African Studies, University of Ibadan",,,May 1968,1968-05,yor,sound recording,sound recordings,33mins 59secs,,,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Ifa corpus explanations about the importance of names, dreams, women and hospitality.",,"Nigeria, Southwest |~|Oral History |~|Recitations |~|Personal Narratives"
Work,ark:/21198/z16m577w,ark:/21198/z1jd6x7k,ias_meap_1968_b_0155.mp3,633,Stilt Dancers from Iwoye,,,,,"Institute of African Studies, University of Ibadan",,,1968,1968,yor,sound recording,sound recordings,21 mins 28 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,Public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional dance (Gelede),,"Nigeria, Southwest|~|Performing art festivals|~|Gelede (Yoruba rite)"
Work,ark:/21198/z12v4gjm,ark:/21198/z1jd6x7k,ias_meap_1968_b_0156.mp3,633,Irigwe dancers from Miango,,,,,"Institute of African Studies, University of Ibadan",,,1968,1968,iri,sound recording,sound recordings,11 mins 24 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional dance (Irigwe),,"Nigeria, Southwest |~|Performing arts festivals"
Work,ark:/21198/z1z3404x,ark:/21198/z1jd6x7k,ias_meap_1968_b_0162.mp3,634,Irigwe Dancers from Miango,,,,,"Institute of African Studies, University of Ibadan",,,1968,1968,iri,sound recording,sound recordings,21 mins 37 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional dance (Irigwe),,"Nigeria, Southwest |~|Recitations |~|Arts and culture"
Work,ark:/21198/z1tb37d6,ark:/21198/z1jd6x7k,ias_meap_1968_b_0163.mp3,634,Gelede Dancers from Meko,,,,,"Institute of African Studies, University of Ibadan",,,1968,1968,yor,sound recording,sound recordings,11 mins 48 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional dance (Gelede),,"Nigeria, Southwest|~|Performing art festivals|~|Gelede (Yoruba rite)"
Work,ark:/21198/z1pk2gn1,ark:/21198/z1jd6x7k,ias_meap_1968_b_0166.mp3,662,Okanran Enile (cont'd),,Okanran Owonrin; Oba Okonran,,,"Institute of African Studies, University of Ibadan",,,1968,1968,yor,sound recording,sound recordings,34 mins 44 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Okanrin Enile or Okanran Owonrin or Osa Okanran), and Odu Ifa",,"Nigeria, Southwest |~|Recitations |~|Arts and culture"
Work,ark:/21198/z1jx0fdx,ark:/21198/z1jd6x7k,ias_meap_1968_b_0176.mp3,632,Iwori Onikanrin,,,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,,November 1968,1968-11,yor,sound recording,sound recording,12mins 51secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iwori Onikanrin,an Odu of Ifa",,"Nigeria, Southwest |~|Recitations |~|Arts and culture"
Work,ark:/21198/z1f49pnh,ark:/21198/z1jd6x7k,ias_meap_1968_b_0177.mp3,632,Odi Mejeeji,,,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,,November 1968,1968-11,yor,sound recording,sound recording,6mins 11secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Odi Mejeeeji, an Odu of Ifa",,"Nigeria, Southwest |~|Recitations |~|Arts and culture"
Work,ark:/21198/z19c8xwb,ark:/21198/z1jd6x7k,ias_meap_1968_b_0178.mp3,632,Osa Alawure,,,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,,November 1968,1968-11,yor,sound recording,sound recording,17mins 47secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Osa Alawure, an Odu of Ifa",,"Nigeria, Southwest |~|Recitations |~|Arts and culture"
Work,ark:/21198/z15m866v,ark:/21198/z1jd6x7k,ias_meap_1968_b_0179.mp3,632,Okanran Meji,,,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,,November 1968,1968-11,yor,sound recording,sound recording,9mins 7secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Okanran Meji, an Odu of Ifa",,"Nigeria, Southwest |~|Recitations |~|Arts and culture"
Work,ark:/21198/z11v7fg4,ark:/21198/z1jd6x7k,ias_meap_1968_b_0181.mp3,632,Ogundawonlejo,,Ogundarin,,Babalola Ifatoogun,"Institute of African Studies, University of Ibadan",,,November 1968,1968-11,yor,sound recording,sound recording,9mins 32secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Ogundawonlejo or Ogundarin, an Odu of Ifa",,"Nigeria, Southwest|~|Recitations |~|Arts and Culture |~|Personal Narratives"
Work,ark:/21198/z1x36z1m,ark:/21198/z1jd6x7k,ias_meap_1968_b_0205.mp3,636,Traditional Dancers (Drummer from Ede),,,,,"Institute of African Studies, University of Ibadan",,,1968,1968,yor,sound recording,sound recordings,31 mins 03 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,Traditional dancers of Ede palace,,"Nigeria, Southwest|~|Performing arts festivals"
Work,ark:/21198/z1sf4wpr,ark:/21198/z1jd6x7k,ias_meap_1968_b_0229.mp3,2,Interviews with Members of Ogunmola Travelling Theatre,,,,,"Institute of African Studies, University of Ibadan",,,1968,1968,yor,sound recording,sound recordings,32 mins 50 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,A series of interviews with members of Ogunmola Travelling Theatre,,"Nigeria, Southwest|~|Performing arts--Interviews"
Work,ark:/21198/z1np44xz,ark:/21198/z1jd6x7k,ias_meap_1968_b_0230.mp3,625,Asoore Ma Sika,,,,Frank Sthed,"Institute of African Studies, University of Ibadan",,,August 1968,1968-08,yor,sound recording,sound recording,31mins 9secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Drama performance by Kola Ogunmola Travelling Theatre at the Arts Theatre, University of Ibadan",,"Nigeria, Southwest|~|Arts and Culture|~|Folk tales|~|Folk Dance Music|~|Performing Arts|~|Drama"
Work,ark:/21198/z1hx3d56,ark:/21198/z1jd6x7k,ias_meap_1968_b_0246.mp3,586,Ife Owo 1,Love of Money 1,,,Kola Ogunmola Travelling Theatre,"Institute of African Studies, University of Ibadan",,,1968,1968,yor,sound recording,sound recordings,31 mins 56 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"A dramatic performance at the Arts Theatre, University of Ibadan, about a man whose excesses and love of money become his undoing",,"Nigeria, Southwest|~| Performing Arts"
Work,ark:/21198/z1d52ndb,ark:/21198/z1jd6x7k,ias_meap_1968_b_0249.mp3,587,Ife Owo 2,Love of Money 2,,,Kola Ogunmola Travelling Theatre,"Institute of African Studies, University of Ibadan",,,1968,1968,yor,sound recording,sound recordings,32 mins 47 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"A dramatic performance at the Arts Theatre, University of Ibadan, about a man whose excesses and love of money become his undoing.",,"Nigeria, Southwest|~| Performing Arts"
Work,ark:/21198/z18d1wq2,ark:/21198/z1jd6x7k,ias_meap_1968_b_0254.mp3,588,Ife Owo 3,Love of Money 3,,,Kola Ogunmola Travelling Theatre,"Institute of African Studies, University of Ibadan",,,1968,1968,yor,sound recording,sound recordings,18 mins 11 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"A dramatic performance at the Arts Theatre, University of Ibadan, about a man whose excesses and love of money become his undoing",,"Nigeria, Southwest|~|Drama |~|Performing Arts"
Work,ark:/21198/z14n1521,ark:/21198/z1jd6x7k,ias_meap_1968_b_0262.mp3,626,Esu Odara,The Devil Incarnate,,,Frank Sthed,"Institute of African Studies, University of Ibadan",,,August 1968,1968-08,yor,sound recording,sound recording,34mins 58secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Drama performance by Kola Ogunmola Travelling Theatre at the Arts Theatre, University of Ibadan",,"Nigeria, Southwest|~|Arts and Culture|~|Folk tales|~|Folk Dance Music|~|Performing Arts|~|Drama"
Work,ark:/21198/z10w0d9v,ark:/21198/z1jd6x7k,ias_meap_1968_b_0267.mp3,648,Iwori Irete (continued),,,,Frank Siwed,"Institute of African Studies, University of Ibadan",,,December 1968,1968-12,yor,sound recording,sound recording,34mins 17secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Iwori Irete, an Odu of Ifa",,"Nigeria, Southwest |~|Recitations |~|Arts and culture"
Work,ark:/21198/z1w68m7n,ark:/21198/z1jd6x7k,ias_meap_1968_b_0269.mp3,648,Odi Ogbe,,Idin Gbe,,Frank Sided,"Institute of African Studies, University of Ibadan",,,December 1968,1968-12,yor,sound recording,sound recording,25mins 46secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Explanations of Odi Ogbe, or Idin Gbe, an Odu of Ifa",,"Nigeria, Southwest |~|Recitations |~|Arts and culture"
Work,ark:/21198/z1rf7vjc,ark:/21198/z1jd6x7k,ias_meap_1968_b_0270.mp3,627,"Seminar on Ehinola, Obatala and Ojiya",,,,Kola Ogunmola|~|Wale Ogunyemi,"Institute of African Studies, University of Ibadan",,,August 1968,1968-08,yor|~|eng,sound recording,sound recording,1 hr 4 mins 10 secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Seminar on Ehinola, Obatala and Ojiya",,"Nigeria, Southwest |~|Cultural Heritage |~|Intellectuals--Interviews"
Work,ark:/21198/z1mp73r4,ark:/21198/z1jd6x7k,ias_meap_1968_b_0295.mp3,607,"Bika Kure, Koni Sun re","If the Wicked Die Peaceful, His Sleep Will Never Be Tranquil",,,Dapo Adelugba,"Institute of African Studies, University of Ibadan",,,1968,1968,yor,sound recording,sound recording,26mins 26secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Drama performance by Kola Ogunmola Travelling Theatre at the Arts Theatre, University of Ibadan",,"Nigeria, Southwest|~|Arts and Culture|~|Performing Arts|~|Drama"
Work,ark:/21198/z1gx6c0c,ark:/21198/z1jd6x7k,ias_meap_1968_b_0315.mp3,608,Ijafara l'ewu,Delay is Dangerous,,,Frank Sthed,"Institute of African Studies, University of Ibadan",,,August 1968,1968-08,yor,sound recording,sound recording,26mins 4secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Drama performance by Kola Ogunmola Travelling Theatre at the Arts Theatre, University of Ibadan",,"Nigeria, Southwest|~|Arts and Culture|~|Folk tales|~|Folk Dance Music|~|Performing Arts|~|Drama"
Work,ark:/21198/z1c55m9d,ark:/21198/z1jd6x7k,ias_meap_1968_b_0316.mp3,608,Ologbon Ewe,"The Too, Too Cunning",,,Frank Sthed,"Institute of African Studies, University of Ibadan",,,August 1968,1968-08,yor,sound recording,sound recording,33mins 4secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Drama performance by Kola Ogunmola Travelling Theatre at the Arts Theatre, University of Ibadan",,"Nigeria, Southwest|~|Arts and Culture|~|Folk tales|~|Folk Dance Music|~|Performing Arts|~|Drama"
Work,ark:/21198/z17d4vnk,ark:/21198/z1jd6x7k,ias_meap_1968_b_0319.mp3,609,Olorunlomola,,,,Frank Sthed,"Institute of African Studies, University of Ibadan",,,August 1968,1968-08,yor,sound recording,sound recording,33mins 26secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Drama performance by Kola Ogunmola Travelling Theatre at the Arts Theatre, University of Ibadan",,"Nigeria, Southwest|~|Arts and Culture|~|Folk tales|~|Folk Dance Music|~|Performing Arts|~|Drama"
Work,ark:/21198/z13n43x7,ark:/21198/z1jd6x7k,ias_meap_1968_b_0341.mp3,624,Efin Niwa,Character is Like Smoke,,,Frank Sthed,"Institute of African Studies, University of Ibadan",,,August 1968,1968-08,yor,sound recording,sound recording,23mins 25secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Drama performance by Kola Ogunmola Travelling Theatre at the Arts Theatre, University of Ibadan",,"Nigeria, Southwest|~|Arts and Culture|~|Folk tales|~|Folk Dance Music|~|Performing Arts|~|Drama"
Work,ark:/21198/z10022n0,ark:/21198/z1jd6x7k,ias_meap_1968_b_0342.mp3,624,Eru Yato F'omo,"Between the Slave and the Son, There Is a Difference",,,Frank Sthed,"Institute of African Studies, University of Ibadan",,,August 1968,1968-08,yor,sound recording,sound recording,15mins 51secs,,Reel-to-Reel Tape,"Institute of African Studies, University of Ibadan","Archive of Sound and Vision, Institute of African Studies, University of Ibadan",,,public domain,unpublished,www.ibadan-ias.org; unibadanias60@gmail.com,"Drama performance by Kola Ogunmola Travelling Theatre at the Arts Theatre, University of Ibadan",,"Nigeria, Southwest|~|Arts and Culture|~|Folk tales|~|Folk Dance Music|~|Performing Arts|~|Drama"
