Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Coverage.geographic,Name.creator,Author,Rights.servicesContact,Language,Type.genre,Subject,Name.subject,Name.repository,Name.contributor,viewingHint,Text direction,Visibility,IIIF Range,Title,Date.normalized,Date.creation,Description.note,Description.inscription,Description.abstract
Cruikshank (Margaret) Collection,ark:/21198/zz0019tphm,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tphm_742990_master.tif,3,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpj4,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpj4_742997_master.tif,4,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpkn,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpkn_743001_master.tif,5,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpm5,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpm5_743007_master.tif,6,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpnp,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpnp_743011_master.tif,7,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpp6,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpp6_743015_master.tif,8,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpqq,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpqq_743018_master.tif,9,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpr7,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpr7_743021_master.tif,10,,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpsr,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpsr_743027_master.tif,11,,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpt8,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpt8_743033_master.tif,12,,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpvs,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpvs_743039_master.tif,13,,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tpw9,ark:/21198/zz0019tpd2,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tpw9_743042_master.tif,14,,,,,,,,,,,,,,,,,,,,,,Page 14,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tq8g,ark:/21198/zz0019s20q,2,Completed,ChildWork,,2,,,,text,copyrighted,N,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Lesbians in literature|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Nuns--Sexual behavior|~|Lesbian studies|~|Lesbians--United States--Interviews","Manahan, Nancy, 1946- |~|Curb, Rosemary, 1940-",,,,,,,"""A Conversation with Jane and Bonnie"" - Unpublished Interview",1978/1985,Between 1978 and 1985,"Interview for Barbara Zanutti's book ""A Faith of One's Own: Catholic Lesbians."" The nun interviewed later changed her mind about publishing it.|~|Rights.statementLocal: Need to obtain permission to publish from interviewee.",,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tq90,ark:/21198/zz0019tq8g,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tq90_743076_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tqbh,ark:/21198/zz0019tq8g,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tqbh_743095_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tqc1,ark:/21198/zz0019tq8g,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tqc1_743107_master.tif,3,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tqdj,ark:/21198/zz0019tq8g,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tqdj_743111_master.tif,4,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tqf2,ark:/21198/zz0019tq8g,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tqf2_743116_master.tif,5,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tqgk,ark:/21198/zz0019tq8g,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tqgk_743120_master.tif,6,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tqh3,ark:/21198/zz0019tq8g,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tqh3_743125_master.tif,7,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tqjm,ark:/21198/zz0019tq8g,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tqjm_743128_master.tif,8,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tqk4,ark:/21198/zz0019tq8g,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tqk4_743131_master.tif,9,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tqmn,ark:/21198/zz0019s20q,2,Completed,ChildWork,,3,,,,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,Lesbians--History|~|Lesbians in literature--History|~|Lesbian studies,"Faderman, Lillian|~|Yeazell, Ruth Bernard|~|James, Alice, 1848-1892",,,,,,,"""The Death and Letters of Alice James"" - Unpublished Book Review",1978/1985,Between 1978 and 1985,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tsc0,ark:/21198/zz0019tqmn,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tsc0_743143_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tsdh,ark:/21198/zz0019tqmn,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tsdh_743146_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tsf1,ark:/21198/zz0019tqmn,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tsf1_743149_master.tif,3,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tsgj,ark:/21198/zz0019tqmn,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tsgj_743161_master.tif,4,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tsh2,ark:/21198/zz0019tqmn,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tsh2_743166_master.tif,5,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tsk3,ark:/21198/zz0019s20q,2,Completed,ChildWork,,8,,,,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Lesbians in literature|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Nuns--Sexual behavior|~|Lesbian studies|~|Lesbians--United States--Interviews",,,"Manahan, Nancy, 1946- |~|Curb, Rosemary, 1940-",,,,,"""Lesbian Former Nuns"" - Corrected Interview Transcript",1981/1985,Between 1981 and 1985,"Rights.statementLocal: Interview in its final form was published in Gay News (Nov. 12-25, 1982): 17.",,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tsn4,ark:/21198/zz0019tsk3,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tsn4_743196_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tspn,ark:/21198/zz0019tsk3,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tspn_743203_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tsq5,ark:/21198/zz0019tsk3,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tsq5_743211_master.tif,3,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tsrp,ark:/21198/zz0019tsk3,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tsrp_743226_master.tif,4,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tss6,ark:/21198/zz0019tsk3,2,Completed,ChildWork,,5,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tstq,ark:/21198/zz0019tsk3,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tstq_743232_master.tif,6,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tsv7,ark:/21198/zz0019tsk3,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tsv7_743245_master.tif,7,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tswr,ark:/21198/zz0019tsk3,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019tswr_743256_master.tif,8,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019tvmk,ark:/21198/zz0019s20q,2,Completed,ChildWork,,10,,,,text,copyrighted,Y,published,United States,,"Cruikshank, Margaret",,eng,,"Lesbians--Legal status, laws, etc.|~|Lesbians--Employment|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbian studies",Off Our Backs: The Feminist Newsjournal|~|University of San Francisco,,,,,,,"""Fired or Not Rehired"" - Published Article",1982-05,"May, 1982",,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019w4sx,ark:/21198/zz0019tvmk,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019w4sx_743309_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wdp7,ark:/21198/zz0019s20q,2,Completed,ChildWork,,7,,,,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,"Lesbians--Legal status, laws, etc.|~|Lesbians--Employment|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbian studies",University of San Francisco,,,,,,,"""Fired or Not Rehired"" - Original Manuscript",1981,1981,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wj9g,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wj9g_743335_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wjfj,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wjfj_743347_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wjj3,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wjj3_743354_master.tif,3,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wjnn,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wjnn_743365_master.tif,4,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wjsq,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wjsq_743370_master.tif,5,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wjw8,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wjw8_743374_master.tif,6,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wk1t,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wk1t_743380_master.tif,7,,,,,,,,,,,,,,,,,,,,,,Page 7,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wk5w,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wk5w_743386_master.tif,8,,,,,,,,,,,,,,,,,,,,,,Page 8,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wk9z,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wk9z_743392_master.tif,9,,,,,,,,,,,,,,,,,,,,,,Page 9,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wkf1,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wkf1_743398_master.tif,10,,,,,,,,,,,,,,,,,,,,,,Page 10,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wkjk,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wkjk_743401_master.tif,11,,,,,,,,,,,,,,,,,,,,,,Page 11,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wkn4,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wkn4_743406_master.tif,12,,,,,,,,,,,,,,,,,,,,,,Page 12,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wks6,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wks6_743409_master.tif,13,,,,,,,,,,,,,,,,,,,,,,Page 13,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz0019wkwr,ark:/21198/zz0019wdp7,2,Completed,ChildWork,cruikshank/images/masters/21198-zz0019wkwr_743412_master.tif,14,,,,,,,,,,,,,,,,,,,,,,Page 14,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001b25fw,ark:/21198/zz0019s20q,2,Completed,ChildWork,,11,,,,text,copyrighted,Y,unpublished,United States,,"Cruikshank, Margaret",,eng,,Lesbians--Employment|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbian studies,Modern Language Association,,,,,,,Presentation for the Modern Language Association Gay Studies Panel,1982-12-29,"December 29, 1982",,,
Cruikshank (Margaret) Collection,ark:/21198/zz001b2q81,ark:/21198/zz001b25fw,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001b2q81_743415_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001b2qd3,ark:/21198/zz001b25fw,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001b2qd3_743419_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001b2qhn,ark:/21198/zz001b25fw,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001b2qhn_743424_master.tif,3,,,,,,,,,,,,,,,,,,,,,,Page 3,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001b2qm6,ark:/21198/zz001b25fw,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001b2qm6_743427_master.tif,4,,,,,,,,,,,,,,,,,,,,,,Page 4,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001b2qr8,ark:/21198/zz001b25fw,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001b2qr8_743430_master.tif,5,,,,,,,,,,,,,,,,,,,,,,Page 5,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001b2qvt,ark:/21198/zz001b25fw,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001b2qvt_743433_master.tif,6,,,,,,,,,,,,,,,,,,,,,,Page 6,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001b3tkk,ark:/21198/zz000s2z8d,2,Completed,Work,,5,,,,text,copyrighted,,,United States,,,,eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,,,,,The Lesbian Path - Book Reviews and Publicity Announcements,1980/1981,Between 1980 and 1981,"Box 9, 1 Folder|~|Contains book reviews, news notes, press clippings, and ephemera relating to Lesbian Path.|~|All newsprint materials were photocopied onto acid-free paper and oversized publications and clippings were removed and placed in oversized Box 14.",,
Cruikshank (Margaret) Collection,ark:/21198/zz001b3tm3,ark:/21198/zz000s2z8d,2,Completed,Work,,6,,,,text,copyrighted,,,United States,,,,eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,,,,,The Lesbian Path - Correspondence,1981/1982,Between 1981 and 1982,"Correspondence between Cruikshank and contributors to Lesbian Path and Carrier Pigeon/Alyson Publications, the publisher of the second reprinted edition (1985) of Lesbian Path. File of correspondence relating to the anti-semitism criticism of Lesbian Path by Selma Miriam in Sinister Wisdom.|~|Box 9, 2 Folders",,
Cruikshank (Margaret) Collection,ark:/21198/zz001b3vs5,ark:/21198/zz001b3tkk,2,Completed,ChildWork,,13,,,,text,copyrighted,Y,published,United States|~|Boston (Mass.),,"Potter, Clare",,eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Sojouner Publications|~|Angel Press",,,,,,,Review of The Lesbian Path,1980-06,"June, 1980",Rights.statementLocal: Need to obtain permission to publish from original author.,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bbqgq,ark:/21198/zz001b3tm3,2,Completed,ChildWork,,1,,,,text,copyrighted,N,unpublished,United States,,"Alyson, Sasha",,eng,letters (correspondence),"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Carrier Pigeon|~|Naiad Press",,,,,,,Letter Expressing Interest in Distributing The Lesbian Path,1981-01-28,"January 28, 1981",Rights.statementLocal: Need to obtain permission to publish from original author.,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgkh3,ark:/21198/zz0019rrzd,2,Completed,ChildWork,,7,,,,text,copyrighted,N,unknown,United States|~|Santa Cruz (Calif.),,"Marie, Jacquelyn",,eng,,"Lesbians--History|~|Lesbians in literature|~|Lesbians--Education (Higher)--United States|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Feminist Press|~|Women Library Workers (U.S.)|~|University of California, Santa Cruz",,,,,,,Review of Lesbian Studies - Past and Present,1983-01/1983-03,"Between January and March, 1983",,Rights.statementLocal: Need to obtain permission to publish from original author.,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgkjm,ark:/21198/zz001bgkh3,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgkjm_743868_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgkk4,ark:/21198/zz001bgkh3,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgkk4_743873_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgkv8,ark:/21198/zz001b3vs5,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgkv8_743917_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgkws,ark:/21198/zz001b3tkk,2,Completed,ChildWork,,11,,,,text,copyrighted,N,published,San Francisco (Calif.)|~|United States,,"Rogers, Lynn",,eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|San Francisco Bay Guardian|~|Angel Press",,,,,,,Review of The Lesbian Path,1980-04-24,"April 24, 1980",Rights.statementLocal: Need to obtain permission to publish from original author.,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgkx9,ark:/21198/zz001bgkws,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgkx9_743923_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgm0t,ark:/21198/zz001b3tkk,2,Completed,ChildWork,,12,,,,text,copyrighted,N,published,United States,,Unknown,,eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Angel Press|~|Telewoman",,,,,,,Review of The Lesbian Path,1980-05,"May, 1980",Rights.statementLocal: Need to obtain permission to publish from original author. Original author unknown (last name not provided).,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgm1b,ark:/21198/zz001bgm0t,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgm1b_743932_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgm2v,ark:/21198/zz001b3tkk,2,Completed,ChildWork,,14,,,,text,copyrighted,N,published,Monterey County (Calif.)|~|United States,,Unknown,,eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Demeter: Women's News of Monterey Bay|~|Angel Press",,,,,,,Review of The Lesbian Path,1980-10,"October, 1980",Rights.statementLocal: Need to obtain permission to publish from original author. Original author unknown (first name not provided).,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgm3c,ark:/21198/zz001bgm2v,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgm3c_743937_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgm4w,ark:/21198/zz001b3tkk,2,Completed,ChildWork,,4,,,,text,copyrighted,N,published,United States,,Unknown,,eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Advocate Press|~|Angel Press",,,,,,,Review of The Lesbian Path,1981-03-19,"March 19, 1981",Rights.statementLocal: Need to obtain permission to publish from original author. Original author unknown (first name not provided).,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgn6d,ark:/21198/zz001bgm4w,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgn6d_743951_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgn7x,ark:/21198/zz001bgm4w,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgn7x_743955_master.tif,2,,,,,,,,,,,,,,,,,,,,,,Page 2,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgn8f,ark:/21198/zz001b3tkk,2,Completed,ChildWork,,10,,,,text,copyrighted,N,published,United States,,"Tilchen, Maida",,eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Angel Press|~|Gay Community News",,,,,,,Review of The Lesbian Path,1980-02,"February, 1980",Rights.statementLocal: Need to obtain permission to publish from original author.,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgn9z,ark:/21198/zz001bgn8f,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgn9z_743975_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgnbg,ark:/21198/zz001b3tkk,2,Completed,ChildWork,,1,,,,text,copyrighted,Y,published,United States,,"Cruikshank, Margaret",,eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies",Naiad Press|~|Angel Press,,,,,,,Memo to the Contributors to Lesbian Path Regarding New Book Distributor and Expenses,1980-02,"February, 1980",,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgnc0,ark:/21198/zz001bgnbg,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgnc0_743987_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgpr5,ark:/21198/zz001b3tkk,2,Completed,ChildWork,,2,,,,text,copyrighted,N,published,"United States|~|Toronto, Canada",,"Ramsay, Heather",,eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret|~|Body politic (Toronto, Ont.)|~|Angel Press",,,,,,,Review of The Lesbian Path,1980-08,"August, 1980",Rights.statementLocal: Need to obtain permission to publish from original author.,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgpt6,ark:/21198/zz001bgpr5,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgpt6_743997_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgpvq,ark:/21198/zz001b3tkk,2,Completed,ChildWork,,8,,,,text,copyrighted,unknown,unknown,United States|~|Tallahassee (Fla.),Naiad Press,,,eng,,"Lesbians--History|~|Lesbians in literature--History|~|Lesbians--United States--Social conditions|~|Lesbians' writings, American--History and criticism|~|Lesbian studies","Cruikshank, Margaret",,,,,,,Flyer for the Release of the New Edition of The Lesbian Path,1981,1981,Rights.statementLocal: Unsure whether or not permission is granted to reproduce flyers.,,
Cruikshank (Margaret) Collection,ark:/21198/zz001bgpxr,ark:/21198/zz001bgpvq,2,Completed,ChildWork,cruikshank/images/masters/21198-zz001bgpxr_744023_master.tif,1,,,,,,,,,,,,,,,,,,,,,,Page 1,,,,,
